OG0000040	rna2057, rna5086	rna3341, rna4250
OG0000041	rna307	rna3491
OG0000041	rna2427	rna3670
OG0000042	rna2293	rna4413
OG0000042	rna6086	rna3578
OG0000045	rna5884	rna626
OG0000045	rna2526	rna2947
OG0000046	rna5705	rna889
OG0000046	rna2864	rna4251
OG0000047	rna5353, rna6209, rna5832	rna1141
OG0000048	rna5699	rna1485
OG0000048	rna5700	rna1484
OG0000049	rna2926, rna1660	rna4100, rna1532
OG0000050	rna1441	rna1736
OG0000051	rna709, rna3425, rna1809, rna4828	rna2036
OG0000052	rna741	rna3587, rna4048, rna3513
OG0000053	rna679	rna4509
OG0000053	rna3873	rna3662
OG0000054	rna815, rna767	rna3991, rna4294
OG0000058	rna18, rna5777	rna148, rna149, rna150
OG0000059	rna3085	rna284
OG0000060	rna5733, rna2985, rna4739	rna1096
OG0000061	rna1475	rna1222
OG0000062	rna4896	rna1294
OG0000063	rna1781	rna1979
OG0000064	rna1825	rna2286
OG0000064	rna4537	rna5224
OG0000065	rna1170	rna4643
OG0000066	rna758, rna808	rna4282
OG0000067	rna6005	rna4912
OG0000068	rna3695	rna301, rna303
OG0000069	rna4405, rna2810, rna4293	rna761
OG0000070	rna340, rna6165	rna919
OG0000071	rna2624, rna3496	rna1671
OG0000072	rna1446, rna5305	rna1730
OG0000073	rna5232, rna950	rna2199
OG0000074	rna4654, rna4653	rna2485, rna2484
OG0000075	rna1531, rna3312	rna4804
OG0000076	rna5524, rna5046	rna5096
OG0000077	rna3432	rna2489, rna1955, rna1476, rna1, rna530, rna1188, rna2051, rna2934, rna2937, rna4054
OG0000078	rna4575, rna1808, rna4827	rna12
OG0000079	rna1372, rna1516	rna79
OG0000080	rna41, rna5740	rna168
OG0000081	rna6056, rna2196	rna395
OG0000082	rna2484	rna412
OG0000083	rna4309	rna728
OG0000084	rna4302, rna4397	rna746
OG0000085	rna4582, rna3530	rna1090
OG0000086	rna3647, rna2565	rna1122
OG0000087	rna3056	rna1326
OG0000087	rna2860	rna4255
OG0000088	rna5349, rna918	rna1359
OG0000089	rna4712	rna1490
OG0000089	rna5695	rna1491
OG0000090	rna2940	rna1552
OG0000091	rna5189, rna670	rna1560
OG0000092	rna5502, rna5065	rna1798
OG0000093	rna1040, rna1772	rna1969
OG0000094	rna689, rna5207	rna2014
OG0000095	rna5803, rna4820, rna5811, rna1483	rna2077, rna2078
OG0000096	rna5231, rna4771, rna4347	rna2122
OG0000097	rna3027, rna239	rna2200
OG0000098	rna5435	rna2251
OG0000099	rna4679, rna5844	rna2607
OG0000100	rna4004, rna4008, rna4015, rna4019, rna1273	rna2625
OG0000101	rna6252, rna2356	rna3095
OG0000102	rna3355	rna3201
OG0000103	rna2908, rna5129	rna3321
OG0000104	rna2173, rna2363	rna3421
OG0000105	rna3128	rna3617
OG0000106	rna701	rna3820
OG0000107	rna141, rna1698	rna3846
OG0000108	rna1793, rna2437	rna4058
OG0000109	rna5750, rna36	rna4155
OG0000110	rna3677, rna3175	rna4694
OG0000111	rna727	rna4982
OG0000112	rna3708, rna3122	TCONS_novel_00000078_1-frame_1, TCONS_novel_00000078_1-frame_2
OG0000116	rna1365, rna5571	rna94
OG0000117	rna5601, rna4150	rna191, rna1408
OG0000118	rna2003	rna4494
OG0000119	rna4858, rna5290	rna323
OG0000120	rna4863	rna329
OG0000121	rna5498, rna3745	rna332
OG0000122	rna2191, rna209	rna398
OG0000123	rna4792	rna434
OG0000124	rna3416, rna2796	rna451
OG0000125	rna1608	rna548
OG0000126	rna5871, rna2065	rna606
OG0000127	rna2069, rna5872	rna610
OG0000128	rna4294, rna4404	rna760
OG0000129	rna2229, rna4192	rna789
OG0000130	rna248, rna951	rna834
OG0000131	rna3099	rna847
OG0000132	rna2278, rna4230	rna864
OG0000133	rna381, rna6035	rna952
OG0000134	rna4317, rna6268	rna1001
OG0000135	rna4584, rna3525	rna1085
OG0000136	rna3333, rna3452	rna1142
OG0000137	rna4408	rna2161
OG0000138	rna550	rna1225
OG0000139	rna1465, rna556	rna1232
OG0000140	rna1463, rna560	rna1236, rna1237
OG0000141	rna4036	rna1258
OG0000142	rna4039, rna1451	rna1261
OG0000143	rna1450	rna1264
OG0000144	rna1506, rna4891	rna1286
OG0000145	rna5317	rna1349
OG0000146	rna921, rna94	rna1365
OG0000147	rna4155, rna5606	rna1417
OG0000148	rna437, rna2147	rna1429
OG0000149	rna441, rna2141	rna1437
OG0000150	rna4782	rna1458
OG0000151	rna1647, rna2941	rna1550
OG0000152	rna5193, rna671	rna1555
OG0000153	rna654	rna1582
OG0000154	rna5178, rna651	rna1587
OG0000155	rna3776, rna702	rna1812
OG0000156	rna5860, rna4670	rna1894
OG0000157	rna4662	rna1904
OG0000158	rna4066, rna792	rna1916
OG0000159	rna5418, rna1509	rna2088
OG0000160	rna3675, rna3176	rna2142
OG0000161	rna3177, rna3674	rna2143
OG0000162	rna255	rna2207
OG0000163	rna1725, rna2018	rna2269
OG0000164	rna5630	rna2341
OG0000164	rna5963	rna2342
OG0000165	rna5642	rna2357
OG0000166	rna4167	rna2453
OG0000167	rna1197, rna6055	rna2577
OG0000168	rna5523, rna5047	rna5095
OG0000169	rna64, rna5433	rna2699
OG0000170	rna2317, rna6206	rna2737
OG0000171	rna2345, rna6238	rna2770
OG0000172	rna3957	rna2778
OG0000173	rna3959	rna2780
OG0000174	rna1095, rna3962	rna2785
OG0000175	rna4093, rna1145	rna2875
OG0000176	rna850	rna2988
OG0000177	rna2351, rna6244	rna3101
OG0000178	rna4246, rna882	rna3160
OG0000179	rna5276, rna1816	rna3257
OG0000180	rna195, rna5227, rna2817, rna3043	rna3405
OG0000181	rna837, rna2060	rna3594
OG0000182	rna1279, rna2663	rna3687
OG0000183	rna5328, rna361	rna3731
OG0000184	rna5900, rna2122	rna3792
OG0000185	rna1682, rna1599	rna3817
OG0000186	rna1692, rna150	rna3837
OG0000187	rna1694, rna146	rna3841
OG0000188	rna1708	rna3865
OG0000189	rna2688, rna1305	rna3898
OG0000190	rna860, rna4627	rna3911
OG0000191	rna5988, rna393	rna4029
OG0000192	rna5987	rna4032
OG0000193	rna3194	rna4131
OG0000194	rna1425, rna5436	rna4168
OG0000195	rna3686, rna3153	rna4177
OG0000196	rna2100, rna466	rna4352
OG0000197	rna2292, rna6186	rna4417
OG0000198	rna5731, rna4736	rna4439
OG0000199	rna1047, rna1784	rna4589
OG0000200	rna3162, rna3685	rna4680
OG0000201	rna2399, rna5789	rna4727
OG0000202	rna48	rna4756
OG0000203	rna5457, rna1221	rna4766
OG0000204	rna1526, rna3314	rna4798
OG0000205	rna1533, rna3311	rna4806
OG0000206	rna4603, rna3857	rna4838
OG0000207	rna1055, rna3911	rna4893
OG0000208	rna1059, rna3917	rna4903
OG0000209	rna516, rna3920	rna4911
OG0000210	rna3924	rna4921
OG0000211	rna5587, rna4127	rna4954
OG0000212	rna4116, rna5585	rna4966
OG0000213	rna5034	rna5116
OG0000214	rna5342, rna906	rna5150
OG0000215	rna4520	rna5240
OG0000222	rna605, rna5162	rna7, rna3464
OG0000223	rna1807, rna4826, rna4574	rna11
OG0000224	rna1621, rna1981	rna57
OG0000225	rna2259, rna4214	rna117
OG0000226	rna4086, rna1161	rna179
OG0000227	rna2382, rna2155	rna202
OG0000228	rna2467, rna2747	rna237
OG0000229	rna2746, rna2466	rna239
OG0000230	rna2675, rna1293	rna308
OG0000231	rna2203, rna72	rna385
OG0000232	rna2759, rna2478	rna400
OG0000233	rna4438, rna1402	rna592
OG0000234	rna1404, rna4437	rna594
OG0000235	rna2070, rna5873	rna611
OG0000236	rna4274, rna3467	rna636
OG0000237	rna875, rna4258	rna659
OG0000238	rna2785, rna2786	rna695
OG0000239	rna3397, rna4376	rna713
OG0000240	rna4310, rna4384	rna727
OG0000241	rna4208, rna2247	rna767
OG0000242	rna339, rna6161	rna925
OG0000243	rna328	rna944
OG0000244	rna6260	rna991
OG0000245	rna2338, rna6234	rna1003
OG0000246	rna2332, rna6226	rna1012
OG0000247	rna3519, rna4596	rna1073
OG0000248	rna4590, rna3522	rna1079
OG0000249	rna2265, rna4215	rna1110
OG0000250	rna561, rna1462	rna1239
OG0000251	rna3181	rna2152
OG0000252	rna2739, rna4903	rna1304
OG0000253	rna2143, rna439	rna1434
OG0000254	rna1651, rna2938	rna1546
OG0000255	rna5916, rna5670	rna1613
OG0000256	rna1247, rna2609	rna1639
OG0000257	rna4633	rna1663
OG0000258	rna204, rna2183	rna1696
OG0000259	rna5058, rna5508	rna1788
OG0000260	rna1349, rna5431	rna1919
OG0000261	rna1041, rna1775	rna1972
OG0000262	rna4184, rna2214	rna1988
OG0000263	rna2208, rna4179	rna1996
OG0000264	rna3769, rna5818	rna2112
OG0000265	rna4769, rna4349	rna2118
OG0000266	rna4765, rna4352	rna2127
OG0000267	rna5889, rna2133	rna2189
OG0000268	rna3908, rna1818	rna2301
OG0000269	rna5643, rna5956	rna2358
OG0000270	rna4980, rna2730	rna2403
OG0000271	rna1937, rna1951	rna2552
OG0000272	rna5853, rna4673	rna2624
OG0000273	rna2763, rna1569	rna2676
OG0000274	rna6207, rna2318	rna2738
OG0000275	rna4025, rna1123	rna2845
OG0000276	rna1132, rna4029	rna2856
OG0000277	rna723, rna4949	rna2885
OG0000278	rna2531, rna3784	rna2953
OG0000279	rna1342, rna5548	rna3063
OG0000280	rna107, rna6124	rna3219
OG0000281	rna126, rna1713	rna3242
OG0000282	rna1014	rna3394
OG0000283	rna4600, rna3511	rna3475
OG0000284	rna801	rna4269, rna3561
OG0000285	rna2462, rna2743	rna3625
OG0000286	rna941, rna217	rna3703
OG0000287	rna928, rna232	rna3724
OG0000288	rna3634, rna3032	rna3734
OG0000289	rna5903, rna2120	rna3788
OG0000290	rna158, rna1683	rna3822
OG0000291	rna1695, rna145	rna3842
OG0000292	rna1701, rna135	rna3853
OG0000293	rna1309, rna2690	rna3892
OG0000294	rna1303, rna2685	rna3901
OG0000295	rna1538, rna3310	rna3924
OG0000296	rna403, rna6006	rna4004
OG0000297	rna6001	rna4009
OG0000298	rna9, rna5787	rna4072
OG0000299	rna494, rna3201	rna4116
OG0000300	rna370, rna5320	rna4171
OG0000301	rna2873, rna5094	rna4203
OG0000302	rna2881	rna4215
OG0000303	rna5107, rna2885	rna4220
OG0000304	rna2859, rna5084	rna4256
OG0000305	rna807, rna756	rna4280
OG0000306	rna762, rna811	rna4288
OG0000307	rna2913, rna774	rna4310
OG0000308	rna4688, rna5837	rna4338
OG0000309	rna895, rna4233	rna4363
OG0000310	rna4634, rna856	rna4370
OG0000311	rna5365, rna54	rna4388
OG0000312	rna5367, rna56	rna4392
OG0000313	rna1414, rna2576	rna4498
OG0000314	rna4745, rna3732	rna4587
OG0000315	rna1011, rna1741	rna4615
OG0000316	rna3161, rna3684	rna4679
OG0000317	rna902	rna4704
OG0000318	rna3817, rna3847	rna4746
OG0000319	rna5465, rna1225	rna4760
OG0000320	rna5478, rna3731	rna4786
OG0000321	rna3858, rna4604	rna4837
OG0000322	rna4602, rna5151	rna4839
OG0000323	rna3691, rna3146	rna5006
OG0000324	rna1889, rna4114	rna5077
OG0000325	rna3030, rna5037	rna5112
OG0000326	rna2548, rna3614	rna5182
OG0000327	rna3577, rna4533	rna5229
OG0000328	rna3584, rna4525	rna5237
OG0000329	rna2947, rna1641	rna5276
OG0000330	rna4995, rna2714	rna5293
OG0000334	rna3751, rna2840	rna23
OG0000335	rna6100, rna2043	rna134
OG0000336	rna2225, rna4187	rna138
OG0000337	rna3119, rna3713	rna247
OG0000338	rna3117, rna3716	rna250
OG0000339	rna5287	rna318
OG0000342	rna1464	rna1235
OG0000343	rna3393	rna2784, rna722
OG0000344	rna4225, rna3070	rna855, rna870
OG0000345	rna6213	rna947
OG0000346	rna5711, rna4724	rna1100
OG0000347	rna3453, rna3328	rna1135
OG0000348	rna531, rna642, rna692	rna1199
OG0000349	rna533	rna1201
OG0000350	rna1480, rna547	rna1218
OG0000351	rna3063, rna640	rna1335
OG0000352	rna919, rna5352	rna1362
OG0000353	rna5301, rna4878	rna1723
OG0000354	rna5053, rna5517	rna1778
OG0000355	rna4804	rna1807
OG0000357	rna5863, rna4666	rna1897
OG0000358	rna4163, rna4165	rna1949
OG0000359	rna2212, rna4182	rna1990
OG0000360	rna3421	rna2176
OG0000361	rna3220, rna3505	rna2240
OG0000362	rna584, rna5155	rna2265
OG0000363	rna2711	rna3956
OG0000364	rna3281, rna2420	rna3024
OG0000365	rna2350, rna6242	rna3103
OG0000366	rna3370, rna172	rna3179
OG0000367	rna4360, rna4755	rna3437
OG0000368	rna6071, rna1864	rna3474
OG0000369	rna2736, rna2454	rna3636
OG0000370	rna5450, rna1215	rna3678
OG0000372	rna221, rna943	rna3711
OG0000373	rna2115, rna5905	rna3783
OG0000374	rna1684, rna156	rna3824
OG0000375	rna1697, rna144	rna3844
OG0000376	rna1543, rna3307	rna3929
OG0000377	rna1551	rna3948
OG0000378	rna5783, rna14	rna4063
OG0000379	rna5974, rna5621	rna4093
OG0000380	rna5096, rna2876	rna4207
OG0000381	rna268, rna965	rna4245
OG0000382	rna770, rna820	rna4301
OG0000383	rna4697, rna5175	rna4319
OG0000384	rna4734, rna5728	rna4436
OG0000385	rna462, rna2095	rna4514
OG0000386	rna1080, rna3938	rna4943
OG0000387	rna5525, rna5044	rna5099
OG0000388	rna2697, rna5038	rna5111
OG0000389	rna5716, rna4728	rna5158
OG0000390	rna6044, rna3568	rna5210
OG0000391	rna4516, rna3588	rna5242
OG0000392	rna4996, rna2715	rna5292
OG0000396	rna2472, rna2748	rna232
OG0000397	rna2481, rna2769	rna407
OG0000398	rna1560, rna626	rna500
OG0000399	rna3554	rna799
OG0000400	rna6166, rna343	rna916
OG0000401	rna378	rna956
OG0000402	rna5255	rna1195, rna2924
OG0000403	rna2918, rna1675	rna1594
OG0000404	rna4802, rna2501	rna1805
OG0000405	rna1260, rna2646	rna1829
OG0000406	rna5861	rna1895
OG0000407	rna785, rna4062	rna1929
OG0000408	rna1043, rna1780	rna1978
OG0000409	rna3775	rna4059, rna2016
OG0000410	rna3438	rna2031
OG0000411	rna707, rna3427	rna2287
OG0000412	rna732	rna2423
OG0000413	rna4925	rna2916
OG0000414	rna1346	rna3067
OG0000415	rna167	rna3185
OG0000416	rna3034, rna3035	rna3294
OG0000417	rna6113	rna3537, rna3536
OG0000418	rna984, rna982, rna983	rna3583, rna4974
OG0000419	rna4569	rna3749
OG0000420	rna949, rna238	rna4423
OG0000421	rna4080, rna1168	rna4638
OG0000422	rna5470, rna3728	rna4777
OG0000423	rna729, rna4961	rna4985
OG0000427	rna695	rna71
OG0000428	rna5603	rna195, rna1412
OG0000429	rna3939	rna4944
OG0000430	rna5158	rna380
OG0000431	rna2826	rna456
OG0000432	rna2790	rna681
OG0000433	rna3394, rna4378	rna719
OG0000434	rna4298	rna754
OG0000435	rna3491, rna3490	rna844, rna845
OG0000436	rna329	rna943
OG0000437	rna4725	rna1097
OG0000438	rna3441	rna1163
OG0000439	rna4142	rna1391
OG0000440	rna1858	rna1418
OG0000441	rna510	rna1599
OG0000442	rna299, rna998	rna1823
OG0000443	rna1770	rna1966
OG0000444	rna4812	rna2027
OG0000445	rna2136	rna2184
OG0000446	rna1897	rna2249
OG0000447	rna4966	rna2421
OG0000448	rna2619	rna2426
OG0000449	rna4329	rna2494
OG0000450	rna3390	rna2513
OG0000451	rna4677	rna2612
OG0000452	rna2996	rna2652
OG0000453	rna6201, rna2305	rna2717
OG0000454	rna3022	rna2730, rna3745
OG0000455	rna3015	rna2974
OG0000456	rna1341	rna3059, rna3060
OG0000457	rna2956	rna3121
OG0000458	rna168	rna3176
OG0000459	rna122	rna3238
OG0000460	rna179	rna3484
OG0000461	rna6112	rna3535
OG0000462	rna864	rna3917
OG0000463	rna2883	rna4217
OG0000465	rna2009	rna4531
OG0000466	rna996	rna4570
OG0000467	rna4103	rna4591
OG0000468	rna981	rna4868
OG0000469	rna2679	rna5035
OG0000470	rna1846	rna5173
OG0000471	rna4521	rna5239
OG0000476	rna3037	rna8
OG0000477	rna1988	rna67
OG0000478	rna1367	rna90
OG0000479	rna1747	rna131
OG0000480	rna19	rna147
OG0000481	rna5737	rna176
OG0000482	rna1162	rna178
OG0000483	rna4148	rna190, rna1406
OG0000484	rna4153	rna194, rna1411
OG0000486	rna2195	rna212
OG0000487	rna2468	rna236
OG0000488	rna3715	rna249
OG0000489	rna629	rna272
OG0000490	rna3088	rna288
OG0000491	rna1290	rna304
OG0000492	rna5490	rna346
OG0000493	rna3738	rna348
OG0000494	rna2591	rna369
OG0000495	rna2202	rna387
OG0000496	rna2190	rna397
OG0000497	rna2492	rna429
OG0000498	rna2795	rna448
OG0000499	rna607	rna482
OG0000500	rna3272	rna519
OG0000501	rna1381	rna558
OG0000502	rna4456	rna560
OG0000503	rna4453	rna563
OG0000504	rna4447	rna574
OG0000505	rna4433	rna600
OG0000506	rna1407	rna601
OG0000507	rna4265	rna648
OG0000508	rna872	rna653
OG0000509	rna4260	rna656
OG0000510	rna3411	rna685
OG0000511	rna4395	rna744
OG0000512	rna4396	rna745
OG0000513	rna4291	rna764
OG0000514	rna3555	rna800
OG0000515	rna3556	rna801
OG0000516	rna1906	rna811
OG0000517	rna3770, rna5817	rna817
OG0000518	rna260	rna819
OG0000519	rna5802, rna5812	rna829
OG0000520	rna250	rna833
OG0000521	rna3093	rna4044, rna838
OG0000522	rna3094	rna840
OG0000523	rna2270	rna877
OG0000524	rna5706	rna884
OG0000525	rna338	rna928
OG0000526	rna332	rna938
OG0000527	rna6153	rna941
OG0000528	rna6033	rna946
OG0000529	rna3029	rna993
OG0000530	rna6151	rna1033
OG0000531	rna6141	rna1057
OG0000532	rna311	rna1067
OG0000533	rna4589	rna1080
OG0000534	rna5712	rna1099
OG0000535	rna3653	rna1117
OG0000536	rna3561	rna1128
OG0000537	rna554	rna1230
OG0000538	rna570	rna1251
OG0000539	rna4890	rna1285
OG0000540	rna3055	rna1325
OG0000541	rna3064	rna1336
OG0000542	rna637	rna1339
OG0000543	rna636	rna1340
OG0000544	rna920	rna1363
OG0000545	rna923	rna1374
OG0000546	rna4154	rna1413
OG0000547	rna5412	rna1455
OG0000548	rna1357	rna1478
OG0000549	rna5188	rna1563
OG0000550	rna5185	rna1568
OG0000551	rna663	rna1571
OG0000552	rna657	rna1579
OG0000553	rna656	rna1580
OG0000554	rna5667	rna1618
OG0000555	rna1240	rna1651
OG0000556	rna3231	rna1668
OG0000557	rna364	rna1680
OG0000558	rna3602	rna1743
OG0000559	rna3599	rna1746
OG0000560	rna4502	rna1754
OG0000561	rna5283	rna1757
OG0000562	rna28	rna1763
OG0000563	rna5515	rna1781
OG0000564	rna5509	rna1787
OG0000565	rna2289	rna1874
OG0000566	rna6180	rna1877
OG0000567	rna798	rna1910
OG0000569	rna4063	rna1926
OG0000570	rna4166	rna1948
OG0000571	rna4180	rna1995
OG0000572	rna2207	rna1998
OG0000573	rna1511	rna2084
OG0000574	rna5422	rna2096
OG0000575	rna4767	rna2116
OG0000576	rna2213	rna2133
OG0000577	rna3178	rna2145
OG0000578	rna5703	rna2153
OG0000579	rna4279	rna2180
OG0000580	rna243	rna2206
OG0000581	rna5152	rna2256
OG0000582	rna1834	rna2271
OG0000583	rna1862	rna3473
OG0000584	rna3904	rna2293
OG0000585	rna1819	rna2299
OG0000586	rna5626	rna2335
OG0000587	rna5961	rna2347
OG0000588	rna5960	rna2350
OG0000589	rna1859	rna2374
OG0000590	rna5010	rna2384, rna2385
OG0000591	rna733	rna2419
OG0000592	rna5593	rna2450
OG0000593	rna2418	rna2467
OG0000594	rna3386	rna2517
OG0000595	rna3383	rna2522
OG0000596	rna780	rna2596
OG0000597	rna4059	rna2600
OG0000598	rna1297	rna2642
OG0000599	rna3000	rna2645
OG0000600	rna2995	rna2663
OG0000601	rna2302	rna2712
OG0000602	rna3956	rna2777
OG0000603	rna1094	rna2783
OG0000604	rna3970	rna2804
OG0000605	rna1111	rna2815
OG0000606	rna3980	rna2818
OG0000607	rna1113	rna2819
OG0000608	rna719	rna2893
OG0000609	rna717	rna2898
OG0000610	rna4933	rna2909
OG0000611	rna4930	rna2912
OG0000612	rna3788	rna2959
OG0000613	rna1757	rna2969
OG0000614	rna3368	rna2977
OG0000615	rna892	rna2983
OG0000616	rna5260	rna3012
OG0000617	rna1334, rna5541	rna3045
OG0000618	rna1921	rna3115
OG0000619	rna6276	rna3149
OG0000620	rna887	rna3173
OG0000621	rna3378	rna3192
OG0000622	rna162	rna3194
OG0000623	rna3356	rna3200
OG0000624	rna108	rna3220
OG0000625	rna119	rna3233
OG0000626	rna120	rna3235
OG0000627	rna3607	rna3278
OG0000628	rna5136	rna3304
OG0000629	rna5131	rna3324
OG0000630	rna827	rna3329
OG0000631	rna1019	rna3388
OG0000632	rna1744	rna3398
OG0000633	rna4759	rna3431, rna3432
OG0000634	rna2604	rna3446
OG0000635	rna2599	rna3451
OG0000636	rna2651	rna3505
OG0000637	rna6042	rna3508
OG0000638	rna3746	rna3521
OG0000639	rna6093	rna3563
OG0000640	rna1874	rna3567
OG0000641	rna1872	rna3569
OG0000642	rna4818	rna3581
OG0000643	rna3703	rna3604
OG0000644	rna2738	rna3630
OG0000645	rna3436	rna4495, rna3658
OG0000646	rna5826	rna3659
OG0000647	rna3875	rna3661
OG0000648	rna1217	rna3675
OG0000649	rna5447	rna3680
OG0000650	rna222	rna3713
OG0000651	rna5910	rna3771
OG0000652	rna5907	rna3781
OG0000653	rna160	rna3818
OG0000654	rna1696	rna3843
OG0000656	rna5268	rna3871
OG0000657	rna419	rna3980
OG0000658	rna407	rna3994
OG0000659	rna5781	rna4062
OG0000660	rna5785	rna4065
OG0000661	rna5982	rna4077
OG0000662	rna5617	rna4086
OG0000663	rna3215	rna4145
OG0000664	rna369	rna4170
OG0000665	rna2506	rna4187
OG0000666	rna3362	rna4195
OG0000667	rna473	rna4341
OG0000668	rna469	rna4348
OG0000669	rna5370	rna4398
OG0000670	rna5371	rna4399
OG0000671	rna237	rna4424
OG0000672	rna903	rna4426
OG0000673	rna3888	rna4448
OG0000674	rna2017	rna4452
OG0000675	rna2160	rna4467
OG0000676	rna1607	rna4491
OG0000677	rna1049	rna4583
OG0000678	rna3168	rna4686, rna4685
OG0000679	rna2406	rna4734
OG0000680	rna5461	rna4763
OG0000681	rna5473	rna4780
OG0000682	rna5479	rna4787
OG0000683	rna5484	rna4793
OG0000684	rna3735	rna4794
OG0000685	rna3797	rna4858
OG0000686	rna1056	rna4894
OG0000687	rna1075	rna4929
OG0000688	rna1081	rna4947
OG0000689	rna5590	rna4950
OG0000690	rna2222	rna4968
OG0000691	rna2681	rna5032
OG0000692	rna2045	rna5072
OG0000693	rna5762	rna5090
OG0000694	rna5032	rna5118
OG0000695	rna5030	rna5123
OG0000696	rna3616	rna5189
OG0000697	rna3620	rna5192
OG0000698	rna3567	rna5209
OG0000699	rna2944	rna5273
OG0000700	rna2961	rna5283, rna5284
OG0000701	rna2965	rna5288
OG0000702	rna2716	rna5291
OG0000711	rna2358	rna5
OG0000712	rna3186	rna9
OG0000713	rna2834	rna14
OG0000714	rna2836	rna16
OG0000715	rna1960	rna27
OG0000716	rna1932	rna28
OG0000717	rna1961	rna29
OG0000718	rna1962	rna30
OG0000719	rna1963	rna31
OG0000720	rna1964	rna32
OG0000721	rna1965	rna34
OG0000722	rna1966	rna35
OG0000723	rna1967	rna36
OG0000724	rna1968	rna38
OG0000725	rna1970	rna39
OG0000726	rna1928	rna41
OG0000727	rna1971	rna42
OG0000728	rna1973	rna44
OG0000729	rna1927	rna45
OG0000730	rna1925	rna47
OG0000731	rna1924	rna48
OG0000732	rna1626	rna50
OG0000733	rna1977	rna51
OG0000734	rna1625	rna54
OG0000735	rna1982	rna59
OG0000736	rna1617	rna61
OG0000737	rna1985	rna64
OG0000738	rna1987	rna66
OG0000739	rna1991	rna70
OG0000740	rna4457	rna72
OG0000741	rna4459	rna73
OG0000742	rna1373	rna77
OG0000743	rna1517	rna80
OG0000744	rna1518	rna81
OG0000745	rna1371	rna82
OG0000746	rna1520	rna85
OG0000747	rna1368	rna89
OG0000748	rna1366	rna93
OG0000749	rna1364	rna95
OG0000750	rna5572	rna96
OG0000751	rna1363	rna97
OG0000752	rna5575	rna100
OG0000753	rna5570	rna102
OG0000754	rna4209	rna106
OG0000755	rna2252	rna110
OG0000756	rna2253	rna111
OG0000757	rna4212	rna113
OG0000758	rna2255	rna114
OG0000759	rna4213	rna116
OG0000760	rna2263	rna120
OG0000761	rna6097	rna129
OG0000762	rna6099	rna132
OG0000763	rna2037	rna136
OG0000764	rna2039	rna137
OG0000765	rna750	rna141
OG0000766	rna749	rna142
OG0000767	rna20	rna151
OG0000768	rna5775	rna154
OG0000769	rna22	rna155
OG0000770	rna23	rna156
OG0000771	rna24	rna157
OG0000772	rna5773	rna159
OG0000773	rna25	rna160
OG0000774	rna5772	rna161
OG0000775	rna5284	rna163
OG0000776	rna5738	rna171
OG0000777	rna44	rna172
OG0000778	rna46	rna173
OG0000779	rna1160	rna180
OG0000780	rna4087	rna181
OG0000781	rna1159	rna182
OG0000782	rna4147	rna189
OG0000783	rna4151	rna193, rna1410
OG0000784	rna2359	rna199
OG0000785	rna2157	rna204
OG0000786	rna2184	rna205
OG0000787	rna2185	rna206
OG0000788	rna2186	rna207
OG0000789	rna2187	rna208
