Orthogroup	s_cerevisiae_proteins	s_mikatae_proteins
OG0000024	rna2510	Smik_16.20
OG0000025	rna3208	Smik_10.189
OG0000026	rna4803	Smik_13.523
OG0000027	rna3099	Smik_10.75
OG0000028	rna529, rna3762	Smik_11.368
OG0000028	rna6291	Smik_17.11
OG0000029	rna706, rna3428	Smik_3.10
OG0000029	rna521	Smik_16.14, Smik_5.14
OG0000029	rna2511	Smik_16.19
OG0000030	rna4473	Smik_13.166
OG0000031	rna1717	Smik_5.268
OG0000032	rna3874	Smik_12.106
OG0000032	rna3960	Smik_12.197
OG0000033	rna971	Smik_4.268
OG0000033	rna272	Smik_2.177
OG0000033	rna621	Smik_3.118
OG0000034	rna960	Smik_4.255
OG0000035	rna2765	Smik_8.263
OG0000036	rna5888	Smik_6.408
OG0000037	rna4893	Smik_14.68
OG0000038	rna1648	Smik_5.190
OG0000038	rna1649	Smik_5.191
OG0000039	rna878	Smik_4.169
OG0000040	rna3926	Smik_12.157
OG0000040	rna5749	Smik_15.515
OG0000041	rna5019	Smik_14.193
OG0000041	rna699, rna4320	Smik_12.559
OG0000043	rna226	Smik_2.130, Smik_14.299
OG0000044	rna5742	Smik_15.508
OG0000046	rna5487	Smik_5.64
OG0000046	rna5608	Smik_15.377
OG0000047	rna3760	Smik_11.367
OG0000048	rna6018	Smik_16.162
OG0000048	rna1631	Smik_5.172
OG0000049	rna225	Smik_2.129
OG0000049	rna5128	Smik_14.300
OG0000050	rna5086, rna2057	Smik_7.125, Smik_14.260
OG0000051	rna307	Smik_2.221
OG0000051	rna2427	Smik_16.102
OG0000052	rna2293	Smik_6.168
OG0000052	rna6086	Smik_16.232
OG0000053	rna214	Smik_2.118
OG0000053	rna1171	Smik_4.471
OG0000054	rna3888	Smik_12.120
OG0000054	rna488	Smik_2.407
OG0000055	rna196	Smik_2.101
OG0000055	rna2251	Smik_6.125
OG0000057	rna894	Smik_4.189
OG0000057	rna3083	Smik_10.56
OG0000059	rna2526	Smik_8.2
OG0000059	rna5884	Smik_6.413
OG0000060	rna2864	Smik_9.43
OG0000060	rna5705	Smik_15.471
OG0000061	rna5515	Smik_15.279
OG0000062	rna6209	Smik_16.370
OG0000062	rna5832	Smik_6.461
OG0000062	rna5353	Smik_15.104
OG0000063	rna5699	Smik_15.465
OG0000063	rna5700	Smik_15.466
OG0000064	rna709, rna3425, rna1809, rna4828	Smik_10.9, Smik_19.6, Smik_17.23, Smik_10.17
OG0000065	rna741	Smik_4.30
OG0000066	rna6090	Smik_16.236
OG0000067	rna3085	Smik_10.58
OG0000068	rna3772	Smik_12.3
OG0000069	rna5733	Smik_15.499
OG0000069	rna2985	Smik_9.190
OG0000069	rna4739	Smik_13.459
OG0000071	rna4928	Smik_14.103
OG0000071	rna4896	Smik_14.71
OG0000072	rna5414	Smik_15.168
OG0000073	rna3181	Smik_10.164, Smik_11.270
OG0000074	rna4537	Smik_13.237
OG0000074	rna1825	Smik_6.37
OG0000075	rna5646	Smik_15.414
OG0000076	rna4536	Smik_13.235
OG0000077	rna1170	Smik_4.470
OG0000077	rna215	Smik_2.119
OG0000078	rna598	Smik_3.84
OG0000079	rna6005	Smik_16.149
OG0000080	rna2871	Smik_9.50
OG0000081	rna2484	Smik_16.47
OG0000082	rna6060	Smik_16.204
OG0000082	rna380	Smik_2.300
OG0000084	rna2797	Smik_8.299
OG0000085	rna4654, rna4653	Smik_13.374, Smik_13.375
OG0000086	rna1816	Smik_6.26
OG0000086	rna5276	Smik_15.23
OG0000087	rna4817	Smik_13.535
OG0000087	rna701	Smik_26.4, Smik_3.204
OG0000089	rna3841	Smik_12.76
OG0000089	rna3008	Smik_9.213
OG0000090	rna1596	Smik_5.138
OG0000090	rna4568	Smik_13.273
OG0000093	rna3432	Smik_18.4
OG0000094	rna4575	Smik_13.280
OG0000094	rna1808, rna4827	Smik_17.22, Smik_19.5
OG0000095	rna1365	Smik_4.681
OG0000095	rna5571	Smik_15.336
OG0000096	rna6056	Smik_16.199
OG0000096	rna2196	Smik_7.282
OG0000097	rna4821, rna5804, rna5810	Smik_16.53, Smik_8.258
OG0000098	rna2860	Smik_9.39
OG0000098	rna3056	Smik_10.25
OG0000099	rna4712	Smik_13.430
OG0000099	rna5695	Smik_15.461
OG0000100	rna1483	Smik_4.814
OG0000101	rna239	Smik_2.140
OG0000101	rna3027	Smik_9.232
OG0000102	rna2711	Smik_8.210
OG0000103	rna1273	Smik_4.581
OG0000105	rna1047	Smik_4.343
OG0000105	rna1784	Smik_5.349
OG0000107	rna3424	Smik_6.3
OG0000107	rna703, rna5242	Smik_3.210
OG0000107	rna4829	Smik_14.1
OG0000110	rna1807, rna4826	Smik_19.4
OG0000110	rna4574	Smik_13.279
OG0000111	rna2003	Smik_7.69
OG0000112	rna4858	Smik_14.33
OG0000112	rna5290	Smik_15.37
OG0000113	rna4309	Smik_12.547
OG0000114	rna1187	Smik_4.489
OG0000115	rna3526	Smik_11.113
OG0000115	rna4583	Smik_13.290
OG0000117	rna4408	Smik_13.92
OG0000118	rna918	Smik_4.213
OG0000120	rna4167	Smik_12.394
OG0000121	rna1569	Smik_5.106
OG0000121	rna2763	Smik_8.261
OG0000122	rna850	Smik_4.140
OG0000122	rna851	Smik_4.142
OG0000124	rna1279	Smik_4.587
OG0000124	rna2663	Smik_8.158
OG0000125	rna1793	Smik_25.1, Smik_26.7
OG0000126	rna5084	Smik_14.258
OG0000126	rna2859	Smik_9.38
OG0000127	rna4745	Smik_13.464
OG0000127	rna3732	Smik_11.339
OG0000128	rna2399	Smik_6.291
OG0000128	rna5789	Smik_15.559
OG0000129	rna516	Smik_2.435
OG0000129	rna3920	Smik_12.151
OG0000130	rna4958	Smik_14.133
OG0000131	rna4519	Smik_13.213
OG0000131	rna4520	Smik_13.214
OG0000132	rna1946, rna5799	Smik_39.2, Smik_7.3
OG0000136	rna2467	Smik_16.64
OG0000136	rna2747	Smik_8.246
OG0000137	rna209	Smik_2.115
OG0000138	rna1608	Smik_5.150
OG0000139	rna2786	Smik_8.288
OG0000139	rna2785	Smik_8.287
OG0000141	rna2810	Smik_12.528
OG0000143	rna328	Smik_2.245
OG0000143	rna2275	Smik_6.149
OG0000144	rna6260	Smik_16.424
OG0000147	rna1451	Smik_4.779
OG0000148	rna4042	Smik_12.244
OG0000149	rna2739	Smik_8.239
OG0000149	rna4903	Smik_14.78
OG0000152	rna4633	Smik_13.349
OG0000153	rna3776	Smik_12.6
OG0000153	rna702	Smik_3.209
OG0000154	rna5431	Smik_15.190
OG0000154	rna1349	Smik_4.665
OG0000160	rna5818	Smik_6.484
OG0000160	rna3769	Smik_12.1
OG0000161	rna5231	Smik_13.488, Smik_13.23
OG0000163	rna3421	Smik_10.11, Smik_19.10
OG0000165	rna1823	Smik_6.33
OG0000165	rna3901	Smik_12.132
OG0000166	rna5630	Smik_15.399
OG0000168	rna1656	Smik_5.200
OG0000168	rna1859	Smik_6.70
OG0000169	rna2720	Smik_8.219
OG0000172	rna4025	Smik_12.226
OG0000172	rna1123	Smik_4.426
OG0000173	rna1341	Smik_4.654
OG0000177	rna801	Smik_4.91
OG0000178	rna2060	Smik_7.128
OG0000180	rna2743	Smik_8.242
OG0000180	rna2462	Smik_16.68
OG0000182	rna2115	Smik_7.194
OG0000182	rna5905	Smik_6.392
OG0000183	rna1683	Smik_5.228
OG0000183	rna158	Smik_2.62
OG0000186	rna6001	Smik_16.145
OG0000191	rna5151	Smik_14.320
OG0000191	rna4602	Smik_13.314
OG0000192	rna3030	Smik_9.235
OG0000192	rna5037	Smik_14.210
OG0000194	rna224	Smik_2.128
OG0000195	rna1947	Smik_7.4
OG0000195	rna5221	Smik_14.393
OG0000196	rna1994	Smik_7.54
OG0000196	rna1609	Smik_5.151
OG0000197	rna5797	Smik_15.563
OG0000197	rna4814	Smik_13.533
OG0000198	rna3050	Smik_10.18
OG0000206	rna1293	Smik_4.604
OG0000207	rna5287	Smik_15.34
OG0000213	rna5220	Smik_14.392
OG0000216	rna3393	Smik_10.419
OG0000219	rna3554	Smik_11.143
OG0000224	rna6213	Smik_16.374
OG0000227	rna4596	Smik_13.304
OG0000230	rna692, rna642, rna531	Smik_3.142
OG0000231	rna533	Smik_3.12
OG0000250	rna4804	Smik_13.524
OG0000255	rna3775	Smik_12.5
OG0000261	rna1951	Smik_7.8
OG0000273	rna3034	Smik_9.239
OG0000273	rna3035	Smik_9.240
OG0000288	rna468	Smik_2.387
OG0000296	rna902	Smik_4.197
OG0000303	rna981	Smik_2.193
OG0000312	rna6044	Smik_16.188
OG0000331	rna378	Smik_2.298, Smik_21.8
OG0000334	rna6151	Smik_16.306
OG0000335	rna2606	Smik_8.97
OG0000338	rna5255	Smik_15.1
OG0000345	rna5861	Smik_6.436
OG0000348	rna3438	Smik_11.8
OG0000351	rna832	Smik_4.122
OG0000353	rna3505	Smik_11.89
OG0000355	rna707, rna3427	Smik_48.1
OG0000360	rna732	Smik_4.21
OG0000364	rna2995	Smik_9.200
OG0000368	rna4925	Smik_14.100
OG0000374	rna5447	Smik_15.210
OG0000375	rna6113	Smik_16.263
OG0000376	rna982, rna983, rna984	Smik_4.277
OG0000381	rna4569	Smik_13.274
OG0000388	rna864	Smik_4.155
OG0000396	rna5096	Smik_14.270
OG0000400	rna4697	Smik_13.415
OG0000415	rna4728	Smik_13.445
OG0000422	rna4336	Smik_13.11
OG0000423	rna4748	Smik_13.467
OG0000423	rna5827	Smik_6.472
OG0000424	rna3512	Smik_11.96
OG0000425	rna5426	Smik_15.183
OG0000425	rna1588	Smik_15.184, Smik_5.126
OG0000427	rna695	Smik_3.200
OG0000430	rna5603	Smik_15.372
OG0000431	rna3939	Smik_12.169
OG0000432	rna2826	Smik_9.6
OG0000435	rna2790	Smik_8.292
OG0000436	rna4298	Smik_12.534
OG0000437	rna3770	Smik_12.2
OG0000437	rna5817	Smik_6.483
OG0000439	rna337	Smik_2.255
OG0000440	rna4725	Smik_13.442
OG0000443	rna4917	Smik_14.92
OG0000445	rna1471	Smik_4.803
OG0000449	rna4142	Smik_12.363
OG0000450	rna1858	Smik_6.69
OG0000451	rna510	Smik_2.429
OG0000456	rna360	Smik_2.279
OG0000457	rna4812	Smik_13.532
OG0000458	rna1897	Smik_7.332
OG0000460	rna4966	Smik_14.141
OG0000461	rna4329	Smik_13.4
OG0000462	rna3390	Smik_10.416
OG0000464	rna6201	Smik_16.358
OG0000464	rna2305	Smik_6.183
OG0000465	rna3022	Smik_9.227
OG0000468	rna168	Smik_2.72
OG0000470	rna108	Smik_2.13
OG0000471	rna122	Smik_2.27
OG0000474	rna179	Smik_2.83
OG0000485	rna268	Smik_2.173
OG0000487	rna52	Smik_1.48
OG0000489	rna2160	Smik_7.239
OG0000491	rna2009	Smik_7.76
OG0000492	rna996	Smik_4.289
OG0000493	rna4103	Smik_12.320
OG0000494	rna2669	Smik_8.164
OG0000496	rna5470	Smik_15.231
OG0000500	rna4521	Smik_13.215
OG0000503	rna1503	Smik_5.21
OG0000503	rna6288	Smik_16.457
OG0000505	rna3037	Smik_9.242
OG0000508	rna1988	Smik_7.48
OG0000509	rna1369	Smik_4.685
OG0000510	rna1367	Smik_4.683
OG0000511	rna1747	Smik_5.310
OG0000512	rna19	Smik_1.14
OG0000513	rna1427	Smik_4.754
OG0000514	rna5737	Smik_15.503
OG0000516	rna4148	Smik_12.369
OG0000517	rna4153	Smik_12.375
OG0000519	rna2195	Smik_7.281
OG0000520	rna2476	Smik_16.55
OG0000522	rna2468	Smik_16.63
OG0000524	rna3715	Smik_11.322
OG0000525	rna629	Smik_3.131
OG0000526	rna1290	Smik_4.598
OG0000527	rna5490	Smik_15.251
OG0000528	rna3738	Smik_11.345
OG0000529	rna2591	Smik_8.83
OG0000530	rna2202	Smik_7.287
OG0000531	rna2190	Smik_7.276
OG0000533	rna2795	Smik_8.297
OG0000534	rna607	Smik_3.98
OG0000536	rna2414	Smik_16.115
OG0000537	rna3272	Smik_10.286
OG0000538	rna1992	Smik_7.52
OG0000539	rna1381	Smik_4.701
OG0000540	rna4453	Smik_13.139
OG0000541	rna4445	Smik_13.131, Smik_4.713
OG0000542	rna4433	Smik_13.119
OG0000543	rna4265	Smik_12.493
OG0000544	rna872	Smik_4.162
OG0000545	rna4260	Smik_12.489
OG0000546	rna2793	Smik_8.295
OG0000547	rna3411	Smik_10.437
OG0000548	rna4396	Smik_13.80
OG0000549	rna4291	Smik_12.526
OG0000550	rna4204	Smik_12.434
OG0000551	rna4197	Smik_12.427
OG0000552	rna3555	Smik_11.145
OG0000553	rna3556	Smik_11.146
OG0000555	rna1906	Smik_7.342
OG0000556	rna5802, rna5812	Smik_4.248
OG0000557	rna3093	Smik_10.67
OG0000558	rna3103	Smik_10.80
OG0000559	rna2270	Smik_6.144
OG0000560	rna347	Smik_2.265
OG0000562	rna332	Smik_2.249
OG0000563	rna6153	Smik_16.308
OG0000564	rna329	Smik_2.246
OG0000565	rna6033	Smik_16.178
OG0000566	rna3777	Smik_12.7
OG0000566	rna6287	Smik_16.456
OG0000567	rna474	Smik_2.393
OG0000568	rna3029	Smik_9.234
OG0000569	rna311	Smik_2.227
OG0000570	rna4589	Smik_13.297
OG0000571	rna5712	Smik_15.477
OG0000572	rna3653	Smik_11.252
OG0000573	rna2562	Smik_8.42
OG0000574	rna3561	Smik_11.151
OG0000575	rna3441	Smik_11.11
OG0000576	rna570	Smik_3.51
OG0000578	rna4890	Smik_14.66
OG0000579	rna3363	Smik_10.385
OG0000580	rna3055	Smik_10.24
OG0000581	rna3064	Smik_10.37
OG0000582	rna636	Smik_3.136
OG0000583	rna912	Smik_4.207
OG0000584	rna920	Smik_4.215
OG0000585	rna923	Smik_4.218
OG0000586	rna4154	Smik_12.376
OG0000587	rna5607	Smik_15.376
OG0000588	rna1357	Smik_4.673
OG0000589	rna1654	Smik_5.196
OG0000590	rna5188	Smik_14.359
OG0000591	rna5185	Smik_14.356
OG0000592	rna663	Smik_3.166
OG0000594	rna5667	Smik_15.436
OG0000595	rna3842	Smik_12.77
OG0000596	rna3231	Smik_10.236
OG0000597	rna364	Smik_2.283
OG0000598	rna3602	Smik_11.197
OG0000599	rna3599	Smik_11.194
OG0000600	rna4502	Smik_13.196
OG0000601	rna5283	Smik_15.30
OG0000602	rna28	Smik_1.23
OG0000604	rna2289	Smik_6.164
OG0000605	rna6180	Smik_16.335
OG0000606	rna798	Smik_4.88
OG0000607	rna4063	Smik_12.265
OG0000608	rna1724	Smik_5.276
OG0000609	rna4166	Smik_12.393
OG0000610	rna1770	Smik_5.336
OG0000612	rna2207	Smik_7.292
OG0000613	rna1513	Smik_5.31
OG0000614	rna1511	Smik_5.29
OG0000615	rna5422	Smik_15.176
OG0000616	rna2213	Smik_7.298
OG0000617	rna5703	Smik_15.469
OG0000618	rna2136	Smik_7.213
OG0000619	rna5887	Smik_6.409
OG0000620	rna243	Smik_2.144
OG0000621	rna5152	Smik_14.321
OG0000622	rna3904	Smik_12.135
OG0000623	rna1820	Smik_6.30
OG0000624	rna5626	Smik_15.395
OG0000625	rna5961	Smik_6.330
OG0000626	rna5960	Smik_6.331
OG0000627	rna5010	Smik_14.185
OG0000628	rna733	Smik_4.22
OG0000629	rna2619	Smik_8.111
OG0000630	rna2418	Smik_16.111
OG0000631	rna3383	Smik_10.409
OG0000632	rna780	Smik_4.70
OG0000633	rna4059	Smik_12.261
OG0000634	rna4677	Smik_13.395
OG0000635	rna1297	Smik_4.610
OG0000636	rna3000	Smik_9.205
OG0000637	rna1586	Smik_5.124
OG0000638	rna2996	Smik_9.201
OG0000639	rna3956	Smik_12.193
OG0000640	rna1094	Smik_4.394
OG0000641	rna1101	Smik_4.403
OG0000642	rna1111	Smik_4.413
OG0000643	rna3980	Smik_12.221
OG0000644	rna4028	Smik_12.229
OG0000645	rna719	Smik_4.8
OG0000646	rna717	Smik_4.6
OG0000647	rna4933	Smik_14.108
OG0000648	rna4930	Smik_14.105
OG0000649	rna1757	Smik_5.321
OG0000650	rna3368	Smik_10.393
OG0000651	rna892	Smik_4.187
OG0000652	rna5542	Smik_15.306
OG0000653	rna1347	Smik_4.660
OG0000654	rna2580	Smik_8.66
OG0000655	rna1921	Smik_7.357
OG0000656	rna4238	Smik_12.467
OG0000657	rna887	Smik_4.178
OG0000658	rna888	Smik_4.179
OG0000659	rna163	Smik_2.67
OG0000660	rna3378	Smik_10.404
OG0000661	rna162	Smik_2.66
OG0000662	rna3356	Smik_10.379
OG0000663	rna119	Smik_2.24
OG0000664	rna120	Smik_2.25
OG0000665	rna3607	Smik_11.202
OG0000666	rna5136	Smik_14.307
OG0000667	rna5131	Smik_14.304
OG0000668	rna827	Smik_4.117
OG0000669	rna1744	Smik_5.307
OG0000670	rna4759	Smik_13.478
OG0000671	rna4758	Smik_13.477
OG0000672	rna2599	Smik_8.90
OG0000673	rna1862	Smik_6.73
OG0000674	rna2651	Smik_8.142
OG0000675	rna6042	Smik_16.186
OG0000676	rna3746	Smik_11.353
OG0000677	rna4867	Smik_14.42
OG0000678	rna1719	Smik_5.271
OG0000679	rna6093	Smik_16.241
OG0000680	rna1874	Smik_6.86
OG0000681	rna1872	Smik_6.84
OG0000682	rna4818	Smik_13.536
OG0000683	rna3703	Smik_11.310
OG0000684	rna2738	Smik_8.238
OG0000685	rna3436	Smik_11.6
OG0000686	rna5826	Smik_6.473
OG0000687	rna3875	Smik_12.107
OG0000688	rna1217	Smik_4.517
OG0000690	rna4552	Smik_13.252
OG0000691	rna5910	Smik_6.386
OG0000692	rna160	Smik_2.64
OG0000693	rna1696	Smik_5.246
OG0000695	rna5268	Smik_15.15
OG0000696	rna419	Smik_2.338
OG0000697	rna407	Smik_2.327
OG0000698	rna5781	Smik_15.551
OG0000699	rna5785	Smik_15.555
OG0000700	rna5982	Smik_16.125
OG0000702	rna3215	Smik_10.194
OG0000703	rna369	Smik_2.288, Smik_2.289
OG0000704	rna3152	Smik_10.132
OG0000705	rna2506	Smik_16.24
OG0000706	rna3362	Smik_10.384
OG0000707	rna821	Smik_4.111
OG0000708	rna473	Smik_2.392
OG0000709	rna5370	Smik_15.127
OG0000710	rna5371	Smik_15.128
OG0000712	rna903	Smik_4.198
OG0000713	rna2017	Smik_7.83
OG0000714	rna2079	Smik_7.148
OG0000715	rna1607	Smik_5.149
OG0000716	rna680	Smik_3.183
OG0000717	rna1049	Smik_4.345
OG0000720	rna3168	Smik_10.150
OG0000721	rna2406	Smik_6.302
OG0000722	rna5461	Smik_15.221
OG0000723	rna5473	Smik_15.234
OG0000724	rna5479	Smik_15.243
OG0000725	rna3735	Smik_11.342
OG0000726	rna3797	Smik_12.26
OG0000727	rna1056	Smik_4.354
OG0000728	rna1075	Smik_4.373
OG0000729	rna5590	Smik_15.354
OG0000730	rna2222	Smik_7.306
OG0000731	rna4107	Smik_12.324
OG0000732	rna2045	Smik_7.110
OG0000733	rna5762	Smik_15.532
OG0000734	rna5042	Smik_14.216
OG0000735	rna5030	Smik_14.203
OG0000736	rna3567	Smik_11.157
OG0000737	rna2944	Smik_9.143
OG0000738	rna2961	Smik_9.160
OG0000739	rna2965	Smik_9.165
OG0000740	rna2716	Smik_8.215
OG0000742	rna722	Smik_4.11
OG0000745	rna2358	Smik_6.247
OG0000746	rna3186	Smik_10.167
OG0000747	rna2834	Smik_9.14
OG0000748	rna2836	Smik_9.16
OG0000749	rna1960	Smik_7.16
OG0000750	rna1932	Smik_7.368
OG0000751	rna1961	Smik_7.17
OG0000752	rna1962	Smik_7.18
OG0000753	rna1963	Smik_7.19
OG0000754	rna1964	Smik_7.20
OG0000755	rna1966	Smik_7.22
OG0000756	rna1967	Smik_7.23
OG0000757	rna1968	Smik_7.24
OG0000758	rna1970	Smik_7.25
OG0000759	rna1928	Smik_7.364
OG0000760	rna1971	Smik_7.26
OG0000761	rna1973	Smik_7.28
OG0000762	rna1927	Smik_7.363
OG0000763	rna1626	Smik_5.167
OG0000764	rna1977	Smik_7.32
OG0000765	rna1625	Smik_5.166
OG0000767	rna1617	Smik_5.159
OG0000768	rna1985	Smik_7.45
OG0000769	rna1987	Smik_7.47
OG0000770	rna1989	Smik_7.49
OG0000771	rna1991	Smik_7.51
OG0000772	rna4457	Smik_13.143
OG0000773	rna1373	Smik_4.689
OG0000774	rna1517	Smik_5.34
OG0000775	rna1518	Smik_5.35
OG0000776	rna1371	Smik_4.687
OG0000777	rna1520	Smik_5.37
OG0000778	rna1368	Smik_4.684
OG0000779	rna1366	Smik_4.682
OG0000780	rna1364	Smik_4.680
OG0000781	rna5572	Smik_15.337
OG0000782	rna1363	Smik_4.679
OG0000783	rna5575	Smik_15.340
OG0000784	rna5570	Smik_15.335
OG0000785	rna4209	Smik_12.439
OG0000786	rna2253	Smik_6.127
OG0000787	rna2255	Smik_6.129
OG0000788	rna4213	Smik_12.443
OG0000789	rna2263	Smik_6.138
OG0000790	rna3664	Smik_11.263
OG0000791	rna6097	Smik_16.245
OG0000792	rna2037	Smik_7.103
OG0000793	rna2039	Smik_7.104
OG0000794	rna750	Smik_4.39
OG0000795	rna20	Smik_1.15
OG0000796	rna5775	Smik_15.545
OG0000797	rna22	Smik_1.17
OG0000798	rna23	Smik_1.18
OG0000799	rna24	Smik_1.19
OG0000800	rna5773	Smik_15.543
OG0000801	rna25	Smik_1.20
OG0000802	rna5771	Smik_15.541
OG0000803	rna5284	Smik_15.31
OG0000804	rna5738	Smik_15.504
OG0000805	rna44	Smik_1.40
OG0000806	rna46	Smik_1.41
OG0000807	rna1160	Smik_4.459
OG0000808	rna4087	Smik_12.290
OG0000809	rna1159	Smik_4.458
OG0000810	rna1152	Smik_4.454
OG0000811	rna4147	Smik_12.368
OG0000812	rna4151	Smik_12.373
OG0000813	rna2359	Smik_6.248
OG0000814	rna2156	Smik_7.235
OG0000815	rna2157	Smik_7.236
OG0000816	rna2184	Smik_7.270
OG0000817	rna2185	Smik_7.271
OG0000818	rna2186	Smik_7.272
OG0000819	rna2187	Smik_7.273
OG0000820	rna206	Smik_2.112
OG0000821	rna2194	Smik_7.280
OG0000822	rna2193	Smik_7.279
OG0000823	rna2192	Smik_7.278
OG0000824	rna2477	Smik_16.54
OG0000825	rna2756	Smik_8.255
OG0000826	rna2755	Smik_8.254
OG0000827	rna2754	Smik_8.253
OG0000828	rna2753	Smik_8.252
OG0000829	rna2751	Smik_8.250
OG0000830	rna2750	Smik_8.249
OG0000831	rna2749	Smik_8.248
OG0000832	rna2470	Smik_16.61
OG0000833	rna2469	Smik_16.62
OG0000834	rna3709	Smik_11.316
OG0000835	rna3710	Smik_11.317
OG0000836	rna3711	Smik_11.318
OG0000837	rna3116	Smik_10.92
OG0000838	rna3115	Smik_10.91
OG0000839	rna2508	Smik_16.22
OG0000840	rna3718	Smik_11.324
OG0000841	rna3719	Smik_11.325
OG0000842	rna3721	Smik_11.327
OG0000843	rna3076	Smik_10.49
OG0000844	rna3078	Smik_10.51
OG0000845	rna3079	Smik_10.52
OG0000846	rna3476	Smik_11.51
OG0000847	rna3477	Smik_11.52
OG0000848	rna3086	Smik_10.59
OG0000849	rna3479	Smik_11.54
OG0000850	rna3482	Smik_11.57
OG0000851	rna3089	Smik_10.63
OG0000852	rna3484	Smik_11.59
OG0000853	rna1291	Smik_4.599
OG0000854	rna5444	Smik_15.205
OG0000855	rna1429	Smik_4.756
OG0000856	rna5291	Smik_15.38
OG0000857	rna5497	Smik_15.258
OG0000858	rna3744	Smik_11.351
OG0000859	rna5494	Smik_15.255
OG0000860	rna3743	Smik_11.350
OG0000861	rna3741	Smik_11.348
OG0000862	rna5492	Smik_15.253
OG0000863	rna5491	Smik_15.252
OG0000864	rna3739	Smik_11.346
OG0000865	rna3736	Smik_11.343
OG0000866	rna5486	Smik_15.249
OG0000867	rna3316	Smik_10.333
OG0000868	rna1902	Smik_7.336
OG0000869	rna593	Smik_3.80
OG0000870	rna73	Smik_1.70
OG0000871	rna2199	Smik_7.284
OG0000872	rna75	Smik_1.72
OG0000873	rna2757	Smik_8.256
OG0000874	rna2760	Smik_8.259
OG0000875	rna2767	Smik_8.269
OG0000876	rna2483	Smik_16.48
OG0000877	rna2773	Smik_8.275
OG0000878	rna2774	Smik_8.276
OG0000879	rna2775	Smik_8.277
OG0000880	rna4785	Smik_13.504
OG0000881	rna2485	Smik_16.46
OG0000882	rna2486	Smik_16.45
OG0000883	rna4787	Smik_13.506
OG0000884	rna2490	Smik_16.41
OG0000885	rna2491	Smik_16.40
OG0000886	rna2492	Smik_16.38
OG0000887	rna4790	Smik_13.509
OG0000888	rna4791	Smik_13.510
OG0000889	rna4793	Smik_13.512
OG0000890	rna4795	Smik_13.515
OG0000891	rna4797	Smik_13.517
OG0000892	rna4798	Smik_13.518
OG0000893	rna4810	Smik_13.530
OG0000894	rna1790	Smik_5.357
OG0000895	rna1791	Smik_5.358
OG0000896	rna265	Smik_2.170
