Orthogroup	s_cerevisiae_proteins	l_waltii_v3_proteins
OG0000046	rna4092, rna5487, rna5608	Kwal_23.3203
OG0000048	rna6018	Kwal_27.12039
OG0000048	rna1631	Kwal_47.18123
OG0000049	rna225, rna5128	Kwal_27.11476, Kwal_27.10964
OG0000050	rna5086, rna2057	Kwal_23.3430, Kwal_23.4783
OG0000051	rna307	Kwal_27.12446
OG0000051	rna2427	Kwal_33.15500
OG0000052	rna2293	Kwal_26.7260
OG0000052	rna6086	Kwal_23.5120
OG0000053	rna214, rna1171	Kwal_27.10999
OG0000054	rna3888	Kwal_14.1181
OG0000054	rna488	Kwal_14.2483
OG0000055	rna196	Kwal_17.2687
OG0000055	rna2251	Kwal_14.1416
OG0000057	rna894, rna3083	Kwal_26.9314, Kwal_33.13753
OG0000058	rna3695	Kwal_27.12681
OG0000059	rna2526	Kwal_34.15755
OG0000059	rna5884	Kwal_56.24087
OG0000060	rna2864	Kwal_23.4777
OG0000060	rna5705	Kwal_26.9164
OG0000061	rna5515	Kwal_23.2915
OG0000062	rna6209, rna5832, rna5353	Kwal_33.14230
OG0000063	rna5699	Kwal_26.9137
OG0000063	rna5700	Kwal_26.9119
OG0000064	rna709, rna3425, rna1809, rna4828	Kwal_33.15310
OG0000065	rna741	Kwal_55.19721, Kwal_0.16, Kwal_23.4458
OG0000066	rna6090	Kwal_0.299
OG0000067	rna3085	Kwal_26.6651, Kwal_33.13758
OG0000068	rna3772	Kwal_14.791
OG0000071	rna4928	Kwal_23.4409
OG0000071	rna4896	Kwal_33.13447
OG0000072	rna5414	Kwal_56.22454
OG0000073	rna3181	Kwal_14.2410
OG0000074	rna4537	Kwal_33.14936
OG0000074	rna1825	Kwal_14.1085
OG0000075	rna5646	Kwal_26.8700
OG0000076	rna4536	Kwal_27.12481
OG0000077	rna1170	Kwal_27.10996, Kwal_27.11596
OG0000078	rna598	Kwal_0.295
OG0000080	rna2871	Kwal_14.1204, Kwal_47.17352, Kwal_14.1215, Kwal_27.11629
OG0000082	rna6060	Kwal_27.11803
OG0000082	rna380	Kwal_YGOB_27.11919
OG0000084	rna1781	Kwal_56.23509
OG0000085	rna4654, rna4653	Kwal_23.3500, Kwal_23.3507
OG0000086	rna1816, rna5276	Kwal_55.22012
OG0000087	rna701	Kwal_47.17532
OG0000089	rna3841, rna3008	Kwal_14.1746
OG0000090	rna1596	Kwal_55.21051
OG0000090	rna4568	Kwal_26.7749
OG0000093	rna3432	Kwal_47.18810
OG0000094	rna4575, rna1808, rna4827	Kwal_26.7725
OG0000095	rna1365	Kwal_47.18743
OG0000096	rna6056, rna2196	Kwal_47.17522
OG0000097	rna4821, rna5804, rna5810	Kwal_23.4381
OG0000098	rna2860	Kwal_23.4754
OG0000099	rna4712	Kwal_26.9107
OG0000102	rna2711	Kwal_33.14642
OG0000102	rna1827	Kwal_14.1109
OG0000103	rna4004, rna4019, rna4015, rna4008, rna1273	Kwal_27.12324
OG0000105	rna1047, rna1784	Kwal_56.23522
OG0000110	rna1807, rna4826, rna4574	Kwal_26.7728
OG0000111	rna2003	Kwal_47.18982
OG0000112	rna4858, rna5290	Kwal_23.5298
OG0000113	rna4309	Kwal_47.16881
OG0000114	rna1187	Kwal_34.15724
OG0000115	rna3526, rna4583	Kwal_26.7635
OG0000117	rna4408	Kwal_14.807
OG0000118	rna918	Kwal_33.14208
OG0000120	rna4167	Kwal_14.2313
OG0000122	rna850	Kwal_23.3623
OG0000124	rna1279, rna2663	Kwal_55.20214
OG0000125	rna1793	Kwal_26.9446
OG0000126	rna5084, rna2859	Kwal_23.4740
OG0000127	rna4745, rna3732	Kwal_55.21736
OG0000128	rna2399, rna5789	Kwal_33.15041, Kwal_56.22367
OG0000129	rna516, rna3920	Kwal_56.23759
OG0000130	rna4958	Kwal_23.4597
OG0000132	rna1946, rna5799	Kwal_14.741, Kwal_23.6568
OG0000136	rna2467, rna2747	Kwal_56.24698
OG0000137	rna209	Kwal_47.17506
OG0000138	rna1608	Kwal_47.19040
OG0000139	rna2786, rna2785	Kwal_47.16693
OG0000141	rna2810	Kwal_47.17074
OG0000143	rna328	Kwal_27.12613
OG0000144	rna6260	Kwal_55.21937, Kwal_55.21941
OG0000147	rna1451	Kwal_33.13256
OG0000148	rna4042	Kwal_33.13263
OG0000149	rna2739, rna4903	Kwal_33.13486
OG0000152	rna4633	Kwal_34.15792, Kwal_34.15794
OG0000153	rna702	Kwal_55.20722
OG0000154	rna5431, rna1349	Kwal_56.24573
OG0000160	rna5818, rna3769	Kwal_27.10255
OG0000161	rna5231	Kwal_27.10298
OG0000163	rna3421	Kwal_26.6658, Kwal_47.17169
OG0000165	rna1823, rna3901	Kwal_14.1071
OG0000166	rna5963	Kwal_26.8630
OG0000166	rna5630	Kwal_26.8629
OG0000168	rna1656, rna1859	Kwal_23.5035
OG0000169	rna5145	Kwal_27.11438
OG0000169	rna2720	Kwal_YGOB_Anc_2.100
OG0000172	rna4025, rna1123	Kwal_23.3343
OG0000173	rna1341	Kwal_55.21326, Kwal_55.21316
OG0000177	rna801	Kwal_23.2829
OG0000178	rna2060	Kwal_23.3464
OG0000180	rna2743, rna2462	Kwal_14.1019
OG0000182	rna2115, rna5905	Kwal_27.11171
OG0000183	rna1683, rna158	Kwal_33.14795
OG0000186	rna6001	Kwal_27.12167
OG0000191	rna5151, rna4602	Kwal_47.17719
OG0000192	rna3030, rna5037	Kwal_47.17909
OG0000194	rna224	Kwal_23.4803, Kwal_55.19590
OG0000195	rna1947, rna5221	Kwal_23.2926, Kwal_23.5454, Kwal_55.22238
OG0000196	rna1994, rna1609	Kwal_47.19045
OG0000197	rna5797, rna4814	Kwal_14.977
OG0000198	rna3050	Kwal_47.16599, Kwal_23.6598, Kwal_41.16470, Kwal_35.16318, Kwal_43.16494
OG0000202	rna1622	Kwal_47.19154
OG0000206	rna1293	Kwal_55.20082
OG0000207	rna5287	Kwal_27.12804, Kwal_23.5320
OG0000213	rna5220	Kwal_55.19597
OG0000216	rna3393	Kwal_27.11252, Kwal_47.16607
OG0000219	rna3554	Kwal_26.7812, Kwal_26.7814
OG0000224	rna6213	Kwal_26.9322
OG0000230	rna692, rna642, rna531	Kwal_YGOB_HMalpha2, Kwal_YGOB_matalpha2
OG0000250	rna4804	Kwal_26.9569
OG0000255	rna3775	Kwal_23.6486
OG0000261	rna1951	Kwal_47.19321
OG0000288	rna468	Kwal_14.1606
OG0000296	rna902	Kwal_56.22853
OG0000303	rna981	Kwal_27.10541
OG0000312	rna3568, rna6044	Kwal_27.11853
OG0000322	rna594	Kwal_0.281
OG0000335	rna2606	Kwal_23.5576
OG0000338	rna5255	Kwal_14.831, Kwal_47.16845
OG0000345	rna5861	Kwal_56.24248
OG0000348	rna3438	Kwal_14.783
OG0000351	rna4288	Kwal_47.17102
OG0000353	rna3505	Kwal_23.5461
OG0000355	rna707, rna3427	Kwal_26.6684, Kwal_55.19574
OG0000360	rna732	Kwal_23.4650, Kwal_23.4058, Kwal_47.16850
OG0000364	rna2995	Kwal_55.20903
OG0000368	rna4925	Kwal_55.22190, Kwal_56.24852, Kwal_23.4395
OG0000374	rna5447	Kwal_55.19972
OG0000375	rna6113	Kwal_47.16577
OG0000376	rna982, rna983, rna984	Kwal_23.3160
OG0000381	rna4569	Kwal_14.947
OG0000388	rna864	Kwal_34.15846
OG0000400	rna4697	Kwal_23.6157
OG0000415	rna4728	Kwal_55.20268
OG0000422	rna4336	Kwal_33.14268
OG0000423	rna4748, rna5827	Kwal_27.10433
OG0000424	rna3512	Kwal_26.7550
OG0000427	rna695	Kwal_47.18615, Kwal_23.6575
OG0000430	rna5603	Kwal_14.1904
OG0000431	rna3939	Kwal_23.5316
OG0000432	rna2826	Kwal_27.10129
OG0000435	rna2790	Kwal_47.16743
OG0000436	rna4298	Kwal_33.15618, Kwal_47.17051
OG0000437	rna3770, rna5817	Kwal_56.22951
OG0000439	rna337	Kwal_23.3660
OG0000445	rna1471	Kwal_33.13112
OG0000449	rna4142	Kwal_56.23320
OG0000450	rna1858	Kwal_23.5030
OG0000451	rna510	Kwal_14.2449
OG0000456	rna360	Kwal_56.23131
OG0000457	rna4812	Kwal_27.9684
OG0000458	rna1897	Kwal_0.356
OG0000460	rna4966	Kwal_23.4663
OG0000461	rna4329	Kwal_27.9697
OG0000462	rna3390	Kwal_55.21878
OG0000464	rna6201, rna2305	Kwal_55.20547
OG0000465	rna3022	Kwal_14.931
OG0000468	rna168	Kwal_26.9351
OG0000470	rna108	Kwal_27.10581
OG0000471	rna122	Kwal_27.10688
OG0000474	rna179	Kwal_27.12486
OG0000485	rna268	Kwal_56.22993
OG0000487	rna52	Kwal_26.7123
OG0000489	rna2160	Kwal_26.7522
OG0000491	rna2009	Kwal_23.3110, Kwal_47.16572
OG0000492	rna996	Kwal_27.10452
OG0000493	rna4103	Kwal_14.1287
OG0000494	rna2669	Kwal_55.20154
OG0000500	rna4521	Kwal_33.14994
OG0000505	rna3037	Kwal_56.22375
OG0000508	rna1988	Kwal_47.19093
OG0000509	rna1369	Kwal_47.18721
OG0000510	rna1367	Kwal_47.18730
OG0000511	rna1747	Kwal_27.11066
OG0000512	rna19	Kwal_23.6528
OG0000513	rna1427	Kwal_47.18233
OG0000514	rna5737	Kwal_YGOB_26.7100
OG0000516	rna4148	Kwal_56.23353
OG0000517	rna4153	Kwal_14.1908
OG0000519	rna2195	Kwal_47.17469
OG0000520	rna2476	Kwal_56.24776
OG0000522	rna2468	Kwal_56.24695
OG0000524	rna3715	Kwal_33.13997
OG0000525	rna629	Kwal_33.13713
OG0000527	rna5490	Kwal_55.21779
OG0000528	rna3738	Kwal_55.21771
OG0000529	rna2591	Kwal_27.12782
OG0000530	rna2202	Kwal_47.17567
OG0000531	rna2190	Kwal_47.17511
OG0000533	rna2795	Kwal_47.16773
OG0000534	rna607	Kwal_34.16211
OG0000536	rna2414	Kwal_33.15407
OG0000537	rna3272	Kwal_33.15422
OG0000538	rna1992	Kwal_47.19072
OG0000539	rna1381	Kwal_30.12897
OG0000540	rna4453	Kwal_47.18581
OG0000541	rna4445	Kwal_47.18512
OG0000542	rna4433	Kwal_47.18406
OG0000543	rna4265	Kwal_23.4130
OG0000544	rna872	Kwal_23.4139
OG0000545	rna4260	Kwal_23.4156
OG0000546	rna2793	Kwal_47.16761
OG0000547	rna3411	Kwal_47.16734
OG0000548	rna4396	Kwal_47.16983
OG0000549	rna4291	Kwal_47.17085
OG0000550	rna4204	Kwal_14.1383
OG0000551	rna4197	Kwal_14.1342
OG0000552	rna3555	Kwal_26.7819
OG0000553	rna3556	Kwal_26.7823
OG0000555	rna1906	Kwal_0.394
OG0000556	rna5802, rna5812	Kwal_56.22910
OG0000557	rna3093	Kwal_33.13849
OG0000558	rna3103	Kwal_33.13902
OG0000559	rna2270	Kwal_26.9241
OG0000560	rna347	Kwal_23.3898
OG0000562	rna332	Kwal_23.3732
OG0000563	rna6153	Kwal_23.3740
OG0000564	rna329	Kwal_23.3744
OG0000565	rna6033	Kwal_27.11948
OG0000567	rna474	Kwal_27.11082
OG0000568	rna3029	Kwal_33.13090
OG0000569	rna311	Kwal_27.12508
OG0000570	rna4589	Kwal_26.7582
OG0000571	rna5712	Kwal_55.20302
OG0000572	rna3653	Kwal_26.7918
OG0000573	rna2562	Kwal_26.7861
OG0000574	rna3561	Kwal_26.7855
OG0000575	rna3441	Kwal_33.15585
OG0000576	rna570	Kwal_23.4041
OG0000578	rna4890	Kwal_33.13392
OG0000579	rna3363	Kwal_33.13533
OG0000580	rna3055	Kwal_33.13564, Kwal_33.13570
OG0000581	rna3064	Kwal_33.13628
OG0000582	rna636	Kwal_33.13646
OG0000583	rna912	Kwal_33.14167
OG0000584	rna920	Kwal_33.14227
OG0000585	rna923	Kwal_27.9804
OG0000586	rna4154	Kwal_14.1900
OG0000587	rna5607	Kwal_14.1868
OG0000588	rna1357	Kwal_47.18807
OG0000589	rna1654	Kwal_23.5845, Kwal_26.9058
OG0000590	rna5188	Kwal_23.6317
OG0000591	rna5185	Kwal_23.6296
OG0000592	rna663	Kwal_23.6278
OG0000594	rna5667	Kwal_26.8877
OG0000595	rna3842	Kwal_23.2905
OG0000596	rna3231	Kwal_23.2896
OG0000597	rna364	Kwal_56.23171
OG0000598	rna3602	Kwal_26.8308
OG0000599	rna3599	Kwal_26.8287
OG0000600	rna4502	Kwal_26.8259
OG0000601	rna5283	Kwal_55.21960
OG0000602	rna28	Kwal_26.6883, Kwal_4.468
OG0000604	rna2289	Kwal_23.3769
OG0000605	rna6180	Kwal_23.3780
OG0000606	rna798	Kwal_56.24540
OG0000607	rna4063	Kwal_56.24600
OG0000608	rna1724	Kwal_47.17241
OG0000609	rna4166	Kwal_14.2326
OG0000610	rna1770	Kwal_56.23442
OG0000612	rna2207	Kwal_47.17635
OG0000613	rna1513	Kwal_56.22345
OG0000614	rna1511	Kwal_56.22355
OG0000615	rna5422	Kwal_56.22433
OG0000616	rna2213	Kwal_14.2265
OG0000617	rna5703	Kwal_26.9154
OG0000618	rna2136	Kwal_56.24068
OG0000619	rna5887	Kwal_56.24064
OG0000620	rna243	Kwal_23.5201
OG0000621	rna5152	Kwal_0.207
OG0000622	rna3904	Kwal_14.1060
OG0000623	rna1820	Kwal_14.1055
OG0000624	rna5626	Kwal_26.8602
OG0000625	rna5961	Kwal_26.8653
OG0000626	rna5960	Kwal_26.8660
OG0000627	rna5010	Kwal_33.14573
OG0000628	rna733	Kwal_23.4669
OG0000629	rna2619	Kwal_23.5644
OG0000630	rna2418	Kwal_33.15453
OG0000631	rna3383	Kwal_55.19766
OG0000632	rna780	Kwal_56.24642
OG0000633	rna4059	Kwal_56.24631
OG0000634	rna4677	Kwal_56.24359
OG0000635	rna1297	Kwal_55.20054
OG0000636	rna3000	Kwal_55.20976
OG0000637	rna1586	Kwal_55.20953
OG0000638	rna2996	Kwal_55.20938
OG0000640	rna1094	Kwal_27.11232
OG0000641	rna1101	Kwal_27.11281
OG0000642	rna1111	Kwal_27.11355
OG0000643	rna3980	Kwal_27.11373
OG0000644	rna4028	Kwal_23.3311
OG0000645	rna719	Kwal_23.4508
OG0000646	rna717	Kwal_23.4482
OG0000647	rna4933	Kwal_23.4427
OG0000648	rna4930	Kwal_23.4417
OG0000649	rna1757	Kwal_14.1945
OG0000650	rna3368	Kwal_55.19908
OG0000651	rna892	Kwal_26.9326
OG0000652	rna5542	Kwal_55.21353
OG0000653	rna1347	Kwal_55.21278
OG0000654	rna2580	Kwal_47.18304
OG0000655	rna1921	Kwal_47.18073
OG0000656	rna4238	Kwal_26.9370
OG0000657	rna887	Kwal_26.9359
OG0000658	rna888	Kwal_26.9355
OG0000659	rna163	Kwal_55.19808
OG0000660	rna3378	Kwal_55.19820
OG0000661	rna162	Kwal_55.19829
OG0000662	rna3356	Kwal_33.14380
OG0000663	rna119	Kwal_27.10652
OG0000664	rna120	Kwal_27.10675
OG0000665	rna3607	Kwal_26.8225
OG0000666	rna5136	Kwal_27.11513
OG0000667	rna5131	Kwal_27.11456
OG0000668	rna827	Kwal_27.11440
OG0000669	rna1744	Kwal_14.2026
OG0000670	rna4759	Kwal_27.10384
OG0000671	rna4758	Kwal_27.10388
OG0000672	rna2599	Kwal_23.5534
OG0000673	rna1862	Kwal_23.5058
OG0000674	rna2651	Kwal_34.15996
OG0000675	rna6042	Kwal_27.11864
OG0000676	rna3746	Kwal_55.19755
OG0000677	rna4867	Kwal_23.5231
OG0000678	rna1719	Kwal_47.17302
OG0000679	rna6093	Kwal_27.11039
OG0000680	rna1874	Kwal_23.5148
OG0000681	rna1872	Kwal_23.5142
OG0000682	rna4818	Kwal_33.15607
OG0000683	rna3703	Kwal_33.14120
OG0000684	rna2738	Kwal_14.1042
OG0000685	rna3436	Kwal_47.18976
OG0000686	rna5826	Kwal_23.4026, Kwal_33.15545
OG0000687	rna3875	Kwal_33.15528
OG0000688	rna1217	Kwal_55.20000
OG0000690	rna4552	Kwal_26.8046
OG0000691	rna5910	Kwal_27.11107
OG0000692	rna160	Kwal_33.14810
OG0000693	rna1696	Kwal_27.10837
OG0000695	rna5268	Kwal_55.22088
OG0000696	rna419	Kwal_27.12053
OG0000697	rna407	Kwal_27.12109
OG0000698	rna5781	Kwal_26.6789
OG0000699	rna5785	Kwal_26.6759
OG0000700	rna5982	Kwal_26.8475
OG0000702	rna3215	Kwal_0.70
OG0000703	rna369	Kwal_56.22611
OG0000704	rna3152	Kwal_26.7276
OG0000705	rna2506	Kwal_26.9498
OG0000706	rna3362	Kwal_47.18219
OG0000707	rna821	Kwal_23.5996
OG0000708	rna473	Kwal_14.1554
OG0000709	rna5370	Kwal_26.7184
OG0000710	rna5371	Kwal_26.7187
OG0000712	rna903	Kwal_56.22841
OG0000713	rna2017	Kwal_47.17206
OG0000714	rna2079	Kwal_14.1741
OG0000715	rna1607	Kwal_47.19001
OG0000716	rna680	Kwal_23.6429
OG0000717	rna1049	Kwal_56.23557
OG0000720	rna3168	Kwal_26.7380
OG0000721	rna2406	Kwal_33.15058
OG0000722	rna5461	Kwal_55.21600
OG0000723	rna5473	Kwal_55.21695
OG0000724	rna5479	Kwal_55.21720
OG0000725	rna3735	Kwal_55.21750
OG0000726	rna3797	Kwal_55.20694
OG0000727	rna1056	Kwal_56.23583
OG0000728	rna1075	Kwal_56.23687
OG0000729	rna5590	Kwal_56.23247
OG0000730	rna2222	Kwal_14.2234
OG0000731	rna4107	Kwal_14.2632
OG0000732	rna2045	Kwal_0.138
OG0000733	rna5762	Kwal_26.6940
OG0000734	rna5042	Kwal_26.8461
OG0000735	rna5030	Kwal_23.2810, Kwal_47.16592
OG0000736	rna3567	Kwal_14.993
OG0000737	rna2944	Kwal_23.5785
OG0000738	rna2961	Kwal_55.20354
OG0000739	rna2965	Kwal_55.20347
OG0000740	rna2716	Kwal_33.14605
OG0000742	rna722	Kwal_23.4540
OG0000745	rna2358	Kwal_33.15013
OG0000746	rna3186	Kwal_14.2435
OG0000747	rna2834	Kwal_55.19649
OG0000748	rna2836	Kwal_55.19661
OG0000749	rna1960	Kwal_47.19272
OG0000750	rna1932	Kwal_47.19268
OG0000751	rna1961	Kwal_47.19265
OG0000752	rna1962	Kwal_47.19263
OG0000753	rna1963	Kwal_47.19262
OG0000754	rna1964	Kwal_47.19258
OG0000755	rna1966	Kwal_47.19247
OG0000756	rna1967	Kwal_47.19244
OG0000757	rna1968	Kwal_47.19236
OG0000758	rna1970	Kwal_47.19231
OG0000759	rna1928	Kwal_47.19220
OG0000760	rna1971	Kwal_47.19214
OG0000761	rna1973	Kwal_47.19210
OG0000762	rna1927	Kwal_47.19204
OG0000763	rna1626	Kwal_47.19180
OG0000764	rna1977	Kwal_47.19173
OG0000765	rna1625	Kwal_47.19170
OG0000767	rna1617	Kwal_47.19116
OG0000768	rna1985	Kwal_47.19107
OG0000769	rna1987	Kwal_47.19100
OG0000770	rna1989	Kwal_47.19087
OG0000771	rna1991	Kwal_47.19079
OG0000772	rna4457	Kwal_47.18622
OG0000773	rna1373	Kwal_47.18678
OG0000774	rna1517	Kwal_47.18669
OG0000775	rna1518	Kwal_47.18662
OG0000776	rna1371	Kwal_47.18684
OG0000777	rna1520	Kwal_47.18697
OG0000778	rna1368	Kwal_47.18726
OG0000779	rna1366	Kwal_47.18741
OG0000780	rna1364	Kwal_47.18745
OG0000781	rna5572	Kwal_47.18748
OG0000782	rna1363	Kwal_47.18751
OG0000783	rna5575	Kwal_47.18763
OG0000784	rna5570	Kwal_47.18776
OG0000785	rna4209	Kwal_14.1411
OG0000786	rna2253	Kwal_14.1437
OG0000787	rna2255	Kwal_14.1457
OG0000788	rna4213	Kwal_14.1472
OG0000789	rna2263	Kwal_14.1263
OG0000790	rna3664	Kwal_26.7948
OG0000791	rna6097	Kwal_27.11056
OG0000792	rna2037	Kwal_14.1504
OG0000793	rna2039	Kwal_14.1498
OG0000794	rna750	Kwal_27.11644
OG0000795	rna20	Kwal_26.6810
OG0000796	rna5775	Kwal_26.6824
OG0000797	rna22	Kwal_26.6829
OG0000798	rna23	Kwal_26.6831
OG0000799	rna24	Kwal_26.6833
OG0000800	rna5773	Kwal_26.6844
OG0000801	rna25	Kwal_26.6850
OG0000802	rna5771	Kwal_26.6858
OG0000803	rna5284	Kwal_55.21955
OG0000804	rna5738	Kwal_26.7067
OG0000805	rna44	Kwal_26.7070
OG0000806	rna46	Kwal_26.7082
OG0000807	rna1160	Kwal_23.3129
OG0000808	rna4087	Kwal_23.3135
OG0000809	rna1159	Kwal_23.3137
OG0000810	rna1152	Kwal_23.3146
OG0000811	rna4147	Kwal_56.23350
OG0000812	rna4151	Kwal_56.23371
OG0000813	rna2359	Kwal_14.2258
OG0000814	rna2156	Kwal_26.7474
OG0000815	rna2157	Kwal_26.7477
OG0000816	rna2184	Kwal_47.17447
OG0000817	rna2185	Kwal_47.17449
OG0000818	rna2186	Kwal_47.17451
OG0000819	rna2187	Kwal_47.17453
OG0000820	rna206	Kwal_47.17465
OG0000821	rna2194	Kwal_47.17492
OG0000822	rna2193	Kwal_47.17493
OG0000823	rna2192	Kwal_47.17499
OG0000824	rna2477	Kwal_56.24780
OG0000825	rna2756	Kwal_56.24769
OG0000826	rna2755	Kwal_56.24766
OG0000827	rna2754	Kwal_56.24760
OG0000828	rna2753	Kwal_56.24755
OG0000829	rna2751	Kwal_56.24750
OG0000830	rna2750	Kwal_56.24738
OG0000831	rna2749	Kwal_56.24725
OG0000832	rna2470	Kwal_56.24681
OG0000833	rna2469	Kwal_56.24691
OG0000834	rna3709	Kwal_33.14017
OG0000835	rna3710	Kwal_33.14015
OG0000836	rna3711	Kwal_33.14009
OG0000837	rna3116	Kwal_33.13991
OG0000838	rna3115	Kwal_33.13984
OG0000839	rna2508	Kwal_33.13972
OG0000840	rna3718	Kwal_33.13952
OG0000841	rna3719	Kwal_33.13941
OG0000842	rna3721	Kwal_33.13921
OG0000843	rna3076	Kwal_33.13718
OG0000844	rna3078	Kwal_33.13726
OG0000845	rna3079	Kwal_33.13730
OG0000846	rna3476	Kwal_33.13739
OG0000847	rna3477	Kwal_33.13772
OG0000848	rna3086	Kwal_33.13778
OG0000849	rna3479	Kwal_33.13803
OG0000850	rna3482	Kwal_33.13817
OG0000851	rna3089	Kwal_33.13820
OG0000852	rna3484	Kwal_33.13830
OG0000853	rna1291	Kwal_55.20089
OG0000854	rna5444	Kwal_55.19935
OG0000855	rna1429	Kwal_55.19922
OG0000856	rna5291	Kwal_23.5297
OG0000857	rna5497	Kwal_55.21839
OG0000858	rna3744	Kwal_55.21816
OG0000859	rna5494	Kwal_55.21814
OG0000860	rna3743	Kwal_55.21811
OG0000861	rna3741	Kwal_55.21797
OG0000862	rna5492	Kwal_55.21786
OG0000863	rna5491	Kwal_55.21783
OG0000864	rna3739	Kwal_55.21778
OG0000865	rna3736	Kwal_55.21765
OG0000866	rna5486	Kwal_55.21757
OG0000867	rna3316	Kwal_27.10077
OG0000868	rna1902	Kwal_0.384
OG0000869	rna593	Kwal_0.279
OG0000870	rna73	Kwal_47.17572
OG0000871	rna2199	Kwal_47.17547
OG0000872	rna75	Kwal_47.17541
OG0000873	rna2757	Kwal_23.4386
OG0000874	rna2760	Kwal_23.4378
OG0000875	rna2767	Kwal_23.4368
OG0000876	rna2483	Kwal_23.4343
OG0000877	rna2773	Kwal_23.4327
OG0000878	rna2774	Kwal_23.4326
OG0000879	rna2775	Kwal_23.4318
OG0000880	rna4785	Kwal_23.4310
OG0000881	rna2485	Kwal_23.4306
OG0000882	rna2486	Kwal_23.4298
OG0000883	rna4787	Kwal_23.4288
OG0000884	rna2490	Kwal_23.4272
OG0000885	rna2491	Kwal_23.4267
OG0000886	rna2492	Kwal_23.4253
OG0000887	rna4790	Kwal_23.4249
OG0000888	rna4791	Kwal_26.9422
OG0000889	rna4793	Kwal_26.9448
OG0000890	rna4795	Kwal_26.9457
OG0000891	rna4797	Kwal_26.9477
OG0000892	rna4798	Kwal_26.9480
OG0000893	rna4810	Kwal_26.9488
OG0000894	rna1790	Kwal_47.16776
OG0000895	rna1791	Kwal_47.16779
OG0000896	rna265	Kwal_56.22985
OG0000897	rna963	Kwal_56.22978
OG0000898	rna5396	Kwal_34.16287
OG0000899	rna1883	Kwal_34.16271
OG0000900	rna5391	Kwal_34.16245
OG0000901	rna1881	Kwal_34.16240
OG0000902	rna5389	Kwal_34.16235
OG0000903	rna5388	Kwal_34.16232
