Orthogroup	s_cerevisiae_proteins	k_lactis_proteins
OG0000348	rna3438	rna2031
OG0000351	rna4288, rna832	rna2159
OG0000353	rna3505	rna2240
OG0000355	rna707, rna3427	rna2287
OG0000360	rna732	rna2423
OG0000364	rna2995	rna2663
OG0000368	rna4925	rna2916
OG0000374	rna5447	rna3680, rna3494
OG0000375	rna6113	rna3536, rna3537
OG0000376	rna982, rna983, rna984	rna3583, rna4974
OG0000381	rna4569	rna3749
OG0000388	rna864	rna3917
OG0000396	rna5096	rna4207
OG0000400	rna4697	rna4319
OG0000415	rna4728	rna5158
OG0000427	rna695	rna71
OG0000430	rna5603	rna195, rna1412
OG0000431	rna3939	rna4944
OG0000432	rna2826	rna456
OG0000435	rna2790	rna681
OG0000436	rna4298	rna754
OG0000437	rna3770, rna5817	rna817
OG0000439	rna337	rna929
OG0000440	rna4725	rna1097
OG0000443	rna4917	rna1197, rna1169, rna1322
OG0000445	rna1471	rna1224
OG0000449	rna4142	rna1391
OG0000450	rna1858	rna1418
OG0000451	rna510	rna2323
OG0000456	rna360	rna1962, rna3728
OG0000457	rna4812	rna2027
OG0000458	rna1897	rna2249
OG0000460	rna4966	rna2421
OG0000461	rna4329	rna2494
OG0000462	rna3390	rna2513
OG0000464	rna6201, rna2305	rna2717
OG0000465	rna3022	rna2730, rna3745
OG0000468	rna168	rna3176
OG0000470	rna108	rna3220
OG0000471	rna122	rna3238
OG0000474	rna179	rna3484
OG0000485	rna268	rna4245
OG0000487	rna52	rna4384
OG0000489	rna2160	rna4467
OG0000491	rna2009	rna4531
OG0000492	rna996	rna4570
OG0000493	rna4103	rna4591
OG0000494	rna2669	rna4713
OG0000496	rna5470	rna4777
OG0000500	rna4521	rna5239
OG0000505	rna3037	rna8
OG0000508	rna1988	rna67
OG0000509	rna1369	rna88
OG0000510	rna1367	rna90
OG0000511	rna1747	rna131
OG0000512	rna19	rna147
OG0000513	rna1427	rna166
OG0000514	rna5737	rna176
OG0000515	rna5795, rna1484	rna1401, rna1403, rna185, rna186
OG0000516	rna4148	rna190, rna1406
OG0000517	rna4153	rna194, rna1411
OG0000519	rna2195	rna212
OG0000520	rna2476	rna219
OG0000522	rna2468	rna236
OG0000524	rna3715	rna249
OG0000525	rna629	rna272
OG0000526	rna1290	rna304
OG0000527	rna5490	rna346
OG0000528	rna3738	rna348
OG0000529	rna2591	rna369
OG0000530	rna2202	rna387
OG0000531	rna2190	rna397
OG0000533	rna2795	rna448
OG0000534	rna607	rna482
OG0000536	rna2414	rna517
OG0000537	rna3272	rna519
OG0000538	rna1992	rna554
OG0000539	rna1381	rna558
OG0000540	rna4453	rna563
OG0000541	rna4445	rna577
OG0000542	rna4433	rna600
OG0000543	rna4265	rna648
OG0000544	rna872	rna653
OG0000545	rna4260	rna656
OG0000546	rna2793	rna678
OG0000547	rna3411	rna685
OG0000548	rna4396	rna745
OG0000549	rna4291	rna764
OG0000550	rna4204	rna771
OG0000551	rna4197	rna779
OG0000552	rna3555	rna800
OG0000553	rna3556	rna801
OG0000555	rna1906	rna811
OG0000556	rna5802, rna5812	rna829
OG0000557	rna3093	rna4044, rna838
OG0000558	rna3103	rna851
OG0000559	rna2270	rna877
OG0000560	rna347	rna911
OG0000562	rna332	rna938
OG0000563	rna6153	rna941
OG0000564	rna329	rna943
OG0000565	rna6033	rna946
OG0000566	rna3777, rna6287	rna963
OG0000567	rna474	rna982, rna980, rna981
OG0000568	rna3029	rna993
OG0000569	rna311	rna1067
OG0000570	rna4589	rna1080
OG0000571	rna5712	rna1099
OG0000572	rna3653	rna1117
OG0000573	rna2562	rna1127
OG0000574	rna3561	rna1128
OG0000575	rna3441	rna1163
OG0000576	rna570	rna1251
OG0000578	rna4890	rna1285
OG0000579	rna3363	rna1316
OG0000580	rna3055	rna1325
OG0000581	rna3064	rna1336
OG0000582	rna636	rna1340
OG0000583	rna912	rna1352
OG0000584	rna920	rna1363
OG0000585	rna923	rna1374
OG0000586	rna4154	rna1413
OG0000587	rna5607	rna1419
OG0000588	rna1357	rna1478
OG0000589	rna1654	rna1542
OG0000590	rna5188	rna1563
OG0000591	rna5185	rna1568
OG0000592	rna663	rna1571
OG0000594	rna5667	rna1618
OG0000595	rna3842	rna1666, rna3560
OG0000596	rna3231	rna1668
OG0000597	rna364	rna1680
OG0000598	rna3602	rna1743
OG0000599	rna3599	rna1746
OG0000600	rna4502	rna1754
OG0000601	rna5283	rna1757
OG0000602	rna28	rna1763
OG0000604	rna2289	rna1874
OG0000605	rna6180	rna1877
OG0000606	rna798	rna1910
OG0000607	rna4063	rna1926
OG0000608	rna1724	rna1943
OG0000609	rna4166	rna1948
OG0000610	rna1770	rna1966
OG0000612	rna2207	rna1998
OG0000613	rna1513	rna2082
OG0000614	rna1511	rna2084
OG0000615	rna5422	rna2096
OG0000616	rna2213	rna2133
OG0000617	rna5703	rna2153
OG0000618	rna2136	rna2184
OG0000619	rna5887	rna2185
OG0000620	rna243	rna2206
OG0000621	rna5152	rna2256
OG0000622	rna3904	rna2293
OG0000623	rna1820	rna2295
OG0000624	rna5626	rna2335
OG0000625	rna5961	rna2347
OG0000626	rna5960	rna2350
OG0000627	rna5010	rna2384, rna2385
OG0000628	rna733	rna2419
OG0000629	rna2619	rna2426
OG0000630	rna2418	rna2467
OG0000631	rna3383	rna2522
OG0000632	rna780	rna2596
OG0000633	rna4059	rna2600
OG0000634	rna4677	rna2612
OG0000635	rna1297	rna2642
OG0000636	rna3000	rna2645
OG0000637	rna1586	rna2650
OG0000638	rna2996	rna2652
OG0000639	rna3956	rna2777
OG0000640	rna1094	rna2783
OG0000641	rna1101	rna2792
OG0000642	rna1111	rna2815
OG0000643	rna3980	rna2818
OG0000644	rna4028	rna2854
OG0000645	rna719	rna2893
OG0000646	rna717	rna2898
OG0000647	rna4933	rna2909
OG0000648	rna4930	rna2912
OG0000649	rna1757	rna2969
OG0000650	rna3368	rna2977
OG0000651	rna892	rna2983
OG0000652	rna5542	rna3049
OG0000653	rna1347	rna3068
OG0000654	rna2580	rna3089
OG0000655	rna1921	rna3115
OG0000656	rna4238	rna3171
OG0000657	rna887	rna3173
OG0000658	rna888	rna3174
OG0000659	rna163	rna3190
OG0000660	rna3378	rna3192
OG0000661	rna162	rna3194
OG0000662	rna3356	rna3200
OG0000663	rna119	rna3233
OG0000664	rna120	rna3235
OG0000665	rna3607	rna3278
OG0000666	rna5136	rna3304
OG0000667	rna5131	rna3324
OG0000668	rna827	rna3329
OG0000669	rna1744	rna3398
OG0000670	rna4759	rna3431, rna3432
OG0000671	rna4758	rna3434
OG0000672	rna2599	rna3451
OG0000673	rna1862	rna3473
OG0000674	rna2651	rna3505
OG0000675	rna6042	rna3508
OG0000676	rna3746	rna3521
OG0000677	rna4867	rna3525
OG0000678	rna1719	rna3541
OG0000679	rna6093	rna3563
OG0000680	rna1874	rna3567
OG0000681	rna1872	rna3569
OG0000682	rna4818	rna3581
OG0000683	rna3703	rna3604
OG0000684	rna2738	rna3630
OG0000685	rna3436	rna4495, rna3658
OG0000686	rna5826	rna3659
OG0000687	rna3875	rna3661
OG0000688	rna1217	rna3675
OG0000690	rna4552	rna3756
OG0000691	rna5910	rna3771
OG0000692	rna160	rna3818
OG0000693	rna1696	rna3843
OG0000695	rna5268	rna3871
OG0000696	rna419	rna3980
OG0000697	rna407	rna3994
OG0000698	rna5781	rna4062
OG0000699	rna5785	rna4065
OG0000700	rna5982	rna4077
OG0000702	rna3215	rna4145
OG0000703	rna369	rna4170
OG0000704	rna3152	rna4175
OG0000705	rna2506	rna4187
OG0000706	rna3362	rna4195
OG0000707	rna821	rna4302
OG0000708	rna473	rna4341
OG0000709	rna5370	rna4398
OG0000710	rna5371	rna4399
OG0000712	rna903	rna4426
OG0000713	rna2017	rna4452
OG0000714	rna2079	rna4483
OG0000715	rna1607	rna4491
OG0000716	rna680	rna4505
OG0000717	rna1049	rna4583
OG0000720	rna3168	rna4686, rna4685
OG0000721	rna2406	rna4734
OG0000722	rna5461	rna4763
OG0000723	rna5473	rna4780
OG0000724	rna5479	rna4787
OG0000725	rna3735	rna4794
OG0000726	rna3797	rna4858
OG0000727	rna1056	rna4894
OG0000728	rna1075	rna4929
OG0000729	rna5590	rna4950
OG0000730	rna2222	rna4968
OG0000731	rna4107	rna5067
OG0000732	rna2045	rna5072
OG0000733	rna5762	rna5090
OG0000734	rna5042	rna5102
OG0000735	rna5030	rna5123
OG0000736	rna3567	rna5209
OG0000737	rna2944	rna5273
OG0000738	rna2961	rna5284, rna5283
OG0000739	rna2965	rna5288
OG0000740	rna2716	rna5291
OG0000745	rna2358	rna5
OG0000746	rna3186	rna9
OG0000747	rna2834	rna14
OG0000748	rna2836	rna16
OG0000749	rna1960	rna27
OG0000750	rna1932	rna28
OG0000751	rna1961	rna29
OG0000752	rna1962	rna30
OG0000753	rna1963	rna31
OG0000754	rna1964	rna32
OG0000755	rna1966	rna35
OG0000756	rna1967	rna36
OG0000757	rna1968	rna38
OG0000758	rna1970	rna39
OG0000759	rna1928	rna41
OG0000760	rna1971	rna42
OG0000761	rna1973	rna44
OG0000762	rna1927	rna45
OG0000763	rna1626	rna50
OG0000764	rna1977	rna51
OG0000765	rna1625	rna54
OG0000767	rna1617	rna61
OG0000768	rna1985	rna64
OG0000769	rna1987	rna66
OG0000770	rna1989	rna68
OG0000771	rna1991	rna70
OG0000772	rna4457	rna72
OG0000773	rna1373	rna77
OG0000774	rna1517	rna80
OG0000775	rna1518	rna81
OG0000776	rna1371	rna82
OG0000777	rna1520	rna85
OG0000778	rna1368	rna89
OG0000779	rna1366	rna93
OG0000780	rna1364	rna95
OG0000781	rna5572	rna96
OG0000782	rna1363	rna97
OG0000783	rna5575	rna100
OG0000784	rna5570	rna102
OG0000785	rna4209	rna106
OG0000786	rna2253	rna111
OG0000787	rna2255	rna114
OG0000788	rna4213	rna116
OG0000789	rna2263	rna120
OG0000790	rna3664	rna128
OG0000791	rna6097	rna129
OG0000792	rna2037	rna136
OG0000793	rna2039	rna137
OG0000794	rna750	rna141
OG0000795	rna20	rna151
OG0000796	rna5775	rna154
OG0000797	rna22	rna155
OG0000798	rna23	rna156
OG0000799	rna24	rna157
OG0000800	rna5773	rna159
OG0000801	rna25	rna160
OG0000802	rna5771	rna162
OG0000803	rna5284	rna163
OG0000804	rna5738	rna171
OG0000805	rna44	rna172
OG0000806	rna46	rna173
OG0000807	rna1160	rna180
OG0000808	rna4087	rna181
OG0000809	rna1159	rna182
OG0000810	rna1152	rna184
OG0000811	rna4147	rna189
OG0000812	rna4151	rna193, rna1410
OG0000813	rna2359	rna199
OG0000814	rna2156	rna203
OG0000815	rna2157	rna204
OG0000816	rna2184	rna205
OG0000817	rna2185	rna206
OG0000818	rna2186	rna207
OG0000819	rna2187	rna208
OG0000820	rna206	rna211
OG0000821	rna2194	rna214
OG0000822	rna2193	rna215
OG0000823	rna2192	rna217
OG0000824	rna2477	rna218
OG0000825	rna2756	rna220
OG0000826	rna2755	rna221
OG0000827	rna2754	rna223
OG0000828	rna2753	rna224
OG0000829	rna2751	rna226
OG0000830	rna2750	rna227
OG0000831	rna2749	rna229
OG0000832	rna2470	rna234
OG0000833	rna2469	rna235
OG0000834	rna3709	rna242
OG0000835	rna3710	rna243
OG0000836	rna3711	rna244
OG0000837	rna3116	rna251
OG0000838	rna3115	rna252
OG0000839	rna2508	rna255
OG0000840	rna3718	rna259
OG0000841	rna3719	rna263
OG0000842	rna3721	rna267
OG0000843	rna3076	rna273
OG0000844	rna3078	rna275
OG0000845	rna3079	rna276
OG0000846	rna3476	rna279
OG0000847	rna3477	rna285
OG0000848	rna3086	rna286
OG0000849	rna3479	rna290
OG0000850	rna3482	rna293
OG0000851	rna3089	rna294
OG0000852	rna3484	rna297
OG0000853	rna1291	rna307
OG0000854	rna5444	rna310
OG0000855	rna1429	rna313
OG0000856	rna5291	rna324
OG0000857	rna5497	rna333
OG0000858	rna3744	rna337
OG0000859	rna5494	rna338
OG0000860	rna3743	rna339
OG0000861	rna3741	rna341
OG0000862	rna5492	rna344
OG0000863	rna5491	rna345
OG0000864	rna3739	rna347
OG0000865	rna3736	rna350
OG0000866	rna5486	rna351
OG0000867	rna3316	rna352
OG0000868	rna1902	rna372
OG0000869	rna593	rna379
OG0000870	rna73	rna386
OG0000871	rna2199	rna391
OG0000872	rna75	rna392
OG0000873	rna2757	rna399
OG0000874	rna2760	rna401
OG0000875	rna2767	rna405
OG0000876	rna2483	rna411
OG0000877	rna2773	rna413
OG0000878	rna2774	rna414
OG0000879	rna2775	rna415
OG0000880	rna4785	rna416
OG0000881	rna2485	rna417
OG0000882	rna2486	rna420
OG0000883	rna4787	rna422
OG0000884	rna2490	rna425
OG0000885	rna2491	rna426
OG0000886	rna2492	rna429
OG0000887	rna4790	rna430
OG0000888	rna4791	rna431
OG0000889	rna4793	rna435
OG0000890	rna4795	rna437
OG0000891	rna4797	rna442
OG0000892	rna4798	rna443
OG0000893	rna4810	rna445
OG0000894	rna1790	rna449
OG0000895	rna1791	rna450
OG0000896	rna265	rna462
OG0000897	rna963	rna464
OG0000898	rna5396	rna468
OG0000899	rna1883	rna471
OG0000900	rna5391	rna474
OG0000901	rna1881	rna475
OG0000902	rna5389	rna477
OG0000903	rna5388	rna478
OG0000904	rna609	rna484
OG0000905	rna617	rna494
OG0000906	rna1562	rna496
OG0000907	rna1561	rna497
OG0000908	rna627	rna498
OG0000909	rna1556	rna503
OG0000910	rna623	rna504
OG0000911	rna5002	rna505
OG0000912	rna5000	rna508
OG0000913	rna5013	rna509
OG0000914	rna5015	rna512
OG0000915	rna5016	rna513
OG0000916	rna5017	rna514
OG0000917	rna5018	rna515
OG0000918	rna3273	rna520
OG0000919	rna2083	rna547
OG0000920	rna1610	rna549
OG0000921	rna1380	rna557
OG0000922	rna1383	rna559
OG0000923	rna4455	rna561
OG0000924	rna1384	rna564
OG0000925	rna1385	rna565
OG0000926	rna4451	rna567
OG0000927	rna1386	rna568
OG0000928	rna4450	rna569
OG0000929	rna1387	rna570
OG0000931	rna4444	rna578
OG0000932	rna1399	rna588
OG0000933	rna1400	rna589
OG0000934	rna1403	rna593
OG0000935	rna4435	rna596
OG0000936	rna1405	rna597
OG0000937	rna1406	rna598
OG0000938	rna1407	rna601
OG0000939	rna2068	rna609
OG0000940	rna5875	rna613
OG0000941	rna5877	rna615
OG0000942	rna5878	rna616
OG0000943	rna5879	rna617
OG0000944	rna2072	rna618
OG0000945	rna2073	rna619
OG0000946	rna2074	rna620
OG0000948	rna5882	rna623
OG0000949	rna5883	rna625
OG0000950	rna2138	rna629
OG0000951	rna5886	rna631
OG0000952	rna3465	rna632
OG0000953	rna4277	rna633
OG0000954	rna3470	rna639
OG0000955	rna3473	rna641
OG0000956	rna4272	rna642
OG0000957	rna3474	rna643
OG0000958	rna4268	rna644
OG0000959	rna4267	rna645
OG0000960	rna868	rna646
OG0000961	rna4259	rna657
OG0000962	rna874	rna658
OG0000963	rna5735	rna660, rna1819
OG0000964	rna4257	rna662
OG0000965	rna4256	rna664
OG0000966	rna4255	rna665
OG0000967	rna6278	rna670
OG0000968	rna6280	rna671
OG0000969	rna6281	rna672
OG0000970	rna6284	rna675
OG0000971	rna6285	rna676
OG0000972	rna6286	rna677
OG0000973	rna2792	rna679
OG0000974	rna3412	rna684
OG0000975	rna3410	rna686
OG0000976	rna2789	rna687
OG0000977	rna3409	rna688
OG0000978	rna3408	rna689
OG0000979	rna3406	rna691
OG0000980	rna2788	rna692
OG0000981	rna3405	rna694
OG0000982	rna3404	rna697
OG0000983	rna3400	rna703
OG0000984	rna3399	rna705
OG0000985	rna2781	rna707
OG0000986	rna2780	rna709
OG0000987	rna3398	rna712
OG0000988	rna3028	rna715
OG0000989	rna3396	rna716
OG0000991	rna4379	rna720
OG0000992	rna3392	rna724
OG0000993	rna4307	rna732
OG0000994	rna4390	rna738
OG0000995	rna4391	rna739
OG0000997	rna4399	rna749
OG0000998	rna4300	rna751
OG0000999	rna4401	rna753
OG0001000	rna4296	rna758
OG0001001	rna4295	rna759
OG0001002	rna5566	rna765
OG0001003	rna1361	rna766
OG0001004	rna4206	rna769
OG0001005	rna2245	rna770
OG0001006	rna2238	rna777
OG0001007	rna4196	rna783
OG0001008	rna2233	rna785
OG0001009	rna4194	rna787
OG0001010	rna4560	rna803
OG0001011	rna3455	rna807
OG0001012	rna3325	rna808
OG0001013	rna958	rna816
OG0001014	rna257	rna822
OG0001015	rna956	rna825
OG0001016	rna952	rna832
OG0001017	rna250	rna833
OG0001018	rna247	rna835
OG0001019	rna3486	rna836
OG0001020	rna3488	rna839
OG0001021	rna3102	rna850
OG0001022	rna3072	rna853
OG0001023	rna635	rna858
OG0001024	rna5312	rna861
OG0001025	rna1437	rna862
OG0001026	rna4231	rna863
OG0001027	rna2272	rna874
OG0001028	rna2271	rna876
OG0001029	rna5706	rna884
OG0001030	rna4719	rna885
OG0001031	rna4718	rna887
OG0001032	rna4717	rna888
OG0001033	rna6149	rna894
OG0001034	rna6148	rna895
OG0001035	rna6147	rna896
OG0001036	rna6144	rna900
OG0001037	rna4753	rna901
OG0001038	rna5356	rna905
OG0001039	rna345	rna913
OG0001040	rna6167	rna915
OG0001041	rna6164	rna920
OG0001042	rna6160	rna926
OG0001043	rna338	rna928
OG0001044	rna336	rna930
OG0001045	rna334	rna932
OG0001046	rna6155	rna935
OG0001047	rna333	rna937
OG0001048	rna6152	rna942
OG0001049	rna384	rna948
OG0001050	rna382	rna951
OG0001051	rna375	rna961
OG0001052	rna2653	rna971
OG0001053	rna1271	rna972
OG0001054	rna4685	rna975
OG0001055	rna4686	rna976
OG0001056	rna5839	rna979
OG0001057	rna5914	rna985
OG0001058	rna6258	rna988
OG0001059	rna4314	rna989
OG0001060	rna6261	rna992
OG0001061	rna6262	rna994
OG0001062	rna6264	rna996
OG0001063	rna6269	rna1002
OG0001064	rna6232	rna1005
OG0001065	rna2336	rna1006
OG0001066	rna6230	rna1007
OG0001067	rna6229	rna1008
OG0001068	rna6227	rna1010
OG0001069	rna6222	rna1014
OG0001070	rna6221	rna1015
OG0001071	rna2329	rna1017
OG0001072	rna6218	rna1020
OG0001073	rna6216	rna1023
OG0001074	rna6215	rna1024
OG0001075	rna6212	rna1026
OG0001076	rna2326	rna1028
OG0001077	rna2325	rna1030
OG0001078	rna2324	rna1031
OG0001079	rna475	rna1032
OG0001080	rna1595	rna1034
OG0001081	rna3004	rna1036
OG0001082	rna1591	rna1038
OG0001083	rna1590	rna1039
OG0001084	rna3003	rna1040
OG0001085	rna5384	rna1046
OG0001086	rna322	rna1051
OG0001087	rna320	rna1054
OG0001089	rna6140	rna1059
OG0001090	rna6139	rna1060
OG0001091	rna6138	rna1061
OG0001092	rna6137	rna1062
OG0001093	rna312	rna1064
OG0001094	rna178	rna1071
OG0001095	rna3518	rna1072
OG0001096	rna4586	rna1084
OG0001097	rna3531	rna1091
OG0001098	rna3532	rna1093
OG0001099	rna4580	rna1094
OG0001100	rna5710	rna1101
OG0001101	rna4722	rna1103
OG0001102	rna4221	rna1104
OG0001103	rna4219	rna1106
OG0001104	rna4217	rna1109
OG0001105	rna3658	rna1112
OG0001106	rna3657	rna1113
OG0001107	rna3654	rna1116
OG0001108	rna3648	rna1120
OG0001109	rna2566	rna1121
OG0001110	rna2564	rna1123
OG0001111	rna3646	rna1125
OG0001112	rna3645	rna1126
OG0001113	rna3560	rna1129
OG0001114	rna2557	rna1131
OG0001115	rna4558	rna1133
OG0001116	rna3327	rna1134
OG0001117	rna3329	rna1136
OG0001118	rna3332	rna1140
OG0001119	rna3335	rna1144
OG0001120	rna3336	rna1147
OG0001121	rna3337	rna1148
OG0001122	rna3338	rna1150
OG0001123	rna3448	rna1151
OG0001124	rna3339	rna1155
OG0001125	rna3445	rna1156
OG0001126	rna3444	rna1157
OG0001127	rna3341	rna1159
OG0001128	rna3342	rna1161
OG0001129	rna3442	rna1162
OG0001130	rna3440	rna1164
OG0001131	rna532, rna643	rna1198
OG0001132	rna535	rna1203
OG0001133	rna536	rna1204
OG0001134	rna544	rna1214
OG0001135	rna545	rna1215
OG0001136	rna1479	rna1217
OG0001137	rna1481	rna1219
OG0001138	rna1476	rna1221
OG0001139	rna552	rna1228
OG0001141	rna557	rna1233
OG0001142	rna558	rna1234
OG0001143	rna1460	rna1245
OG0001144	rna4037	rna1259
OG0001145	rna4041	rna1263
OG0001146	rna4044	rna1267
OG0001147	rna4882	rna1268
OG0001148	rna4046	rna1270
OG0001149	rna4885	rna1271
OG0001150	rna647	rna1275
OG0001151	rna4886	rna1276
OG0001152	rna4887	rna1278
OG0001153	rna5569	rna1280
