Orthogroup	s_cerevisiae_proteins	s_paradoxus_proteins
OG0000530	rna2202	Spar_7.297
OG0000531	rna2190	Spar_7.286
OG0000533	rna2795	Spar_8.316
OG0000534	rna607	Spar_3.98
OG0000536	rna2414	Spar_7.548
OG0000537	rna3272	Spar_10.278
OG0000538	rna1992	Spar_7.55
OG0000539	rna1381	Spar_4.795
OG0000540	rna4453	Spar_13.141
OG0000541	rna4445	Spar_13.133, Spar_4.807
OG0000542	rna4433	Spar_13.121
OG0000543	rna4265	Spar_12.546
OG0000544	rna872	Spar_4.207
OG0000545	rna4260	Spar_12.540
OG0000546	rna2793	Spar_8.314
OG0000547	rna3411	Spar_10.428
OG0000548	rna4396	Spar_13.84
OG0000549	rna4291	Spar_12.573
OG0000550	rna4204	Spar_12.483
OG0000551	rna4197	Spar_12.470
OG0000552	rna3555	Spar_11.163
OG0000553	rna3556	Spar_11.164
OG0000555	rna1906	Spar_6.138
OG0000556	rna5802, rna5812	Spar_15.609
OG0000557	rna3093	Spar_10.68
OG0000558	rna3103	Spar_10.81
OG0000559	rna2270	Spar_7.372
OG0000560	rna347	Spar_2.283
OG0000562	rna332	Spar_2.267
OG0000563	rna6153	Spar_16.413
OG0000564	rna329	Spar_2.264
OG0000565	rna6033	Spar_16.273
OG0000566	rna3777	Spar_12.14
OG0000566	rna6287	Spar_16.567
OG0000567	rna474	Spar_2.427
OG0000568	rna3029	Spar_9.236
OG0000569	rna311	Spar_2.245
OG0000570	rna4589	Spar_13.288
OG0000571	rna5712	Spar_15.504
OG0000572	rna3653	Spar_11.276
OG0000573	rna2562	Spar_8.49
OG0000574	rna3561	Spar_11.169
OG0000575	rna3441	Spar_11.18
OG0000576	rna570	Spar_3.49
OG0000578	rna4890	Spar_14.73
OG0000579	rna3363	Spar_10.374
OG0000580	rna3055	Spar_10.26
OG0000581	rna3064	Spar_10.37
OG0000582	rna636	Spar_3.139
OG0000583	rna912	Spar_4.251
OG0000584	rna920	Spar_4.259
OG0000585	rna923	Spar_4.262
OG0000586	rna4154	Spar_12.419
OG0000587	rna5607	Spar_15.388
OG0000588	rna1357	Spar_4.755
OG0000589	rna1654	Spar_5.210
OG0000590	rna5188	Spar_14.393
OG0000591	rna5185	Spar_14.390
OG0000592	rna663	Spar_3.166
OG0000594	rna5667	Spar_15.458
OG0000595	rna3842	Spar_12.88
OG0000596	rna3231	Spar_10.227
OG0000597	rna364	Spar_2.303
OG0000598	rna3602	Spar_11.218
OG0000599	rna3599	Spar_11.215
OG0000600	rna4502	Spar_13.190
OG0000601	rna5283	Spar_15.47
OG0000602	rna28	Spar_1.27
OG0000604	rna2289	Spar_7.393
OG0000605	rna6180	Spar_16.449
OG0000606	rna798	Spar_4.118
OG0000607	rna4063	Spar_12.315
OG0000608	rna1724	Spar_5.303
OG0000609	rna4166	Spar_12.435
OG0000610	rna1770	Spar_5.361
OG0000612	rna2207	Spar_7.302
OG0000613	rna1513	Spar_5.19
OG0000614	rna1511	Spar_5.17
OG0000615	rna5422	Spar_15.199
OG0000616	rna2213	Spar_7.308
OG0000617	rna5703	Spar_15.494
OG0000618	rna2136	Spar_7.222
OG0000619	rna5887	Spar_16.119
OG0000620	rna243	Spar_2.166
OG0000621	rna5152	Spar_14.356
OG0000622	rna3904	Spar_12.150
OG0000623	rna1820	Spar_6.35
OG0000624	rna5626	Spar_15.415
OG0000625	rna5961	Spar_16.194
OG0000626	rna5960	Spar_16.193
OG0000627	rna5010	Spar_14.196
OG0000628	rna733	Spar_4.47
OG0000629	rna2619	Spar_8.117
OG0000630	rna2418	Spar_7.552
OG0000631	rna3383	Spar_10.400
OG0000632	rna780	Spar_4.95
OG0000633	rna4059	Spar_12.310
OG0000634	rna4677	Spar_13.385
OG0000635	rna1297	Spar_4.616
OG0000636	rna3000	Spar_9.206
OG0000637	rna1586	Spar_5.132
OG0000638	rna2996	Spar_9.201
OG0000639	rna3956	Spar_12.210
OG0000640	rna1094	Spar_4.457
OG0000641	rna1101	Spar_4.466
OG0000642	rna1111	Spar_4.476
OG0000643	rna3980	Spar_12.238
OG0000644	rna4028	Spar_12.277
OG0000645	rna719	Spar_4.33
OG0000646	rna717	Spar_4.31
OG0000647	rna4933	Spar_14.117
OG0000648	rna4930	Spar_14.113
OG0000649	rna1757	Spar_5.346
OG0000650	rna3368	Spar_10.384
OG0000651	rna892	Spar_4.229
OG0000652	rna5542	Spar_4.730
OG0000653	rna1347	Spar_4.741
OG0000654	rna2580	Spar_8.67
OG0000655	rna1921	Spar_6.152
OG0000656	rna4238	Spar_12.517
OG0000657	rna887	Spar_4.223
OG0000658	rna888	Spar_4.224
OG0000659	rna163	Spar_2.76
OG0000660	rna3378	Spar_10.395
OG0000661	rna162	Spar_2.73
OG0000662	rna3356	Spar_10.368
OG0000663	rna119	Spar_2.28
OG0000664	rna120	Spar_2.29
OG0000665	rna3607	Spar_11.223
OG0000666	rna5136	Spar_14.337
OG0000667	rna5131	Spar_14.334
OG0000668	rna827	Spar_4.159
OG0000669	rna1744	Spar_5.333
OG0000670	rna4759	Spar_13.458
OG0000671	rna4758	Spar_13.457
OG0000672	rna2599	Spar_8.95
OG0000673	rna1862	Spar_6.85
OG0000674	rna2651	Spar_8.149
OG0000675	rna6042	Spar_16.285
OG0000676	rna3746	Spar_11.382
OG0000677	rna4867	Spar_14.46
OG0000678	rna1719	Spar_5.298
OG0000679	rna6093	Spar_16.343
OG0000680	rna1874	Spar_6.96
OG0000681	rna1872	Spar_6.94
OG0000682	rna4818	Spar_13.521
OG0000683	rna3703	Spar_11.338
OG0000684	rna2738	Spar_8.251
OG0000685	rna3436	Spar_11.13
OG0000686	rna5826	Spar_16.47
OG0000687	rna3875	Spar_12.121
OG0000688	rna1217	Spar_4.642
OG0000690	rna4552	Spar_13.243
OG0000691	rna5910	Spar_16.143
OG0000692	rna160	Spar_2.71
OG0000693	rna1696	Spar_5.273
OG0000695	rna5268	Spar_15.31
OG0000696	rna419	Spar_2.366
OG0000697	rna407	Spar_2.353
OG0000698	rna5781	Spar_15.588
OG0000699	rna5785	Spar_15.592
OG0000700	rna5982	Spar_16.214
OG0000702	rna3215	Spar_10.199
OG0000703	rna369	Spar_2.309
OG0000704	rna3152	Spar_10.138
OG0000705	rna2506	Spar_7.639
OG0000706	rna3362	Spar_10.373
OG0000707	rna821	Spar_4.153
OG0000708	rna473	Spar_2.426
OG0000709	rna5370	Spar_15.145
OG0000710	rna5371	Spar_15.146
OG0000712	rna903	Spar_4.240
OG0000713	rna2017	Spar_7.88
OG0000714	rna2079	Spar_7.154
OG0000715	rna1607	Spar_5.162
OG0000716	rna680	Spar_3.186
OG0000717	rna1049	Spar_4.407
OG0000720	rna3168	Spar_10.153
OG0000721	rna2406	Spar_7.538
OG0000723	rna5473	Spar_15.255
OG0000724	rna5479	Spar_15.263
OG0000725	rna3735	Spar_11.370
OG0000726	rna3797	Spar_12.39
OG0000727	rna1056	Spar_4.416
OG0000728	rna1075	Spar_4.436
OG0000729	rna5590	Spar_15.368
OG0000730	rna2222	Spar_7.316
OG0000731	rna4107	Spar_12.365
OG0000732	rna2045	Spar_7.117
OG0000733	rna5762	Spar_15.567
OG0000734	rna5042	Spar_14.227
OG0000735	rna5030	Spar_14.214
OG0000736	rna3567	Spar_11.176
OG0000737	rna2944	Spar_9.134
OG0000738	rna2961	Spar_9.151
OG0000739	rna2965	Spar_9.162
OG0000740	rna2716	Spar_8.226
OG0000742	rna722	Spar_4.36
OG0000745	rna2358	Spar_7.477
OG0000746	rna3186	Spar_10.171
OG0000747	rna2834	Spar_9.17
OG0000748	rna2836	Spar_9.19
OG0000749	rna1960	Spar_7.23
OG0000750	rna1932	Spar_6.163
OG0000751	rna1961	Spar_7.24
OG0000752	rna1962	Spar_7.25
OG0000753	rna1963	Spar_7.26
OG0000754	rna1964	Spar_7.27
OG0000755	rna1966	Spar_7.29
OG0000756	rna1967	Spar_7.30
OG0000757	rna1968	Spar_7.31
OG0000758	rna1970	Spar_7.32
OG0000759	rna1928	Spar_6.159
OG0000760	rna1971	Spar_7.33
OG0000761	rna1973	Spar_7.35
OG0000762	rna1927	Spar_6.158
OG0000763	rna1626	Spar_5.179
OG0000764	rna1977	Spar_7.39
OG0000765	rna1625	Spar_5.178
OG0000767	rna1617	Spar_5.172
OG0000768	rna1985	Spar_7.48
OG0000769	rna1987	Spar_7.50
OG0000770	rna1989	Spar_7.52
OG0000771	rna1991	Spar_7.54
OG0000772	rna4457	Spar_13.145
OG0000773	rna1373	Spar_4.771
OG0000774	rna1517	Spar_5.22
OG0000775	rna1518	Spar_5.23
OG0000776	rna1371	Spar_4.769
OG0000777	rna1520	Spar_5.26
OG0000778	rna1368	Spar_4.766
OG0000779	rna1366	Spar_4.764
OG0000780	rna1364	Spar_4.762
OG0000781	rna5572	Spar_15.350
OG0000782	rna1363	Spar_4.761
OG0000783	rna5575	Spar_15.353
OG0000784	rna5570	Spar_15.348
OG0000785	rna4209	Spar_12.489
OG0000786	rna2253	Spar_7.354
OG0000787	rna2255	Spar_7.356
OG0000788	rna4213	Spar_12.493
OG0000789	rna2263	Spar_7.366
OG0000790	rna3664	Spar_11.288
OG0000791	rna6097	Spar_16.348
OG0000792	rna2037	Spar_7.109
OG0000793	rna2039	Spar_7.111
OG0000794	rna750	Spar_4.64
OG0000795	rna20	Spar_1.19
OG0000796	rna5775	Spar_15.580
OG0000797	rna22	Spar_1.21
OG0000798	rna23	Spar_1.22
OG0000799	rna24	Spar_1.23
OG0000800	rna5773	Spar_15.578
OG0000801	rna25	Spar_1.24
OG0000802	rna5771	Spar_15.576
OG0000803	rna5284	Spar_15.48
OG0000804	rna5738	Spar_15.537
OG0000805	rna44	Spar_1.43
OG0000806	rna46	Spar_1.44
OG0000807	rna1160	Spar_4.526
OG0000808	rna4087	Spar_12.341
OG0000809	rna1159	Spar_4.525
OG0000810	rna1152	Spar_4.520
OG0000811	rna4147	Spar_12.410
OG0000812	rna4151	Spar_12.415
OG0000813	rna2359	Spar_7.478
OG0000814	rna2156	Spar_7.243
OG0000815	rna2157	Spar_7.244
OG0000816	rna2184	Spar_7.280
OG0000817	rna2185	Spar_7.281
OG0000818	rna2186	Spar_7.282
OG0000819	rna2187	Spar_7.283
OG0000820	rna206	Spar_2.128
OG0000821	rna2194	Spar_7.290
OG0000822	rna2193	Spar_7.289
OG0000823	rna2192	Spar_7.288
OG0000824	rna2477	Spar_7.614
OG0000825	rna2756	Spar_8.268
OG0000826	rna2755	Spar_8.267
OG0000827	rna2754	Spar_8.266
OG0000828	rna2753	Spar_8.265
OG0000829	rna2751	Spar_8.263
OG0000830	rna2750	Spar_8.262
OG0000831	rna2749	Spar_8.261
OG0000832	rna2470	Spar_7.606
OG0000833	rna2469	Spar_7.605
OG0000834	rna3709	Spar_11.344
OG0000835	rna3710	Spar_11.345
OG0000836	rna3711	Spar_11.346
OG0000837	rna3116	Spar_10.94
OG0000838	rna3115	Spar_10.93
OG0000839	rna2508	Spar_7.641
OG0000840	rna3718	Spar_11.352
OG0000841	rna3719	Spar_11.353
OG0000842	rna3721	Spar_11.355
OG0000843	rna3076	Spar_10.49
OG0000844	rna3078	Spar_10.51
OG0000845	rna3079	Spar_10.52
OG0000846	rna3476	Spar_11.70
OG0000847	rna3477	Spar_11.71
OG0000848	rna3086	Spar_10.59
OG0000849	rna3479	Spar_11.73
OG0000850	rna3482	Spar_11.76
OG0000851	rna3089	Spar_10.64
OG0000852	rna3484	Spar_11.78
OG0000853	rna1291	Spar_4.719
OG0000854	rna5444	Spar_15.223
OG0000855	rna1429	Spar_4.847
OG0000856	rna5291	Spar_15.56
OG0000857	rna5497	Spar_15.287
OG0000858	rna3744	Spar_11.380
OG0000859	rna5494	Spar_15.284
OG0000860	rna3743	Spar_11.379
OG0000861	rna3741	Spar_11.376
OG0000862	rna5492	Spar_15.282
OG0000863	rna5491	Spar_15.281
