Orthogroup	s_cerevisiae_proteins	s_bayanus_proteins
OG0000021	rna3105	Sbay_6.230
OG0000022	rna195, rna696, rna5228, rna698, rna697, rna2817, rna3043, rna5227	Sbay_14.308
OG0000024	rna520, rna1814	Sbay_16.23
OG0000024	rna2510, rna6290	Sbay_16.25, Sbay_5.324
OG0000025	rna3208	Sbay_6.127
OG0000026	rna4803	Sbay_13.498
OG0000027	rna3099	Sbay_6.237
OG0000029	rna706, rna3428, rna521	Sbay_16.22, Sbay_2.2
OG0000030	rna4473	Sbay_13.169
OG0000031	rna1717	Sbay_5.243
OG0000032	rna3874	Sbay_10.128
OG0000032	rna3960	Sbay_10.227
OG0000032	rna2294	Sbay_7.369
OG0000033	rna971	Sbay_2.186
OG0000033	rna272	Sbay_4.286
OG0000033	rna621	Sbay_3.52
OG0000034	rna960	Sbay_2.171
OG0000035	rna2765	Sbay_15.379
OG0000035	rna5921	Sbay_16.139
OG0000036	rna5888	Sbay_16.104
OG0000037	rna4893	Sbay_14.75
OG0000038	rna1648	Sbay_5.169
OG0000038	rna1649	Sbay_5.170
OG0000039	rna878	Sbay_4.184
OG0000040	rna3926	Sbay_10.182
OG0000040	rna5749	Sbay_8.387
OG0000041	rna5019	Sbay_14.204
OG0000041	rna699, rna4320	Sbay_7.4, Sbay_7.5, Sbay_8.1, Sbay_9.10
OG0000043	rna226	Sbay_2.138, Sbay_14.315
OG0000044	rna5742	Sbay_8.379
OG0000046	rna4092, rna5487, rna5608	Sbay_10.332, Sbay_10.479
OG0000048	rna6018	Sbay_16.238
OG0000048	rna1631	Sbay_5.149
OG0000049	rna5128	Sbay_14.316
OG0000050	rna5086	Sbay_14.274, Sbay_7.117
OG0000051	rna307	Sbay_4.328
OG0000051	rna2427	Sbay_7.498
OG0000052	rna2293	Sbay_7.368
OG0000052	rna6086	Sbay_16.314
OG0000053	rna1171	Sbay_2.125, Sbay_2.392
OG0000054	rna3888	Sbay_10.142
OG0000054	rna488	Sbay_4.525
OG0000055	rna196	Sbay_2.105
OG0000055	rna2251	Sbay_7.325
OG0000057	rna894	Sbay_4.200
OG0000057	rna3083	Sbay_6.255
OG0000058	rna3695	Sbay_11.273
OG0000059	rna2526	Sbay_8.13
OG0000059	rna5884	Sbay_16.98
OG0000060	rna2864	Sbay_9.65
OG0000060	rna5705	Sbay_8.339
OG0000061	rna5515	Sbay_8.153
OG0000062	rna6209, rna5832	Sbay_16.47
OG0000062	rna5353	Sbay_15.110
OG0000063	rna5699	Sbay_8.333
OG0000063	rna5700	Sbay_8.334
OG0000064	rna709, rna3425, rna1809, rna4828	Sbay_2.5
OG0000065	rna741	Sbay_4.38
OG0000066	rna6090	Sbay_16.319
OG0000067	rna3085	Sbay_6.252
OG0000068	rna3772	Sbay_10.8
OG0000069	rna5733	Sbay_8.369
OG0000069	rna2985, rna4739	Sbay_13.431
OG0000071	rna4928	Sbay_14.112
OG0000071	rna4896	Sbay_14.78
OG0000072	rna5414	Sbay_15.173
OG0000073	rna3181	Sbay_11.245
OG0000074	rna4537	Sbay_13.231
OG0000075	rna5646	Sbay_8.281
OG0000076	rna4536	Sbay_13.229
OG0000077	rna1170	Sbay_2.391
OG0000077	rna215	Sbay_2.126
OG0000078	rna598	Sbay_3.24
OG0000079	rna6005	Sbay_16.224
OG0000081	rna2484	Sbay_7.557
OG0000082	rna380	Sbay_4.411
OG0000084	rna1781	Sbay_5.309
OG0000084	rna2797	Sbay_15.416
OG0000085	rna4654, rna4653	Sbay_13.349
OG0000086	rna1816, rna5276	Sbay_15.29, Sbay_15.30, Sbay_6.3, Sbay_7.588
OG0000087	rna4817	Sbay_13.513
OG0000089	rna3841	Sbay_10.93
OG0000089	rna3008	Sbay_9.224
OG0000090	rna1596	Sbay_5.109
OG0000090	rna4568	Sbay_13.266
OG0000093	rna3432	Sbay_15.4
OG0000094	rna4575	Sbay_13.273
OG0000094	rna1808, rna4827	Sbay_2.4
OG0000095	rna1365	Sbay_15.345, Sbay_2.586
OG0000095	rna5571	Sbay_8.207
OG0000096	rna6056	Sbay_16.280
OG0000096	rna2196	Sbay_7.273
OG0000097	rna4821, rna5804, rna5810	Sbay_15.374
OG0000098	rna3056	Sbay_6.285
OG0000099	rna4712	Sbay_13.405
OG0000099	rna5695	Sbay_8.328
OG0000100	rna4820, rna5811, rna5803	Sbay_2.715
OG0000100	rna1483	Sbay_8.11
OG0000101	rna239	Sbay_2.150
OG0000101	rna3027	Sbay_9.244
OG0000102	rna2711	Sbay_15.326
OG0000103	rna1273	Sbay_2.491
OG0000105	rna1047	Sbay_2.259
OG0000105	rna1784	Sbay_5.313
OG0000107	rna3424, rna703, rna5242, rna4829, rna710	Sbay_14.10
OG0000110	rna1807, rna4826	Sbay_2.3
OG0000110	rna4574	Sbay_13.272
OG0000111	rna2003	Sbay_7.61
OG0000112	rna4858	Sbay_14.41
OG0000112	rna5290	Sbay_15.44
OG0000113	rna4309	Sbay_10.567
OG0000114	rna1187	Sbay_2.408
OG0000115	rna3526	Sbay_11.99
OG0000115	rna4583	Sbay_13.281
OG0000117	rna4408	Sbay_13.105
OG0000118	rna918	Sbay_4.226
OG0000120	rna4167	Sbay_10.406
OG0000121	rna1569	Sbay_5.79
OG0000121	rna2763	Sbay_15.377
OG0000122	rna850	Sbay_4.150
OG0000122	rna851	Sbay_4.151
OG0000124	rna1279	Sbay_2.497
OG0000124	rna2663	Sbay_15.273
OG0000125	rna1793	Sbay_7.507
OG0000126	rna5084	Sbay_14.272
OG0000126	rna2859	Sbay_9.58
OG0000127	rna4745	Sbay_13.435
OG0000127	rna3732	Sbay_11.312
OG0000128	rna2399	Sbay_7.470
OG0000128	rna5789	Sbay_8.434
OG0000129	rna516	Sbay_4.554
OG0000129	rna3920	Sbay_10.176
OG0000130	rna4958	Sbay_14.144
OG0000131	rna4519	Sbay_13.212
OG0000131	rna4520	Sbay_13.213
OG0000132	rna1946, rna5799	Sbay_13.4
OG0000136	rna2467	Sbay_7.538
OG0000136	rna2747	Sbay_15.361
OG0000137	rna209	Sbay_2.121
OG0000138	rna1608	Sbay_5.123
OG0000139	rna2786	Sbay_15.402
OG0000139	rna2785	Sbay_15.401
OG0000143	rna2275	Sbay_7.348
OG0000144	rna6260	Sbay_16.495
OG0000147	rna1451	Sbay_2.679
OG0000148	rna4042	Sbay_10.280
OG0000149	rna2739	Sbay_15.354
OG0000149	rna4903	Sbay_14.85
OG0000152	rna4633	Sbay_13.330
OG0000153	rna3776	Sbay_10.18
OG0000153	rna702	Sbay_15.415
OG0000154	rna5431	Sbay_15.190
OG0000154	rna1349	Sbay_2.568
OG0000160	rna5818	Sbay_13.515, Sbay_16.32
OG0000160	rna3769	Sbay_16.17
OG0000161	rna5231	Sbay_13.463, Sbay_13.33
OG0000163	rna3421	Sbay_12.249
OG0000165	rna1823	Sbay_6.10
OG0000165	rna3901	Sbay_10.156
OG0000166	rna5630	Sbay_8.266
OG0000168	rna1656, rna1859	Sbay_5.178, Sbay_6.51
OG0000169	rna5145	Sbay_14.332
OG0000169	rna2720	Sbay_15.335
OG0000172	rna4025	Sbay_10.261
OG0000172	rna1123	Sbay_2.344
OG0000173	rna1341	Sbay_2.559
OG0000177	rna801	Sbay_4.100
OG0000178	rna2060	Sbay_7.120
OG0000180	rna2743	Sbay_15.357
OG0000180	rna2462	Sbay_7.530
OG0000183	rna1683	Sbay_5.202
OG0000183	rna158	Sbay_2.63
OG0000186	rna6001	Sbay_16.220
OG0000191	rna5151	Sbay_14.340
OG0000191	rna4602	Sbay_13.298
OG0000192	rna3030	Sbay_9.247
OG0000192	rna5037	Sbay_14.222
OG0000194	rna224	Sbay_8.420
OG0000195	rna1947	Sbay_5.322
OG0000195	rna5221	Sbay_14.418
OG0000196	rna1994	Sbay_7.52
OG0000196	rna1609	Sbay_5.124
OG0000197	rna5797	Sbay_11.2
OG0000197	rna4814	Sbay_13.509
OG0000198	rna3050	Sbay_1.116, Sbay_6.291
OG0000202	rna1622	Sbay_5.138
OG0000206	rna1293	Sbay_2.511
OG0000207	rna5287	Sbay_15.41
OG0000213	rna5220	Sbay_14.417
OG0000216	rna3393	Sbay_12.217
OG0000219	rna3554	Sbay_11.129
OG0000224	rna6213	Sbay_16.454
OG0000227	rna4596	Sbay_13.294
OG0000230	rna692	Sbay_3.74
OG0000230	rna642	Sbay_3.147
OG0000230	rna531	Sbay_3.135
OG0000231	rna533	Sbay_3.150
OG0000250	rna4804	Sbay_13.499
OG0000255	rna3775	Sbay_10.14, Sbay_16.4
OG0000261	rna1951	Sbay_7.8
OG0000273	rna3034	Sbay_9.251
OG0000273	rna3035	Sbay_9.252
OG0000288	rna468	Sbay_4.504
OG0000296	rna902	Sbay_4.210
OG0000303	rna981	Sbay_2.195, Sbay_4.299
OG0000312	rna6044	Sbay_16.267
OG0000322	rna594	Sbay_3.18
OG0000331	rna378	Sbay_4.409
OG0000334	rna6151	Sbay_16.393
OG0000335	rna2606	Sbay_15.216
OG0000338	rna5255	Sbay_8.3
OG0000345	rna5861	Sbay_16.75
OG0000348	rna3438	Sbay_11.5
OG0000351	rna4288	Sbay_10.543
OG0000351	rna832	Sbay_4.132
OG0000353	rna3505	Sbay_11.78
OG0000355	rna707, rna3427	Sbay_12.260
OG0000360	rna732	Sbay_4.27
OG0000364	rna2995	Sbay_9.210
OG0000368	rna4925	Sbay_14.109
OG0000374	rna5447	Sbay_8.84
OG0000375	rna6113	Sbay_16.348, Sbay_16.349
OG0000376	rna982, rna983, rna984	Sbay_2.196
OG0000381	rna4569	Sbay_13.267, Sbay_5.290, Sbay_9.122
OG0000388	rna864	Sbay_4.166
OG0000396	rna5096	Sbay_14.284
OG0000415	rna4728	Sbay_13.421
OG0000422	rna4336	Sbay_13.20
OG0000423	rna4748	Sbay_13.438
OG0000423	rna5827	Sbay_16.41
OG0000424	rna3512	Sbay_11.85
OG0000425	rna5426	Sbay_15.186
OG0000425	rna1588	Sbay_5.99
OG0000427	rna695	Sbay_14.4
OG0000430	rna5603	Sbay_12.258, Sbay_8.243
OG0000431	rna3939	Sbay_10.199
OG0000432	rna2826	Sbay_9.23
OG0000435	rna2790	Sbay_15.408
OG0000436	rna4298	Sbay_10.555
OG0000437	rna3770	Sbay_16.18
OG0000437	rna5817	Sbay_16.31
OG0000439	rna337	Sbay_4.362
OG0000440	rna4725	Sbay_13.418
OG0000443	rna4917	Sbay_14.99
OG0000445	rna1471	Sbay_2.703
OG0000449	rna4142	Sbay_10.381
OG0000450	rna1858	Sbay_6.50
OG0000451	rna510	Sbay_4.547
OG0000456	rna360	Sbay_4.388
OG0000457	rna4812	Sbay_13.508
OG0000458	rna1897	Sbay_6.93
OG0000460	rna4966	Sbay_14.152
OG0000461	rna4329	Sbay_13.11
OG0000462	rna3390	Sbay_12.214
OG0000464	rna6201	Sbay_16.443
OG0000464	rna2305	Sbay_7.380
OG0000465	rna3022	Sbay_9.239
OG0000468	rna168	Sbay_2.75, Sbay_2.76
OG0000470	rna108	Sbay_2.12, Sbay_2.11
OG0000471	rna122	Sbay_2.24
OG0000474	rna179	Sbay_2.87
OG0000485	rna268	Sbay_2.176
OG0000487	rna52	Sbay_1.48
OG0000489	rna2160	Sbay_7.231
OG0000491	rna2009	Sbay_7.67
OG0000492	rna996	Sbay_2.210
OG0000493	rna4103	Sbay_10.344
OG0000494	rna2669	Sbay_15.280
OG0000500	rna4521	Sbay_13.214
OG0000503	rna1503	Sbay_5.1
OG0000503	rna6288	Sbay_16.525
OG0000505	rna3037	Sbay_15.5, Sbay_9.254
OG0000508	rna1988	Sbay_7.44
OG0000509	rna1369	Sbay_2.590
OG0000510	rna1367	Sbay_2.588
OG0000511	rna1747	Sbay_5.273
OG0000512	rna19	Sbay_1.15
OG0000513	rna1427	Sbay_2.651
OG0000514	rna5737	Sbay_8.374
OG0000515	rna1484	Sbay_8.439
OG0000516	rna4148	Sbay_10.387
OG0000517	rna4153	Sbay_10.392
OG0000519	rna2195	Sbay_7.272
OG0000520	rna2476	Sbay_7.548
OG0000522	rna2468	Sbay_7.539
OG0000524	rna3715	Sbay_11.295
OG0000525	rna629	Sbay_3.61
OG0000526	rna1290	Sbay_2.508
OG0000527	rna5490	Sbay_8.122
OG0000528	rna3738	Sbay_11.318
OG0000529	rna2591	Sbay_15.201
OG0000530	rna2202	Sbay_7.279
OG0000531	rna2190	Sbay_7.265
OG0000533	rna2795	Sbay_15.413
OG0000534	rna607	Sbay_3.38
OG0000536	rna2414	Sbay_7.485
OG0000537	rna3272	Sbay_12.91
OG0000538	rna1992	Sbay_7.50
OG0000539	rna1381	Sbay_2.603
OG0000540	rna4453	Sbay_13.149
OG0000541	rna4445	Sbay_13.139
OG0000542	rna4433	Sbay_13.127
OG0000543	rna4265	Sbay_10.523, Sbay_20.2
OG0000544	rna872	Sbay_4.175
OG0000545	rna4260	Sbay_10.519
OG0000546	rna2793	Sbay_15.411
OG0000547	rna3411	Sbay_15.407, Sbay_12.236
OG0000548	rna4396	Sbay_13.93
OG0000549	rna4291	Sbay_10.546
OG0000550	rna4204	Sbay_10.446
OG0000551	rna4197	Sbay_10.437, Sbay_17.3
OG0000552	rna3555	Sbay_11.130
OG0000553	rna3556	Sbay_11.131
OG0000555	rna1906	Sbay_6.100
OG0000556	rna5802, rna5812	Sbay_2.164
OG0000557	rna3093	Sbay_6.244
OG0000558	rna3103	Sbay_6.232
OG0000559	rna2270	Sbay_7.342
OG0000560	rna347	Sbay_4.372
OG0000562	rna332	Sbay_4.356
OG0000563	rna6153	Sbay_16.395
OG0000564	rna329	Sbay_4.352
OG0000565	rna6033	Sbay_16.255
OG0000566	rna3777	Sbay_10.19
OG0000567	rna474	Sbay_4.511
OG0000568	rna3029	Sbay_9.246
OG0000569	rna311	Sbay_4.333
OG0000570	rna4589	Sbay_13.287
OG0000571	rna5712	Sbay_8.345
OG0000572	rna3653	Sbay_11.225
OG0000573	rna2562	Sbay_8.47
OG0000574	rna3561	Sbay_11.136
OG0000575	rna3441	Sbay_11.8
OG0000576	rna570	Sbay_3.187
OG0000578	rna4890	Sbay_14.71
OG0000579	rna3363	Sbay_12.185
OG0000580	rna3055	Sbay_6.286
OG0000581	rna3064	Sbay_6.276
OG0000582	rna636	Sbay_3.67
OG0000583	rna912	Sbay_4.221
OG0000584	rna920	Sbay_4.228
OG0000585	rna923	Sbay_4.232
OG0000586	rna4154	Sbay_10.393
OG0000587	rna5607	Sbay_8.247
OG0000588	rna1357	Sbay_2.577
OG0000589	rna1654	Sbay_5.175
OG0000590	rna5188	Sbay_14.384
OG0000591	rna5185	Sbay_14.381
OG0000592	rna663	Sbay_3.103
OG0000594	rna5667	Sbay_8.302
OG0000595	rna3842	Sbay_10.94
OG0000596	rna3231	Sbay_12.45
OG0000597	rna364	Sbay_12.42, Sbay_4.393
OG0000598	rna3602	Sbay_11.175
OG0000599	rna3599	Sbay_11.172
OG0000600	rna4502	Sbay_13.195
OG0000601	rna5283	Sbay_15.37
OG0000602	rna28	Sbay_1.25
OG0000604	rna2289	Sbay_7.364
OG0000605	rna6180	Sbay_16.422
OG0000606	rna798	Sbay_4.97
OG0000607	rna4063	Sbay_10.301
OG0000608	rna1724	Sbay_5.251
OG0000609	rna4166	Sbay_10.405
OG0000610	rna1770	Sbay_5.298
OG0000612	rna2207	Sbay_7.286
OG0000613	rna1513	Sbay_5.12
OG0000614	rna1511	Sbay_5.10
OG0000615	rna5422	Sbay_15.182
OG0000616	rna2213	Sbay_7.292
OG0000617	rna5703	Sbay_8.337
OG0000618	rna2136	Sbay_7.201
OG0000619	rna5887	Sbay_16.102
OG0000620	rna243	Sbay_2.154
OG0000621	rna5152	Sbay_14.341
OG0000622	rna3904	Sbay_10.159
OG0000623	rna1820	Sbay_6.7
OG0000624	rna5626	Sbay_8.262
OG0000625	rna5961	Sbay_16.179
OG0000626	rna5960	Sbay_16.178
OG0000627	rna5010	Sbay_14.196
OG0000628	rna733	Sbay_4.28
OG0000629	rna2619	Sbay_15.230
OG0000630	rna2418	Sbay_7.489
OG0000631	rna3383	Sbay_12.207
OG0000632	rna780	Sbay_4.78
OG0000633	rna4059	Sbay_10.297
OG0000634	rna4677	Sbay_13.371
OG0000635	rna1297	Sbay_2.517
OG0000636	rna3000	Sbay_9.216
OG0000637	rna1586	Sbay_5.97
OG0000638	rna2996	Sbay_9.211
OG0000639	rna3956	Sbay_10.223
OG0000640	rna1094	Sbay_2.312, Sbay_2.311
OG0000641	rna1101	Sbay_2.322
OG0000642	rna1111	Sbay_2.333
OG0000643	rna3980	Sbay_10.252
OG0000644	rna4028	Sbay_10.266
OG0000645	rna719	Sbay_4.11
OG0000646	rna717	Sbay_4.9
OG0000647	rna4933	Sbay_14.118
OG0000648	rna4930	Sbay_14.115
OG0000649	rna1757	Sbay_5.284
OG0000650	rna3368	Sbay_12.190
OG0000651	rna892	Sbay_4.198
OG0000652	rna5542	Sbay_8.180
OG0000653	rna1347	Sbay_2.566
OG0000654	rna2580	Sbay_8.65
OG0000655	rna1921	Sbay_12.20
OG0000656	rna4238	Sbay_10.497
OG0000657	rna887	Sbay_4.193
OG0000658	rna888	Sbay_4.194
OG0000659	rna163	Sbay_2.70
OG0000660	rna3378	Sbay_12.202
OG0000661	rna162	Sbay_2.69
OG0000662	rna3356	Sbay_12.179
OG0000663	rna119	Sbay_2.21
OG0000664	rna120	Sbay_2.22
OG0000665	rna3607	Sbay_11.180
OG0000666	rna5136	Sbay_14.323
OG0000667	rna5131	Sbay_14.319
OG0000668	rna827	Sbay_4.127
OG0000669	rna1744	Sbay_5.270
OG0000670	rna4759	Sbay_13.449
OG0000671	rna4758	Sbay_13.448
OG0000672	rna2599	Sbay_15.209
OG0000673	rna1862	Sbay_6.54
OG0000674	rna2651	Sbay_15.260
OG0000675	rna6042	Sbay_16.265
OG0000676	rna3746	Sbay_11.326
OG0000677	rna4867	Sbay_14.50
OG0000678	rna1719	Sbay_5.246
OG0000679	rna6093	Sbay_16.322
OG0000680	rna1874	Sbay_6.67
OG0000681	rna1872	Sbay_6.65
OG0000682	rna4818	Sbay_13.514
OG0000683	rna3703	Sbay_11.282
OG0000684	rna2738	Sbay_15.353
OG0000685	rna3436	Sbay_11.3
OG0000686	rna5826	Sbay_16.40
OG0000687	rna3875	Sbay_10.129
OG0000688	rna1217	Sbay_2.434
OG0000690	rna4552	Sbay_13.250
OG0000691	rna5910	Sbay_16.127
OG0000692	rna160	Sbay_2.67
OG0000693	rna1696	Sbay_5.219
OG0000695	rna5268	Sbay_15.21
OG0000696	rna419	Sbay_4.452
OG0000697	rna407	Sbay_4.439
OG0000698	rna5781	Sbay_8.425
OG0000699	rna5785	Sbay_8.429
OG0000700	rna5982	Sbay_16.199
OG0000702	rna3215	Sbay_6.121
OG0000703	rna369	Sbay_4.398
OG0000704	rna3152	Sbay_6.182
OG0000705	rna2506	Sbay_7.581
OG0000706	rna3362	Sbay_12.184
OG0000707	rna821	Sbay_4.119
OG0000708	rna473	Sbay_4.510
OG0000709	rna5370	Sbay_15.129
OG0000710	rna5371	Sbay_15.130
OG0000712	rna903	Sbay_4.211
OG0000713	rna2017	Sbay_7.74
OG0000714	rna2079	Sbay_4.500, Sbay_7.144
OG0000715	rna1607	Sbay_5.122
OG0000717	rna1049	Sbay_2.261
OG0000720	rna3168	Sbay_6.166
OG0000721	rna2406	Sbay_7.477
OG0000722	rna5461	Sbay_8.95
OG0000723	rna5473	Sbay_8.107
OG0000724	rna5479	Sbay_8.113
OG0000725	rna3735	Sbay_11.315
OG0000726	rna3797	Sbay_10.42
OG0000727	rna1056	Sbay_2.268
OG0000728	rna1075	Sbay_2.290
OG0000729	rna5590	Sbay_8.229
OG0000730	rna2222	Sbay_7.300
OG0000731	rna4107	Sbay_10.348
OG0000732	rna2045	Sbay_7.103
OG0000733	rna5762	Sbay_8.402
OG0000734	rna5042	Sbay_14.228
OG0000735	rna5030	Sbay_14.215
OG0000736	rna3567	Sbay_11.142
OG0000737	rna2944	Sbay_9.153
OG0000738	rna2961	Sbay_9.169
OG0000739	rna2965	Sbay_9.173
OG0000740	rna2716	Sbay_15.331
OG0000742	rna722	Sbay_4.14
OG0000745	rna2358	Sbay_7.434
OG0000746	rna3186	Sbay_6.149
OG0000747	rna2834	Sbay_9.32
OG0000748	rna2836	Sbay_9.35
OG0000749	rna1960	Sbay_7.16
OG0000750	rna1932	Sbay_12.9
OG0000751	rna1961	Sbay_7.17
OG0000752	rna1962	Sbay_7.18
OG0000753	rna1963	Sbay_7.19
OG0000754	rna1964	Sbay_7.20
OG0000755	rna1966	Sbay_7.22
OG0000756	rna1967	Sbay_7.23
OG0000757	rna1968	Sbay_7.24
OG0000758	rna1970	Sbay_7.25
OG0000759	rna1928	Sbay_12.13
OG0000760	rna1971	Sbay_7.26
OG0000761	rna1973	Sbay_7.28
OG0000762	rna1927	Sbay_12.14
OG0000763	rna1626	Sbay_5.143
OG0000764	rna1977	Sbay_7.32
OG0000765	rna1625	Sbay_5.142
OG0000767	rna1617	Sbay_5.134
OG0000768	rna1985	Sbay_7.41
OG0000769	rna1987	Sbay_7.43
OG0000770	rna1989	Sbay_7.45
OG0000771	rna1991	Sbay_7.49
OG0000772	rna4457	Sbay_13.153
OG0000773	rna1373	Sbay_2.594
OG0000774	rna1517	Sbay_5.16
OG0000775	rna1518	Sbay_5.17
OG0000776	rna1371	Sbay_2.592
OG0000777	rna1520	Sbay_5.19
OG0000778	rna1368	Sbay_2.589
OG0000779	rna1366	Sbay_2.587
OG0000780	rna1364	Sbay_2.585
OG0000781	rna5572	Sbay_8.208
OG0000782	rna1363	Sbay_2.584
OG0000783	rna5575	Sbay_8.211
OG0000784	rna5570	Sbay_8.206
OG0000785	rna4209	Sbay_10.452
OG0000786	rna2253	Sbay_7.327
OG0000787	rna2255	Sbay_7.329
OG0000788	rna4213	Sbay_10.456
OG0000789	rna2263	Sbay_7.336
OG0000790	rna3664	Sbay_11.239
OG0000791	rna6097	Sbay_16.326
OG0000792	rna2037	Sbay_7.95
OG0000793	rna2039	Sbay_7.96
OG0000794	rna750	Sbay_4.47
OG0000795	rna20	Sbay_1.16
OG0000796	rna5775	Sbay_8.418
OG0000797	rna22	Sbay_1.18
OG0000798	rna23	Sbay_1.19
OG0000799	rna24	Sbay_1.20
OG0000800	rna5773	Sbay_8.415
OG0000801	rna25	Sbay_1.21
OG0000802	rna5771	Sbay_8.413
OG0000803	rna5284	Sbay_15.38
OG0000804	rna5738	Sbay_8.375
OG0000805	rna44	Sbay_1.40
OG0000806	rna46	Sbay_1.41
OG0000807	rna1160	Sbay_2.380
OG0000808	rna4087	Sbay_10.324
OG0000809	rna1159	Sbay_2.379
OG0000810	rna1152	Sbay_2.376
OG0000811	rna4147	Sbay_10.386
OG0000812	rna4151	Sbay_10.390
OG0000813	rna2359	Sbay_7.435
OG0000814	rna2156	Sbay_7.227
OG0000815	rna2157	Sbay_7.228
OG0000816	rna2184	Sbay_7.259
OG0000817	rna2185	Sbay_7.260
OG0000818	rna2186	Sbay_7.261
OG0000819	rna2187	Sbay_7.262
OG0000820	rna206	Sbay_2.117
OG0000821	rna2194	Sbay_7.271
OG0000822	rna2193	Sbay_7.270
OG0000823	rna2192	Sbay_7.269
OG0000824	rna2477	Sbay_7.549
OG0000825	rna2756	Sbay_15.371
OG0000826	rna2755	Sbay_15.370
OG0000827	rna2754	Sbay_15.369
OG0000828	rna2753	Sbay_15.368
OG0000829	rna2751	Sbay_15.366
OG0000830	rna2750	Sbay_15.365
OG0000831	rna2749	Sbay_15.363
OG0000832	rna2470	Sbay_7.541
OG0000833	rna2469	Sbay_7.540
OG0000834	rna3709	Sbay_11.288
OG0000835	rna3710	Sbay_11.289
OG0000836	rna3711	Sbay_11.290
OG0000837	rna3116	Sbay_6.220
OG0000839	rna2508	Sbay_7.583
OG0000840	rna3718	Sbay_11.297
OG0000841	rna3719	Sbay_11.298
OG0000842	rna3721	Sbay_11.300
OG0000843	rna3076	Sbay_6.263
OG0000844	rna3078	Sbay_6.261
OG0000845	rna3079	Sbay_6.260
OG0000846	rna3476	Sbay_11.45
OG0000847	rna3477	Sbay_11.46
OG0000848	rna3086	Sbay_6.251
OG0000849	rna3479	Sbay_11.48
OG0000850	rna3482	Sbay_11.51
OG0000851	rna3089	Sbay_6.248
OG0000852	rna3484	Sbay_11.53
OG0000853	rna1291	Sbay_2.509
OG0000854	rna5444	Sbay_8.80
OG0000855	rna1429	Sbay_2.653
OG0000856	rna5291	Sbay_15.45
OG0000857	rna5497	Sbay_8.129
OG0000858	rna3744	Sbay_11.324
OG0000859	rna5494	Sbay_8.126
OG0000860	rna3743	Sbay_11.323
OG0000861	rna3741	Sbay_11.321
OG0000862	rna5492	Sbay_8.124
OG0000863	rna5491	Sbay_8.123
OG0000864	rna3739	Sbay_11.319
OG0000865	rna3736	Sbay_11.316
OG0000866	rna5486	Sbay_8.120
OG0000867	rna3316	Sbay_12.137
OG0000868	rna1902	Sbay_6.97
OG0000869	rna593	Sbay_3.17
OG0000870	rna73	Sbay_1.74
OG0000871	rna2199	Sbay_7.276
OG0000872	rna75	Sbay_1.76
OG0000873	rna2757	Sbay_15.372
OG0000874	rna2760	Sbay_15.375
OG0000875	rna2767	Sbay_15.382
OG0000876	rna2483	Sbay_7.556
OG0000877	rna2773	Sbay_15.389
OG0000878	rna2774	Sbay_15.390
OG0000879	rna2775	Sbay_15.391
OG0000880	rna4785	Sbay_13.478
OG0000881	rna2485	Sbay_7.559
