Orthogroup	s_cerevisiae_proteins	s_kudriavzevii_proteins
OG0000127	rna3732	Skud_11.313
OG0000128	rna2399	Skud_7.507
OG0000128	rna5789	Skud_15.544
OG0000129	rna516	Skud_2.424
OG0000129	rna3920	Skud_12.160
OG0000130	rna4958	Skud_14.137
OG0000131	rna4519	Skud_13.199
OG0000131	rna4520	Skud_13.200
OG0000132	rna1946, rna5799	Skud_15.554, Skud_7.9
OG0000136	rna2467	Skud_7.576
OG0000136	rna2747	Skud_8.226
OG0000137	rna209	Skud_2.106
OG0000138	rna1608	Skud_5.136
OG0000139	rna2786	Skud_8.265
OG0000139	rna2785	Skud_8.264
OG0000141	rna2810	Skud_13.89, Skud_12.524
OG0000143	rna328	Skud_2.231
OG0000143	rna2275	Skud_7.363
OG0000144	rna6260	Skud_16.464
OG0000147	rna1451	Skud_4.776
OG0000148	rna4042	Skud_12.249
OG0000149	rna2739	Skud_8.219
OG0000149	rna4903	Skud_14.81
OG0000152	rna4633	Skud_13.312
OG0000153	rna3776	Skud_12.17
OG0000153	rna702	Skud_3.181
OG0000154	rna1349	Skud_4.665
OG0000158	rna905, rna3015	Skud_9.200
OG0000160	rna3769	Skud_12.4
OG0000161	rna5231	Skud_13.447, Skud_13.30
OG0000163	rna3421	Skud_10.380
OG0000165	rna1823	Skud_6.26
OG0000165	rna3901	Skud_12.137
OG0000166	rna5630	Skud_15.380
OG0000168	rna1656, rna1859	Skud_6.63
OG0000169	rna2720	Skud_8.199
OG0000172	rna4025	Skud_12.231
OG0000172	rna1123	Skud_4.442
OG0000173	rna1341	Skud_4.656
OG0000177	rna801	Skud_4.110
OG0000178	rna2060	Skud_7.128
OG0000180	rna2743	Skud_8.222
OG0000180	rna2462	Skud_7.572
OG0000182	rna5905	Skud_16.92
OG0000183	rna1683	Skud_5.208
OG0000183	rna158	Skud_2.50
OG0000186	rna6001	Skud_16.191
OG0000191	rna5151	Skud_14.319
OG0000191	rna4602	Skud_13.279
OG0000192	rna3030	Skud_9.212
OG0000192	rna5037	Skud_14.214
OG0000194	rna224	Skud_15.531, Skud_2.121
OG0000195	rna1947	Skud_7.10
OG0000195	rna5221	Skud_14.395
OG0000196	rna1994	Skud_7.59
OG0000196	rna1609	Skud_5.137
OG0000197	rna5797	Skud_15.552
OG0000197	rna4814	Skud_13.490
OG0000198	rna3050	Skud_10.4
OG0000202	rna1622	Skud_5.148
OG0000206	rna1293	Skud_4.610
OG0000207	rna5287	Skud_15.34
OG0000213	rna5220	Skud_14.394
OG0000216	rna3393	Skud_10.350
OG0000219	rna3554	Skud_11.132
OG0000224	rna6213	Skud_16.417
OG0000227	rna4596	Skud_13.274
OG0000230	rna692, rna642, rna531	Skud_3.118
OG0000231	rna533	Skud_3.1
OG0000250	rna4804	Skud_13.481
OG0000255	rna3775	Skud_12.13
OG0000261	rna1951	Skud_7.14
OG0000273	rna3034	Skud_9.216
OG0000273	rna3035	Skud_9.217
OG0000288	rna468	Skud_2.376
OG0000296	rna902	Skud_4.213
OG0000303	rna981	Skud_4.292
OG0000312	rna6044	Skud_16.234
OG0000322	rna594	Skud_3.59
OG0000331	rna378	Skud_2.285
OG0000334	rna6151	Skud_16.350
OG0000335	rna2606	Skud_8.86
OG0000338	rna5255	Skud_15.1
OG0000345	rna5861	Skud_16.47
OG0000348	rna3438	Skud_11.5
OG0000351	rna832	Skud_4.140
OG0000353	rna3505	Skud_11.80
OG0000355	rna707, rna3427	Skud_20.2, Skud_4.2
OG0000360	rna732	Skud_4.35
OG0000364	rna2995	Skud_9.178
OG0000368	rna4925	Skud_14.104
OG0000374	rna5447	Skud_15.196
OG0000375	rna6113	Skud_16.307
OG0000376	rna982, rna983, rna984	Skud_4.293
OG0000381	rna4569	Skud_13.246
OG0000388	rna864	Skud_4.174
OG0000396	rna5096	Skud_14.275
OG0000400	rna4697	Skud_13.375
OG0000415	rna4728	Skud_13.406
OG0000422	rna4336	Skud_13.18
OG0000423	rna4748	Skud_13.425
OG0000423	rna5827	Skud_16.13
OG0000424	rna3512	Skud_11.87
OG0000425	rna5426	Skud_15.171
OG0000425	rna1588	Skud_15.172
OG0000427	rna695	Skud_3.172
OG0000430	rna5603	Skud_15.354
OG0000431	rna3939	Skud_12.177
OG0000432	rna2826	Skud_9.5
OG0000435	rna2790	Skud_8.269
OG0000436	rna4298	Skud_12.530
OG0000437	rna5817	Skud_16.3
OG0000439	rna337	Skud_2.242
OG0000440	rna4725	Skud_13.403
OG0000443	rna4917	Skud_14.95
OG0000445	rna1471	Skud_4.797
OG0000449	rna4142	Skud_12.367
OG0000450	rna1858	Skud_6.62
OG0000451	rna510	Skud_2.418
OG0000456	rna360	Skud_2.267
OG0000457	rna4812	Skud_13.489
OG0000458	rna1897	Skud_6.105
OG0000460	rna4966	Skud_14.145
OG0000461	rna4329	Skud_13.10
OG0000462	rna3390	Skud_10.347
OG0000464	rna6201	Skud_16.402
OG0000464	rna2305	Skud_7.396
OG0000465	rna3022	Skud_9.204
OG0000468	rna168	Skud_2.60
OG0000470	rna108	Skud_2.4
OG0000471	rna122	Skud_2.15
OG0000474	rna179	Skud_2.71
OG0000485	rna268	Skud_2.165
OG0000487	rna52	Skud_1.42
OG0000489	rna2160	Skud_7.240
OG0000491	rna2009	Skud_7.76
OG0000492	rna996	Skud_4.305
OG0000493	rna4103	Skud_12.328
OG0000494	rna2669	Skud_8.147
OG0000496	rna5470	Skud_15.216
OG0000500	rna4521	Skud_13.201
OG0000503	rna1503	Skud_5.22
OG0000503	rna6288	Skud_16.497
OG0000505	rna3037	Skud_9.219
OG0000508	rna1988	Skud_7.53
OG0000509	rna1369	Skud_4.688
OG0000510	rna1367	Skud_4.686
OG0000511	rna1747	Skud_5.282
OG0000512	rna19	Skud_1.11
OG0000513	rna1427	Skud_4.751
OG0000514	rna5737	Skud_15.490
OG0000515	rna1484	Skud_4.808
OG0000516	rna4148	Skud_12.373
OG0000517	rna4153	Skud_12.378
OG0000519	rna2195	Skud_7.278
OG0000520	rna2476	Skud_7.585
OG0000522	rna2468	Skud_7.577
OG0000524	rna3715	Skud_11.296
OG0000525	rna629	Skud_3.106
OG0000526	rna1290	Skud_4.605
OG0000527	rna5490	Skud_15.238
OG0000528	rna3738	Skud_11.319
OG0000529	rna2591	Skud_8.70
OG0000530	rna2202	Skud_7.284
OG0000531	rna2190	Skud_7.273
OG0000533	rna2795	Skud_8.274
OG0000534	rna607	Skud_3.77
OG0000536	rna2414	Skud_7.525
OG0000537	rna3272	Skud_10.230
OG0000538	rna1992	Skud_7.57
OG0000539	rna1381	Skud_4.702
OG0000540	rna4453	Skud_13.139
OG0000541	rna4445	Skud_13.131
OG0000542	rna4433	Skud_13.119
OG0000543	rna4265	Skud_12.491
OG0000544	rna872	Skud_4.182
OG0000545	rna4260	Skud_12.487
OG0000546	rna2793	Skud_8.272
OG0000547	rna3411	Skud_10.367
OG0000548	rna4396	Skud_13.80
OG0000549	rna4291	Skud_12.522
OG0000550	rna4204	Skud_12.431
OG0000551	rna4197	Skud_12.425
OG0000552	rna3555	Skud_11.133
OG0000553	rna3556	Skud_11.134
OG0000555	rna1906	Skud_6.115
OG0000557	rna3093	Skud_10.51
OG0000558	rna3103	Skud_10.62
OG0000559	rna2270	Skud_7.358
OG0000560	rna347	Skud_2.253
OG0000562	rna332	Skud_2.235
OG0000563	rna6153	Skud_16.352
OG0000564	rna329	Skud_2.232
OG0000565	rna6033	Skud_16.224
OG0000566	rna3777	Skud_12.18
OG0000566	rna6287	Skud_16.496
OG0000567	rna474	Skud_2.382
OG0000568	rna3029	Skud_9.211
OG0000569	rna311	Skud_2.214
OG0000570	rna4589	Skud_13.267
OG0000571	rna5712	Skud_15.462
OG0000572	rna3653	Skud_11.227
OG0000573	rna2562	Skud_8.39
OG0000574	rna3561	Skud_11.139
OG0000575	rna3441	Skud_11.8
OG0000576	rna570	Skud_3.36
OG0000578	rna4890	Skud_14.69
OG0000579	rna3363	Skud_10.319
OG0000580	rna3055	Skud_10.9
OG0000581	rna3064	Skud_10.22
OG0000582	rna636	Skud_3.112
OG0000583	rna912	Skud_4.223
OG0000584	rna920	Skud_4.229
OG0000585	rna923	Skud_4.237
OG0000586	rna4154	Skud_12.379
OG0000587	rna5607	Skud_15.358
OG0000588	rna1357	Skud_4.673
OG0000589	rna1654	Skud_5.180
OG0000590	rna5188	Skud_14.361
OG0000591	rna5185	Skud_14.358
OG0000592	rna663	Skud_3.139
OG0000594	rna5667	Skud_15.419
OG0000595	rna3842	Skud_12.82
OG0000596	rna3231	Skud_10.186
OG0000597	rna364	Skud_2.271
OG0000598	rna3602	Skud_11.178
OG0000599	rna3599	Skud_11.175
OG0000600	rna4502	Skud_13.182
OG0000601	rna5283	Skud_15.30
OG0000602	rna28	Skud_1.20
OG0000604	rna2289	Skud_7.378
OG0000605	rna6180	Skud_16.381
OG0000606	rna798	Skud_4.107
OG0000607	rna4063	Skud_12.271
OG0000608	rna1724	Skud_5.248
OG0000609	rna4166	Skud_12.393
OG0000610	rna1770	Skud_5.303
OG0000612	rna2207	Skud_7.289
OG0000613	rna1513	Skud_5.33
OG0000614	rna1511	Skud_5.31
OG0000615	rna5422	Skud_15.168
OG0000616	rna2213	Skud_7.295
OG0000617	rna5703	Skud_15.452
OG0000618	rna2136	Skud_7.213
OG0000619	rna5887	Skud_16.75
OG0000620	rna243	Skud_2.138
OG0000621	rna5152	Skud_14.320
OG0000622	rna3904	Skud_12.140
OG0000623	rna1820	Skud_6.23
OG0000624	rna5626	Skud_15.376
OG0000625	rna5961	Skud_16.149
OG0000626	rna5960	Skud_16.148
OG0000627	rna5010	Skud_14.189
OG0000628	rna733	Skud_4.36
OG0000629	rna2619	Skud_8.101
OG0000630	rna2418	Skud_7.531
OG0000631	rna3383	Skud_10.340
OG0000632	rna780	Skud_4.89
OG0000633	rna4059	Skud_12.266
OG0000634	rna4677	Skud_13.356
OG0000635	rna1297	Skud_4.615
OG0000636	rna3000	Skud_9.183
OG0000637	rna1586	Skud_5.109
OG0000638	rna2996	Skud_9.179
OG0000639	rna3956	Skud_12.199
OG0000640	rna1094	Skud_4.408
OG0000641	rna1101	Skud_4.417
OG0000642	rna1111	Skud_4.427
OG0000643	rna3980	Skud_12.225
OG0000644	rna4028	Skud_12.234
OG0000645	rna719	Skud_4.21
OG0000646	rna717	Skud_4.19
OG0000647	rna4933	Skud_14.112
OG0000648	rna4930	Skud_14.109
OG0000649	rna1757	Skud_5.292
OG0000650	rna3368	Skud_10.324
OG0000651	rna892	Skud_4.203
OG0000652	rna5542	Skud_15.290
OG0000653	rna1347	Skud_4.663
OG0000654	rna2580	Skud_8.58
OG0000655	rna1921	Skud_6.128
OG0000656	rna4238	Skud_12.465
OG0000657	rna887	Skud_4.198
OG0000658	rna888	Skud_4.199
OG0000659	rna163	Skud_2.55
OG0000660	rna3378	Skud_10.335
OG0000661	rna162	Skud_2.54
OG0000662	rna3356	Skud_10.313
OG0000663	rna119	Skud_2.12
OG0000664	rna120	Skud_2.13
OG0000665	rna3607	Skud_11.183
OG0000666	rna5136	Skud_14.305
OG0000667	rna5131	Skud_14.302
OG0000668	rna827	Skud_4.135
OG0000669	rna1744	Skud_5.279
OG0000670	rna4759	Skud_13.436
OG0000671	rna4758	Skud_13.435
OG0000672	rna2599	Skud_8.78
OG0000673	rna1862	Skud_6.66
OG0000674	rna2651	Skud_8.129
OG0000675	rna6042	Skud_16.232
OG0000676	rna3746	Skud_11.327
OG0000677	rna4867	Skud_14.48
OG0000678	rna1719	Skud_5.253
OG0000679	rna6093	Skud_16.286
OG0000680	rna1874	Skud_6.77
OG0000681	rna1872	Skud_6.75
OG0000682	rna4818	Skud_13.495
OG0000683	rna3703	Skud_11.284
OG0000684	rna2738	Skud_8.218
OG0000685	rna3436	Skud_11.3
OG0000686	rna5826	Skud_16.12
OG0000687	rna3875	Skud_12.111
OG0000688	rna1217	Skud_4.529
OG0000690	rna4552	Skud_13.229
OG0000691	rna5910	Skud_16.97
OG0000692	rna160	Skud_2.52
OG0000693	rna1696	Skud_5.225
OG0000695	rna5268	Skud_15.15
OG0000696	rna419	Skud_2.324
OG0000697	rna407	Skud_2.313
OG0000698	rna5781	Skud_15.536
OG0000699	rna5785	Skud_15.540
OG0000700	rna5982	Skud_16.169
OG0000702	rna3215	Skud_10.142
OG0000703	rna369	Skud_2.276
OG0000704	rna3152	Skud_10.107
OG0000705	rna2506	Skud_7.617
OG0000706	rna3362	Skud_10.318
OG0000707	rna821	Skud_4.129
OG0000708	rna473	Skud_2.381
OG0000709	rna5370	Skud_15.117
OG0000710	rna5371	Skud_15.118
OG0000712	rna903	Skud_4.214
OG0000713	rna2017	Skud_7.83
OG0000714	rna2079	Skud_7.148
OG0000715	rna1607	Skud_5.135
OG0000716	rna680	Skud_3.156
OG0000717	rna1049	Skud_4.360
OG0000720	rna3168	Skud_10.122
OG0000721	rna2406	Skud_7.514
OG0000722	rna5461	Skud_15.207
OG0000723	rna5473	Skud_15.219
OG0000724	rna5479	Skud_15.230
OG0000725	rna3735	Skud_11.316
OG0000726	rna3797	Skud_12.37
OG0000727	rna1056	Skud_4.369
OG0000728	rna1075	Skud_4.388
OG0000729	rna5590	Skud_15.338
OG0000730	rna2222	Skud_7.303
OG0000731	rna4107	Skud_12.332
OG0000732	rna2045	Skud_7.110
OG0000733	rna5762	Skud_15.515
OG0000734	rna5042	Skud_14.221
OG0000735	rna5030	Skud_14.207
OG0000736	rna3567	Skud_11.145
OG0000737	rna2944	Skud_9.122
OG0000738	rna2961	Skud_9.138
OG0000739	rna2965	Skud_9.144
OG0000740	rna2716	Skud_8.195
OG0000742	rna722	Skud_4.24
OG0000745	rna2358	Skud_7.466
OG0000746	rna3186	Skud_10.170
OG0000747	rna2834	Skud_9.13
OG0000748	rna2836	Skud_9.15
OG0000749	rna1960	Skud_7.22
OG0000750	rna1932	Skud_6.139
OG0000751	rna1961	Skud_7.23
OG0000752	rna1962	Skud_7.24
OG0000753	rna1963	Skud_7.25
OG0000754	rna1964	Skud_7.26
OG0000755	rna1966	Skud_7.28
OG0000756	rna1967	Skud_7.29
OG0000757	rna1968	Skud_7.30
OG0000758	rna1970	Skud_7.31
OG0000759	rna1928	Skud_6.135
OG0000760	rna1971	Skud_7.32
OG0000761	rna1973	Skud_7.34
OG0000762	rna1927	Skud_6.134
OG0000763	rna1626	Skud_5.152
OG0000764	rna1977	Skud_7.38
OG0000765	rna1625	Skud_5.151
OG0000767	rna1617	Skud_5.145
OG0000768	rna1985	Skud_7.50
OG0000769	rna1987	Skud_7.52
OG0000770	rna1989	Skud_7.54
OG0000771	rna1991	Skud_7.56
OG0000772	rna4457	Skud_13.145
OG0000773	rna1373	Skud_4.692
OG0000774	rna1517	Skud_5.36
OG0000775	rna1518	Skud_5.37
OG0000776	rna1371	Skud_4.690
OG0000777	rna1520	Skud_5.39
OG0000778	rna1368	Skud_4.687
OG0000779	rna1366	Skud_4.685
OG0000780	rna1364	Skud_4.683
OG0000781	rna5572	Skud_15.321
OG0000782	rna1363	Skud_4.682
OG0000783	rna5575	Skud_15.324
OG0000784	rna5570	Skud_15.319
OG0000785	rna4209	Skud_12.436
OG0000786	rna2253	Skud_7.339
OG0000787	rna2255	Skud_7.342
OG0000788	rna4213	Skud_12.440
OG0000789	rna2263	Skud_7.352
OG0000790	rna3664	Skud_11.238
OG0000791	rna6097	Skud_16.290
OG0000792	rna2037	Skud_7.103
OG0000793	rna2039	Skud_7.104
OG0000794	rna750	Skud_4.56
OG0000795	rna20	Skud_1.12
OG0000796	rna5775	Skud_15.529
OG0000797	rna22	Skud_1.14
OG0000798	rna23	Skud_1.15
OG0000799	rna24	Skud_1.16
OG0000800	rna5773	Skud_15.527
OG0000801	rna25	Skud_1.17
OG0000802	rna5771	Skud_15.525
OG0000803	rna5284	Skud_15.31
OG0000804	rna5738	Skud_15.491
OG0000805	rna44	Skud_1.35
OG0000806	rna46	Skud_1.36
OG0000807	rna1160	Skud_4.474
OG0000808	rna4087	Skud_12.297
OG0000809	rna1159	Skud_4.473
OG0000810	rna1152	Skud_4.470
OG0000811	rna4147	Skud_12.372
OG0000812	rna4151	Skud_12.376
OG0000813	rna2359	Skud_7.467
OG0000814	rna2156	Skud_7.236
OG0000815	rna2157	Skud_7.237
OG0000816	rna2184	Skud_7.267
OG0000817	rna2185	Skud_7.268
OG0000818	rna2186	Skud_7.269
OG0000819	rna2187	Skud_7.270
OG0000820	rna206	Skud_2.103
OG0000821	rna2194	Skud_7.277
OG0000822	rna2193	Skud_7.276
OG0000823	rna2192	Skud_7.275
OG0000824	rna2477	Skud_7.586
OG0000825	rna2756	Skud_8.235
OG0000826	rna2755	Skud_8.234
OG0000827	rna2754	Skud_8.233
OG0000828	rna2753	Skud_8.232
OG0000829	rna2751	Skud_8.230
OG0000830	rna2750	Skud_8.229
OG0000831	rna2749	Skud_8.228
OG0000832	rna2470	Skud_7.579
OG0000833	rna2469	Skud_7.578
OG0000834	rna3709	Skud_11.290
OG0000835	rna3710	Skud_11.291
OG0000836	rna3711	Skud_11.292
OG0000837	rna3116	Skud_10.74
OG0000838	rna3115	Skud_10.73
OG0000839	rna2508	Skud_7.619
OG0000840	rna3718	Skud_11.298
OG0000841	rna3719	Skud_11.299
OG0000842	rna3721	Skud_11.301
OG0000843	rna3076	Skud_10.34
OG0000844	rna3078	Skud_10.36
OG0000845	rna3079	Skud_10.37
OG0000846	rna3476	Skud_11.47
OG0000847	rna3477	Skud_11.48
OG0000848	rna3086	Skud_10.44
OG0000849	rna3479	Skud_11.50
OG0000850	rna3482	Skud_11.53
OG0000851	rna3089	Skud_10.47
OG0000852	rna3484	Skud_11.55
OG0000853	rna1291	Skud_4.606
OG0000854	rna5444	Skud_15.192
OG0000855	rna1429	Skud_4.753
OG0000856	rna5291	Skud_15.38
OG0000857	rna5497	Skud_15.245
OG0000858	rna3744	Skud_11.325
OG0000859	rna5494	Skud_15.242
OG0000860	rna3743	Skud_11.324
OG0000861	rna3741	Skud_11.322
OG0000862	rna5492	Skud_15.240
OG0000863	rna5491	Skud_15.239
OG0000864	rna3739	Skud_11.320
OG0000865	rna3736	Skud_11.317
OG0000866	rna5486	Skud_15.236
OG0000867	rna3316	Skud_10.271
OG0000868	rna1902	Skud_6.109
OG0000869	rna593	Skud_3.57
OG0000870	rna73	Skud_1.64
OG0000871	rna2199	Skud_7.281
OG0000872	rna75	Skud_1.66
OG0000873	rna2757	Skud_8.236
OG0000874	rna2760	Skud_8.239
OG0000875	rna2767	Skud_8.244
OG0000876	rna2483	Skud_7.592
OG0000877	rna2773	Skud_8.252
OG0000878	rna2774	Skud_8.253
OG0000879	rna2775	Skud_8.254
OG0000880	rna4785	Skud_13.461
OG0000881	rna2485	Skud_7.594
OG0000882	rna2486	Skud_7.595
OG0000883	rna4787	Skud_13.463
OG0000884	rna2490	Skud_7.599
OG0000885	rna2491	Skud_7.600
OG0000886	rna2492	Skud_7.603
OG0000887	rna4790	Skud_13.467
OG0000888	rna4791	Skud_13.468
OG0000889	rna4793	Skud_13.470
OG0000890	rna4795	Skud_13.472
OG0000891	rna4797	Skud_13.474
OG0000892	rna4798	Skud_13.475
OG0000893	rna4810	Skud_13.487
OG0000894	rna1790	Skud_5.325
OG0000895	rna1791	Skud_5.326
OG0000896	rna265	Skud_2.162
OG0000897	rna963	Skud_4.276
OG0000898	rna5396	Skud_15.142
OG0000899	rna1883	Skud_6.93
OG0000900	rna5391	Skud_15.137
OG0000901	rna1881	Skud_6.95
OG0000902	rna5389	Skud_15.135
OG0000903	rna5388	Skud_15.134
OG0000904	rna609	Skud_3.79
OG0000905	rna617	Skud_3.90
OG0000906	rna1562	Skud_5.83
OG0000907	rna1561	Skud_5.82
OG0000908	rna627	Skud_3.103
OG0000909	rna1556	Skud_5.77
OG0000910	rna623	Skud_3.98
OG0000911	rna5002	Skud_14.183
OG0000912	rna5000	Skud_14.181
OG0000913	rna5013	Skud_14.191
OG0000914	rna5015	Skud_14.193
