Orthogroup	k_lactis_proteins	l_kluyveri_v2_proteins	l_thermotolerans_proteins	l_waltii_v3_proteins	n_castellii_proteins	s_bayanus_proteins	s_cerevisiae_proteins	s_kudriavzevii_proteins	s_mikatae_proteins	s_paradoxus_proteins	schizo_pombe_proteins
OG0000010	rna2055, rna2931, rna534	SAKL-ORF12611, SAKL-ORF13156, SAKL-ORF15168, SAKL-ORF15177, SAKL-ORF15772	rna2881, rna352, rna4634, rna4873			Sbay_13.2, Sbay_16.21	rna2509, rna2512, rna2818, rna3044, rna3048, rna523, rna5251	Skud_20.5, Skud_7.622, Skud_7.636, Skud_7.643	Smik_10.7, Smik_16.11, Smik_16.13, Smik_16.16, Smik_16.21, Smik_18.19, Smik_25.3, Smik_5.12, Smik_6.17	Spar_10.16, Spar_15.12, Spar_7.642, Spar_7.646, Spar_7.653	rna3177
OG0000011	rna1253, rna4092	SAKL-ORF12754, SAKL-ORF12856, SAKL-ORF1842, SAKL-ORF9269, SAKL-ORF9272, SAKL-ORF9274	rna1025, rna2947, rna2948	Kwal_27.10538, Kwal_33.13204, Kwal_33.13215	rna1111, rna2472, rna32, rna5465, rna5466	Sbay_2.203, Sbay_2.688, Sbay_3.189, Sbay_4.307, Sbay_4.308	rna290	Skud_2.191, Skud_2.192, Skud_3.38, Skud_4.300, Skud_4.784	Smik_2.201, Smik_2.202, Smik_3.53, Smik_4.284, Smik_4.790	Spar_2.223, Spar_2.224, Spar_3.51, Spar_4.347, Spar_4.881	
OG0000012	rna4653, rna4863, rna4990, rna922	SAKL-ORF10090, SAKL-ORF13694, SAKL-ORF5768, SAKL-ORF7748	rna1569, rna2371, rna4466, rna7	Kwal_26.7799, Kwal_55.20564, Kwal_56.23198	rna2140, rna5488, rna5553, rna797	Sbay_13.261, Sbay_13.494, Sbay_15.81, Sbay_4.394	rna4562, rna4800	Skud_13.240, Skud_13.477, Skud_15.68, Skud_2.272	Smik_13.266, Smik_13.520, Smik_15.71, Smik_2.284	Spar_13.256, Spar_13.501, Spar_15.91, Spar_2.305	rna6457
OG0000013	rna196, rna4571, rna4973, rna5042	SAKL-ORF14596, SAKL-ORF14612, SAKL-ORF14753, SAKL-ORF620, SAKL-ORF623, SAKL-ORF8072, SAKL-ORF9319	rna1012, rna1623, rna5029	Kwal_14.2206, Kwal_26.8011, Kwal_27.10467	rna2065, rna2066, rna2177, rna2959, rna4180, rna4181, rna5461, rna5694	Sbay_16.335, Sbay_16.338	rna6105, rna6106	Skud_16.298, Skud_16.300	Smik_16.253, Smik_16.255	Spar_16.359, Spar_16.361	rna2339
OG0000014				Kwal_2.442			rna101, rna103, rna1491, rna1492, rna1494, rna1495, rna1797, rna1798, rna1802, rna1803, rna1804, rna2515, rna2516, rna2517, rna2811, rna2812, rna2813, rna3041, rna3764, rna3766, rna4322, rna4324, rna4325, rna4326, rna4823, rna5807, rna5808, rna6295, rna6296, rna6297		Smik_9.260	Spar_16.1, Spar_5.396, Spar_5.398, Spar_5.399	
OG0000015	rna1184, rna2044, rna2058, rna3582, rna523, rna537	SAKL-ORF10373, SAKL-ORF15552, SAKL-ORF2597, SAKL-ORF2642, SAKL-ORF6371, SAKL-ORF7987	rna2078, rna2129, rna2134	Kwal_27.12846, Kwal_27.9651, Kwal_47.16790		Sbay_1.3, Sbay_10.17, Sbay_6.2	rna1815, rna2799, rna2800, rna2801, rna3, rna3759, rna5, rna8, rna95	Skud_6.18	Smik_5.362, Smik_6.25	Spar_8.335	
OG0000016	rna4606, rna571	SAKL-ORF15193, SAKL-ORF4147	rna2404, rna3951, rna4867	Kwal_27.11100, Kwal_47.18536, Kwal_55.20745	rna2044, rna5054, rna5217	Sbay_13.143, Sbay_16.129, Sbay_2.611	rna1388, rna1729, rna4449, rna5912	Skud_13.135, Skud_16.99, Skud_4.709	Smik_13.135, Smik_4.708, Smik_6.384	Spar_13.137, Spar_16.145, Spar_4.803	rna4910, rna5331, rna5970, rna835
OG0000017	rna2490, rna4473, rna756	SAKL-ORF14857, SAKL-ORF15697	rna1248, rna144, rna313	Kwal_23.6425, Kwal_47.18089	rna3431, rna3651, rna4116	Sbay_10.364, Sbay_15.2, Sbay_15.3, Sbay_8.216, Sbay_8.225	rna3431, rna5586	Skud_12.346, Skud_15.326, Skud_15.334, Skud_16.500	Smik_12.341, Smik_15.350, Smik_17.27, Smik_18.3, Smik_18.8	Spar_11.5, Spar_12.382, Spar_15.355, Spar_15.364	
OG0000018	rna2046, rna2057, rna4, rna4047, rna536	SAKL-ORF13749, SAKL-ORF2940	rna1332, rna811	Kwal_14.814, Kwal_23.5447, Kwal_55.19605		Sbay_4.224, Sbay_4.339, Sbay_4.340, Sbay_9.1	rna100, rna2809, rna317, rna318, rna915	Skud_2.220, Skud_2.221	Smik_2.233, Smik_2.234, Smik_2.235	Spar_2.251, Spar_4.254, Spar_8.343	rna3357, rna4384, rna5608
OG0000019	rna2199, rna2201, rna949	SAKL-ORF11000, SAKL-ORF11444, SAKL-ORF1598, SAKL-ORF568, SAKL-ORF9786, SAKL-ORF9792	rna74	Kwal_23.5161	rna2747, rna3830, rna3831, rna3832	Sbay_16.256, Sbay_7.3	rna5232, rna6034, rna950	Skud_14.404, Skud_16.225, Skud_4.262	Smik_14.399, Smik_16.179, Smik_17.26, Smik_4.244	Spar_14.439, Spar_4.291	rna1650, rna6012
OG0000020	rna3599, rna4247	SAKL-ORF10938, SAKL-ORF7078	rna3160, rna4179	Kwal_23.4800, Kwal_33.14150	rna1002, rna2256, rna2404, rna4806	Sbay_11.277, Sbay_14.275, Sbay_6.197, Sbay_9.68		Skud_10.98, Skud_11.279, Skud_14.266, Skud_9.45	Smik_10.117, Smik_11.305, Smik_14.261, Smik_9.46	Spar_10.123, Spar_11.333, Spar_14.274, Spar_9.50	rna1001, rna5062
OG0000021	rna1222, rna4308	SAKL-ORF11376, SAKL-ORF672	rna223, rna2915, rna3108	Kwal_27.10058, Kwal_33.13088, Kwal_33.13926	rna1439, rna15, rna3078, rna4568, rna5728	Sbay_4.124, Sbay_6.230	rna1224, rna1475, rna3105, rna824	Skud_10.64, Skud_4.132	Smik_10.83, Smik_4.114	Spar_10.83, Spar_4.156	rna3599, rna5962
OG0000022	rna3405	SAKL-ORF11928, SAKL-ORF4729, SAKL-ORF6354, SAKL-ORF691, SAKL-ORF8024, SAKL-ORF8041, SAKL-ORF9591	rna5007	Kwal_14.2126, Kwal_17.2691	rna2160	Sbay_14.308	rna195, rna2817, rna3043, rna5227, rna5228, rna696, rna697, rna698	Skud_14.401, Skud_2.89	Smik_18.15	Spar_14.436, Spar_2.105, Spar_3.211, Spar_3.214	rna5552
OG0000023				Kwal_10.628, Kwal_11.640, Kwal_11.643, Kwal_14.833, Kwal_18.2697, Kwal_27.12855, Kwal_29.12875, Kwal_37.16352, Kwal_38.16372, Kwal_38.16376, Kwal_38.16383, Kwal_40.16449, Kwal_44.16501, Kwal_44.16504, Kwal_44.16506, Kwal_45.16510, Kwal_45.16514, Kwal_47.16802, Kwal_47.16813, Kwal_47.16825, Kwal_47.16834, Kwal_5.492, Kwal_54.19494, Kwal_55.19506, Kwal_55.19513, Kwal_56.22277, Kwal_56.22278, Kwal_57.24876	rna4789						
OG0000024	rna112	SAKL-ORF14076		Kwal_34.15751		Sbay_16.23, Sbay_16.25, Sbay_5.324	rna1814, rna2510, rna520, rna6290	Skud_2.427, Skud_20.3, Skud_6.7, Skud_7.627, Skud_7.638, Skud_7.646	Smik_16.15, Smik_16.20, Smik_2.438, Smik_23.3, Smik_6.15	Spar_16.571, Spar_2.472, Spar_6.18, Spar_7.643, Spar_7.647, Spar_7.649	rna3189
OG0000025	rna4989, rna521	SAKL-ORF10084, SAKL-ORF2919, SAKL-ORF3250	rna425, rna4468	Kwal_33.15428, Kwal_47.17049, Kwal_56.23192	rna1126, rna3337, rna733	Sbay_12.93, Sbay_6.127, Sbay_7.486	rna2415, rna3208	Skud_10.147, Skud_10.232	Smik_10.189, Smik_10.288, Smik_16.114	Spar_10.193, Spar_10.280, Spar_7.549	rna3437, rna4697
OG0000026	rna1575, rna1806, rna776	SAKL-ORF14109, SAKL-ORF15613, SAKL-ORF2546	rna4557, rna779	Kwal_26.9577	rna200, rna3394, rna5707	Sbay_10.439, Sbay_13.498	rna4803	Skud_12.427, Skud_13.480, Skud_7.327	Smik_12.429, Smik_13.523, Smik_6.110	Spar_12.472, Spar_13.505, Spar_7.339	rna1709, rna2722, rna4439, rna6829
OG0000027	rna844, rna845, rna847	SAKL-ORF11435	rna3098, rna3099, rna3101	Kwal_33.13881	rna2437, rna2438, rna5601, rna5602, rna5603	Sbay_11.60, Sbay_11.63, Sbay_6.237	rna3099	Skud_10.58, Skud_11.62, Skud_11.63, Skud_11.64	Smik_10.73, Smik_10.75, Smik_11.72, Smik_11.73	Spar_10.76, Spar_11.89, Spar_11.90	
OG0000028	rna2927, rna3376	SAKL-ORF11453, SAKL-ORF13212, SAKL-ORF14858, SAKL-ORF15693, SAKL-ORF6347	rna1249, rna1250, rna2075, rna346, rna365, rna790	Kwal_14.728, Kwal_26.9616	rna2881		rna2450, rna3762, rna529, rna6291	Skud_16.503, Skud_18.3, Skud_7.560	Smik_11.368, Smik_17.11	Spar_11.399, Spar_16.573, Spar_7.584	
OG0000029	rna2056, rna2930, rna535	SAKL-ORF15173, SAKL-ORF7457	rna2880, rna4872	Kwal_27.11079		Sbay_16.22, Sbay_2.2	rna2511, rna3428, rna521, rna706	Skud_20.4, Skud_4.1, Skud_7.628, Skud_7.639	Smik_16.14, Smik_16.19, Smik_3.10, Smik_5.14	Spar_10.12, Spar_4.13, Spar_7.644, Spar_7.648, Spar_7.650	
OG0000030	rna1444	SAKL-ORF7853, SAKL-ORF7858	rna1274	Kwal_56.22510	rna3359, rna5034, rna5315	Sbay_13.169, Sbay_13.170, Sbay_15.162	rna4473	Skud_13.159, Skud_13.160, Skud_15.150	Smik_13.166, Smik_13.168, Smik_15.159	Spar_13.163, Spar_13.165, Spar_15.179	rna1697, rna24, rna3114, rna589, rna591, rna6552
OG0000031	rna2530, rna3539	SAKL-ORF215, SAKL-ORF6717	rna2433, rna617	Kwal_33.14596, Kwal_47.17314	rna2051, rna2328, rna4720	Sbay_14.185, Sbay_15.332, Sbay_5.243	rna1717	Skud_14.179, Skud_5.255, Skud_8.196	Smik_14.174, Smik_5.268, Smik_8.216	Spar_14.185, Spar_5.296, Spar_8.227	rna1548, rna3641, rna5407
OG0000032	rna3660, rna4807	SAKL-ORF3177, SAKL-ORF3641, SAKL-ORF5927, SAKL-ORF9530	rna1688, rna391	Kwal_33.15540	rna1489, rna1528, rna3319	Sbay_10.128, Sbay_10.227, Sbay_7.369	rna2294, rna3874, rna3960	Skud_12.110, Skud_12.203	Smik_12.106, Smik_12.197	Spar_12.120, Spar_12.214, Spar_7.398	rna1776, rna330
OG0000033		SAKL-ORF13930, SAKL-ORF9202	rna5339	Kwal_34.15867	rna1094, rna1687, rna1697, rna1844, rna2594, rna5482	Sbay_2.186, Sbay_3.52, Sbay_4.286	rna272, rna621, rna971	Skud_2.169, Skud_3.94, Skud_4.286	Smik_2.177, Smik_3.118, Smik_4.268	Spar_2.202, Spar_3.121, Spar_4.322	rna5967
OG0000034	rna248, rna467	SAKL-ORF11250, SAKL-ORF9169	rna1152, rna3126	Kwal_33.14000, Kwal_56.22971	rna1083, rna2426	Sbay_11.294, Sbay_2.171, Sbay_6.218	rna960	Skud_10.76, Skud_11.295, Skud_4.273	Smik_10.94, Smik_11.321, Smik_4.255	Spar_10.96, Spar_11.349, Spar_4.303	rna156, rna2830
OG0000035	rna396	SAKL-ORF13092, SAKL-ORF456	rna2476, rna2477, rna3831	Kwal_47.16561	rna1665, rna1703, rna2748, rna2947, rna3278, rna3591, rna4060, rna5809	Sbay_15.379, Sbay_16.139	rna2765, rna5921	Skud_8.243	Smik_8.263	Spar_16.156, Spar_8.277	rna85, rna93
OG0000036	rna2186, rna837	SAKL-ORF11509, SAKL-ORF15306	rna3091, rna4824	Kwal_33.13846, Kwal_56.24059	rna100, rna2442, rna5605	Sbay_11.56, Sbay_16.104, Sbay_6.245	rna5888	Skud_10.50, Skud_11.58, Skud_16.76	Smik_10.66, Smik_11.62, Smik_6.408	Spar_10.67, Spar_11.81, Spar_16.120	rna3329
OG0000037	rna1286, rna1287	SAKL-ORF12383, SAKL-ORF12389, SAKL-ORF12395, SAKL-ORF12399	rna2983, rna2984	Kwal_33.13401, Kwal_33.13411	rna50, rna51	Sbay_14.73, Sbay_14.75, Sbay_5.4	rna4893	Skud_14.70, Skud_14.71, Skud_5.26	Smik_14.67, Smik_14.68, Smik_5.24	Spar_14.74, Spar_14.76, Spar_5.11	
OG0000038	rna1549	SAKL-ORF5533	rna1335, rna180	Kwal_23.5819, Kwal_34.15730	rna1410, rna3983, rna3984, rna3985, rna3987, rna3993	Sbay_5.169, Sbay_5.170	rna1643, rna1648, rna1649	Skud_5.169, Skud_5.174, Skud_5.175	Smik_5.190, Smik_5.191	Spar_5.198, Spar_5.203, Spar_5.205	
OG0000039	rna4598, rna669	SAKL-ORF2317, SAKL-ORF8735	rna1965, rna5174	Kwal_0.191, Kwal_23.4210	rna249, rna900	Sbay_10.271, Sbay_14.339, Sbay_4.184	rna878	Skud_12.239, Skud_14.318, Skud_4.189	Smik_12.235, Smik_14.319, Smik_4.169	Spar_12.283, Spar_14.354, Spar_4.214	rna1816
OG0000040	rna4156, rna4924	SAKL-ORF13441	rna1399, rna2139, rna4353	Kwal_26.7014	rna2111, rna3899	Sbay_10.182, Sbay_2.718, Sbay_8.387	rna3926, rna5749	Skud_12.166, Skud_15.502, Skud_7.2	Smik_12.157, Smik_15.515	Spar_12.172, Spar_15.549	rna5668, rna6462, rna68
OG0000041	rna5135	SAKL-ORF6774, SAKL-ORF6779	rna590	Kwal_33.14694	rna3605, rna3890, rna4673, rna4739	Sbay_14.204, Sbay_7.4, Sbay_7.5, Sbay_8.1, Sbay_9.10	rna4320, rna5019, rna699	Skud_14.197	Smik_12.559, Smik_14.193	Spar_12.607, Spar_14.204, Spar_3.219	rna1627
OG0000042	rna2326, rna4945	SAKL-ORF1077, SAKL-ORF15722	rna318, rna4333	Kwal_56.23626	rna2874, rna3638	Sbay_1.1, Sbay_10.200, Sbay_12.3, Sbay_2.296, Sbay_3.125		Skud_12.178, Skud_3.163, Skud_4.394	Smik_12.170, Smik_3.187, Smik_4.379	Spar_12.186, Spar_3.191, Spar_4.442	
OG0000043	rna3319, rna3719	SAKL-ORF9908	rna4240, rna4492	Kwal_27.10967, Kwal_27.11478	rna2224, rna3807, rna4886	Sbay_14.315, Sbay_2.138	rna226, rna5127	Skud_2.123, Skud_38.2	Smik_14.299, Smik_2.130	Spar_14.330, Spar_2.147	rna2615, rna3861, rna5095
OG0000044	rna5018	SAKL-ORF3861	rna2882, rna4633	Kwal_26.6702, Kwal_27.12821, Kwal_27.9666	rna1259, rna4126, rna5191	Sbay_2.583, Sbay_8.204, Sbay_8.379	rna5742	Skud_15.317, Skud_15.495, Skud_4.680	Smik_15.333, Smik_15.508, Smik_4.678	Spar_15.346, Spar_15.541, Spar_4.760	
OG0000045	rna4846, rna897	Mod_transcript_1, SAKL-ORF13766, SAKL-ORF14587	rna2805, rna2891, rna4650	Kwal_27.12599, Kwal_33.12988, Kwal_56.23011	rna1151, rna5431	Sbay_16.386, Sbay_4.350		Skud_16.344, Skud_2.230	Smik_16.300, Smik_2.244	Spar_16.405, Spar_2.262	rna1263
OG0000046	rna2071	SAKL-ORF13230, SAKL-ORF1345, SAKL-ORF5681, SAKL-ORF8937, SAKL-ORF8942	rna3242, rna5373	Kwal_23.3203	rna2802	Sbay_10.332, Sbay_10.479	rna4092, rna5487, rna5608	Skud_12.312	Smik_12.297, Smik_15.377, Smik_5.64	Spar_12.347, Spar_15.271, Spar_15.390	
OG0000047	rna2951	SAKL-ORF29	rna356, rna5363	Kwal_34.15770	rna3143, rna5649	Sbay_10.23, Sbay_8.16	rna3760	Skud_12.22, Skud_18.2, Skud_8.9	Smik_11.367, Smik_12.11, Smik_8.6	Spar_11.398, Spar_12.18, Spar_8.18	rna2444, rna2483, rna3162
OG0000048	rna3126, rna3978	SAKL-ORF1671, SAKL-ORF5603	rna153, rna2685	Kwal_27.12039, Kwal_47.18123	rna2731, rna3838	Sbay_16.238, Sbay_5.149	rna1631, rna6018	Skud_16.208, Skud_5.157	Smik_16.162, Smik_5.172	Spar_16.256, Spar_5.184	rna1939, rna3497
OG0000049	rna3320, rna3718	SAKL-ORF7246	rna4241, rna4491	Kwal_27.10964, Kwal_27.11476	rna2223, rna3808, rna4887	Sbay_14.316, Sbay_2.137	rna225, rna5128	Skud_2.122	Smik_14.300, Smik_2.129	Spar_14.331, Spar_2.146	rna2614, rna3860, rna5097
OG0000050	rna3341, rna4250	SAKL-ORF7064, SAKL-ORF7300	rna3293, rna4175	Kwal_23.3430, Kwal_23.4783	rna2259, rna3226	Sbay_14.274, Sbay_7.117	rna2057, rna5086	Skud_14.265, Skud_7.124	Smik_14.260, Smik_7.125	Spar_14.273, Spar_7.132	rna1259, rna5692
OG0000051	rna3491, rna3670	SAKL-ORF13871, SAKL-ORF3204	rna2767, rna404	Kwal_27.12446, Kwal_33.15500	rna5450, rna748	Sbay_4.328, Sbay_7.498	rna2427, rna307	Skud_2.209, Skud_7.540	Smik_16.102, Smik_2.221	Spar_2.241, Spar_7.561	rna3471, rna5052
OG0000052	rna3578, rna4413	SAKL-ORF13582, SAKL-ORF14227	rna1453, rna90	Kwal_23.5120, Kwal_26.7260	rna1193, rna3785, rna5695	Sbay_16.314, Sbay_7.368	rna2293, rna6086	Skud_16.279, Skud_7.382	Smik_16.232, Smik_6.168	Spar_16.334, Spar_7.397	rna5833
OG0000053	rna3707, rna4644	SAKL-ORF1406, SAKL-ORF9815	rna2578, rna4503	Kwal_27.10999, Kwal_27.11599	rna1052, rna1870	Sbay_2.125, Sbay_2.392	rna1171, rna214	Skud_2.111, Skud_4.486	Smik_2.118, Smik_4.471	Spar_2.135, Spar_4.539	rna2261, rna6366
OG0000054	rna4101, rna4448	SAKL-ORF14393, SAKL-ORF8934	rna4590, rna5095	Kwal_14.1181, Kwal_14.2483	rna2346, rna2916	Sbay_10.142, Sbay_4.525	rna3888, rna488	Skud_12.124, Skud_2.396	Smik_12.120, Smik_2.407	Spar_12.134, Spar_2.441	rna1222, rna1718
OG0000055	rna108, rna3406	SAKL-ORF14086, SAKL-ORF687	rna4546, rna5008	Kwal_14.1416, Kwal_17.2687	rna209, rna2159	Sbay_2.105, Sbay_7.325	rna196, rna2251	Skud_2.90, Skud_7.337	Smik_2.101, Smik_6.125	Spar_2.106, Spar_7.352	rna1672
OG0000056	rna148, rna149, rna150	SAKL-ORF14306, SAKL-ORF14308, SAKL-ORF2527, SAKL-ORF2530, SAKL-ORF3916, SAKL-ORF8150, SAKL-ORF8152		Kwal_26.6805	rna5339, rna780	Sbay_1.14, Sbay_8.421		Skud_1.10, Skud_15.532	Smik_1.13, Smik_15.547	Spar_1.17, Spar_15.584	
