Orthogroup	k_lactis_proteins	l_kluyveri_v2_proteins	l_thermotolerans_proteins	l_waltii_v3_proteins	n_castellii_proteins	s_bayanus_proteins	s_cerevisiae_proteins	s_kudriavzevii_proteins	s_mikatae_proteins	s_paradoxus_proteins	schizo_pombe_proteins
OG0006650	rna2458										
OG0006651	rna2471										
OG0006652	rna2491										
OG0006653	rna2532										
OG0006654	rna2586										
OG0006655	rna2601										
OG0006656	rna2630										
OG0006657	rna2640										
OG0006658	rna2667										
OG0006659	rna2703										
OG0006660	rna2732										
OG0006661	rna2802										
OG0006662	rna2929										
OG0006663	rna2943										
OG0006664	rna2949										
OG0006665	rna2997										
OG0006666	rna3025										
OG0006667	rna3054										
OG0006668	rna3123										
OG0006669	rna3135										
OG0006670	rna3175										
OG0006671	rna3211										
OG0006672	rna3273										
OG0006673	rna3292										
OG0006674	rna3343										
OG0006675	rna3355										
OG0006676	rna3369										
OG0006677	rna3379										
OG0006678	rna3425										
OG0006679	rna3478										
OG0006680	rna3512										
OG0006681	rna3557										
OG0006682	rna3558										
OG0006683	rna3626										
OG0006684	rna3632										
OG0006685	rna3653										
OG0006686	rna3702										
OG0006687	rna3704										
OG0006688	rna3751										
OG0006689	rna3761										
OG0006690	rna3780										
OG0006691	rna3794										
OG0006692	rna3814										
OG0006693	rna3819										
OG0006694	rna3829										
OG0006695	rna3923										
OG0006696	rna3993										
OG0006697	rna3996										
OG0006698	rna4016										
OG0006699	rna4025										
OG0006700	rna4052										
OG0006701	rna4084										
OG0006702	rna4118										
OG0006703	rna4146										
OG0006704	rna4151										
OG0006705	rna4194										
OG0006706	rna4221										
OG0006707	rna4246										
OG0006708	rna4318										
OG0006709	rna4372										
OG0006710	rna4375										
OG0006711	rna4376										
OG0006712	rna4380										
OG0006713	rna4400										
OG0006714	rna4487										
OG0006715	rna4492										
OG0006716	rna4502										
OG0006717	rna4559										
OG0006718	rna4674										
OG0006719	rna4721										
OG0006720	rna4790										
OG0006721	rna4809										
OG0006722	rna4836										
OG0006723	rna4845										
OG0006724	rna4872										
OG0006725	rna4886										
OG0006726	rna4933										
OG0006727	rna4971										
OG0006728	rna4972										
OG0006729	rna4984										
OG0006730	rna4996										
OG0006731	rna5037										
OG0006732	rna5043										
OG0006733	rna5086										
OG0006734	rna5093										
OG0006735	rna5136										
OG0006736	rna5141										
OG0006737	rna5157										
OG0006738	rna5236										
OG0006739	TCONS_novel_00000051_3-frame_1										
OG0006740	TCONS_novel_00000052_6-frame_1										
OG0006741	TCONS_novel_00000001_1-frame_1										
OG0006742	TCONS_novel_00000002_1-frame_1										
OG0006743	TCONS_novel_00000002_2-frame_1										
OG0006744	TCONS_novel_00000002_3-frame_1										
OG0006745	TCONS_novel_00000003_1-frame_1										
OG0006746	TCONS_novel_00000004_1-frame_1										
OG0006747	TCONS_novel_00000004_2-frame_1										
OG0006748	TCONS_novel_00000004_3-frame_1										
OG0006749	TCONS_novel_00000004_4-frame_1										
OG0006750	TCONS_novel_00000004_5-frame_1										
OG0006751	TCONS_novel_00000005_1-frame_1										
OG0006752	TCONS_novel_00000006_1-frame_1										
OG0006753	TCONS_novel_00000007_1-frame_1										
OG0006754	TCONS_novel_00000007_2-frame_1										
OG0006755	TCONS_novel_00000007_3-frame_1										
OG0006756	TCONS_novel_00000009_1-frame_1										
OG0006757	TCONS_novel_00000010_1-frame_1										
OG0006758	TCONS_novel_00000010_2-frame_1										
OG0006759	TCONS_novel_00000010_3-frame_1										
OG0006760	TCONS_novel_00000053_1-frame_1										
OG0006761	TCONS_novel_00000053_2-frame_1										
OG0006762	TCONS_novel_00000011_1-frame_1										
OG0006763	TCONS_novel_00000054_1-frame_1										
OG0006764	TCONS_novel_00000054_2-frame_1										
OG0006765	TCONS_novel_00000054_3-frame_1										
OG0006766	TCONS_novel_00000054_4-frame_1										
OG0006767	TCONS_novel_00000054_5-frame_1										
OG0006768	TCONS_novel_00000054_6-frame_1										
OG0006769	TCONS_novel_00000054_7-frame_1										
OG0006770	TCONS_novel_00000055_1-frame_1										
OG0006771	TCONS_novel_00000055_2-frame_1										
OG0006772	TCONS_novel_00000055_3-frame_1										
OG0006773	TCONS_novel_00000013_1-frame_1										
OG0006774	TCONS_novel_00000013_2-frame_1										
OG0006775	TCONS_novel_00000014_1-frame_1										
OG0006776	TCONS_novel_00000056_1-frame_1										
OG0006777	TCONS_novel_00000056_2-frame_1										
OG0006778	TCONS_novel_00000056_3-frame_1										
OG0006779	TCONS_novel_00000057_1-frame_1										
OG0006780	TCONS_novel_00000057_2-frame_1										
OG0006781	TCONS_novel_00000058_1-frame_1										
OG0006782	TCONS_novel_00000058_2-frame_1										
OG0006783	TCONS_novel_00000058_3-frame_1										
OG0006784	TCONS_novel_00000058_4-frame_1										
OG0006785	TCONS_novel_00000015_1-frame_1										
OG0006786	TCONS_novel_00000015_2-frame_1										
OG0006787	TCONS_novel_00000016_1-frame_1										
OG0006788	TCONS_novel_00000016_2-frame_1										
OG0006789	TCONS_novel_00000059_1-frame_1										
OG0006790	TCONS_novel_00000017_1-frame_1										
OG0006791	TCONS_novel_00000019_1-frame_1										
OG0006792	TCONS_novel_00000019_2-frame_1										
OG0006793	TCONS_novel_00000019_3-frame_1										
OG0006794	TCONS_novel_00000019_4-frame_1										
OG0006795	TCONS_novel_00000020_1-frame_1										
OG0006796	TCONS_novel_00000020_2-frame_1										
OG0006797	TCONS_novel_00000020_3-frame_1										
OG0006798	TCONS_novel_00000020_4-frame_1										
OG0006799	TCONS_novel_00000020_5-frame_1										
OG0006800	TCONS_novel_00000020_6-frame_1										
OG0006801	TCONS_novel_00000020_7-frame_1										
OG0006802	TCONS_novel_00000020_8-frame_1										
OG0006803	TCONS_novel_00000020_9-frame_1										
OG0006804	TCONS_novel_00000020_10-frame_1										
OG0006805	TCONS_novel_00000020_11-frame_1										
OG0006806	TCONS_novel_00000020_12-frame_1										
OG0006807	TCONS_novel_00000020_13-frame_1										
OG0006808	TCONS_novel_00000020_14-frame_1										
OG0006809	TCONS_novel_00000020_15-frame_1										
OG0006810	TCONS_novel_00000020_16-frame_1										
OG0006811	TCONS_novel_00000020_17-frame_1										
OG0006812	TCONS_novel_00000020_18-frame_1										
OG0006813	TCONS_novel_00000020_19-frame_1										
OG0006814	TCONS_novel_00000020_20-frame_1										
OG0006815	TCONS_novel_00000020_21-frame_1										
OG0006816	TCONS_novel_00000020_22-frame_1										
OG0006817	TCONS_novel_00000020_23-frame_1										
OG0006818	TCONS_novel_00000020_24-frame_1										
OG0006819	TCONS_novel_00000021_1-frame_1										
OG0006820	TCONS_novel_00000021_2-frame_1										
OG0006821	TCONS_novel_00000021_3-frame_1										
OG0006822	TCONS_novel_00000021_4-frame_1										
OG0006823	TCONS_novel_00000060_1-frame_1										
OG0006824	TCONS_novel_00000060_2-frame_1										
OG0006825	TCONS_novel_00000060_3-frame_1										
OG0006826	TCONS_novel_00000060_4-frame_1										
OG0006827	TCONS_novel_00000062_1-frame_1										
OG0006828	TCONS_novel_00000063_1-frame_1										
OG0006829	TCONS_novel_00000063_2-frame_1										
OG0006830	TCONS_novel_00000063_3-frame_1										
OG0006831	TCONS_novel_00000063_4-frame_1										
OG0006832	TCONS_novel_00000064_1-frame_1										
OG0006833	TCONS_novel_00000064_2-frame_1										
OG0006834	TCONS_novel_00000064_3-frame_1										
OG0006835	TCONS_novel_00000064_4-frame_1										
OG0006836	TCONS_novel_00000064_5-frame_1										
OG0006837	TCONS_novel_00000064_6-frame_1										
OG0006838	TCONS_novel_00000065_1-frame_1										
OG0006839	TCONS_novel_00000065_2-frame_1										
OG0006840	TCONS_novel_00000065_3-frame_1										
OG0006841	TCONS_novel_00000022_1-frame_1										
OG0006842	TCONS_novel_00000022_2-frame_1										
OG0006843	TCONS_novel_00000022_3-frame_1										
OG0006844	TCONS_novel_00000022_4-frame_1										
OG0006845	TCONS_novel_00000022_5-frame_1										
OG0006846	TCONS_novel_00000022_6-frame_1										
OG0006847	TCONS_novel_00000022_7-frame_1										
OG0006848	TCONS_novel_00000022_8-frame_1										
OG0006849	TCONS_novel_00000022_9-frame_1										
OG0006850	TCONS_novel_00000066_1-frame_1										
OG0006851	TCONS_novel_00000066_2-frame_1										
OG0006852	TCONS_novel_00000067_1-frame_1										
OG0006853	TCONS_novel_00000067_2-frame_1										
OG0006854	TCONS_novel_00000067_3-frame_1										
OG0006855	TCONS_novel_00000023_1-frame_1										
OG0006856	TCONS_novel_00000023_2-frame_1										
OG0006857	TCONS_novel_00000023_3-frame_1										
OG0006858	TCONS_novel_00000023_4-frame_1										
OG0006859	TCONS_novel_00000024_1-frame_1										
OG0006860	TCONS_novel_00000024_2-frame_1										
OG0006861	TCONS_novel_00000024_3-frame_1										
OG0006862	TCONS_novel_00000024_4-frame_1										
OG0006863	TCONS_novel_00000024_5-frame_1										
OG0006864	TCONS_novel_00000024_6-frame_1										
OG0006865	TCONS_novel_00000068_1-frame_1										
OG0006866	TCONS_novel_00000068_2-frame_1										
OG0006867	TCONS_novel_00000068_3-frame_1										
OG0006868	TCONS_novel_00000069_1-frame_1										
OG0006869	TCONS_novel_00000069_2-frame_1										
OG0006870	TCONS_novel_00000069_3-frame_1										
OG0006871	TCONS_novel_00000069_4-frame_1										
OG0006872	TCONS_novel_00000069_5-frame_1										
OG0006873	TCONS_novel_00000069_6-frame_1										
OG0006874	TCONS_novel_00000070_2-frame_1										
OG0006875	TCONS_novel_00000071_2-frame_1										
OG0006876	TCONS_novel_00000072_1-frame_1										
OG0006877	TCONS_novel_00000072_2-frame_1										
OG0006878	TCONS_novel_00000072_3-frame_1										
OG0006879	TCONS_novel_00000072_4-frame_1										
OG0006880	TCONS_novel_00000072_5-frame_1										
OG0006881	TCONS_novel_00000072_6-frame_1										
OG0006882	TCONS_novel_00000073_1-frame_1										
OG0006883	TCONS_novel_00000073_2-frame_1										
OG0006884	TCONS_novel_00000074_2-frame_1										
OG0006885	TCONS_novel_00000074_3-frame_1										
OG0006886	TCONS_novel_00000074_4-frame_1										
OG0006887	TCONS_novel_00000074_5-frame_1										
OG0006888	TCONS_novel_00000074_6-frame_1										
OG0006889	TCONS_novel_00000074_7-frame_1										
OG0006890	TCONS_novel_00000074_8-frame_1										
OG0006891	TCONS_novel_00000074_9-frame_1										
OG0006892	TCONS_novel_00000074_10-frame_1										
OG0006893	TCONS_novel_00000074_11-frame_1										
OG0006894	TCONS_novel_00000074_12-frame_1										
OG0006895	TCONS_novel_00000074_13-frame_1										
OG0006896	TCONS_novel_00000074_15-frame_1										
OG0006897	TCONS_novel_00000074_16-frame_1										
OG0006898	TCONS_novel_00000074_17-frame_1										
OG0006899	TCONS_novel_00000074_18-frame_1										
OG0006900	TCONS_novel_00000074_19-frame_1										
OG0006901	TCONS_novel_00000074_20-frame_1										
OG0006902	TCONS_novel_00000074_21-frame_1										
OG0006903	TCONS_novel_00000074_22-frame_1										
OG0006904	TCONS_novel_00000074_23-frame_1										
OG0006905	TCONS_novel_00000074_24-frame_1										
OG0006906	TCONS_novel_00000074_25-frame_1										
OG0006907	TCONS_novel_00000074_26-frame_1										
OG0006908	TCONS_novel_00000074_27-frame_1										
OG0006909	TCONS_novel_00000074_28-frame_1										
OG0006910	TCONS_novel_00000074_29-frame_1										
OG0006911	TCONS_novel_00000074_30-frame_1										
OG0006912	TCONS_novel_00000025_1-frame_1										
OG0006913	TCONS_novel_00000025_2-frame_1										
OG0006914	TCONS_novel_00000025_3-frame_1										
OG0006915	TCONS_novel_00000025_4-frame_1										
OG0006916	TCONS_novel_00000025_5-frame_1										
OG0006917	TCONS_novel_00000025_6-frame_1										
OG0006918	TCONS_novel_00000025_7-frame_1										
OG0006919	TCONS_novel_00000025_8-frame_1										
OG0006920	TCONS_novel_00000026_1-frame_1										
OG0006921	TCONS_novel_00000026_2-frame_1										
OG0006922	TCONS_novel_00000026_3-frame_1										
OG0006923	TCONS_novel_00000026_4-frame_1										
OG0006924	TCONS_novel_00000026_5-frame_1										
OG0006925	TCONS_novel_00000026_6-frame_1										
OG0006926	TCONS_novel_00000026_7-frame_1										
OG0006927	TCONS_novel_00000026_8-frame_1										
OG0006928	TCONS_novel_00000026_9-frame_1										
OG0006929	TCONS_novel_00000026_10-frame_1										
OG0006930	TCONS_novel_00000026_11-frame_1										
OG0006931	TCONS_novel_00000026_12-frame_1										
OG0006932	TCONS_novel_00000026_13-frame_1										
OG0006933	TCONS_novel_00000026_14-frame_1										
OG0006934	TCONS_novel_00000075_1-frame_1										
OG0006935	TCONS_novel_00000075_2-frame_1										
OG0006936	TCONS_novel_00000075_3-frame_1										
OG0006937	TCONS_novel_00000076_1-frame_1										
OG0006938	TCONS_novel_00000076_2-frame_1										
OG0006939	TCONS_novel_00000076_3-frame_1										
OG0006940	TCONS_novel_00000076_4-frame_1										
OG0006941	TCONS_novel_00000076_5-frame_1										
OG0006942	TCONS_novel_00000076_6-frame_1										
OG0006943	TCONS_novel_00000027_1-frame_1										
OG0006944	TCONS_novel_00000028_1-frame_1										
OG0006945	TCONS_novel_00000028_2-frame_1										
OG0006946	TCONS_novel_00000028_3-frame_1										
OG0006947	TCONS_novel_00000029_1-frame_1										
OG0006948	TCONS_novel_00000029_2-frame_1										
OG0006949	TCONS_novel_00000077_1-frame_1										
OG0006950	TCONS_novel_00000077_2-frame_1										
OG0006951	TCONS_novel_00000030_1-frame_1										
OG0006952	TCONS_novel_00000030_2-frame_1										
OG0006953	TCONS_novel_00000030_3-frame_1										
OG0006954	TCONS_novel_00000078_2-frame_1										
OG0006955	TCONS_novel_00000078_3-frame_1										
OG0006956	TCONS_novel_00000078_4-frame_1										
OG0006957	TCONS_novel_00000079_1-frame_1										
OG0006958	TCONS_novel_00000031_1-frame_1										
OG0006959	TCONS_novel_00000032_1-frame_1										
OG0006960	TCONS_novel_00000032_2-frame_1										
OG0006961	TCONS_novel_00000032_3-frame_1										
OG0006962	TCONS_novel_00000032_4-frame_1										
OG0006963	TCONS_novel_00000032_5-frame_1										
OG0006964	TCONS_novel_00000080_1-frame_1										
OG0006965	TCONS_novel_00000080_2-frame_1										
OG0006966	TCONS_novel_00000034_1-frame_1										
OG0006967	TCONS_novel_00000034_2-frame_1										
OG0006968	TCONS_novel_00000034_3-frame_1										
OG0006969	TCONS_novel_00000034_4-frame_1										
OG0006970	TCONS_novel_00000034_5-frame_1										
OG0006971	TCONS_novel_00000034_6-frame_1										
OG0006972	TCONS_novel_00000035_1-frame_1										
OG0006973	TCONS_novel_00000035_2-frame_1										
OG0006974	TCONS_novel_00000081_1-frame_1										
OG0006975	TCONS_novel_00000081_2-frame_1										
OG0006976	TCONS_novel_00000082_1-frame_1										
OG0006977	TCONS_novel_00000036_1-frame_1										
OG0006978	TCONS_novel_00000083_1-frame_1										
OG0006979	TCONS_novel_00000037_1-frame_1										
OG0006980	TCONS_novel_00000037_2-frame_1										
OG0006981	TCONS_novel_00000084_1-frame_1										
OG0006982	TCONS_novel_00000084_2-frame_1										
OG0006983	TCONS_novel_00000038_1-frame_1										
OG0006984	TCONS_novel_00000038_2-frame_1										
OG0006985	TCONS_novel_00000038_3-frame_1										
OG0006986	TCONS_novel_00000039_1-frame_1										
OG0006987	TCONS_novel_00000040_1-frame_1										
OG0006988	TCONS_novel_00000040_2-frame_1										
OG0006989	TCONS_novel_00000040_3-frame_1										
OG0006990	TCONS_novel_00000041_2-frame_1										
OG0006991	TCONS_novel_00000041_3-frame_1										
OG0006992	TCONS_novel_00000041_4-frame_1										
OG0006993	TCONS_novel_00000041_5-frame_1										
OG0006994	TCONS_novel_00000085_1-frame_1										
OG0006995	TCONS_novel_00000085_2-frame_1										
OG0006996	TCONS_novel_00000085_3-frame_1										
OG0006997	TCONS_novel_00000085_4-frame_1										
OG0006998	TCONS_novel_00000085_5-frame_1										
OG0006999	TCONS_novel_00000085_6-frame_1										
OG0007000	TCONS_novel_00000042_1-frame_1										
OG0007001	TCONS_novel_00000042_2-frame_1										
OG0007002	TCONS_novel_00000043_1-frame_1										
OG0007003	TCONS_novel_00000043_2-frame_1										
OG0007004	TCONS_novel_00000043_3-frame_1										
OG0007005	TCONS_novel_00000043_4-frame_1										
OG0007006	TCONS_novel_00000043_5-frame_1										
OG0007007	TCONS_novel_00000086_1-frame_1										
OG0007008	TCONS_novel_00000086_2-frame_1										
OG0007009	TCONS_novel_00000086_3-frame_1										
OG0007010	TCONS_novel_00000044_1-frame_1										
OG0007011	TCONS_novel_00000044_2-frame_1										
OG0007012	TCONS_novel_00000045_1-frame_1										
OG0007013	TCONS_novel_00000045_2-frame_1										
OG0007014	TCONS_novel_00000045_3-frame_1										
OG0007015	TCONS_novel_00000045_4-frame_1										
OG0007016	TCONS_novel_00000087_1-frame_1										
OG0007017	TCONS_novel_00000089_1-frame_1										
OG0007018	TCONS_novel_00000089_2-frame_1										
OG0007019	TCONS_novel_00000089_3-frame_1										
OG0007020	TCONS_novel_00000089_4-frame_1										
OG0007021	TCONS_novel_00000046_1-frame_1										
OG0007022	TCONS_novel_00000046_2-frame_1										
OG0007023	TCONS_novel_00000046_3-frame_1										
OG0007024	TCONS_novel_00000046_4-frame_1										
OG0007025	TCONS_novel_00000046_5-frame_1										
OG0007026	TCONS_novel_00000046_6-frame_1										
OG0007027	TCONS_novel_00000047_1-frame_1										
OG0007028	TCONS_novel_00000048_1-frame_1										
OG0007029	TCONS_novel_00000049_1-frame_1										
OG0007030	TCONS_novel_00000049_2-frame_1										
OG0007031	TCONS_novel_00000090_1-frame_1										
OG0007032	TCONS_novel_00000090_2-frame_1										
OG0007033	TCONS_novel_00000090_3-frame_1										
OG0007034	TCONS_novel_00000090_4-frame_1										
OG0007035	TCONS_novel_00000091_1-frame_1										
OG0007036	TCONS_novel_00000091_2-frame_1										
OG0007037	TCONS_novel_00000050_1-frame_1										
OG0007038	TCONS_novel_00000050_2-frame_1										
OG0007039	TCONS_novel_00000050_3-frame_1										
OG0007040	TCONS_novel_00000050_4-frame_1										
OG0007041	TCONS_novel_00000050_5-frame_1										
OG0007042	TCONS_novel_00000050_6-frame_1										
OG0007043	TCONS_novel_00000050_7-frame_1										
OG0007044	TCONS_novel_00000050_8-frame_1										
OG0007045	TCONS_novel_00000050_9-frame_1										
OG0007046	TCONS_novel_00000092_1-frame_1										
OG0007047	TCONS_novel_00000092_2-frame_1										
OG0007048	TCONS_novel_00000149_1-frame_1										
OG0007049	TCONS_novel_00000150_3-frame_1										
OG0007050	TCONS_novel_00000150_4-frame_1										
OG0007051	TCONS_novel_00000093_2-frame_1										
OG0007052	TCONS_novel_00000093_3-frame_1										
OG0007053	TCONS_novel_00000093_4-frame_1										
OG0007054	TCONS_novel_00000093_5-frame_1										
OG0007055	TCONS_novel_00000093_6-frame_1										
OG0007056	TCONS_novel_00000093_7-frame_1										
OG0007057	TCONS_novel_00000093_8-frame_1										
OG0007058	TCONS_novel_00000093_9-frame_1										
OG0007059	TCONS_novel_00000093_10-frame_1										
OG0007060	TCONS_novel_00000093_11-frame_1										
OG0007061	TCONS_novel_00000093_12-frame_1										
OG0007062	TCONS_novel_00000093_13-frame_1										
OG0007063	TCONS_novel_00000093_14-frame_1										
OG0007064	TCONS_novel_00000093_15-frame_1										
OG0007065	TCONS_novel_00000093_16-frame_1										
OG0007066	TCONS_novel_00000151_1-frame_1										
OG0007067	TCONS_novel_00000151_2-frame_1										
OG0007068	TCONS_novel_00000151_3-frame_1										
OG0007069	TCONS_novel_00000151_4-frame_1										
OG0007070	TCONS_novel_00000151_5-frame_1										
OG0007071	TCONS_novel_00000151_6-frame_1										
OG0007072	TCONS_novel_00000151_7-frame_1										
OG0007073	TCONS_novel_00000151_8-frame_1										
OG0007074	TCONS_novel_00000151_9-frame_1										
OG0007075	TCONS_novel_00000151_10-frame_1										
OG0007076	TCONS_novel_00000151_11-frame_1										
OG0007077	TCONS_novel_00000094_2-frame_1										
OG0007078	TCONS_novel_00000094_3-frame_1										
OG0007079	TCONS_novel_00000094_4-frame_1										
OG0007080	TCONS_novel_00000094_5-frame_1										
OG0007081	TCONS_novel_00000094_6-frame_1										
OG0007082	TCONS_novel_00000094_7-frame_1										
OG0007083	TCONS_novel_00000094_8-frame_1										
OG0007084	TCONS_novel_00000152_1-frame_1										
OG0007085	TCONS_novel_00000153_1-frame_1										
OG0007086	TCONS_novel_00000153_2-frame_1										
OG0007087	TCONS_novel_00000095_1-frame_1										
OG0007088	TCONS_novel_00000095_2-frame_1										
OG0007089	TCONS_novel_00000096_1-frame_1										
OG0007090	TCONS_novel_00000096_2-frame_1										
OG0007091	TCONS_novel_00000097_1-frame_1										
OG0007092	TCONS_novel_00000097_2-frame_1										
OG0007093	TCONS_novel_00000097_3-frame_1										
OG0007094	TCONS_novel_00000098_1-frame_1										
OG0007095	TCONS_novel_00000098_2-frame_1										
OG0007096	TCONS_novel_00000099_1-frame_1										
OG0007097	TCONS_novel_00000099_2-frame_1										
OG0007098	TCONS_novel_00000099_3-frame_1										
OG0007099	TCONS_novel_00000099_4-frame_1										
OG0007100	TCONS_novel_00000099_5-frame_1										
OG0007101	TCONS_novel_00000099_6-frame_1										
OG0007102	TCONS_novel_00000100_1-frame_1										
OG0007103	TCONS_novel_00000100_3-frame_1										
OG0007104	TCONS_novel_00000100_4-frame_1										
OG0007105	TCONS_novel_00000154_1-frame_1										
OG0007106	TCONS_novel_00000154_2-frame_1										
OG0007107	TCONS_novel_00000101_1-frame_1										
OG0007108	TCONS_novel_00000101_2-frame_1										
OG0007109	TCONS_novel_00000101_3-frame_1										
OG0007110	TCONS_novel_00000101_4-frame_1										
OG0007111	TCONS_novel_00000101_5-frame_1										
OG0007112	TCONS_novel_00000101_6-frame_1										
OG0007113	TCONS_novel_00000101_7-frame_1										
OG0007114	TCONS_novel_00000101_8-frame_1										
OG0007115	TCONS_novel_00000101_9-frame_1										
OG0007116	TCONS_novel_00000101_10-frame_1										
OG0007117	TCONS_novel_00000101_11-frame_1										
OG0007118	TCONS_novel_00000101_12-frame_1										
OG0007119	TCONS_novel_00000101_13-frame_1										
OG0007120	TCONS_novel_00000101_14-frame_1										
OG0007121	TCONS_novel_00000102_1-frame_1										
OG0007122	TCONS_novel_00000155_1-frame_1										
OG0007123	TCONS_novel_00000155_2-frame_1										
OG0007124	TCONS_novel_00000155_3-frame_1										
OG0007125	TCONS_novel_00000155_4-frame_1										
OG0007126	TCONS_novel_00000155_5-frame_1										
OG0007127	TCONS_novel_00000103_1-frame_1										
OG0007128	TCONS_novel_00000103_2-frame_1										
OG0007129	TCONS_novel_00000104_1-frame_1										
OG0007130	TCONS_novel_00000156_1-frame_1										
OG0007131	TCONS_novel_00000156_2-frame_1										
OG0007132	TCONS_novel_00000156_3-frame_1										
OG0007133	TCONS_novel_00000156_4-frame_1										
OG0007134	TCONS_novel_00000105_1-frame_1										
OG0007135	TCONS_novel_00000105_2-frame_1										
OG0007136	TCONS_novel_00000105_3-frame_1										
OG0007137	TCONS_novel_00000105_4-frame_1										
OG0007138	TCONS_novel_00000105_5-frame_1										
OG0007139	TCONS_novel_00000105_6-frame_1										
OG0007140	TCONS_novel_00000105_7-frame_1										
OG0007141	TCONS_novel_00000105_8-frame_1										
OG0007142	TCONS_novel_00000105_9-frame_1										
OG0007143	TCONS_novel_00000105_10-frame_1										
OG0007144	TCONS_novel_00000105_11-frame_1										
OG0007145	TCONS_novel_00000157_1-frame_1										
OG0007146	TCONS_novel_00000157_2-frame_1										
OG0007147	TCONS_novel_00000157_3-frame_1										
OG0007148	TCONS_novel_00000157_4-frame_1										
OG0007149	TCONS_novel_00000157_5-frame_1										
OG0007150	TCONS_novel_00000158_1-frame_1										
OG0007151	TCONS_novel_00000158_2-frame_1										
OG0007152	TCONS_novel_00000107_1-frame_1										
OG0007153	TCONS_novel_00000159_1-frame_1										
OG0007154	TCONS_novel_00000108_1-frame_1										
OG0007155	TCONS_novel_00000109_1-frame_1										
OG0007156	TCONS_novel_00000109_2-frame_1										
OG0007157	TCONS_novel_00000110_1-frame_1										
OG0007158	TCONS_novel_00000160_1-frame_1										
OG0007159	TCONS_novel_00000161_1-frame_1										
OG0007160	TCONS_novel_00000161_2-frame_1										
OG0007161	TCONS_novel_00000161_3-frame_1										
OG0007162	TCONS_novel_00000161_4-frame_1										
OG0007163	TCONS_novel_00000161_5-frame_1										
OG0007164	TCONS_novel_00000111_1-frame_1										
OG0007165	TCONS_novel_00000111_2-frame_1										
OG0007166	TCONS_novel_00000111_3-frame_1										
OG0007167	TCONS_novel_00000112_1-frame_1										
OG0007168	TCONS_novel_00000113_1-frame_1										
OG0007169	TCONS_novel_00000113_2-frame_1										
OG0007170	TCONS_novel_00000113_3-frame_1										
OG0007171	TCONS_novel_00000113_4-frame_1										
OG0007172	TCONS_novel_00000114_1-frame_1										
OG0007173	TCONS_novel_00000114_2-frame_1										
OG0007174	TCONS_novel_00000116_1-frame_1										
OG0007175	TCONS_novel_00000116_2-frame_1										
OG0007176	TCONS_novel_00000162_1-frame_1										
OG0007177	TCONS_novel_00000162_2-frame_1										
OG0007178	TCONS_novel_00000162_3-frame_1										
