Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	s_bayanus_proteins	n26	1.0	Terminal	s_bayanus_proteins_Sbay_12.263	s_bayanus_proteins_Sbay_15.419
OG0000000	N9	n29	1.0	Non-Terminal: STRIDE	s_cerevisiae_proteins_rna708, s_cerevisiae_proteins_rna3426, s_paradoxus_proteins_Spar_4.16	s_cerevisiae_proteins_rna1500, s_cerevisiae_proteins_rna5234, s_paradoxus_proteins_Spar_14.441, s_paradoxus_proteins_Spar_16.36
OG0000000	s_cerevisiae_proteins	n31	1.0	Terminal	s_cerevisiae_proteins_rna708	s_cerevisiae_proteins_rna3426
OG0000000	s_cerevisiae_proteins	n33	1.0	Terminal	s_cerevisiae_proteins_rna1500	s_cerevisiae_proteins_rna5234
OG0000000	s_paradoxus_proteins	n34	1.0	Terminal	s_paradoxus_proteins_Spar_14.441	s_paradoxus_proteins_Spar_16.36
OG0000000	s_mikatae_proteins	n35	1.0	Terminal	s_mikatae_proteins_Smik_14.401	s_mikatae_proteins_Smik_5.19
OG0000000	s_kudriavzevii_proteins	n36	1.0	Terminal	s_kudriavzevii_proteins_Skud_14.406	s_kudriavzevii_proteins_Skud_4.5
OG0000000	N1	n37	0.9	Non-Terminal	l_kluyveri_v2_proteins_SAKL-ORF2653, l_thermotolerans_proteins_rna814, l_waltii_v3_proteins_Kwal_14.854, n_castellii_proteins_rna890, n_castellii_proteins_rna3988, s_bayanus_proteins_Sbay_13.174, s_cerevisiae_proteins_rna4477, s_mikatae_proteins_Smik_13.171, s_paradoxus_proteins_Spar_13.168, s_kudriavzevii_proteins_Skud_13.163, s_bayanus_proteins_Sbay_9.197, s_cerevisiae_proteins_rna1856, s_paradoxus_proteins_Spar_6.80, s_mikatae_proteins_Smik_6.68, s_kudriavzevii_proteins_Skud_6.61	n_castellii_proteins_rna4409, n_castellii_proteins_rna5135, s_bayanus_proteins_Sbay_15.287, s_kudriavzevii_proteins_Skud_8.153, s_paradoxus_proteins_Spar_8.176, s_mikatae_proteins_Smik_8.170, s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619, s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512, n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313, n_castellii_proteins_rna3670, n_castellii_proteins_rna5637, l_thermotolerans_proteins_rna353, s_cerevisiae_proteins_rna3045, s_cerevisiae_proteins_rna5252, s_paradoxus_proteins_Spar_10.3, s_paradoxus_proteins_Spar_15.13, s_paradoxus_proteins_Spar_9.2, k_lactis_proteins_rna2641, l_kluyveri_v2_proteins_SAKL-ORF3910, l_thermotolerans_proteins_rna2246, l_waltii_v3_proteins_Kwal_55.20068, n_castellii_proteins_rna4410, s_bayanus_proteins_Sbay_15.290, s_mikatae_proteins_Smik_8.172, s_bayanus_proteins_Sbay_2.516, s_paradoxus_proteins_Spar_4.617, s_mikatae_proteins_Smik_4.609, n_castellii_proteins_rna5136, s_bayanus_proteins_Sbay_15.291, s_kudriavzevii_proteins_Skud_8.157, s_mikatae_proteins_Smik_8.173, s_paradoxus_proteins_Spar_8.180
OG0000000	n_castellii_proteins	n42	1.0	Terminal	n_castellii_proteins_rna890	n_castellii_proteins_rna3988
OG0000000	N5	n43	1.0	Non-Terminal: STRIDE	s_bayanus_proteins_Sbay_13.174, s_cerevisiae_proteins_rna4477, s_mikatae_proteins_Smik_13.171, s_paradoxus_proteins_Spar_13.168, s_kudriavzevii_proteins_Skud_13.163	s_bayanus_proteins_Sbay_9.197, s_cerevisiae_proteins_rna1856, s_paradoxus_proteins_Spar_6.80, s_mikatae_proteins_Smik_6.68, s_kudriavzevii_proteins_Skud_6.61
OG0000000	N1	n52	0.6	Non-Terminal	n_castellii_proteins_rna4409, n_castellii_proteins_rna5135, s_bayanus_proteins_Sbay_15.287, s_kudriavzevii_proteins_Skud_8.153, s_paradoxus_proteins_Spar_8.176, s_mikatae_proteins_Smik_8.170, s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619, s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512, n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313, n_castellii_proteins_rna3670, n_castellii_proteins_rna5637, l_thermotolerans_proteins_rna353, s_cerevisiae_proteins_rna3045, s_cerevisiae_proteins_rna5252, s_paradoxus_proteins_Spar_10.3, s_paradoxus_proteins_Spar_15.13, s_paradoxus_proteins_Spar_9.2	k_lactis_proteins_rna2641, l_kluyveri_v2_proteins_SAKL-ORF3910, l_thermotolerans_proteins_rna2246, l_waltii_v3_proteins_Kwal_55.20068, n_castellii_proteins_rna4410, s_bayanus_proteins_Sbay_15.290, s_mikatae_proteins_Smik_8.172, s_bayanus_proteins_Sbay_2.516, s_paradoxus_proteins_Spar_4.617, s_mikatae_proteins_Smik_4.609, n_castellii_proteins_rna5136, s_bayanus_proteins_Sbay_15.291, s_kudriavzevii_proteins_Skud_8.157, s_mikatae_proteins_Smik_8.173, s_paradoxus_proteins_Spar_8.180
OG0000000	N1	n53	0.2	Non-Terminal	n_castellii_proteins_rna4409, n_castellii_proteins_rna5135, s_bayanus_proteins_Sbay_15.287, s_kudriavzevii_proteins_Skud_8.153, s_paradoxus_proteins_Spar_8.176, s_mikatae_proteins_Smik_8.170, s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619, s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313, n_castellii_proteins_rna3670, n_castellii_proteins_rna5637, l_thermotolerans_proteins_rna353, s_cerevisiae_proteins_rna3045, s_cerevisiae_proteins_rna5252, s_paradoxus_proteins_Spar_10.3, s_paradoxus_proteins_Spar_15.13, s_paradoxus_proteins_Spar_9.2
OG0000000	n_castellii_proteins	n55	1.0	Terminal	n_castellii_proteins_rna4409	n_castellii_proteins_rna5135
OG0000000	N5	n56	0.6	Non-Terminal	s_bayanus_proteins_Sbay_15.287, s_kudriavzevii_proteins_Skud_8.153, s_paradoxus_proteins_Spar_8.176, s_mikatae_proteins_Smik_8.170	s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619, s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512
OG0000000	N5	n60	0.6	Non-Terminal	s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619	s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512
OG0000000	s_paradoxus_proteins	n65	1.0	Terminal	s_paradoxus_proteins_Spar_4.622	s_paradoxus_proteins_Spar_4.779
OG0000000	n_castellii_proteins	n67	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313, n_castellii_proteins_rna3670	n_castellii_proteins_rna5637
OG0000000	n_castellii_proteins	n68	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313	n_castellii_proteins_rna3670
OG0000000	n_castellii_proteins	n69	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822	n_castellii_proteins_rna5313
OG0000000	n_castellii_proteins	n70	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097	n_castellii_proteins_rna2822
OG0000000	n_castellii_proteins	n71	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642	n_castellii_proteins_rna4097
OG0000000	n_castellii_proteins	n72	1.0	Terminal	n_castellii_proteins_rna305, n_castellii_proteins_rna5645	n_castellii_proteins_rna4508, n_castellii_proteins_rna5642
OG0000000	n_castellii_proteins	n73	1.0	Terminal	n_castellii_proteins_rna305	n_castellii_proteins_rna5645
OG0000000	n_castellii_proteins	n74	1.0	Terminal	n_castellii_proteins_rna4508	n_castellii_proteins_rna5642
OG0000000	s_cerevisiae_proteins	n77	1.0	Terminal	s_cerevisiae_proteins_rna3045	s_cerevisiae_proteins_rna5252
OG0000000	s_paradoxus_proteins	n78	1.0	Terminal	s_paradoxus_proteins_Spar_10.3	s_paradoxus_proteins_Spar_15.13, s_paradoxus_proteins_Spar_9.2
OG0000000	s_paradoxus_proteins	n79	1.0	Terminal	s_paradoxus_proteins_Spar_15.13	s_paradoxus_proteins_Spar_9.2
OG0000000	N3	n84	0.6666666666666666	Non-Terminal	n_castellii_proteins_rna4410, s_bayanus_proteins_Sbay_15.290, s_mikatae_proteins_Smik_8.172, s_bayanus_proteins_Sbay_2.516, s_paradoxus_proteins_Spar_4.617, s_mikatae_proteins_Smik_4.609	n_castellii_proteins_rna5136, s_bayanus_proteins_Sbay_15.291, s_kudriavzevii_proteins_Skud_8.157, s_mikatae_proteins_Smik_8.173, s_paradoxus_proteins_Spar_8.180
OG0000000	N5	n86	0.4	Non-Terminal	s_bayanus_proteins_Sbay_15.290, s_mikatae_proteins_Smik_8.172	s_bayanus_proteins_Sbay_2.516, s_paradoxus_proteins_Spar_4.617, s_mikatae_proteins_Smik_4.609
OG0000001	N5	n1	1.0	Non-Terminal	s_paradoxus_proteins_Spar_2.8, s_kudriavzevii_proteins_Skud_12.556, s_kudriavzevii_proteins_Skud_5.2, s_kudriavzevii_proteins_Skud_3.170, s_kudriavzevii_proteins_Skud_7.45, s_bayanus_proteins_Sbay_5.21, s_bayanus_proteins_Sbay_7.585, s_bayanus_proteins_Sbay_5.106, s_mikatae_proteins_Smik_5.10, s_mikatae_proteins_Smik_5.360, s_bayanus_proteins_Sbay_7.36, s_mikatae_proteins_Smik_14.411, s_mikatae_proteins_Smik_2.6, s_mikatae_proteins_Smik_17.13, s_mikatae_proteins_Smik_16.460, s_paradoxus_proteins_Spar_6.178, s_mikatae_proteins_Smik_1.80, s_mikatae_proteins_Smik_16.9, s_mikatae_proteins_Smik_3.7, s_cerevisiae_proteins_rna3767, s_cerevisiae_proteins_rna5239, s_cerevisiae_proteins_rna4321, s_paradoxus_proteins_Spar_16.12, s_paradoxus_proteins_Spar_16.30, s_cerevisiae_proteins_rna0, s_cerevisiae_proteins_rna1490, s_cerevisiae_proteins_rna2521, s_cerevisiae_proteins_rna1942, s_cerevisiae_proteins_rna2814, s_cerevisiae_proteins_rna3042, s_cerevisiae_proteins_rna1524, s_cerevisiae_proteins_rna104, s_bayanus_proteins_Sbay_10.48, s_cerevisiae_proteins_rna1847, s_kudriavzevii_proteins_Skud_1.71, s_kudriavzevii_proteins_Skud_6.51, s_kudriavzevii_proteins_Skud_5.41, s_paradoxus_proteins_Spar_1.89, s_cerevisiae_proteins_rna524, s_cerevisiae_proteins_rna2513, s_paradoxus_proteins_Spar_2.476, s_paradoxus_proteins_Spar_7.657, s_paradoxus_proteins_Spar_6.63, s_cerevisiae_proteins_rna5247, s_paradoxus_proteins_Spar_7.4, s_paradoxus_proteins_Spar_9.251, s_paradoxus_proteins_Spar_14.448, s_paradoxus_proteins_Spar_3.224, s_paradoxus_proteins_Spar_9.267, s_mikatae_proteins_Smik_5.44, s_mikatae_proteins_Smik_17.5, s_mikatae_proteins_Smik_19.2, s_bayanus_proteins_Sbay_1.88, s_bayanus_proteins_Sbay_1.96, s_bayanus_proteins_Sbay_6.39, s_bayanus_proteins_Sbay_14.413, s_kudriavzevii_proteins_Skud_14.3, s_kudriavzevii_proteins_Skud_3.174, s_mikatae_proteins_Smik_12.39, s_paradoxus_proteins_Spar_15.616, s_cerevisiae_proteins_rna700, s_cerevisiae_proteins_rna3039, s_cerevisiae_proteins_rna3430, s_cerevisiae_proteins_rna4822, s_cerevisiae_proteins_rna5805, s_cerevisiae_proteins_rna5809, s_paradoxus_proteins_Spar_12.114, s_kudriavzevii_proteins_Skud_12.104, s_cerevisiae_proteins_rna3868, s_cerevisiae_proteins_rna3802, s_kudriavzevii_proteins_Skud_12.43, s_paradoxus_proteins_Spar_12.47, s_paradoxus_proteins_Spar_4.8	s_bayanus_proteins_Sbay_12.243, s_cerevisiae_proteins_rna3418, s_paradoxus_proteins_Spar_10.435, s_mikatae_proteins_Smik_10.445, s_kudriavzevii_proteins_Skud_10.376, s_cerevisiae_proteins_rna3419, s_paradoxus_proteins_Spar_10.438
OG0000001	N5	n2	0.2	Non-Terminal	s_paradoxus_proteins_Spar_2.8, s_kudriavzevii_proteins_Skud_12.556, s_kudriavzevii_proteins_Skud_5.2, s_kudriavzevii_proteins_Skud_3.170, s_kudriavzevii_proteins_Skud_7.45, s_bayanus_proteins_Sbay_5.21, s_bayanus_proteins_Sbay_7.585, s_bayanus_proteins_Sbay_5.106, s_mikatae_proteins_Smik_5.10, s_mikatae_proteins_Smik_5.360, s_bayanus_proteins_Sbay_7.36, s_mikatae_proteins_Smik_14.411, s_mikatae_proteins_Smik_2.6, s_mikatae_proteins_Smik_17.13, s_mikatae_proteins_Smik_16.460, s_paradoxus_proteins_Spar_6.178, s_mikatae_proteins_Smik_1.80, s_mikatae_proteins_Smik_16.9, s_mikatae_proteins_Smik_3.7, s_cerevisiae_proteins_rna3767, s_cerevisiae_proteins_rna5239, s_cerevisiae_proteins_rna4321, s_paradoxus_proteins_Spar_16.12, s_paradoxus_proteins_Spar_16.30, s_cerevisiae_proteins_rna0, s_cerevisiae_proteins_rna1490, s_cerevisiae_proteins_rna2521, s_cerevisiae_proteins_rna1942, s_cerevisiae_proteins_rna2814, s_cerevisiae_proteins_rna3042, s_cerevisiae_proteins_rna1524, s_cerevisiae_proteins_rna104, s_bayanus_proteins_Sbay_10.48, s_cerevisiae_proteins_rna1847, s_kudriavzevii_proteins_Skud_1.71, s_kudriavzevii_proteins_Skud_6.51, s_kudriavzevii_proteins_Skud_5.41, s_paradoxus_proteins_Spar_1.89, s_cerevisiae_proteins_rna524, s_cerevisiae_proteins_rna2513, s_paradoxus_proteins_Spar_2.476, s_paradoxus_proteins_Spar_7.657, s_paradoxus_proteins_Spar_6.63, s_cerevisiae_proteins_rna5247, s_paradoxus_proteins_Spar_7.4, s_paradoxus_proteins_Spar_9.251, s_paradoxus_proteins_Spar_14.448, s_paradoxus_proteins_Spar_3.224, s_paradoxus_proteins_Spar_9.267, s_mikatae_proteins_Smik_5.44, s_mikatae_proteins_Smik_17.5, s_mikatae_proteins_Smik_19.2, s_bayanus_proteins_Sbay_1.88, s_bayanus_proteins_Sbay_1.96, s_bayanus_proteins_Sbay_6.39, s_bayanus_proteins_Sbay_14.413, s_kudriavzevii_proteins_Skud_14.3, s_kudriavzevii_proteins_Skud_3.174, s_mikatae_proteins_Smik_12.39, s_paradoxus_proteins_Spar_15.616, s_cerevisiae_proteins_rna700, s_cerevisiae_proteins_rna3039, s_cerevisiae_proteins_rna3430, s_cerevisiae_proteins_rna4822, s_cerevisiae_proteins_rna5805, s_cerevisiae_proteins_rna5809, s_paradoxus_proteins_Spar_12.114, s_kudriavzevii_proteins_Skud_12.104, s_cerevisiae_proteins_rna3868, s_cerevisiae_proteins_rna3802, s_kudriavzevii_proteins_Skud_12.43, s_paradoxus_proteins_Spar_12.47	s_paradoxus_proteins_Spar_4.8
