Orthogroup	s_cerevisiae_proteins	l_kluyveri_v2_proteins
OG0000076	rna5524, rna5046	SAKL-ORF6869
OG0000077	rna3432	SAKL-ORF4289
OG0000078	rna4575, rna1808, rna4827	SAKL-ORF7700
OG0000079	rna1372, rna1516	SAKL-ORF4227
OG0000080	rna41, rna5740	SAKL-ORF13469
OG0000081	rna6056, rna2196	SAKL-ORF451
OG0000082	rna2484	SAKL-ORF2440
OG0000083	rna4309	SAKL-ORF2845
OG0000084	rna4302, rna4397	SAKL-ORF2899
OG0000085	rna4582, rna3530	SAKL-ORF7656
OG0000086	rna3647, rna2565	SAKL-ORF7822
OG0000087	rna3056	SAKL-ORF11966
OG0000087	rna2860	SAKL-ORF7047
OG0000088	rna5349, rna918	SAKL-ORF10839
OG0000089	rna4712	SAKL-ORF2139
OG0000091	rna5189, rna670	SAKL-ORF15649
OG0000092	rna5502, rna5065	SAKL-ORF6961
OG0000093	rna1040, rna1772	SAKL-ORF862
OG0000094	rna689, rna5207	SAKL-ORF15739
OG0000095	rna5803, rna4820, rna5811, rna1483	SAKL-ORF3029
OG0000096	rna5231, rna4771, rna4347	SAKL-ORF9391
OG0000097	rna3027, rna239	SAKL-ORF9795
OG0000098	rna5435	SAKL-ORF8632
OG0000099	rna4679, rna5844	SAKL-ORF15477
OG0000100	rna4004, rna4008, rna4015, rna4019, rna1273	SAKL-ORF3775
OG0000101	rna6252, rna2356	SAKL-ORF6124
OG0000102	rna3355	SAKL-ORF4972
OG0000103	rna2908, rna5129	SAKL-ORF7250
OG0000104	rna2173, rna2363	SAKL-ORF557
OG0000105	rna3128	SAKL-ORF11102
OG0000106	rna701	SAKL-ORF443, SAKL-ORF8096
OG0000106	rna4817	SAKL-ORF13134
OG0000107	rna141, rna1698	SAKL-ORF5161
OG0000108	rna1793, rna2437	SAKL-ORF14507, SAKL-ORF13144
OG0000109	rna5750, rna36	SAKL-ORF13439
OG0000110	rna3677, rna3175	SAKL-ORF9014
OG0000111	rna727	SAKL-ORF6590
OG0000112	rna3708, rna3122	SAKL-ORF11165
OG0000113	rna1320	TCONS_novel_00000378_1-frame_3, TCONS_novel_00000733_1-frame_3, TCONS_novel_00000110_1-frame_2, TCONS_novel_00000230_1-frame_3, TCONS_novel_00000131_1-frame_2, TCONS_novel_00000331_1-frame_1, TCONS_novel_00000270_1-frame_3, TCONS_novel_00000110_2-frame_3, TCONS_novel_00000733_2-frame_1, TCONS_novel_00000378_1-frame_1, TCONS_novel_00000775_1-frame_3, TCONS_novel_00000540_1-frame_2, TCONS_novel_00000530_3-frame_1, TCONS_novel_00000732_3-frame_1, SAKL-ORF7528, TCONS_novel_00000783_1-frame_1
OG0000114	rna5797, rna4814	SAKL-ORF3848
OG0000116	rna1365, rna5571	SAKL-ORF4258
OG0000117	rna5601, rna4150	SAKL-ORF14917
OG0000118	rna2003	SAKL-ORF6138
OG0000119	rna4858, rna5290	SAKL-ORF9731
OG0000120	rna4863	SAKL-ORF9745
OG0000121	rna5498, rna3745	SAKL-ORF6463
OG0000122	rna2191, rna209	SAKL-ORF9453
OG0000123	rna4792	Mod_transcript_75
OG0000124	rna2796	SAKL-ORF13243
OG0000125	rna1608	SAKL-ORF6154
OG0000126	rna5871, rna2065	SAKL-ORF15361
OG0000127	rna2069, rna5872	SAKL-ORF15353
OG0000128	rna4294, rna4404	SAKL-ORF2936
OG0000129	rna2229, rna4192	SAKL-ORF14149
OG0000130	rna248, rna951	SAKL-ORF9135
OG0000131	rna3099	SAKL-ORF11435
OG0000132	rna2278, rna4230	SAKL-ORF2226
OG0000133	rna381, rna6035	SAKL-ORF1582
OG0000134	rna4317, rna6268	SAKL-ORF4794
OG0000135	rna4584, rna3525	SAKL-ORF7646
OG0000136	rna3333, rna3452	SAKL-ORF8310
OG0000137	rna4408	SAKL-ORF2964
OG0000138	rna550	SAKL-ORF12916
OG0000139	rna1465, rna556	SAKL-ORF12876
OG0000140	rna1463	SAKL-ORF12842
OG0000141	rna4036	SAKL-ORF12707
OG0000142	rna4039, rna1451	Mod_transcript_13
OG0000143	rna1450	SAKL-ORF12665
OG0000144	rna1506, rna4891	SAKL-ORF12389, SAKL-ORF12399, SAKL-ORF12395
OG0000145	rna5317	SAKL-ORF10177
OG0000146	rna921, rna94	SAKL-ORF10790
OG0000147	rna4155, rna5606	SAKL-ORF14947
OG0000148	rna437, rna2147	SAKL-ORF14983
OG0000149	rna441, rna2141	SAKL-ORF15003
OG0000150	rna4782	SAKL-ORF9448
OG0000151	rna1647, rna2941	SAKL-ORF5535
OG0000152	rna5193, rna671	SAKL-ORF15655
OG0000153	rna654	SAKL-ORF15602
OG0000154	rna5178, rna651	SAKL-ORF15595
OG0000155	rna3776, rna702	SAKL-ORF2530, SAKL-ORF2527
OG0000156	rna5860, rna4670	SAKL-ORF15426
OG0000157	rna4662	SAKL-ORF15386
OG0000158	rna4066, rna792	SAKL-ORF5325
OG0000159	rna5418, rna1509	SAKL-ORF7933
OG0000160	rna3675, rna3176	SAKL-ORF9008
OG0000161	rna3177, rna3674	SAKL-ORF9003
OG0000162	rna255	SAKL-ORF9774
OG0000163	rna1725, rna2018	SAKL-ORF150
OG0000164	rna5963	SAKL-ORF1895
OG0000165	rna5642	Mod_transcript_79
OG0000166	rna4167	SAKL-ORF259
OG0000167	rna1197, rna6055	SAKL-ORF1504
OG0000168	rna5523, rna5047	SAKL-ORF6875
OG0000169	rna64, rna5433	SAKL-ORF5814
OG0000170	rna2317, rna6206	SAKL-ORF5729
OG0000171	rna2345, rna6238	SAKL-ORF6078
OG0000172	rna3957	SAKL-ORF1135
OG0000173	rna3959	SAKL-ORF1137
OG0000174	rna1095, rna3962	SAKL-ORF1156
OG0000175	rna4093, rna1145	SAKL-ORF1338
OG0000176	rna850	SAKL-ORF7400
OG0000177	rna2351, rna6244	SAKL-ORF6103
OG0000178	rna4246, rna882	SAKL-ORF2301
OG0000179	rna5276, rna1816	SAKL-ORF9677
OG0000180	rna195, rna5227, rna2817, rna3043	SAKL-ORF691
OG0000181	rna837, rna2060	SAKL-ORF7320
OG0000182	rna1279, rna2663	SAKL-ORF3812
OG0000183	rna5328, rna361	SAKL-ORF10034
OG0000184	rna5900, rna2122	SAKL-ORF15254
OG0000185	rna1682, rna1599	SAKL-ORF5229
OG0000186	rna1692, rna150	SAKL-ORF5182
OG0000187	rna1694, rna146	SAKL-ORF5173
OG0000188	rna1708	SAKL-ORF5112
OG0000189	rna2688, rna1305	SAKL-ORF4467
OG0000190	rna860, rna4627	SAKL-ORF7448
OG0000191	rna5988, rna393	SAKL-ORF1783
OG0000192	rna5987	SAKL-ORF1788
OG0000193	rna3194	SAKL-ORF8853
OG0000194	rna1425, rna5436	SAKL-ORF3993
OG0000195	rna3686, rna3153	SAKL-ORF9085
OG0000196	rna2100, rna466	SAKL-ORF15141
OG0000197	rna2292, rna6186	SAKL-ORF13592
OG0000198	rna5731, rna4736	SAKL-ORF13938
OG0000199	rna1047, rna1784	SAKL-ORF898
OG0000200	rna3162, rna3685	SAKL-ORF9061
OG0000201	rna2399, rna5789	SAKL-ORF3338
OG0000202	rna48	SAKL-ORF13498
OG0000203	rna5457, rna1221	SAKL-ORF4498
OG0000204	rna1526, rna3314	SAKL-ORF8382
OG0000205	rna1533, rna3311	SAKL-ORF8406
OG0000206	rna4603, rna3857	SAKL-ORF7575
OG0000207	rna1055, rna3911	SAKL-ORF929
OG0000208	rna1059, rna3917	SAKL-ORF963
OG0000209	rna516, rna3920	SAKL-ORF981
OG0000210	rna3924	SAKL-ORF1006
OG0000211	rna5587, rna4127	SAKL-ORF14841
OG0000212	rna4116, rna5585	SAKL-ORF7836
OG0000213	rna5034	SAKL-ORF6820
OG0000214	rna5342, rna906	SAKL-ORF10491
OG0000215	rna4520	SAKL-ORF13324
OG0000216	rna5799, rna1946	SAKL-ORF8080
OG0000222	rna605, rna5162	SAKL-ORF8656
OG0000223	rna1807, rna4826, rna4574	SAKL-ORF7702
OG0000224	rna1621, rna1981	SAKL-ORF6214
OG0000225	rna2259, rna4214	SAKL-ORF14059
OG0000226	rna4086, rna1161	SAKL-ORF1376
OG0000227	rna2382, rna2155	SAKL-ORF301
OG0000229	rna2746, rna2466	SAKL-ORF2351
OG0000230	rna2675, rna1293	SAKL-ORF3900
OG0000231	rna2203, rna72	SAKL-ORF426
OG0000232	rna2759, rna2478	SAKL-ORF2411
OG0000233	rna4438, rna1402	SAKL-ORF4095
OG0000234	rna1404, rna4437	SAKL-ORF4088
OG0000235	rna2070, rna5873	SAKL-ORF15351
OG0000236	rna4274, rna3467	SAKL-ORF3016
OG0000237	rna875, rna4258	SAKL-ORF3087
OG0000238	rna2785, rna2786	SAKL-ORF2778
OG0000239	rna3397, rna4376	SAKL-ORF2809
OG0000240	rna4310, rna4384	SAKL-ORF2842
OG0000241	rna4208, rna2247	SAKL-ORF14093
OG0000242	rna339, rna6161	SAKL-ORF13705
OG0000243	rna328	SAKL-ORF13757
OG0000244	rna6260	SAKL-ORF4813, SAKL-ORF4811
OG0000245	rna2338, rna6234	SAKL-ORF6046
OG0000246	rna2332, rna6226	SAKL-ORF6021
OG0000247	rna3519, rna4596	SAKL-ORF7618
OG0000248	rna4590, rna3522	SAKL-ORF7631
OG0000249	rna2265, rna4215	SAKL-ORF14033
OG0000250	rna561, rna1462	SAKL-ORF12825
OG0000252	rna2739, rna4903	SAKL-ORF12242
OG0000253	rna2143, rna439	SAKL-ORF14994
OG0000254	rna1651, rna2938	SAKL-ORF5527
OG0000255	rna5916, rna5670	SAKL-ORF2067
OG0000256	rna1247, rna2609	SAKL-ORF3671
OG0000257	rna4633	SAKL-ORF7416
OG0000258	rna204, rna2183	SAKL-ORF497
OG0000259	rna5058, rna5508	SAKL-ORF6931
OG0000260	rna1349, rna5431	SAKL-ORF9648, SAKL-ORF5299
OG0000261	rna1041, rna1775	SAKL-ORF870
OG0000262	rna4184, rna2214	SAKL-ORF373
OG0000263	rna2208, rna4179	SAKL-ORF386
OG0000264	rna3769, rna5818	SAKL-ORF9411
OG0000265	rna4769, rna4349	SAKL-ORF9385
OG0000266	rna4765, rna4352	SAKL-ORF9377
OG0000267	rna5889, rna2133	SAKL-ORF15299
OG0000268	rna3908, rna1818	SAKL-ORF14470
OG0000269	rna5643, rna5956	SAKL-ORF1932
OG0000270	rna4980, rna2730	SAKL-ORF6664
OG0000271	rna1937, rna1951	SAKL-ORF6309
OG0000272	rna5853, rna4673	SAKL-ORF15441
OG0000273	rna2763, rna1569	SAKL-ORF5863
OG0000274	rna6207, rna2318	SAKL-ORF5726
OG0000275	rna4025, rna1123	SAKL-ORF1278
OG0000276	rna1132, rna4029	SAKL-ORF1300
OG0000277	rna723, rna4949	SAKL-ORF6563
OG0000278	rna2531, rna3784	SAKL-ORF37
OG0000279	rna1342, rna5548	SAKL-ORF4348
OG0000280	rna107, rna6124	SAKL-ORF5028
OG0000281	rna126, rna1713	SAKL-ORF5092
OG0000282	rna1014	SAKL-ORF747
OG0000283	rna4600, rna3511	SAKL-ORF7594
OG0000284	rna801	SAKL-ORF5345, SAKL-ORF4674
OG0000285	rna2462, rna2743	SAKL-ORF2340
OG0000286	rna941, rna217	SAKL-ORF9822
OG0000287	rna928, rna232	SAKL-ORF9955
OG0000288	rna3634, rna3032	SAKL-ORF2672
OG0000289	rna5903, rna2120	SAKL-ORF15236
OG0000290	rna158, rna1683	SAKL-ORF5221
OG0000291	rna1695, rna145	SAKL-ORF5171
OG0000292	rna1701, rna135	SAKL-ORF5150
OG0000293	rna1309, rna2690	SAKL-ORF4457
OG0000294	rna1303, rna2685	SAKL-ORF4474
OG0000295	rna1538, rna3310	SAKL-ORF8417
OG0000296	rna403, rna6006	SAKL-ORF1729
OG0000297	rna6001	SAKL-ORF1743
OG0000298	rna9, rna5787	SAKL-ORF8090
OG0000299	rna494, rna3201	SAKL-ORF8878
OG0000300	rna370, rna5320	SAKL-ORF10151
OG0000301	rna2873, rna5094	SAKL-ORF7120
OG0000302	rna2881	SAKL-ORF7157
OG0000303	rna5107, rna2885	SAKL-ORF7168
OG0000304	rna2859, rna5084	SAKL-ORF7045
OG0000305	rna807, rna756	SAKL-ORF5368
OG0000306	rna762, rna811	SAKL-ORF5386
OG0000307	rna2913, rna774	SAKL-ORF5436
OG0000308	rna4688, rna5837	SAKL-ORF15519
OG0000309	rna895, rna4233	SAKL-ORF2237
OG0000310	rna4634, rna856	SAKL-ORF7414
OG0000311	rna5365, rna54	SAKL-ORF13525
OG0000312	rna5367, rna56	SAKL-ORF13532
OG0000313	rna1414, rna2576	Mod_transcript_68
OG0000314	rna4745, rna3732	SAKL-ORF4574
OG0000315	rna1011, rna1741	SAKL-ORF735
OG0000316	rna3161, rna3684	SAKL-ORF9062
OG0000317	rna902	SAKL-ORF10513
OG0000318	rna3817, rna3847	SAKL-ORF3382
OG0000319	rna5465, rna1225	SAKL-ORF4508
OG0000320	rna5478, rna3731	SAKL-ORF4559
OG0000321	rna3858, rna4604	SAKL-ORF7571
OG0000322	rna4602, rna5151	SAKL-ORF7576
OG0000323	rna3691, rna3146	SAKL-ORF9119
OG0000324	rna1889, rna4114	SAKL-ORF8812
OG0000325	rna3030, rna5037	SAKL-ORF6830
OG0000326	rna2548, rna3614	SAKL-ORF14675
OG0000327	rna3577, rna4533	SAKL-ORF13292
OG0000328	rna3584, rna4525	SAKL-ORF13317
OG0000329	rna2947, rna1641	SAKL-ORF5561
OG0000330	rna4995, rna2714	SAKL-ORF6728
OG0000331	rna4775, rna4342	SAKL-ORF9418
OG0000332	rna1947, rna5221	SAKL-ORF8069
OG0000334	rna3751, rna2840	SAKL-ORF6421
OG0000335	rna6100, rna2043	SAKL-ORF14174
OG0000336	rna2225, rna4187	SAKL-ORF14158
OG0000337	rna3119, rna3713	SAKL-ORF11244
OG0000338	rna3117, rna3716	SAKL-ORF11261
OG0000339	rna5287	SAKL-ORF13206, SAKL-ORF9718, SAKL-ORF1770, SAKL-ORF6325
OG0000341	rna5220	SAKL-ORF1728
OG0000342	rna559	SAKL-ORF12850
OG0000343	rna3393	SAKL-ORF1154, SAKL-ORF2831
OG0000344	rna4225, rna3070	SAKL-ORF11762
OG0000345	rna6213	SAKL-ORF5991
OG0000347	rna3453, rna3328	SAKL-ORF8330
OG0000349	rna533	SAKL-ORF13087
OG0000350	rna1480, rna547	SAKL-ORF12969
OG0000351	rna3063, rna640	SAKL-ORF11867
OG0000352	rna919, rna5352	SAKL-ORF10816
OG0000353	rna5301, rna4878	SAKL-ORF10390
OG0000355	rna4804	SAKL-ORF2543
OG0000357	rna5863, rna4666	SAKL-ORF15408
OG0000358	rna4163, rna4165	SAKL-ORF264
OG0000359	rna2212, rna4182	SAKL-ORF377
OG0000360	rna3421	SAKL-ORF13099, SAKL-ORF2997
OG0000361	rna3220, rna3505	SAKL-ORF3525
OG0000362	rna584, rna5155	SAKL-ORF8724
OG0000363	rna2711	SAKL-ORF6741
OG0000364	rna3281, rna2420	SAKL-ORF14670, SAKL-ORF9624
OG0000365	rna2350, rna6242	SAKL-ORF6097
OG0000366	rna3370, rna172	SAKL-ORF4935
OG0000367	rna4360, rna4755	SAKL-ORF9349
OG0000368	rna6071, rna1864	SAKL-ORF14259
OG0000369	rna2454	SAKL-ORF3106
OG0000370	rna5450, rna1215	SAKL-ORF3946
OG0000372	rna221, rna943	SAKL-ORF9859
OG0000373	rna2115, rna5905	SAKL-ORF15224, SAKL-ORF15008
OG0000374	rna1684, rna156	SAKL-ORF5210
OG0000375	rna1697, rna144	SAKL-ORF5166
OG0000376	rna1543, rna3307	SAKL-ORF8435
OG0000377	rna1551	SAKL-ORF8480
OG0000378	rna5783, rna14	SAKL-ORF8126
OG0000379	rna5974, rna5621	SAKL-ORF1847
OG0000380	rna5096, rna2876	SAKL-ORF7130
OG0000381	rna268, rna965	SAKL-ORF9187
OG0000382	rna770, rna820	SAKL-ORF5416
OG0000383	rna4697, rna5175	SAKL-ORF15579
OG0000384	rna4734, rna5728	SAKL-ORF13948
OG0000385	rna462, rna2095	Mod_transcript_4
OG0000386	rna1080, rna3938	SAKL-ORF1070
OG0000388	rna2697, rna5038	SAKL-ORF6834
OG0000390	rna6044, rna3568	SAKL-ORF1533
OG0000391	rna4516, rna3588	SAKL-ORF13333
OG0000392	rna4996, rna2715	SAKL-ORF6727
OG0000393	rna224	SAKL-ORF13225
OG0000394	rna991, rna289	SAKL-ORF9269
OG0000395	rna2721, rna4992	SAKL-ORF6698
OG0000396	rna2472, rna2748	SAKL-ORF2369
OG0000397	rna2481, rna2769	SAKL-ORF2423
OG0000398	rna1560, rna626	SAKL-ORF8499
OG0000399	rna3554	SAKL-ORF7771, SAKL-ORF7763, SAKL-ORF7757
OG0000400	rna6166, rna343	SAKL-ORF13680
OG0000401	rna378	SAKL-ORF1570, SAKL-ORF4658, SAKL-ORF13190, SAKL-ORF4649, SAKL-ORF2650
OG0000402	rna5255	SAKL-ORF14476, SAKL-ORF8078
OG0000403	rna2918, rna1675	SAKL-ORF5455
OG0000404	rna4802, rna2501	SAKL-ORF2551
OG0000405	rna1260, rna2646	SAKL-ORF3725
OG0000406	rna5861	SAKL-ORF15425
OG0000407	rna785, rna4062	SAKL-ORF5313
OG0000408	rna1043, rna1780	SAKL-ORF882
OG0000409	rna3775	SAKL-ORF15742
OG0000410	rna3438	SAKL-ORF15757, SAKL-ORF4725
OG0000411	rna707, rna3427	SAKL-ORF14443
OG0000412	rna732	SAKL-ORF9555, Mod_transcript_57
OG0000413	rna4925	SAKL-ORF6495
OG0000414	rna1346	SAKL-ORF4340
OG0000415	rna167	SAKL-ORF4879
OG0000417	rna6113	SAKL-ORF227
OG0000418	rna984, rna982, rna983	SAKL-ORF1362
OG0000419	rna4569	SAKL-ORF2697
OG0000420	rna949, rna238	SAKL-ORF9796
OG0000421	rna4080, rna1168	SAKL-ORF1394
OG0000422	rna5470, rna3728	SAKL-ORF4544
OG0000423	rna729, rna4961	SAKL-ORF6601
OG0000424	rna4336	SAKL-ORF9474
OG0000425	rna5827, rna4748	SAKL-ORF9332
OG0000426	rna3512	SAKL-ORF7596
OG0000427	rna695	SAKL-ORF3934, SAKL-ORF4190
OG0000428	rna5603	SAKL-ORF14930
OG0000429	rna3939	SAKL-ORF1072
OG0000430	rna5158	SAKL-ORF8692
OG0000431	rna2826	SAKL-ORF6253, SAKL-ORF14514, SAKL-ORF8399
OG0000432	rna2790	SAKL-ORF13262
OG0000433	rna3394, rna4378	SAKL-ORF2825
OG0000434	rna4298	SAKL-ORF2924
OG0000436	rna329	SAKL-ORF13744
OG0000437	rna4725	SAKL-ORF14003
OG0000438	rna3441	SAKL-ORF14649
OG0000439	rna4142	SAKL-ORF9790, SAKL-ORF7980, SAKL-ORF14900
OG0000440	rna1858	SAKL-ORF14279
OG0000441	rna510	SAKL-ORF8761
OG0000443	rna1770	SAKL-ORF850
OG0000444	rna4812	SAKL-ORF9527
OG0000445	rna2136	SAKL-ORF15311
OG0000446	rna1897	SAKL-ORF8636
OG0000447	rna4966	SAKL-ORF6619
OG0000448	rna2619	SAKL-ORF3610
OG0000449	rna4329	SAKL-ORF9519
OG0000450	rna3390	SAKL-ORF4847
OG0000451	rna4677	SAKL-ORF15471
OG0000452	rna2996	SAKL-ORF5906
OG0000453	rna6201, rna2305	SAKL-ORF5761
OG0000454	rna3022	SAKL-ORF2692
OG0000455	rna3015	SAKL-ORF531, SAKL-ORF11981, SAKL-ORF8598
OG0000456	rna1341	SAKL-ORF4362, SAKL-ORF4354
OG0000457	rna2956	SAKL-ORF5613
OG0000458	rna168	SAKL-ORF2261, SAKL-ORF6334, SAKL-ORF2265
OG0000459	rna122	SAKL-ORF5079
OG0000460	rna179	SAKL-ORF13842
OG0000461	rna6112	SAKL-ORF232
OG0000462	rna864	SAKL-ORF7479
OG0000463	rna2883	SAKL-ORF5987, SAKL-ORF7163
OG0000465	rna2009	SAKL-ORF132
OG0000466	rna996	SAKL-ORF9325
OG0000467	rna4103	SAKL-ORF12725, SAKL-ORF12094, SAKL-ORF8752
OG0000468	rna981	SAKL-ORF9267
OG0000470	rna1846	SAKL-ORF14312
OG0000471	rna4521	SAKL-ORF13321
OG0000472	rna1503, rna6288	SAKL-ORF13228
OG0000473	rna2980, rna5428	SAKL-ORF5933
OG0000476	rna3037	SAKL-ORF4730
OG0000477	rna1988	SAKL-ORF6184
OG0000478	rna1367	SAKL-ORF4250
OG0000479	rna1747	SAKL-ORF14188, SAKL-ORF754
OG0000480	rna19	SAKL-ORF8145
OG0000481	rna5737	SAKL-ORF13496
OG0000482	rna1162	SAKL-ORF1377, SAKL-ORF10278
OG0000483	rna4148	SAKL-ORF14915
OG0000484	rna4153	SAKL-ORF14927
OG0000486	rna2195	SAKL-ORF477
OG0000487	rna2468	SAKL-ORF2358
OG0000488	rna3715	SAKL-ORF11254
OG0000489	rna629	SAKL-ORF6377, SAKL-ORF11712
OG0000490	rna3088	TCONS_novel_00000204_1-frame_2
OG0000491	rna1290	SAKL-ORF3885
OG0000492	rna5490	SAKL-ORF4594
OG0000493	rna3738	SAKL-ORF4588
OG0000494	rna2591	SAKL-ORF8620
OG0000495	rna2202	SAKL-ORF428
OG0000496	rna2190	SAKL-ORF460
OG0000497	rna2492	SAKL-ORF2469
