Orthogroup	s_cerevisiae_proteins	s_kudriavzevii_proteins
OG0000032	rna3760	Skud_18.2
OG0000032	rna3782	Skud_12.22
OG0000032	rna2529	Skud_8.9
OG0000033	rna225	Skud_2.122
OG0000033	rna5128	Skud_2.122
OG0000034	rna6090	Skud_16.283
OG0000034	rna599	Skud_3.66
OG0000034	rna5159	Skud_14.327
OG0000035	rna1322	Skud_4.637
OG0000035	rna5535	Skud_15.283
OG0000036	rna1458	Skud_4.784
OG0000036	rna572	Skud_3.38
OG0000037	rna4092, rna5487, rna5608	Skud_12.312
OG0000038	rna5646	Skud_15.396
OG0000038	rna5645	Skud_15.395
OG0000038	rna5954	Skud_16.142
OG0000039	rna6018	Skud_16.208
OG0000039	rna1631	Skud_5.157
OG0000040	rna2057, rna5086	Skud_7.124, Skud_14.265
OG0000041	rna307	Skud_2.209
OG0000041	rna2427	Skud_7.540
OG0000042	rna2293	Skud_7.382
OG0000042	rna6086	Skud_16.279
OG0000043	rna1171	Skud_4.486
OG0000044	rna894	Skud_4.205
OG0000044	rna3083	Skud_10.41
OG0000045	rna5884	Skud_16.71
OG0000045	rna2526	Skud_8.4
OG0000046	rna5705	Skud_15.456
OG0000046	rna2864	Skud_9.41
OG0000047	rna5353	Skud_15.98
OG0000047	rna6209, rna5832	Skud_16.20
OG0000048	rna5699	Skud_15.448
OG0000048	rna5700	Skud_15.449
OG0000049	rna2926	Skud_9.106
OG0000049	rna1660	Skud_5.187
OG0000050	rna5414	Skud_15.160
OG0000050	rna1441	Skud_4.766
OG0000051	rna709, rna3425, rna1809, rna4828	Skud_10.2, Skud_4.11, Skud_14.7
OG0000052	rna741	Skud_4.46
OG0000053	rna679	Skud_3.155
OG0000053	rna3873	Skud_12.109
OG0000054	rna815	Skud_4.123
OG0000054	rna767	Skud_4.76
OG0000055	rna2871	Skud_9.51
OG0000058	rna18	Skud_1.10
OG0000058	rna5777	Skud_15.532
OG0000059	rna3085	Skud_10.43
OG0000060	rna5733	Skud_15.486
OG0000060	rna2985	Skud_9.167
OG0000060	rna4739	Skud_13.418
OG0000061	rna1475	Skud_4.800
OG0000061	rna3105	Skud_10.64
OG0000062	rna4896	Skud_14.74
OG0000062	rna4928	Skud_14.107
OG0000063	rna2797	Skud_8.276
OG0000063	rna1781	Skud_5.314
OG0000064	rna1825	Skud_6.29
OG0000064	rna4537	Skud_13.214
OG0000065	rna1170	Skud_4.485
OG0000065	rna215	Skud_2.112
OG0000066	rna758	Skud_4.66
OG0000066	rna808	Skud_4.117
OG0000067	rna6005	Skud_16.195
OG0000068	rna3695	Skud_11.275
OG0000069	rna4405	Skud_13.89
OG0000069	rna2810	Skud_12.524
OG0000071	rna3496	Skud_11.71
OG0000072	rna1446	Skud_4.771
OG0000072	rna5305	Skud_15.51
OG0000073	rna5232	Skud_14.404
OG0000073	rna950	Skud_4.262
OG0000074	rna4653	Skud_13.334
OG0000075	rna1531	Skud_5.49
OG0000075	rna3312	Skud_10.267
OG0000076	rna5524	Skud_15.272
OG0000076	rna5046	Skud_14.225
OG0000077	rna3432	Skud_16.499
OG0000078	rna4575	Skud_13.252
OG0000079	rna1372, rna1516	Skud_5.35, Skud_4.691
OG0000080	rna41	Skud_1.32
OG0000080	rna5740	Skud_15.493
OG0000081	rna6056	Skud_16.245
OG0000081	rna2196	Skud_7.279
OG0000082	rna2484	Skud_7.593
OG0000083	rna4309	Skud_12.542
OG0000083	rna4385	Skud_13.68
OG0000084	rna4302	Skud_12.534
OG0000084	rna4397	Skud_13.81
OG0000085	rna4582	Skud_13.261
OG0000085	rna3530	Skud_11.108
OG0000086	rna3647	Skud_3.105, Skud_11.222
OG0000086	rna2565	Skud_8.42
OG0000087	rna3056	Skud_10.10
OG0000087	rna2860	Skud_9.37
OG0000088	rna5349	Skud_15.94
OG0000088	rna918	Skud_4.227
OG0000089	rna4712	Skud_13.391
OG0000089	rna5695	Skud_15.444
OG0000090	rna2940	Skud_9.118
OG0000090	rna1645	Skud_5.171
OG0000091	rna5189	Skud_14.362
OG0000091	rna670	Skud_3.146
OG0000092	rna5502	Skud_15.250
OG0000092	rna5065	Skud_14.243
OG0000093	rna1040	Skud_4.353
OG0000093	rna1772	Skud_5.305
OG0000094	rna689	Skud_3.168
OG0000094	rna5207	Skud_14.380
OG0000095	rna1483	Skud_4.807
OG0000096	rna4771	Skud_13.447
OG0000096	rna4347	Skud_13.30
OG0000097	rna3027	Skud_9.209
OG0000097	rna239	Skud_2.134
OG0000098	rna5435	Skud_15.183
OG0000098	rna1898	Skud_6.106
OG0000099	rna4679	Skud_13.359
OG0000099	rna5844	Skud_16.30
OG0000100	rna1273	Skud_4.588
OG0000101	rna6252	Skud_16.455
OG0000101	rna2356	Skud_7.464
OG0000102	rna3355	Skud_10.312
OG0000102	rna6133	Skud_16.330
OG0000103	rna2908	Skud_9.88
OG0000103	rna5129	Skud_14.300
OG0000104	rna2173	Skud_7.255
OG0000104	rna2363	Skud_7.471
OG0000105	rna3128	Skud_10.86
OG0000105	rna3705	Skud_11.286
OG0000106	rna701	Skud_3.175
OG0000106	rna4817	Skud_13.494
OG0000107	rna141, rna1698	Skud_2.34, Skud_5.227
OG0000108	rna1793	Skud_45.1, Skud_9.221
OG0000108	rna2437	Skud_7.549
OG0000109	rna5750	Skud_15.503
OG0000109	rna36	Skud_1.27
OG0000110	rna3677	Skud_11.254
OG0000110	rna3175	Skud_10.129
OG0000111	rna727	Skud_4.30
OG0000111	rna4958	Skud_14.137
OG0000112	rna3708	Skud_11.289
OG0000112	rna3122	Skud_10.80
OG0000114	rna5797	Skud_15.552
OG0000114	rna4814	TCONS_novel_00000410_2-frame_2, Skud_13.490, TCONS_novel_00000410_2-frame_1
OG0000116	rna1365	Skud_4.684
OG0000116	rna5571	Skud_15.320
OG0000117	rna5601	Skud_15.352
OG0000117	rna4150	Skud_12.375
OG0000118	rna2003	Skud_7.69
OG0000119	rna4858	Skud_14.39
OG0000119	rna5290	Skud_15.37
OG0000120	rna4863	Skud_14.44
OG0000120	rna5293	Skud_15.40
OG0000121	rna5498	Skud_15.246
OG0000121	rna3745	Skud_11.326
OG0000122	rna2191	Skud_7.274
OG0000122	rna209	Skud_2.106
OG0000123	rna4792	Skud_13.469
OG0000123	rna2495	Skud_7.606
OG0000124	rna3416	Skud_10.374
OG0000124	rna2796	Skud_8.275
OG0000125	rna1608	Skud_5.136
OG0000125	rna1995	Skud_7.60
OG0000126	rna5871	Skud_16.57
OG0000126	rna2065	Skud_7.133
OG0000127	rna2069, rna5872	Skud_16.58, Skud_7.137
OG0000128	rna4294	Skud_12.525
OG0000128	rna4404	Skud_13.88
OG0000129	rna2229	Skud_7.315
OG0000129	rna4192	Skud_12.418
OG0000130	rna248, rna951	Skud_2.144, Skud_4.263
OG0000131	rna3099	Skud_10.58
OG0000132	rna2278	Skud_7.366
OG0000132	rna4230	Skud_12.456
OG0000133	rna381	Skud_2.288
OG0000133	rna6035	Skud_16.226
OG0000134	rna4317	Skud_12.552
OG0000134	rna6268	Skud_16.477
OG0000135	rna4584	Skud_13.263
OG0000135	rna3525	Skud_11.102
OG0000136	rna3333	Skud_10.290
OG0000136	rna3452	Skud_11.18
OG0000137	rna4408	Skud_13.92
OG0000138	rna550	Skud_3.16
OG0000138	rna1470	Skud_4.796
OG0000139	rna1465	Skud_4.791
OG0000139	rna556	Skud_3.22
OG0000140	rna1463	Skud_4.789
OG0000140	rna560	Skud_3.26
OG0000141	rna1454	Skud_4.778
OG0000141	rna4036	Skud_12.243
OG0000142	rna4039	Skud_12.246
OG0000142	rna1451	Skud_4.776
OG0000143	rna1450	Skud_4.775
OG0000143	rna4042	Skud_12.249
OG0000144	rna1506	Skud_5.26
OG0000144	rna4891	Skud_14.70
OG0000145	rna5317	Skud_15.61
OG0000145	rna367	Skud_2.274
OG0000146	rna921	Skud_4.230
OG0000146	rna94	Skud_1.91
OG0000147	rna4155	Skud_12.380
OG0000147	rna5606	Skud_15.357
OG0000148	rna437	Skud_2.347
OG0000148	rna2147	Skud_7.224
OG0000149	rna441	Skud_2.351
OG0000149	rna2141	Skud_7.218
OG0000150	rna4782	Skud_13.458
OG0000150	rna4340	Skud_13.23
OG0000151	rna1647	Skud_5.173
OG0000151	rna2941	Skud_9.119
OG0000152	rna5193	Skud_14.366
OG0000152	rna671	Skud_3.147
OG0000153	rna654	Skud_3.130
OG0000153	rna5182	Skud_14.355
OG0000154	rna5178	Skud_14.351
OG0000154	rna651	Skud_3.127
OG0000155	rna3776	Skud_12.17
OG0000155	rna702	Skud_3.181
OG0000156	rna5860	Skud_16.46
OG0000156	rna4670	Skud_13.349
OG0000157	rna4662	Skud_13.343
OG0000157	rna5868	Skud_16.54
OG0000158	rna4066	Skud_12.274
OG0000158	rna792	Skud_4.100
OG0000159	rna5418	Skud_15.164
OG0000159	rna1509	Skud_5.29
OG0000160	rna3675	Skud_11.252
OG0000160	rna3176	Skud_10.130
OG0000161	rna3177	Skud_10.131
OG0000161	rna3674	Skud_11.251
OG0000162	rna255	Skud_2.149
OG0000162	rna242	Skud_2.137
OG0000163	rna1725	Skud_5.247
OG0000163	rna2018	Skud_7.84
OG0000164	rna5630	Skud_15.380
OG0000165	rna5642	Skud_15.392
OG0000165	rna5957	Skud_16.145
OG0000166	rna4167	Skud_12.394
OG0000167	rna1197	Skud_4.514
OG0000167	rna6055	Skud_16.244
OG0000168	rna5523	Skud_15.271
OG0000168	rna5047	Skud_14.226
OG0000169	rna64	Skud_1.54
OG0000169	rna5433	Skud_15.181
OG0000170	rna2317	Skud_7.410
OG0000170	rna6206	Skud_16.408
OG0000171	rna2345	Skud_7.442
OG0000171	rna6238	Skud_16.444
OG0000172	rna3957	Skud_12.200
OG0000172	rna1091	Skud_4.405
OG0000173	rna1092	Skud_4.406
OG0000173	rna3959	Skud_12.202
OG0000174	rna1095	Skud_4.410
OG0000174	rna3962	Skud_12.206
OG0000175	rna4093	Skud_12.313
OG0000175	rna1145	Skud_4.463
OG0000176	rna850	Skud_4.159
OG0000176	rna851	Skud_4.161
OG0000177	rna2351	Skud_7.448
OG0000177	rna6244	Skud_16.450
OG0000178	rna4246	Skud_12.473
OG0000178	rna882	Skud_4.193
OG0000179	rna5276	Skud_15.23
OG0000179	rna1816	Skud_6.19
OG0000180	rna195	Skud_2.89
OG0000180	rna5227, rna2817, rna3043	Skud_14.401
OG0000181	rna837	Skud_4.145
OG0000181	rna2060	Skud_7.128
OG0000182	rna1279	Skud_4.594
OG0000182	rna2663	Skud_8.141
OG0000183	rna5328	Skud_15.72
OG0000183	rna361	Skud_2.268
OG0000184	rna5900	Skud_16.87
OG0000184	rna2122	Skud_7.200
OG0000185	rna1682	Skud_5.207
OG0000185	rna1599	Skud_5.124
OG0000186	rna1692	Skud_5.219
OG0000186	rna150	Skud_2.42
OG0000187	rna1694	Skud_5.223
OG0000187	rna146	Skud_2.38
OG0000188	rna1708	Skud_5.265
OG0000188	rna130	Skud_2.23
OG0000189	rna2688	Skud_8.167
OG0000189	rna1305	Skud_4.623
OG0000190	rna860	Skud_4.170
OG0000190	rna4627	Skud_13.306
OG0000191	rna5988	Skud_16.178
OG0000191	rna393	Skud_2.300
OG0000192	rna5987	Skud_16.177
OG0000192	rna390	Skud_2.297
OG0000193	rna3194	Skud_10.162
OG0000193	rna501	Skud_2.409
OG0000194	rna1425	Skud_4.749
OG0000194	rna5436	Skud_15.184
OG0000195	rna3686	Skud_11.265
OG0000195	rna3153	Skud_10.108
OG0000196	rna2100	Skud_7.173
OG0000196	rna466	Skud_2.374
OG0000197	rna2292	Skud_16.387
OG0000197	rna2292	Skud_7.381
OG0000198	rna5731	Skud_15.485
OG0000198	rna4736	Skud_13.414
OG0000199	rna1047	Skud_4.358
OG0000199	rna1784	Skud_5.316
OG0000200	rna3162	Skud_10.116
OG0000200	rna3685	Skud_11.263
OG0000201	rna2399	Skud_7.507
OG0000201	rna5789	Skud_15.544
OG0000202	rna48	Skud_1.38
OG0000202	rna5736	Skud_15.489
OG0000203	rna5457	Skud_15.205
OG0000203	rna1221	Skud_4.533
OG0000204	rna1526	Skud_5.43
OG0000204	rna3314	Skud_10.269
OG0000205	rna1533	Skud_5.51
OG0000205	rna3311	Skud_10.266
OG0000206	rna4603	Skud_13.280
OG0000206	rna3857	Skud_12.96
OG0000207	rna1055	Skud_4.368
OG0000207	rna3911	Skud_12.151
OG0000208	rna1059	Skud_4.372
OG0000208	rna3917	Skud_12.157
OG0000209	rna516	Skud_2.424
OG0000209	rna3920	Skud_12.160
OG0000210	rna3924	Skud_12.164
OG0000210	rna1070	Skud_4.383
OG0000211	rna5587	Skud_15.335
OG0000211	rna4127	Skud_12.351
OG0000212	rna4116	Skud_12.340
OG0000212	rna5585	Skud_15.333
OG0000213	rna5034	Skud_14.211
OG0000213	rna2699	Skud_8.178
OG0000214	rna5342	Skud_15.86
OG0000214	rna906	Skud_4.217
OG0000215	rna4520	Skud_13.200
OG0000215	rna4519	Skud_13.199
OG0000216	rna5799, rna1946	Skud_15.554, Skud_7.9
OG0000217	rna3050	Skud_10.4
OG0000218	rna4829, rna710, rna703	Skud_10.383
OG0000222	rna605	Skud_3.75
OG0000222	rna5162	Skud_14.334
OG0000223	rna4574	Skud_13.251
OG0000224	rna1621	Skud_5.148
OG0000224	rna1981	Skud_7.46
OG0000225	rna2259	Skud_7.348
OG0000225	rna4214	Skud_12.441
OG0000226	rna4086	Skud_12.296
OG0000226	rna1161	Skud_4.475
OG0000227	rna2382	Skud_7.489
OG0000227	rna2155	Skud_7.235
OG0000228	rna2467	Skud_7.576
OG0000228	rna2747	Skud_8.226
OG0000229	rna2746	Skud_8.225
OG0000229	rna2466	Skud_7.575
OG0000230	rna2675	Skud_8.152
OG0000230	rna1293	Skud_4.610
OG0000231	rna2203	Skud_7.285
OG0000231	rna72	Skud_1.63
OG0000232	rna2759	Skud_8.238
OG0000232	rna2478	Skud_7.587
OG0000233	rna4438	Skud_13.124
OG0000233	rna1402	Skud_4.727
OG0000234	rna1404	Skud_4.729
OG0000234	rna4437	Skud_13.123
OG0000235	rna2070	Skud_7.139
OG0000235	rna5873	Skud_16.60
OG0000236	rna4274	Skud_12.497
OG0000236	rna3467	Skud_11.39
OG0000237	rna875	Skud_4.186
OG0000237	rna4258	Skud_12.484
OG0000238	rna2785	Skud_8.264
OG0000238	rna2786	Skud_8.265
OG0000239	rna3397	Skud_10.353
OG0000239	rna4376	Skud_13.59
OG0000240	rna4310	Skud_12.543
OG0000240	rna4384	Skud_13.67
OG0000241	rna4208	Skud_12.435
OG0000241	rna2247	Skud_7.334
OG0000242	rna339	Skud_2.244
OG0000242	rna6161	Skud_16.363
OG0000243	rna328	Skud_2.231
OG0000243	rna2275	Skud_7.363
OG0000244	rna6260	Skud_16.464
OG0000245	rna2338	Skud_7.435
OG0000245	rna6234	Skud_16.439
OG0000246	rna2332	Skud_7.425
OG0000246	rna6226	Skud_16.432
OG0000247	rna3519	Skud_11.94
OG0000247	rna4596	Skud_13.274
OG0000248	rna4590	Skud_13.268
OG0000248	rna3522	Skud_11.97
OG0000249	rna2265	Skud_7.354
OG0000249	rna4215	Skud_12.442
OG0000250	rna561	Skud_3.27
OG0000250	rna1462	Skud_4.788
OG0000252	rna2739	Skud_8.219
OG0000252	rna4903	Skud_14.81
OG0000253	rna2143	Skud_7.220
OG0000253	rna439	Skud_2.349
OG0000254	rna1651	Skud_5.177
OG0000254	rna2938	Skud_9.116
OG0000255	rna5916	Skud_16.104
OG0000255	rna5670	Skud_15.422
OG0000256	rna1247	Skud_4.562
OG0000256	rna2609	Skud_8.91
OG0000257	rna4633	Skud_13.312
OG0000258	rna204	Skud_2.102
OG0000258	rna2183	Skud_7.266
OG0000259	rna5058	Skud_14.236
OG0000259	rna5508	Skud_15.257
OG0000260	rna1349	Skud_4.665
OG0000261	rna1041	Skud_4.354
OG0000261	rna1775	Skud_5.308
OG0000262	rna4184	Skud_12.412
OG0000262	rna2214	Skud_7.296
OG0000263	rna2208	Skud_7.290
OG0000263	rna4179	Skud_12.407
OG0000264	rna3769	Skud_12.4
OG0000265	rna4769	Skud_13.445
OG0000265	rna4349	Skud_13.32
OG0000266	rna4765	Skud_13.442
OG0000266	rna4352	Skud_13.35
OG0000267	rna5889	Skud_16.77
OG0000267	rna2133	Skud_7.210
OG0000268	rna3908	Skud_12.144
OG0000268	rna1818	Skud_6.21
OG0000269	rna5643	Skud_15.393
OG0000269	rna5956	Skud_16.144
OG0000270	rna4980	Skud_14.160
OG0000270	rna2730	Skud_40.1
OG0000271	rna1937, rna1951	Skud_7.14
OG0000272	rna5853	Skud_16.39
OG0000272	rna4673	Skud_13.352
OG0000273	rna2763	Skud_8.241
OG0000273	rna1569	Skud_5.93
OG0000274	rna6207	Skud_16.409
OG0000274	rna2318	Skud_7.411
OG0000275	rna4025	Skud_12.231
OG0000275	rna1123	Skud_4.442
OG0000276	rna1132	Skud_4.451
OG0000276	rna4029	Skud_12.235
OG0000277	rna723	Skud_4.25
OG0000277	rna4949	Skud_14.127
OG0000278	rna2531	Skud_12.24
OG0000278	rna3784	Skud_8.11
OG0000280	rna107	Skud_2.3
OG0000280	rna6124	Skud_16.319
OG0000281	rna126	Skud_2.19
OG0000281	rna1713	Skud_5.260
OG0000282	rna1014	Skud_4.323
OG0000282	rna1746	Skud_5.281
OG0000283	rna4600	Skud_13.277
OG0000283	rna3511	Skud_11.86
OG0000284	rna801	Skud_4.110
OG0000285	rna2462	Skud_7.572
OG0000285	rna2743	Skud_8.222
OG0000286	rna941	Skud_4.254
OG0000286	rna217	Skud_2.114
OG0000287	rna928	Skud_4.242
OG0000287	rna232	Skud_2.126
OG0000288	rna3634	Skud_11.208
OG0000288	rna3032	Skud_9.214
OG0000289	rna5903	Skud_16.90
OG0000289	rna2120	Skud_7.198
OG0000290	rna158	Skud_2.50
OG0000290	rna1683	Skud_5.208
OG0000291	rna1695	Skud_5.224
OG0000291	rna145	Skud_2.37
OG0000292	rna1701	Skud_5.230
OG0000292	rna135	Skud_2.28
OG0000293	rna1309	Skud_4.627
OG0000293	rna2690	Skud_8.169
OG0000294	rna1303	Skud_4.621
OG0000294	rna2685	Skud_8.164
OG0000295	rna1538	Skud_5.56
OG0000295	rna3310	Skud_10.265
OG0000296	rna403	Skud_2.309
OG0000296	rna6006	Skud_16.196
OG0000297	rna6001	Skud_16.191
OG0000298	rna9	Skud_1.1
OG0000298	rna5787	Skud_15.542
OG0000299	rna494	Skud_2.402
OG0000299	rna3201	Skud_10.154
OG0000300	rna370	Skud_2.277
OG0000300	rna5320	Skud_15.64
OG0000301	rna2873	Skud_9.54
OG0000301	rna5094	Skud_14.273
OG0000302	rna2881	Skud_9.62
OG0000302	rna5105	Skud_14.282
OG0000303	rna5107	Skud_14.284
OG0000303	rna2885	Skud_9.66
OG0000304	rna2859	Skud_9.36
OG0000304	rna5084	Skud_14.263
OG0000305	rna807	Skud_4.116
OG0000305	rna756	Skud_4.64
OG0000306	rna762	Skud_4.71
OG0000306	rna811	Skud_4.120
OG0000307	rna2913	Skud_9.92
OG0000307	rna774	Skud_4.83
OG0000308	rna4688	Skud_13.367
OG0000308	rna5837	Skud_16.23
OG0000309	rna895	Skud_4.206
OG0000309	rna4233	Skud_12.460
OG0000310	rna4634	Skud_13.313
OG0000310	rna856	Skud_4.166
OG0000311	rna5365	Skud_15.112
OG0000311	rna54	Skud_1.44
OG0000312	rna5367	Skud_15.114
OG0000312	rna56	Skud_1.46
OG0000313	rna1414	Skud_4.739
OG0000313	rna2576	Skud_8.55
OG0000314	rna4745	Skud_13.422
OG0000314	rna3732	Skud_11.313
OG0000315	rna1741	Skud_5.276
OG0000316	rna3161	Skud_10.115
OG0000316	rna3684	Skud_11.262
OG0000317	rna902	Skud_4.213
OG0000317	rna5340	Skud_15.84
OG0000318	rna3817	Skud_12.57
OG0000318	rna3847	Skud_12.87
OG0000319	rna5465	Skud_15.211
OG0000319	rna1225	Skud_4.537
OG0000320	rna5478	Skud_15.229
OG0000320	rna3731	Skud_11.312
OG0000321	rna3858, rna4604	Skud_12.97, Skud_13.281
OG0000322	rna4602	Skud_13.279
OG0000322	rna5151	Skud_14.319
OG0000323	rna3691	Skud_11.271
OG0000323	rna3146	Skud_10.102
OG0000324	rna1889	Skud_6.88
OG0000324	rna4114	Skud_12.338
OG0000325	rna3030	Skud_9.212
OG0000325	rna5037	Skud_14.214
OG0000326	rna2548	Skud_8.28
OG0000326	rna3614	Skud_11.189
OG0000327	rna3577	Skud_11.154
OG0000327	rna4533	Skud_13.209
OG0000328	rna3584	Skud_11.160
OG0000328	rna4525	Skud_13.203
OG0000329	rna2947	Skud_9.124
OG0000329	rna1641	Skud_5.167
OG0000330	rna4995	Skud_14.176
OG0000330	rna2714	Skud_8.193
OG0000331	rna4775	Skud_13.451
OG0000331	rna4342	Skud_13.25
OG0000332	rna1947	Skud_7.10
OG0000332	rna5221	Skud_14.395
OG0000334	rna3751	Skud_11.334
OG0000334	rna2840	Skud_9.19
OG0000335	rna6100	Skud_16.293
OG0000335	rna2043	Skud_7.108
OG0000336	rna4187	Skud_12.415
OG0000337	rna3119	Skud_10.77
OG0000337	rna3713	Skud_11.294
OG0000338	rna3117	Skud_10.75
OG0000338	rna3716	Skud_11.297
OG0000339	rna5287	Skud_15.34
OG0000341	rna5220	Skud_14.394
OG0000342	rna559	Skud_3.25
OG0000342	rna1464	Skud_4.790
OG0000343	rna3393	Skud_10.350
OG0000344	rna4225, rna3070	Skud_10.28
OG0000345	rna6213	Skud_16.417
OG0000346	rna5711	Skud_15.461
OG0000346	rna4724	Skud_13.402
OG0000347	rna3453	Skud_11.19
OG0000347	rna3328	Skud_10.285
OG0000348	rna531, rna642, rna692	Skud_3.118
OG0000349	rna533	Skud_3.1
OG0000350	rna547	Skud_3.13
OG0000351	rna3063	Skud_10.21
OG0000351	rna640	Skud_3.116
OG0000352	rna919	Skud_4.228
OG0000352	rna5352	Skud_15.97
OG0000353	rna5301	Skud_15.49
OG0000353	rna4878	Skud_14.58
OG0000354	rna5053	Skud_14.232
OG0000354	rna5517	Skud_15.266
OG0000355	rna4804	Skud_13.481
OG0000357	rna5863	Skud_16.49
OG0000357	rna4666	Skud_13.347
OG0000358	rna4163	Skud_12.390
OG0000358	rna4165	Skud_12.392
OG0000359	rna2212	Skud_7.294
OG0000359	rna4182	Skud_12.410
OG0000360	rna3421	Skud_10.380
OG0000361	rna3220	Skud_10.180
OG0000361	rna3505	Skud_11.80
OG0000362	rna584	Skud_3.48
OG0000363	rna2711	Skud_8.190
OG0000364	rna2420	Skud_7.533
OG0000365	rna2350	Skud_7.447
OG0000365	rna6242	Skud_16.448
OG0000366	rna3370	Skud_10.326
OG0000366	rna172	Skud_2.64
OG0000367	rna4755	Skud_13.432
OG0000368	rna6071	Skud_16.263
OG0000368	rna1864	Skud_6.67
OG0000369	rna2736	Skud_8.216
OG0000370	rna5450	Skud_15.199
OG0000370	rna1215	Skud_4.527
OG0000371	rna5449	Skud_15.198
OG0000372	rna221	Skud_2.118
OG0000372	rna943	Skud_4.256
OG0000373	rna2115	Skud_7.193
OG0000373	rna5905	Skud_16.92
OG0000374	rna1684	Skud_5.210
OG0000374	rna156	Skud_2.48
OG0000375	rna1697	Skud_5.226
OG0000375	rna144	Skud_2.36
OG0000376	rna1543	Skud_5.61
OG0000376	rna3307	Skud_10.263
OG0000377	rna1551	Skud_5.73
OG0000377	rna3294	Skud_10.250
OG0000378	rna5783	Skud_15.538
OG0000378	rna14	Skud_1.6
OG0000379	rna5974	Skud_16.161
OG0000379	rna5621	Skud_15.370
OG0000380	rna5096	Skud_14.275
OG0000380	rna2876	Skud_9.57
OG0000381	rna268, rna965	Skud_2.165
OG0000382	rna770	Skud_4.79
