Orthogroup	s_cerevisiae_proteins	s_paradoxus_proteins
OG0000062	rna4928	Spar_14.111
OG0000063	rna2797	Spar_8.318
OG0000063	rna1781	Spar_5.372
OG0000064	rna1825	Spar_6.41
OG0000064	rna4537	Spar_13.228
OG0000065	rna1170	Spar_4.538
OG0000065	rna215	Spar_2.136
OG0000066	rna758	Spar_4.73
OG0000066	rna808	Spar_4.141
OG0000067	rna6005	Spar_16.240
OG0000068	rna3695	Spar_11.330
OG0000069	rna2810	Spar_4.4, Spar_6.6, Spar_10.455, Spar_3.227, Spar_16.24, Spar_8.344
OG0000069	rna4293	Spar_12.575
OG0000070	rna340, rna6165	Spar_16.436, Spar_2.276
OG0000071	rna2624	Spar_8.122
OG0000071	rna3496	Spar_11.96
OG0000072	rna1446	Spar_4.866
OG0000072	rna5305	Spar_15.73
OG0000073	rna5232	Spar_14.439
OG0000073	rna950	Spar_4.291
OG0000074	rna4654	Spar_13.362
OG0000074	rna4653	Spar_13.361
OG0000075	rna1531	Spar_5.36
OG0000075	rna3312	Spar_10.316
OG0000076	rna5524	Spar_15.314
OG0000076	rna5046	Spar_14.231
OG0000077	rna3432	Spar_11.6
OG0000078	rna4575	Spar_13.269
OG0000078	rna1808, rna4827	Spar_10.445, Spar_14.3
OG0000079	rna1372	Spar_4.770
OG0000079	rna1372	Spar_5.21
OG0000079	rna1516	Spar_4.770
OG0000079	rna1516	Spar_5.21
OG0000080	rna41	Spar_1.40
OG0000080	rna5740	Spar_15.539
OG0000081	rna6056	Spar_16.298
OG0000081	rna2196	Spar_7.292
OG0000082	rna2484	Spar_7.622
OG0000083	rna4309	Spar_12.593
OG0000083	rna4385	Spar_13.69
OG0000084	rna4302	Spar_12.585
OG0000084	rna4397	Spar_13.85
OG0000085	rna4582	Spar_13.278
OG0000085	rna3530	Spar_11.136
OG0000086	rna3647	Spar_11.271
OG0000086	rna2565	Spar_8.53
OG0000087	rna3056	Spar_10.27
OG0000087	rna2860	Spar_9.43
OG0000088	rna5349	Spar_15.118
OG0000088	rna918	Spar_4.257
OG0000089	rna5695	Spar_15.485
OG0000090	rna2940	Spar_9.130
OG0000090	rna1645	Spar_5.200
OG0000091	rna5189	Spar_14.394
OG0000091	rna670	Spar_3.176
OG0000092	rna5502	Spar_15.293
OG0000092	rna5065	Spar_14.252
OG0000093	rna1040	Spar_4.398
OG0000093	rna1772	Spar_5.363
OG0000094	rna689	Spar_3.197
OG0000094	rna5207	Spar_14.412
OG0000095	rna5803, rna4820, rna5811	Spar_15.610
OG0000095	rna1483	Spar_4.904
OG0000096	rna4771	Spar_13.469
OG0000096	rna4347	Spar_13.30
OG0000097	rna3027	Spar_9.234
OG0000097	rna239	Spar_2.162
OG0000098	rna5435	Spar_15.213
OG0000098	rna1898	Spar_6.130
OG0000099	rna4679	Spar_13.387
OG0000099	rna5844	Spar_16.75
OG0000100	rna1273	Spar_4.701
OG0000101	rna6252	Spar_16.528
OG0000101	rna2356	Spar_7.473
OG0000102	rna3355	Spar_10.367
OG0000102	rna6133	Spar_16.391
OG0000103	rna2908	Spar_9.97
OG0000103	rna5129	Spar_14.332
OG0000104	rna2173	Spar_7.268
OG0000104	rna2363	Spar_7.482
OG0000105	rna3128	Spar_10.106
OG0000105	rna3705	Spar_11.340
OG0000106	rna701	Spar_2.7
OG0000106	rna4817	Spar_13.520
OG0000107	rna141, rna1698	Spar_2.50, Spar_5.275
OG0000108	rna1793	Spar_5.390
OG0000108	rna2437	Spar_7.570
OG0000109	rna5750	Spar_15.550
OG0000109	rna36	Spar_1.35
OG0000110	rna3677	Spar_11.304
OG0000110	rna3175	Spar_10.161
OG0000111	rna727	Spar_4.41
OG0000111	rna4958	Spar_14.142
OG0000112	rna3708	Spar_11.343
OG0000112	rna3122	Spar_10.100
OG0000114	rna5797	Spar_15.604
OG0000114	rna4814	Spar_13.515
OG0000116	rna1365	Spar_4.763
OG0000116	rna5571	Spar_15.349
OG0000117	rna5601	Spar_15.382
OG0000117	rna4150	Spar_12.413
OG0000118	rna2003	Spar_7.70
OG0000119	rna4858	Spar_14.35
OG0000119	rna5290	Spar_15.55
OG0000120	rna4863	Spar_14.42
OG0000120	rna5293	Spar_15.58
OG0000121	rna5498	Spar_15.288
OG0000121	rna3745	Spar_11.381
OG0000122	rna2191	Spar_7.287
OG0000122	rna209	Spar_2.131
OG0000123	rna4792	Spar_13.493
OG0000124	rna3416	Spar_10.433
OG0000124	rna2796	Spar_8.317
OG0000125	rna1608	Spar_5.163
OG0000125	rna1995	Spar_7.58
OG0000126	rna5871	Spar_16.102
OG0000126	rna2065	Spar_7.140
OG0000127	rna2069, rna5872	Spar_16.103, Spar_7.144
OG0000128	rna4294	Spar_12.576
OG0000128	rna4404	Spar_13.93
OG0000129	rna2229	Spar_7.329
OG0000129	rna4192	Spar_12.465
OG0000130	rna248, rna951	Spar_2.173, Spar_4.292
OG0000131	rna3099	Spar_10.76
OG0000132	rna2278	Spar_7.381
OG0000132	rna4230	Spar_12.508
OG0000133	rna381	Spar_2.321
OG0000133	rna6035	Spar_16.278
OG0000134	rna4317	Spar_12.604
OG0000134	rna6268	Spar_16.548
OG0000135	rna4584	Spar_13.281
OG0000135	rna3525	Spar_11.131
OG0000136	rna3333	Spar_10.344
OG0000136	rna3452	Spar_11.28
OG0000137	rna4408	Spar_13.97
OG0000138	rna550	Spar_3.35
OG0000138	rna1470	Spar_4.893
OG0000139	rna1465	Spar_4.888
OG0000139	rna556	Spar_3.42
OG0000140	rna1463	Spar_4.886
OG0000141	rna1454	Spar_4.874
OG0000141	rna4036	Spar_12.286
OG0000142	rna4039	Spar_12.289
OG0000142	rna1451	Spar_4.871
OG0000143	rna1450	Spar_4.870
OG0000143	rna4042	Spar_12.292
OG0000144	rna1506	Spar_5.11
OG0000144	rna4891	Spar_14.74
OG0000145	rna5317	Spar_15.84
OG0000145	rna367	Spar_2.307
OG0000146	rna921	Spar_4.260
OG0000146	rna94	Spar_1.122
OG0000147	rna4155	Spar_12.420
OG0000147	rna5606	Spar_15.387
OG0000148	rna437	Spar_2.390
OG0000148	rna2147	Spar_7.233
OG0000149	rna441	Spar_2.394
OG0000149	rna2141	Spar_7.227
OG0000150	rna4782	Spar_13.482
OG0000150	rna4340	Spar_13.23
OG0000151	rna1647	Spar_5.202
OG0000151	rna2941	Spar_9.131
OG0000152	rna5193	Spar_14.398
OG0000152	rna671	Spar_3.177
OG0000153	rna654	Spar_3.156
OG0000153	rna5182	Spar_14.387
OG0000154	rna5178	Spar_14.383
OG0000154	rna651	Spar_3.154
OG0000155	rna3776	Spar_12.13
OG0000155	rna702	Spar_2.6
OG0000156	rna5860	Spar_16.91
OG0000156	rna4670	Spar_13.378
OG0000157	rna4662	Spar_13.372
OG0000157	rna5868	Spar_16.99
OG0000158	rna4066	Spar_12.318
OG0000158	rna792	Spar_4.111
OG0000159	rna5418	Spar_15.195
OG0000159	rna1509	Spar_5.14
OG0000160	rna3675	Spar_11.302
OG0000160	rna3176	Spar_10.162
OG0000161	rna3177	Spar_10.163
OG0000161	rna3674	Spar_11.301
OG0000162	rna255	Spar_2.179
OG0000162	rna242	Spar_2.165
OG0000163	rna1725	Spar_5.304
OG0000163	rna2018	Spar_7.89
OG0000164	rna5630	Spar_15.419
OG0000165	rna5642	Spar_15.433
OG0000165	rna5957	Spar_16.190
OG0000166	rna4167	Spar_12.436
OG0000167	rna1197	Spar_4.566
OG0000167	rna6055	Spar_16.297
OG0000168	rna5523	Spar_15.313
OG0000168	rna5047	Spar_14.232
OG0000169	rna64	Spar_1.65
OG0000169	rna5433	Spar_15.211
OG0000170	rna2317	Spar_7.428
OG0000170	rna6206	Spar_16.476
OG0000171	rna2345	Spar_7.459
OG0000171	rna6238	Spar_16.518
OG0000172	rna3957	Spar_12.211
OG0000172	rna1091	Spar_4.454
OG0000173	rna1092	Spar_4.455
OG0000173	rna3959	Spar_12.213
OG0000174	rna1095	Spar_4.459
OG0000174	rna3962	Spar_12.216
OG0000175	rna4093	Spar_12.348
OG0000175	rna1145	Spar_4.513
OG0000176	rna850	Spar_4.184
OG0000176	rna851	Spar_4.186
OG0000177	rna2351	Spar_7.465
OG0000177	rna6244	Spar_16.524
OG0000178	rna4246	Spar_12.525
OG0000178	rna882	Spar_4.218
OG0000179	rna5276	Spar_15.40
OG0000179	rna1816	Spar_6.31
OG0000180	rna195	Spar_2.105
OG0000180	rna5227, rna2817, rna3043	Spar_14.436
OG0000181	rna837	Spar_4.171
OG0000181	rna2060	Spar_7.135
OG0000182	rna1279	Spar_4.707
OG0000182	rna2663	Spar_8.162
OG0000183	rna5328	Spar_15.97
OG0000183	rna361	Spar_2.299
OG0000184	rna5900	Spar_16.131
OG0000184	rna2122	Spar_7.208
OG0000185	rna1682	Spar_5.250
OG0000185	rna1599	Spar_5.151
OG0000186	rna1692	Spar_5.264
OG0000186	rna150	Spar_2.61
OG0000187	rna1694	Spar_5.271
OG0000187	rna146	Spar_2.56
OG0000188	rna1708	Spar_5.286
OG0000188	rna130	Spar_2.39
OG0000189	rna2688	Spar_8.190
OG0000189	rna1305	Spar_4.608
OG0000190	rna860	Spar_4.195
OG0000190	rna4627	Spar_13.330
OG0000191	rna5988	Spar_16.223
OG0000191	rna393	Spar_2.333
OG0000192	rna5987	Spar_16.222
OG0000192	rna390	Spar_2.330
OG0000193	rna3194	Spar_10.179
OG0000193	rna501	Spar_2.454
OG0000194	rna1425	Spar_4.843
OG0000194	rna5436	Spar_15.214
OG0000195	rna3686	Spar_11.317
OG0000195	rna3153	Spar_10.139
OG0000196	rna2100	Spar_7.182
OG0000196	rna466	Spar_2.418
OG0000197	rna2292	Spar_7.396
OG0000197	rna6186	Spar_16.455
OG0000198	rna5731	Spar_15.529
OG0000198	rna4736	Spar_13.432
OG0000199	rna1784	Spar_5.374
OG0000200	rna3162	Spar_10.147
OG0000200	rna3685	Spar_11.315
OG0000201	rna2399	Spar_7.529
OG0000201	rna5789	Spar_15.596
OG0000202	rna48	Spar_1.46
OG0000202	rna5736	Spar_15.535
OG0000203	rna5457	Spar_15.239
OG0000203	rna1221	Spar_4.646
OG0000204	rna1526	Spar_5.30
OG0000204	rna3314	Spar_10.318
OG0000205	rna1533	Spar_5.38
OG0000205	rna3311	Spar_10.315
OG0000206	rna4603	Spar_13.302
OG0000206	rna3857	Spar_12.102
OG0000207	rna1055	Spar_4.415
OG0000207	rna3911	Spar_12.157
OG0000208	rna1059	Spar_4.419
OG0000208	rna3917	Spar_12.163
OG0000209	rna516	Spar_2.469
OG0000209	rna3920	Spar_12.166
OG0000210	rna3924	Spar_12.170
OG0000210	rna1070	Spar_4.431
OG0000211	rna5587	Spar_15.365
OG0000211	rna4127	Spar_12.386
OG0000212	rna4116	Spar_12.375
OG0000212	rna5585	Spar_15.363
OG0000213	rna5034	Spar_14.218
OG0000213	rna2699	Spar_8.201
OG0000214	rna5342	Spar_15.111
OG0000214	rna906	Spar_4.245
OG0000215	rna4520	Spar_13.209
OG0000215	rna4519	Spar_13.208
OG0000216	rna5799, rna1946	Spar_15.606, Spar_7.9
OG0000217	rna3050	Spar_10.21
OG0000218	rna4829	Spar_14.5
OG0000218	rna710	Spar_4.22
OG0000218	rna703	Spar_2.5, Spar_10.442
OG0000220	rna2813, rna3041, rna1492, rna1491, rna4325, rna5807, rna4324, rna4326, rna3764, rna3766, rna1798, rna6297, rna2515, rna5808, rna4823	Spar_16.1
OG0000222	rna605	Spar_3.96
OG0000222	rna5162	Spar_14.367
OG0000223	rna1807, rna4826	Spar_10.446
OG0000223	rna4574	Spar_13.268
OG0000224	rna1621	Spar_5.175
OG0000224	rna1981	Spar_7.44
OG0000225	rna2259	Spar_7.361
OG0000225	rna4214	Spar_12.494
OG0000226	rna4086	Spar_12.340
OG0000226	rna1161	Spar_4.527
OG0000227	rna2382	Spar_7.504
OG0000227	rna2155	Spar_7.242
OG0000228	rna2467	Spar_7.603
OG0000228	rna2747	Spar_8.259
OG0000229	rna2746	Spar_8.258
OG0000229	rna2466	Spar_7.602
OG0000230	rna2675	Spar_8.175
OG0000230	rna1293	Spar_4.778
OG0000231	rna2203	Spar_7.298
OG0000231	rna72	Spar_1.78
OG0000232	rna2759	Spar_8.271
OG0000232	rna2478	Spar_7.615
OG0000233	rna4438	Spar_13.126
OG0000233	rna1402	Spar_4.820
OG0000234	rna1404	Spar_4.822
OG0000234	rna4437	Spar_13.125
OG0000235	rna2070	Spar_7.145
OG0000235	rna5873	Spar_16.104
OG0000236	rna4274	Spar_12.553
OG0000236	rna3467	Spar_11.62
OG0000237	rna875	Spar_4.211
OG0000237	rna4258	Spar_12.536
OG0000238	rna2785	Spar_8.306
OG0000238	rna2786	Spar_8.307
OG0000239	rna3397	Spar_10.414
OG0000239	rna4376	Spar_13.60
OG0000240	rna4310	Spar_12.594
OG0000240	rna4384	Spar_13.68
OG0000241	rna4208	Spar_12.488
OG0000241	rna2247	Spar_7.346
OG0000242	rna339	Spar_2.275
OG0000242	rna6161	Spar_16.431
OG0000243	rna328	Spar_2.263
OG0000243	rna2275	Spar_7.378
OG0000244	rna6260	Spar_16.536
OG0000245	rna2338	Spar_7.451
OG0000245	rna6234	Spar_16.512
OG0000246	rna2332	Spar_7.444
OG0000246	rna6226	Spar_16.505
OG0000247	rna3519	Spar_11.123
OG0000247	rna4596	Spar_13.295
OG0000248	rna4590	Spar_13.289
OG0000248	rna3522	Spar_11.126
OG0000249	rna2265	Spar_7.368
OG0000249	rna4215	Spar_12.495
OG0000250	rna1462	Spar_4.885
OG0000251	rna3181	Spar_10.167
OG0000252	rna2739	Spar_8.252
OG0000252	rna4903	Spar_14.86
OG0000253	rna2143	Spar_7.229
OG0000253	rna439	Spar_2.392
OG0000254	rna1651	Spar_5.207
OG0000254	rna2938	Spar_9.128
OG0000255	rna5916	Spar_16.151
OG0000255	rna5670	Spar_15.461
OG0000256	rna1247	Spar_4.676
OG0000256	rna2609	Spar_8.107
OG0000257	rna4633	Spar_13.337
OG0000258	rna204	Spar_2.126
OG0000258	rna2183	Spar_7.279
OG0000259	rna5058	Spar_14.245
OG0000259	rna5508	Spar_15.299
OG0000260	rna1349	Spar_4.747
OG0000260	rna5431	Spar_15.208
OG0000261	rna1041	Spar_4.400
OG0000261	rna1775	Spar_5.366
OG0000262	rna4184	Spar_12.457
OG0000262	rna2214	Spar_7.309
OG0000263	rna2208	Spar_7.303
OG0000263	rna4179	Spar_12.450
OG0000264	rna3769	Spar_12.5
OG0000264	rna5818	Spar_13.524, Spar_16.39
OG0000265	rna4769	Spar_13.467
OG0000265	rna4349	Spar_13.32
OG0000266	rna4765	Spar_13.464
OG0000266	rna4352	Spar_13.35
OG0000267	rna5889	Spar_16.121
OG0000267	rna2133	Spar_7.219
OG0000268	rna3908	Spar_12.154
OG0000268	rna1818	Spar_6.33
OG0000269	rna5643	Spar_15.434
OG0000269	rna5956	Spar_16.189
OG0000270	rna4980	Spar_14.165
OG0000270	rna2730	Spar_8.243
OG0000271	rna1937	Spar_6.168
OG0000271	rna1951	Spar_7.15
OG0000272	rna5853	Spar_16.84
OG0000272	rna4673	Spar_13.381
OG0000273	rna2763	Spar_8.275
OG0000273	rna1569	Spar_5.99
OG0000274	rna6207	Spar_16.477
OG0000274	rna2318	Spar_7.429
OG0000275	rna4025	Spar_12.274
OG0000275	rna1123	Spar_4.490
OG0000276	rna1132	Spar_4.499
OG0000276	rna4029	Spar_12.278
OG0000277	rna723	Spar_4.37
OG0000277	rna4949	Spar_14.132
OG0000278	rna2531, rna3784	Spar_8.20, Spar_12.22
OG0000279	rna1342, rna5548	Spar_15.324, Spar_4.736
OG0000280	rna107	Spar_2.15
OG0000280	rna6124	Spar_16.381
OG0000281	rna126	Spar_2.35
OG0000281	rna1713	Spar_5.291
OG0000282	rna1014	Spar_4.371
OG0000282	rna1746	Spar_5.335
OG0000283	rna4600	Spar_13.298
OG0000283	rna3511	Spar_11.115
OG0000284	rna801	Spar_4.121
OG0000285	rna2462	Spar_7.598
OG0000285	rna2743	Spar_8.255
OG0000286	rna941	Spar_4.282
OG0000286	rna217	Spar_2.138
OG0000287	rna928	Spar_4.268
OG0000287	rna232	Spar_2.155
OG0000288	rna3634	Spar_11.257
OG0000288	rna3032	Spar_9.240
OG0000289	rna5903	Spar_16.134
OG0000289	rna2120	Spar_7.206
OG0000290	rna158	Spar_2.69
OG0000290	rna1683	Spar_5.251
OG0000291	rna1695	Spar_5.272
OG0000291	rna145	Spar_2.55
OG0000292	rna1701	Spar_5.278
OG0000292	rna135	Spar_2.44
OG0000293	rna1309	Spar_4.604
OG0000293	rna2690	Spar_8.192
OG0000294	rna1303	Spar_4.610
OG0000294	rna2685	Spar_8.187
OG0000295	rna1538	Spar_5.44
OG0000295	rna3310	Spar_10.314
OG0000296	rna403	Spar_2.348
OG0000296	rna6006	Spar_16.241
OG0000297	rna6001	Spar_16.236, Spar_2.342
OG0000298	rna9	Spar_1.6
OG0000298	rna5787	Spar_15.594
OG0000299	rna494	Spar_2.447
OG0000299	rna3201	Spar_10.186
OG0000300	rna370	Spar_2.310
OG0000300	rna5320	Spar_15.87
OG0000301	rna2873	Spar_9.57
OG0000301	rna5094	Spar_14.281
OG0000302	rna2881	Spar_9.65
OG0000302	rna5105	Spar_14.290
OG0000303	rna5107	Spar_14.292
OG0000303	rna2885	Spar_9.69
OG0000304	rna2859	Spar_9.42
OG0000304	rna5084	Spar_14.271
OG0000305	rna807	Spar_4.140
OG0000305	rna756	Spar_4.71
OG0000306	rna762	Spar_4.77
OG0000306	rna811	Spar_4.144
OG0000307	rna774	Spar_4.89
OG0000308	rna4688	Spar_13.396
OG0000308	rna5837	Spar_16.67
OG0000309	rna895	Spar_4.232
OG0000309	rna4233	Spar_12.512
OG0000310	rna4634	Spar_13.338
OG0000310	rna856	Spar_4.191
OG0000311	rna5365	Spar_15.140
OG0000311	rna54	Spar_1.53
OG0000312	rna5367	Spar_15.142
OG0000312	rna56	Spar_1.57
OG0000313	rna1414	Spar_4.833
OG0000313	rna2576	Spar_8.63
OG0000314	rna4745	Spar_13.442
OG0000314	rna3732	Spar_11.367
OG0000315	rna1011	Spar_4.368
OG0000315	rna1741	Spar_5.330
OG0000316	rna3161	Spar_10.146
OG0000316	rna3684	Spar_11.314
OG0000317	rna5340	Spar_15.109
OG0000318	rna3817	Spar_12.62
OG0000318	rna3847	Spar_12.93
OG0000319	rna5465	Spar_15.246
OG0000319	rna1225	Spar_4.651
OG0000320	rna5478	Spar_15.262
OG0000320	rna3731	Spar_11.366
OG0000321	rna3858, rna4604	Spar_12.103, Spar_13.303
OG0000322	rna4602	Spar_13.300
OG0000322	rna5151	Spar_14.355
OG0000323	rna3691	Spar_11.323
OG0000323	rna3146	Spar_10.133
OG0000324	rna1889	Spar_6.115
OG0000324	rna4114	Spar_12.373
OG0000325	rna3030	Spar_9.238
OG0000325	rna5037	Spar_14.221
OG0000326	rna2548	Spar_8.37
OG0000326	rna3614	Spar_11.230
OG0000327	rna3577	Spar_11.185
OG0000327	rna4533	Spar_13.223
OG0000328	rna3584	Spar_11.198
OG0000328	rna4525	Spar_13.215
OG0000329	rna2947	Spar_9.136
OG0000329	rna1641	Spar_5.196
OG0000330	rna4995	Spar_14.182
OG0000330	rna2714	Spar_8.224
OG0000331	rna4775	Spar_13.473
OG0000331	rna4342	Spar_13.25
OG0000332	rna1947	Spar_7.10
OG0000332	rna5221	Spar_14.430
OG0000334	rna2840	Spar_9.23
OG0000335	rna2043	Spar_7.115
OG0000336	rna2225	Spar_7.319
OG0000336	rna4187	Spar_12.461
OG0000337	rna3119	Spar_10.97
OG0000337	rna3713	Spar_11.348
OG0000338	rna3117	Spar_10.95
OG0000338	rna3716	Spar_11.351
OG0000339	rna5287	Spar_15.51
OG0000341	rna5220	Spar_14.429
OG0000342	rna1464	Spar_4.887
OG0000343	rna3393	Spar_10.410
OG0000344	rna4225, rna3070	Spar_10.43
OG0000345	rna6213	Spar_16.491
OG0000346	rna5711	Spar_15.503
OG0000346	rna4724	Spar_13.416
OG0000347	rna3453	Spar_11.29
OG0000347	rna3328	Spar_10.339
OG0000348	rna531	Spar_3.145
OG0000348	rna642	Spar_3.145
OG0000349	rna533	Spar_3.20
OG0000350	rna1480	Spar_4.901
OG0000350	rna547	Spar_3.32
OG0000351	rna3063	Spar_10.36
OG0000351	rna640	Spar_3.143
OG0000352	rna919	Spar_4.258
OG0000352	rna5352	Spar_15.121
OG0000353	rna5301	Spar_15.71
OG0000353	rna4878	Spar_14.62
OG0000354	rna5053	Spar_14.238
OG0000354	rna5517	Spar_15.308
OG0000355	rna4804	Spar_13.506
OG0000357	rna5863	Spar_16.94
OG0000357	rna4666	Spar_13.376
