Orthogroup	s_cerevisiae_proteins	n_castellii_proteins
OG0000079	rna1372, rna1516	rna1270, rna5204
OG0000080	rna41	rna4268
OG0000080	rna5740	rna5324
OG0000081	rna6056, rna2196	rna2143, rna668
OG0000082	rna2484	rna4069
OG0000083	rna4309	rna5845
OG0000083	rna4385	rna632
OG0000084	rna4302, rna4397	rna620, rna5833
OG0000085	rna4582	rna4238
OG0000085	rna3530	rna444
OG0000086	rna3647	rna517
OG0000086	rna2565	rna4185
OG0000087	rna2860	rna2261
OG0000088	rna5349	rna2898
OG0000088	rna918	rna5522
OG0000089	rna4712	rna2615
OG0000089	rna5695	rna1648
OG0000090	rna2940	rna1412
OG0000090	rna1645	rna3991
OG0000091	rna5189	rna545
OG0000091	rna670	rna3625
OG0000092	rna5502	rna2276
OG0000092	rna5065	rna4784
OG0000093	rna1040	rna1997
OG0000093	rna1772	rna368
OG0000094	rna689	rna3633
OG0000094	rna5207	rna565
OG0000096	rna4771	rna2564, rna2565
OG0000096	rna4347	rna1707
OG0000097	rna3027	rna3657
OG0000097	rna239	rna1061
OG0000098	rna5435	rna930
OG0000098	rna1898	rna3195
OG0000099	rna4679	rna3586
OG0000099	rna5844	rna4617
OG0000100	rna1273	rna4388
OG0000101	rna6252	rna4466
OG0000101	rna2356	rna3729
OG0000102	rna3355	rna5005
OG0000102	rna6133	rna1545
OG0000103	rna2908	rna2222
OG0000103	rna5129	rna4888
OG0000104	rna2173, rna2363	rna173, rna3101
OG0000105	rna3128	rna1012
OG0000105	rna3705	rna2409
OG0000106	rna4817	rna2834, rna3271
OG0000107	rna141, rna1698	rna1507, rna3928
OG0000108	rna1793, rna2437	rna759
OG0000109	rna36	rna3900, rna4161
OG0000110	rna3677	rna2381
OG0000110	rna3175	rna972
OG0000111	rna727	rna3170
OG0000111	rna4958	rna4674
OG0000112	rna3708	rna2420
OG0000112	rna3122	rna5587
OG0000114	rna5797, rna4814	rna5685, rna5686
OG0000116	rna1365	rna1262
OG0000116	rna5571	rna5199
OG0000117	rna5601, rna4150	rna4129
OG0000118	rna2003	rna3724
OG0000119	rna4858	rna1035
OG0000119	rna5290	rna3005
OG0000120	rna4863	rna1030
OG0000120	rna5293	rna3008
OG0000121	rna5498	rna4539
OG0000121	rna3745	rna325
OG0000122	rna2191	rna157
OG0000122	rna209	rna359, rna358
OG0000123	rna4792	rna4312
OG0000123	rna2495	rna3734
OG0000124	rna3416, rna2796	rna5857
OG0000125	rna1608	rna4475
OG0000125	rna1995	rna3717
OG0000126	rna5871	rna84
OG0000126	rna2065	rna3568
OG0000127	rna2069, rna5872	rna85
OG0000128	rna4294	rna5823
OG0000128	rna4404	rna282
OG0000129	rna2229, rna4192	rna5709
OG0000130	rna248, rna951	rna1072
OG0000131	rna3099	rna5601
OG0000132	rna2278, rna4230	rna230
OG0000133	rna381, rna6035	rna2749, rna1827
OG0000134	rna4317	rna4961
OG0000134	rna6268	rna1577
OG0000135	rna4584	rna4240
OG0000135	rna3525	rna439
OG0000136	rna3333, rna3452	rna4859
OG0000137	rna4408	rna277, rna278
OG0000138	rna550	rna2512
OG0000138	rna1470	rna19
OG0000139	rna1465	rna24
OG0000139	rna556	rna2507
OG0000140	rna1463	rna25
OG0000140	rna560	rna2502
OG0000141	rna1454	rna33
OG0000141	rna4036	rna2475
OG0000142	rna4039	rna2479
OG0000142	rna1451	rna35
OG0000143	rna1450	rna36
OG0000143	rna4042	rna2481
OG0000144	rna1506, rna4891	rna50
OG0000145	rna5317	rna897
OG0000145	rna367	rna5562
OG0000146	rna921	rna5500
OG0000146	rna94	rna2904
OG0000147	rna4155, rna5606	rna3471, rna5019
OG0000148	rna437	rna5095
OG0000148	rna2147	rna3485
OG0000149	rna441, rna2141	rna3479, rna5094
OG0000150	rna4782	rna2550
OG0000150	rna4340	rna1617
OG0000151	rna1647, rna2941	rna3989, rna1411
OG0000152	rna5193, rna671	rna3627, rna549
OG0000153	rna654	rna3610
OG0000153	rna5182	rna1663
OG0000154	rna5178	rna465
OG0000154	rna651	rna3607
OG0000155	rna3776	rna309, rna5021
OG0000156	rna5860, rna4670	rna3554, rna4633
OG0000157	rna4662	rna3561
OG0000157	rna5868	rna81
OG0000158	rna4066, rna792	rna5015, rna1468
OG0000159	rna5418, rna1509	rna4107
OG0000160	rna3675, rna3176	rna2379, rna971
OG0000161	rna3177, rna3674	rna2378
OG0000162	rna255	rna3829
OG0000162	rna242	rna1065
OG0000163	rna1725, rna2018	rna2047
OG0000164	rna5630	rna1757
OG0000164	rna5963	rna1722, rna2669
OG0000165	rna5642	rna1733
OG0000165	rna5957	rna2675
OG0000166	rna4167	rna3120
OG0000167	rna1197, rna6055	rna1843, rna2766
OG0000168	rna5523, rna5047	rna2297
OG0000169	rna64	rna5372
OG0000169	rna5433	rna4271
OG0000170	rna2317	rna3762
OG0000170	rna6206	rna1212
OG0000171	rna2345	rna3740
OG0000171	rna6238	rna4457
OG0000172	rna3957	rna2857
OG0000172	rna1091	rna1957
OG0000173	rna1092	rna1958
OG0000173	rna3959	rna2855
OG0000174	rna1095	rna1961
OG0000174	rna3962	rna5269
OG0000175	rna4093	rna2804
OG0000175	rna1145	rna1894
OG0000176	rna850	rna2189
OG0000176	rna851	rna2188
OG0000177	rna2351, rna6244	rna3735, rna4463
OG0000178	rna4246, rna882	rna245, rna5779
OG0000179	rna5276, rna1816	rna2990
OG0000180	rna195, rna5227, rna2817, rna3043	rna2160
OG0000181	rna837	rna2204
OG0000181	rna2060	rna3230
OG0000182	rna1279	rna4394
OG0000182	rna2663	rna5123
OG0000183	rna5328	rna2136
OG0000183	rna361	rna5548
OG0000184	rna5900	rna5037
OG0000184	rna2122	rna3534
OG0000185	rna1682	rna3945
OG0000185	rna1599	rna1491
OG0000186	rna150	rna3934
OG0000187	rna1694	rna1502
OG0000187	rna146	rna3930
OG0000188	rna1708	rna1518
OG0000188	rna130	rna3917
OG0000189	rna2688, rna1305	rna5144, rna4420
OG0000190	rna860	rna3264
OG0000190	rna4627	rna396
OG0000191	rna5988	rna2709
OG0000191	rna393	rna1781
OG0000192	rna5987	rna2708
OG0000192	rna390	rna1778
OG0000193	rna3194	rna956
OG0000193	rna501	rna2362
OG0000194	rna1425	rna829
OG0000194	rna5436	rna4591
OG0000195	rna3686	rna2390
OG0000195	rna3153	rna991
OG0000196	rna2100	rna3510
OG0000196	rna466	rna5068
OG0000197	rna2292, rna6186	rna1189
OG0000198	rna5731, rna4736	rna1686, rna2595
OG0000199	rna1047, rna1784	rna1993, rna2092
OG0000200	rna3162	rna984
OG0000200	rna3685	rna2383
OG0000201	rna2399	rna707
OG0000202	rna48	rna4260
OG0000202	rna5736	rna5355
OG0000203	rna5457, rna1221	rna4573
OG0000204	rna3314	rna1360
OG0000205	rna1533, rna3311	rna1356, rna4934
OG0000206	rna4603	rna4284
OG0000206	rna3857	rna418
OG0000207	rna1055, rna3911	rna1986, rna2097
OG0000208	rna1059	rna1981
OG0000208	rna3917	rna2102
OG0000209	rna516, rna3920	rna2105
OG0000210	rna3924	rna2109
OG0000210	rna1070	rna1971
OG0000211	rna5587	rna4117
OG0000211	rna4127	rna3429
OG0000212	rna4116	rna3408
OG0000212	rna5585	rna4108
OG0000213	rna5034	rna4756
OG0000213	rna2699	rna2308
OG0000214	rna5342, rna906	rna2886, rna5529
OG0000215	rna4520	rna5266, rna1353
OG0000215	rna4519	rna1352
OG0000222	rna605	rna4829
OG0000222	rna5162	rna886
OG0000223	rna1807, rna4826, rna4574	rna5317
OG0000224	rna1621	rna4485
OG0000224	rna1981	rna3696
OG0000225	rna2259	rna214
OG0000225	rna4214	rna5749
OG0000226	rna4086	rna2796
OG0000226	rna1161	rna1881
OG0000227	rna2382	rna3116
OG0000227	rna2155	rna599
OG0000228	rna2467, rna2747	rna4052, rna3295
OG0000229	rna2746	rna3296
OG0000229	rna2466	rna4053
OG0000230	rna2675, rna1293	rna5134
OG0000231	rna2203, rna72	rna5742
OG0000232	rna2759, rna2478	rna3282
OG0000233	rna4438, rna1402	rna5228
OG0000234	rna1404, rna4437	rna4223, rna5230
OG0000235	rna2070	rna3572
OG0000235	rna5873	rna86
OG0000236	rna4274	rna5802
OG0000236	rna3467	rna265
OG0000237	rna4258	rna5790
OG0000238	rna2785, rna2786	rna650
OG0000239	rna3397, rna4376	rna642
OG0000240	rna4310, rna4384	rna633
OG0000241	rna4208, rna2247	rna208
OG0000242	rna339, rna6161	rna1169
OG0000243	rna328	rna5430
OG0000243	rna2275	rna1156
OG0000244	rna6260	rna4966, rna1572
OG0000245	rna2338, rna6234	rna4452
OG0000246	rna2332, rna6226	rna1228
OG0000247	rna4596	rna4278
OG0000248	rna4590, rna3522	rna434
OG0000249	rna2265	rna5752
OG0000249	rna4215	rna217
OG0000250	rna561	rna2501
OG0000250	rna1462	rna26
OG0000251	rna3181	rna969
OG0000252	rna2739, rna4903	rna60
OG0000253	rna2143	rna3481
OG0000253	rna439	rna5092
OG0000254	rna1651, rna2938	rna4001, rna1414
OG0000255	rna5916	rna2639
OG0000255	rna5670	rna1711
OG0000256	rna1247	rna4365
OG0000256	rna2609	rna126
OG0000257	rna4633	rna3257, rna3255, rna2210, rna3256
OG0000258	rna204, rna2183	rna346
OG0000259	rna5058	rna4778
OG0000259	rna5508	rna2281
OG0000260	rna1349, rna5431	rna5370
OG0000261	rna1041, rna1775	rna2084
OG0000262	rna4184, rna2214	rna5723
OG0000263	rna2208	rna525
OG0000263	rna4179	rna5731
OG0000264	rna3769, rna5818	rna3659
OG0000265	rna4769, rna4349	rna1705
OG0000266	rna4765	rna2569
OG0000266	rna4352	rna1701
OG0000267	rna5889	rna101
OG0000267	rna2133	rna3543
OG0000268	rna3908, rna1818	rna5654
OG0000269	rna5643	rna1734
OG0000269	rna5956	rna2676
OG0000270	rna4980	rna4704
OG0000270	rna2730	rna3186
OG0000271	rna1937, rna1951	rna3672, rna4510
OG0000272	rna5853, rna4673	rna3551
OG0000273	rna2763, rna1569	rna1375, rna3837
OG0000274	rna6207	rna1211
OG0000274	rna2318	rna3761
OG0000275	rna4025, rna1123	rna1910
OG0000276	rna1132, rna4029	rna2816
OG0000277	rna723, rna4949	rna3165, rna4664
OG0000278	rna2531, rna3784	rna303, rna3141
OG0000279	rna1342, rna5548	rna1241, rna5171
OG0000280	rna107, rna6124	rna3969
OG0000281	rna126, rna1713	rna3913
OG0000282	rna1014	rna2026
OG0000282	rna1746	rna394
OG0000283	rna4600, rna3511	rna423
OG0000284	rna801	rna1459
OG0000285	rna2462, rna2743	rna4137
OG0000286	rna941, rna217	rna3815
OG0000287	rna928, rna232	rna3827
OG0000288	rna3634, rna3032	rna893
OG0000289	rna5903, rna2120	rna5042
OG0000290	rna158	rna3943
OG0000290	rna1683	rna1493
OG0000291	rna1695, rna145	rna1503
OG0000292	rna1701, rna135	rna3924
OG0000293	rna1309, rna2690	rna4424
OG0000294	rna1303	rna4418
OG0000294	rna2685	rna5142
OG0000295	rna1538, rna3310	rna4929
OG0000296	rna403	rna1796
OG0000296	rna6006	rna2721
OG0000297	rna6001	rna2716, rna4805
OG0000298	rna9, rna5787	rna787
OG0000299	rna494	rna2353
OG0000299	rna3201	rna951
OG0000300	rna370	rna5559
OG0000300	rna5320	rna3018
OG0000301	rna2873	rna2251
OG0000301	rna5094	rna4815
OG0000302	rna2881	rna2244
OG0000302	rna5105	rna4821
OG0000303	rna5107, rna2885	rna2240
OG0000304	rna2859, rna5084	rna4802
OG0000305	rna807	rna1454
OG0000305	rna756	rna4045
OG0000307	rna2913	rna1437
OG0000308	rna4688	rna4609
OG0000308	rna5837	rna3595
OG0000309	rna895	rna233
OG0000309	rna4233	rna5763
OG0000310	rna4634, rna856	rna3254
OG0000311	rna5365	rna5360
OG0000311	rna54	rna4252
OG0000312	rna5367, rna56	rna4250
OG0000313	rna1414	rna809
OG0000313	rna2576	rna5240
OG0000314	rna4745, rna3732	rna343
OG0000315	rna1011	rna2029
OG0000315	rna1741	rna2172
OG0000316	rna3161	rna985
OG0000316	rna3684	rna2384
OG0000317	rna902	rna2885
OG0000317	rna5340	rna5532
OG0000318	rna3817, rna3847	rna3433
OG0000319	rna5465	rna4566
OG0000319	rna1225	rna3079
OG0000320	rna5478	rna4553
OG0000320	rna3731	rna3094
OG0000321	rna3858, rna4604	rna417
OG0000322	rna4602	rna4283
OG0000322	rna5151	rna419
OG0000323	rna3691, rna3146	rna996
OG0000324	rna1889	rna3208
OG0000324	rna4114	rna917
OG0000325	rna3030	rna3654
OG0000325	rna5037	rna4759
OG0000326	rna2548, rna3614	rna482
OG0000327	rna3577	rna5278
OG0000327	rna4533	rna843
OG0000328	rna3584	rna5268
OG0000328	rna4525	rna851
OG0000329	rna2947	rna1405
OG0000329	rna1641	rna3981
OG0000330	rna4995, rna2714	rna2325
OG0000331	rna4775	rna252, rna2560
OG0000331	rna4342	rna1620
OG0000334	rna3751, rna2840	rna4528
OG0000335	rna6100	rna2176
OG0000335	rna2043	rna2966
OG0000336	rna2225	rna191
OG0000336	rna4187	rna5720
OG0000337	rna3119, rna3713	rna2425
OG0000338	rna3117, rna3716	rna2428
OG0000342	rna559	rna2503
OG0000343	rna3393	rna5846
OG0000344	rna4225, rna3070	rna5626, rna227
OG0000345	rna6213	rna1218, rna4813
OG0000346	rna5711, rna4724	rna2606
OG0000347	rna3453	rna4858
OG0000347	rna3328	rna1276
OG0000348	rna531, rna642, rna692	rna2527
OG0000349	rna533	rna1598, rna2526
OG0000350	rna1480	rna11
OG0000350	rna547	rna2514
OG0000351	rna3063, rna640	rna5636, rna2467
OG0000352	rna919, rna5352	rna2901
OG0000353	rna5301, rna4878	rna5583
OG0000354	rna5053, rna5517	rna2292
OG0000355	rna4804	rna3393
OG0000357	rna5863, rna4666	rna3556
OG0000358	rna4163	rna609
OG0000359	rna2212, rna4182	rna5725
OG0000360	rna3421	rna4506
OG0000361	rna3220, rna3505	rna4330
OG0000362	rna584	rna3023
OG0000362	rna5155	rna4948
OG0000363	rna2711	rna2321
OG0000364	rna3281	rna741, rna3329
OG0000364	rna2420	rna738
OG0000365	rna2350, rna6242	rna4461
OG0000366	rna3370, rna172	rna1550
OG0000367	rna4360, rna4755	rna1694
OG0000368	rna6071, rna1864	rna2938
OG0000369	rna2736, rna2454	rna4146, rna3303
OG0000370	rna5450, rna1215	rna3070
OG0000371	rna5449	rna4583
OG0000372	rna221, rna943	rna5513
OG0000373	rna2115, rna5905	rna3529, rna5046, rna5719
OG0000375	rna1697, rna144	rna1505
OG0000376	rna1543, rna3307	rna847
OG0000377	rna1551	rna4920
OG0000377	rna3294	rna866
OG0000378	rna5783	rna5347
OG0000378	rna14	rna783
OG0000379	rna5974	rna2692
OG0000379	rna5621	rna1765
OG0000380	rna5096, rna2876	rna2248
OG0000381	rna965	rna1087
OG0000382	rna770, rna820	rna1443
OG0000383	rna4697, rna5175	rna3603
OG0000384	rna4734, rna5728	rna1683, rna2596
OG0000385	rna462	rna5073
OG0000385	rna2095	rna3506
OG0000386	rna1080	rna1942
OG0000386	rna3938	rna2876
OG0000387	rna5525	rna2300
OG0000387	rna5044	rna4767
OG0000388	rna2697, rna5038	rna4760
OG0000389	rna5716, rna4728	rna1670
OG0000390	rna6044	rna2756
OG0000390	rna3568	rna5283
OG0000391	rna4516	rna1350
OG0000391	rna3588	rna5262
OG0000392	rna4996, rna2715	rna2326
OG0000393	rna224	rna314
OG0000394	rna991	rna1111
OG0000394	rna289	rna5466
OG0000395	rna2721	rna3193
OG0000395	rna4992	rna4716
OG0000396	rna2472, rna2748	rna3293
OG0000397	rna2481, rna2769	rna4299
OG0000398	rna1560, rna626	rna869
OG0000399	rna3554	rna795, rna2598, rna794
OG0000400	rna343	rna5410
OG0000401	rna378	rna1831
OG0000403	rna2918, rna1675	rna4017
OG0000404	rna4802	rna3395
OG0000404	rna2501	rna4085
OG0000405	rna1260, rna2646	rna4377
OG0000406	rna5861	rna4634
OG0000407	rna785, rna4062	rna5010
OG0000408	rna1043, rna1780	rna2089, rna1994
OG0000409	rna3775	rna3652
OG0000411	rna707, rna3427	rna5663
OG0000412	rna732	rna3175
OG0000413	rna4925	rna4638
OG0000414	rna1346	rna1245
OG0000415	rna3382	rna1555, TCONS_novel_00000221_1-frame_3
OG0000416	rna3034, rna3035	rna5310
OG0000417	rna6113	rna2049
OG0000418	rna984, rna982, rna983	rna1105
OG0000419	rna4569	rna457, rna802
OG0000420	rna949, rna238	rna3833, rna1060
OG0000421	rna4080, rna1168	rna1874
OG0000422	rna5470	rna4561
OG0000422	rna3728	rna3087
OG0000423	rna729, rna4961	rna3172
OG0000424	rna4336	rna1612, rna2546
OG0000425	rna5827, rna4748	rna2585
OG0000426	rna3512	rna424
OG0000428	rna5603	rna4131
OG0000429	rna3939	rna2875
OG0000430	rna5158	rna3043, rna4840
OG0000432	rna2790	rna655
OG0000433	rna3394	rna5847
OG0000433	rna4378	rna640
OG0000434	rna4298	rna5828
OG0000435	rna3491	rna5602
OG0000435	rna3490	rna2438, rna2437
OG0000436	rna329	rna1158
OG0000437	rna4725	rna1667
OG0000438	rna3441	rna1294, rna4873
OG0000439	rna4142	rna3461
OG0000440	rna1858	rna5682
OG0000441	rna510	rna2370
OG0000442	rna299, rna998	rna1121, rna5457
OG0000443	rna1770	rna370
OG0000444	rna4812	rna1602
OG0000445	rna2136	rna3582
OG0000446	rna1897	rna929, rna3196
OG0000447	rna4966	rna4684, rna3177
OG0000448	rna2619	rna117, rna4344
OG0000449	rna4329	rna2540, rna1604
OG0000450	rna3390	rna1565, rna4973
OG0000451	rna4677	rna4619, rna3583
OG0000452	rna2996	rna1379
OG0000454	rna3022	rna3052
OG0000455	rna3015	rna4605, rna4096, rna308, rna5639
OG0000456	rna1341	rna1240
OG0000457	rna2956	rna1394, rna3840
OG0000458	rna168	rna1554
OG0000459	rna122	rna1526, rna3912
OG0000460	rna179	rna1135
OG0000461	rna6112	rna2061
OG0000462	rna864	rna401, rna3268
OG0000463	rna2883	rna2242
OG0000465	rna2009	rna2147
OG0000466	rna996	rna5460, rna1119
OG0000467	rna4103	rna906
OG0000468	rna981	rna1103
OG0000469	rna1299, rna2679	rna4413
OG0000470	rna1846	rna2927
OG0000471	rna4521	rna1354
OG0000472	rna1503, rna6288	rna1019
OG0000473	rna2980	rna4166
OG0000473	rna5428	rna5379
OG0000474	rna5426, rna1588, rna5427	rna5382
OG0000476	rna3037	rna2823
OG0000477	rna1988	rna3710
OG0000478	rna1367	rna1264
OG0000479	rna1747	rna393
OG0000480	rna19	rna5338
OG0000481	rna5737	rna5354
OG0000482	rna1162	rna1880
OG0000483	rna4148	rna4128
OG0000484	rna4153	rna3469
OG0000486	rna2195	rna348, rna160
OG0000487	rna2468	rna4051
OG0000488	rna3715	rna2427
OG0000489	rna629	rna2457
OG0000490	rna3088	rna5609
OG0000491	rna1290	rna4406
OG0000492	rna5490	rna4546
OG0000493	rna3738	rna333
OG0000494	rna2591	rna934
OG0000495	rna2202	rna5744
OG0000496	rna2190	rna669
OG0000497	rna2492	rna4076
OG0000498	rna2795	rna661
OG0000499	rna607	rna883, rna4828
OG0000500	rna3272	rna732, rna3339
OG0000501	rna1381	rna4201
OG0000502	rna4456	rna5211
OG0000503	rna4453	rna4202, rna5214
OG0000504	rna4447	rna4209, rna5219
OG0000505	rna4433	rna5234
OG0000506	rna1407	rna4226
OG0000507	rna4265	rna5796
OG0000508	rna872	rna253
OG0000509	rna4260	rna255, rna5792
OG0000510	rna3411	rna5859
OG0000511	rna4395	rna5835, rna622
OG0000512	rna4396	rna5834, rna621
OG0000513	rna4291	rna5821
OG0000514	rna3555	rna538
OG0000515	rna3556	rna540
OG0000516	rna1906	rna2338, rna937
OG0000518	rna260	rna1080, rna5493
OG0000519	rna5802, rna5812	rna1076
OG0000520	rna250	rna1073, rna5497
OG0000521	rna3093	rna2441
OG0000522	rna3094	rna5604
OG0000523	rna2270	rna240, rna221
OG0000524	rna5706	rna1659
OG0000525	rna338	rna5418
OG0000526	rna332	rna1162, rna5426
OG0000527	rna6153	rna5428, rna1160
OG0000528	rna6033	rna1823, rna2746
OG0000529	rna3029	rna3655
OG0000530	rna6151	rna1157
OG0000531	rna6141	rna5441
OG0000532	rna311	rna1139, rna5445
OG0000533	rna4589	rna435, rna4244
OG0000534	rna5712	rna1664
OG0000535	rna3653	rna569, rna3919
OG0000536	rna3561	rna1288, rna514
OG0000537	rna554	rna2508, rna22
OG0000538	rna570	rna2491, rna2490, rna2492
OG0000539	rna4890	rna49
OG0000540	rna3055	rna6
OG0000541	rna3064	rna5635
OG0000542	rna637	rna5634, rna2464
OG0000543	rna636	rna5633, rna2463
OG0000544	rna920	rna5499, rna2902
OG0000545	rna923	rna5504
OG0000546	rna4154	rna3470
OG0000547	rna5412	rna3369
OG0000548	rna1357	rna1254
OG0000549	rna5188	rna544
OG0000550	rna5185	rna459
OG0000551	rna663	rna3618
OG0000552	rna657	rna3613
OG0000553	rna656	rna3612
OG0000554	rna5667	rna1712, rna2644
OG0000555	rna1240	rna4355
OG0000556	rna3231	rna110
OG0000557	rna364	rna5551
OG0000558	rna3602	rna1341, rna5253
OG0000559	rna3599	rna1340, rna5250
OG0000560	rna4502	rna1336
OG0000561	rna5283	rna2998, rna1039
OG0000562	rna28	rna3886, rna776
OG0000563	rna5515	rna2290
OG0000564	rna5509	rna2282
OG0000565	rna2289	rna1185, rna3788
OG0000566	rna6180	rna1183
OG0000567	rna798	rna1462
OG0000569	rna4063	rna5011
OG0000570	rna4166	rna610
OG0000571	rna4180	rna526
OG0000572	rna2207	rna524
OG0000573	rna1511	rna4105
OG0000574	rna5422	rna5027
OG0000575	rna4767	rna2567
OG0000576	rna2213	rna3103, rna178
OG0000577	rna3178	rna2209
OG0000578	rna5703	rna1656
OG0000579	rna4279	rna5806
OG0000580	rna243	rna1066, rna1067
OG0000581	rna5152	rna3029, rna4877
OG0000582	rna1834	rna2911
OG0000584	rna3904	rna5658
OG0000585	rna1819	rna5520
OG0000586	rna5626	rna1761, rna2665
OG0000587	rna5961	rna2672
OG0000588	rna5960	rna2673
OG0000589	rna1859	rna2934
OG0000590	rna5010	rna4717
OG0000591	rna733	rna4686, rna3178
OG0000592	rna5593	rna3410, rna3418, rna4121
OG0000593	rna2418	rna3331
OG0000594	rna3386	rna4976
OG0000595	rna3383	rna4980
OG0000596	rna780	rna1481
OG0000597	rna4059	rna1477, rna3957
OG0000598	rna1297	rna4411
OG0000599	rna3000	rna1383, rna5383
OG0000600	rna2995	rna789
OG0000601	rna2302	rna1202
OG0000602	rna3956	rna1955, rna2858
OG0000603	rna1094	rna1960
OG0000604	rna3970	rna2846
OG0000605	rna1111	rna2839, rna1926
OG0000606	rna3980	rna2836, rna1921
OG0000607	rna1113	rna1920
OG0000608	rna719	rna3162, rna4657
