Node	Genes
N5	rna3841
N5	rna6056
N5	rna1047
N5	rna3526
N5	rna4745
N5	rna516
N5	rna4958
N5	rna2467
N5	rna2739
N5	rna5431
N5	rna5818
N5	rna4025
N5	rna2743
N5	rna1947
N5	rna5797
N5	rna468
N5	rna3505
N5	rna5096
N5	rna4697
N5	rna4748
N5	rna5426
N5	rna3770
N5	rna6201
N5	rna1503
N5	rna3777
N5	rna2798
N5	rna5327
N5	rna1856
N5	rna3418
N5	rna3419
N5	rna66
N5	rna5222
N5	rna2049
N5	rna88
N5	rna4449
N5	rna5586
N5	rna318
N5	rna3099
N5	rna2294
N5	rna272
N5	rna5921
N5	rna1643
N5	rna2057
N5	rna5353
N5	rna3085
N5	rna3008
N5	rna2196
N5	rna1483
N5	rna1784
N5	rna4574
N5	rna4583
N5	rna3732
N5	rna3920
N5	rna2747
N5	rna4903
N5	rna1349
N5	rna3769
N5	rna1123
N5	rna1341
N5	rna2462
N5	rna5221
N5	rna4814
N5	rna1293
N5	rna1951
N5	rna2606
N5	rna4728
N5	rna5827
N5	rna1588
N5	rna5817
N5	rna2305
N5	rna6288
N5	rna6287
N5	rna5233
N5	rna5326
N3	rna3950
N3	rna3949
N3	rna6105
N3	rna5232
N3	rna894
N3	rna4536
N3	rna239
N3	rna4858
N3	rna1569
N3	rna1279
N3	rna5084
N3	rna2786
N3	rna1823
N3	rna2115
N3	rna1683
N3	rna5151
N3	rna3030
N3	rna1994
N3	rna1622
N3	rna594
N3	rna179
N3	rna5470
N3	rna6106
N3	rna950
N3	rna5742
N3	rna3083
N3	rna3027
N3	rna5290
N3	rna918
N3	rna4167
N3	rna2763
N3	rna2663
N3	rna2859
N3	rna209
N3	rna2785
N3	rna1451
N3	rna3901
N3	rna2060
N3	rna5905
N3	rna158
N3	rna4602
N3	rna5037
N3	rna1609
N3	rna902
N1	rna3909
N1	rna3049
N1	rna4070
N1	rna1504
N1	rna5257
N1	rna3048
N1	rna290
N1	rna4562
N1	rna824
N1	rna4803
N1	rna2450
N1	rna1717
N1	rna5888
N1	rna4893
N1	rna3926
N1	rna5127
N1	rna6018
N1	rna307
N1	rna2293
N1	rna196
N1	rna2526
N1	rna2864
N1	rna5515
N1	rna5699
N1	rna6090
N1	rna3772
N1	rna4928
N1	rna5414
N1	rna3181
N1	rna4537
N1	rna5646
N1	rna1170
N1	rna598
N1	rna1781
N1	rna4817
N1	rna1596
N1	rna1365
N1	rna2860
N1	rna4712
N1	rna4309
N1	rna4408
N1	rna850
N1	rna2399
N1	rna4519
N1	rna1608
N1	rna328
N1	rna4042
N1	rna3776
N1	rna5963
N1	rna5145
N1	rna5220
N1	rna3034
N1	rna5796
N1	rna3779
N1	rna2525
N1	rna2520
N1	rna2975
N1	rna4800
N1	rna3431
N1	rna6034
N1	rna3105
N1	rna1224
N1	rna1475
N1	rna6291
N1	rna2511
N1	rna621
N1	rna878
N1	rna5749
N1	rna226
N1	rna1631
N1	rna2427
N1	rna6086
N1	rna2251
N1	rna5884
N1	rna5705
N1	rna5700
N1	rna4896
N1	rna1825
N1	rna215
N1	rna2797
N1	rna701
N1	rna4568
N1	rna5571
N1	rna3056
N1	rna5695
N1	rna851
N1	rna5789
N1	rna4520
N1	rna2275
N1	rna702
N1	rna5630
N1	rna2720
N1	rna3035
N0	rna3233
N0	rna1729
N0	rna5912
N0	rna960
N0	rna3888
N0	rna6060
N0	rna2711
N0	rna488
N0	rna380
N0	rna1827
