Genes	Orthogroup	Clade	Node
rna3761	OG0006422	s_cerevisiae	s_cerevisiae
rna3765	OG0006423	s_cerevisiae	s_cerevisiae
rna3821	OG0006424	s_cerevisiae	s_cerevisiae
rna4003	OG0005086	s_cerevisiae	s_cerevisiae
rna4005	OG0004807	s_cerevisiae	s_cerevisiae
rna4007	OG0005086	s_cerevisiae	s_cerevisiae
rna4009	OG0004807	s_cerevisiae	s_cerevisiae
rna4012	OG0004807	s_cerevisiae	s_cerevisiae
rna4014	OG0005086	s_cerevisiae	s_cerevisiae
rna4016	OG0004807	s_cerevisiae	s_cerevisiae
rna4018	OG0005086	s_cerevisiae	s_cerevisiae
rna4020	OG0004807	s_cerevisiae	s_cerevisiae
rna4022	OG0006425	s_cerevisiae	s_cerevisiae
rna4023	OG0006426	s_cerevisiae	s_cerevisiae
rna4117	OG0006427	s_cerevisiae	s_cerevisiae
rna4122	OG0006428	s_cerevisiae	s_cerevisiae
rna4141	OG0006429	s_cerevisiae	s_cerevisiae
rna4200	OG0006430	s_cerevisiae	s_cerevisiae
rna4216	OG0006431	s_cerevisiae	s_cerevisiae
rna4264	OG0006432	s_cerevisiae	s_cerevisiae
rna4273	OG0006433	s_cerevisiae	s_cerevisiae
rna4276	OG0006434	s_cerevisiae	s_cerevisiae
rna4359	OG0006435	s_cerevisiae	s_cerevisiae
rna4402	OG0006436	s_cerevisiae	s_cerevisiae
rna4409	OG0006437	s_cerevisiae	s_cerevisiae
rna4458	OG0006438	s_cerevisiae	s_cerevisiae
rna4468	OG0006439	s_cerevisiae	s_cerevisiae
rna4508	OG0006440	s_cerevisiae	s_cerevisiae
rna4563	OG0006441	s_cerevisiae	s_cerevisiae
rna4585	OG0006442	s_cerevisiae	s_cerevisiae
rna4658	OG0006443	s_cerevisiae	s_cerevisiae
rna4660	OG0006444	s_cerevisiae	s_cerevisiae
rna4668	OG0006445	s_cerevisiae	s_cerevisiae
rna4721	OG0006446	s_cerevisiae	s_cerevisiae
rna4735	OG0006447	s_cerevisiae	s_cerevisiae
rna4743	OG0006448	s_cerevisiae	s_cerevisiae
rna4768	OG0006449	s_cerevisiae	s_cerevisiae
rna4813	OG0006450	s_cerevisiae	s_cerevisiae
rna4815	OG0006451	s_cerevisiae	s_cerevisiae
rna4819	OG0006452	s_cerevisiae	s_cerevisiae
rna4857	OG0006453	s_cerevisiae	s_cerevisiae
rna4884	OG0006454	s_cerevisiae	s_cerevisiae
rna4892	OG0006455	s_cerevisiae	s_cerevisiae
rna5005	OG0006456	s_cerevisiae	s_cerevisiae
rna5009	OG0006457	s_cerevisiae	s_cerevisiae
rna5025	OG0006458	s_cerevisiae	s_cerevisiae
rna5054	OG0006459	s_cerevisiae	s_cerevisiae
rna5085	OG0006460	s_cerevisiae	s_cerevisiae
rna5112	OG0006461	s_cerevisiae	s_cerevisiae
rna5238	OG0005233	s_cerevisiae	s_cerevisiae
rna5240	OG0005237	s_cerevisiae	s_cerevisiae
rna5241	OG0005237	s_cerevisiae	s_cerevisiae
rna5243	OG0006462	s_cerevisiae	s_cerevisiae
rna5246	OG0006463	s_cerevisiae	s_cerevisiae
rna5248	OG0006464	s_cerevisiae	s_cerevisiae
rna5253	OG0006465	s_cerevisiae	s_cerevisiae
rna5296	OG0006466	s_cerevisiae	s_cerevisiae
rna5311	OG0006467	s_cerevisiae	s_cerevisiae
rna5364	OG0006468	s_cerevisiae	s_cerevisiae
rna5372	OG0006469	s_cerevisiae	s_cerevisiae
rna5394	OG0006470	s_cerevisiae	s_cerevisiae
rna5401	OG0005451	s_cerevisiae	s_cerevisiae
rna5425	OG0006471	s_cerevisiae	s_cerevisiae
rna5430	OG0006472	s_cerevisiae	s_cerevisiae
rna5448	OG0006473	s_cerevisiae	s_cerevisiae
rna5451	OG0006474	s_cerevisiae	s_cerevisiae
rna5485	OG0006475	s_cerevisiae	s_cerevisiae
rna5489	OG0005451	s_cerevisiae	s_cerevisiae
rna5577	OG0006476	s_cerevisiae	s_cerevisiae
rna5609	OG0005236	s_cerevisiae	s_cerevisiae
rna5709	OG0006477	s_cerevisiae	s_cerevisiae
rna5732	OG0006478	s_cerevisiae	s_cerevisiae
rna5788	OG0006479	s_cerevisiae	s_cerevisiae
rna5793	OG0006480	s_cerevisiae	s_cerevisiae
rna5806	OG0006481	s_cerevisiae	s_cerevisiae
rna5940	OG0006482	s_cerevisiae	s_cerevisiae
rna5973	OG0006483	s_cerevisiae	s_cerevisiae
rna6036	OG0006484	s_cerevisiae	s_cerevisiae
rna6053	OG0006485	s_cerevisiae	s_cerevisiae
rna6181	OG0006486	s_cerevisiae	s_cerevisiae
rna6193	OG0006487	s_cerevisiae	s_cerevisiae
rna6253	OG0006488	s_cerevisiae	s_cerevisiae
rna1806	OG0005238	s_paradoxus	N9
rna4825	OG0005238	s_paradoxus	N9
rna571	OG0005436	s_paradoxus	N9
rna904	OG0005438	s_paradoxus	N9
rna1501	OG0005440	s_paradoxus	N9
rna1915	OG0005442	s_paradoxus	N9
rna2992	OG0005446	s_paradoxus	N9
rna3240	OG0005448	s_paradoxus	N9
rna5681	OG0005453	s_paradoxus	N9
rna5250	OG0005242	s_mikatae	N8
rna1488	OG0005439	s_mikatae	N8
rna2000	OG0005443	s_mikatae	N8
rna3617	OG0005449	s_mikatae	N8
rna3630	OG0005450	s_mikatae	N8
rna98	OG0002672	s_kudriavzevii	N7
rna2804	OG0002672	s_kudriavzevii	N7
rna5254	OG0002672	s_kudriavzevii	N7
rna2821	OG0002672	s_kudriavzevii	N7
rna530	OG0004572	s_kudriavzevii	N7
rna641	OG0004572	s_kudriavzevii	N7
rna2963	OG0004573	s_kudriavzevii	N7
rna6157	OG0004573	s_kudriavzevii	N7
rna5124	OG0004808	s_kudriavzevii	N7
rna5142	OG0004808	s_kudriavzevii	N7
rna5125	OG0004809	s_kudriavzevii	N7
rna5141	OG0004809	s_kudriavzevii	N7
rna517	OG0005083	s_kudriavzevii	N7
rna1597	OG0005084	s_kudriavzevii	N7
rna1904	OG0005085	s_kudriavzevii	N7
rna1678	OG0005234	s_kudriavzevii	N7
rna1715	OG0005235	s_kudriavzevii	N7
rna1886	OG0005239	s_kudriavzevii	N7
rna2369	OG0005240	s_kudriavzevii	N7
rna4816	OG0005241	s_kudriavzevii	N7
rna2596	OG0005444	s_kudriavzevii	N7
rna3207	OG0005447	s_kudriavzevii	N7
rna5598	OG0005452	s_kudriavzevii	N7
rna2798	OG0002671	s_bayanus	N5
rna5233	OG0002671	s_bayanus	N5
rna5327	OG0003848	s_bayanus	N5
rna5326	OG0003848	s_bayanus	N5
rna1499	OG0004306	s_bayanus	N5
rna5235	OG0004306	s_bayanus	N5
rna3867	OG0004424	s_bayanus	N5
rna2904	OG0004424	s_bayanus	N5
rna3229	OG0004567	s_bayanus	N5
rna5400	OG0004568	s_bayanus	N5
rna5800	OG0004569	s_bayanus	N5
rna711	OG0004570	s_bayanus	N5
rna3859	OG0004737	s_bayanus	N5
rna3872	OG0004738	s_bayanus	N5
rna3883	OG0004739	s_bayanus	N5
rna3910	OG0004740	s_bayanus	N5
rna3981	OG0004741	s_bayanus	N5
rna4038	OG0004742	s_bayanus	N5
rna4060	OG0004743	s_bayanus	N5
rna4198	OG0004744	s_bayanus	N5
rna4303	OG0004745	s_bayanus	N5
rna3540	OG0004746	s_bayanus	N5
rna3631	OG0004747	s_bayanus	N5
rna3671	OG0004748	s_bayanus	N5
rna1920	OG0004749	s_bayanus	N5
rna3222	OG0004750	s_bayanus	N5
rna3228	OG0004751	s_bayanus	N5
rna4375	OG0004752	s_bayanus	N5
rna4411	OG0004753	s_bayanus	N5
rna4491	OG0004754	s_bayanus	N5
rna4492	OG0004755	s_bayanus	N5
rna4513	OG0004756	s_bayanus	N5
rna4749	OG0004757	s_bayanus	N5
rna4959	OG0004758	s_bayanus	N5
rna5108	OG0004759	s_bayanus	N5
rna2633	OG0004760	s_bayanus	N5
rna2637	OG0004761	s_bayanus	N5
rna2708	OG0004762	s_bayanus	N5
rna2742	OG0004763	s_bayanus	N5
rna2745	OG0004764	s_bayanus	N5
rna5899	OG0004765	s_bayanus	N5
rna5968	OG0004766	s_bayanus	N5
rna6064	OG0004767	s_bayanus	N5
rna6069	OG0004768	s_bayanus	N5
rna6118	OG0004769	s_bayanus	N5
rna6163	OG0004770	s_bayanus	N5
rna986	OG0004771	s_bayanus	N5
rna1066	OG0004772	s_bayanus	N5
rna1222	OG0004773	s_bayanus	N5
rna1486	OG0004774	s_bayanus	N5
rna1487	OG0004775	s_bayanus	N5
rna614	OG0004776	s_bayanus	N5
rna541	OG0004777	s_bayanus	N5
rna575	OG0004778	s_bayanus	N5
rna713	OG0004779	s_bayanus	N5
rna747	OG0004780	s_bayanus	N5
rna752	OG0004781	s_bayanus	N5
rna876	OG0004782	s_bayanus	N5
rna285	OG0004783	s_bayanus	N5
rna287	OG0004784	s_bayanus	N5
rna404	OG0004785	s_bayanus	N5
rna508	OG0004786	s_bayanus	N5
rna1512	OG0004787	s_bayanus	N5
rna5836	OG0004788	s_bayanus	N5
rna1679	OG0004789	s_bayanus	N5
rna1846	OG0004790	s_bayanus	N5
rna3138	OG0004791	s_bayanus	N5
rna3074	OG0004792	s_bayanus	N5
rna1974	OG0004793	s_bayanus	N5
rna2035	OG0004795	s_bayanus	N5
rna2086	OG0004796	s_bayanus	N5
rna2146	OG0004797	s_bayanus	N5
rna2189	OG0004798	s_bayanus	N5
rna2368	OG0004799	s_bayanus	N5
rna2388	OG0004800	s_bayanus	N5
rna2585	OG0004801	s_bayanus	N5
rna5592	OG0004803	s_bayanus	N5
rna5698	OG0004804	s_bayanus	N5
rna2901	OG0004805	s_bayanus	N5
rna2977	OG0004806	s_bayanus	N5
rna2890	OG0004806	s_bayanus	N5
rna3771	OG0004997	s_bayanus	N5
rna3805	OG0004999	s_bayanus	N5
rna5249	OG0005001	s_bayanus	N5
rna3951	OG0005002	s_bayanus	N5
rna3553	OG0005010	s_bayanus	N5
rna4657	OG0005020	s_bayanus	N5
rna5223	OG0005028	s_bayanus	N5
rna5230	OG0005029	s_bayanus	N5
rna6235	OG0005043	s_bayanus	N5
rna1229	OG0005047	s_bayanus	N5
rna4	OG0005220	s_bayanus	N5
rna3768	OG0005221	s_bayanus	N5
rna3899	OG0005223	s_bayanus	N5
rna3375	OG0005224	s_bayanus	N5
rna5256	OG0005225	s_bayanus	N5
rna3213	OG0005432	s_bayanus	N5
rna3767	OG0000001	n_castellii	N3
rna5239	OG0000001	n_castellii	N3
rna4321	OG0000001	n_castellii	N3
rna0	OG0000001	n_castellii	N3
rna1490	OG0000001	n_castellii	N3
rna2521	OG0000001	n_castellii	N3
rna1942	OG0000001	n_castellii	N3
rna2814	OG0000001	n_castellii	N3
rna3042	OG0000001	n_castellii	N3
rna1524	OG0000001	n_castellii	N3
rna104	OG0000001	n_castellii	N3
rna1847	OG0000001	n_castellii	N3
rna524	OG0000001	n_castellii	N3
rna2513	OG0000001	n_castellii	N3
rna5247	OG0000001	n_castellii	N3
rna700	OG0000001	n_castellii	N3
rna3039	OG0000001	n_castellii	N3
rna3430	OG0000001	n_castellii	N3
rna4822	OG0000001	n_castellii	N3
rna5805	OG0000001	n_castellii	N3
rna5809	OG0000001	n_castellii	N3
rna3868	OG0000001	n_castellii	N3
rna3802	OG0000001	n_castellii	N3
rna3418	OG0000001	n_castellii	N3
rna3419	OG0000001	n_castellii	N3
rna84	OG0000009	n_castellii	N3
rna601	OG0000009	n_castellii	N3
rna87	OG0000009	n_castellii	N3
rna89	OG0000009	n_castellii	N3
rna90	OG0000009	n_castellii	N3
rna2151	OG0000009	n_castellii	N3
rna91	OG0000009	n_castellii	N3
rna2152	OG0000009	n_castellii	N3
rna88	OG0000009	n_castellii	N3
rna5426	OG0000425	n_castellii	N3
rna1588	OG0000425	n_castellii	N3
rna754	OG0004421	n_castellii	N3
rna3285	OG0004422	n_castellii	N3
rna3837	OG0004545	n_castellii	N3
rna2360	OG0004546	n_castellii	N3
rna5183	OG0004547	n_castellii	N3
rna4163	OG0004548	n_castellii	N3
rna2782	OG0004549	n_castellii	N3
rna1700	OG0004550	n_castellii	N3
rna1702	OG0004551	n_castellii	N3
rna1153	OG0004552	n_castellii	N3
rna5513	OG0004553	n_castellii	N3
rna484	OG0004554	n_castellii	N3
rna1548	OG0004555	n_castellii	N3
rna590	OG0004556	n_castellii	N3
rna4168	OG0004557	n_castellii	N3
rna5605	OG0004559	n_castellii	N3
rna2837	OG0004560	n_castellii	N3
rna4950	OG0004561	n_castellii	N3
rna4965	OG0004562	n_castellii	N3
rna5006	OG0004563	n_castellii	N3
rna1498	OG0004564	n_castellii	N3
rna5567	OG0004565	n_castellii	N3
rna3758	OG0004566	n_castellii	N3
rna724	OG0004719	n_castellii	N3
rna4630	OG0004721	n_castellii	N3
rna4629	OG0004722	n_castellii	N3
rna3113	OG0004734	n_castellii	N3
rna230	OG0004735	n_castellii	N3
rna3866	OG0005209	n_castellii	N3
rna76	OG0005209	n_castellii	N3
rna2011	OG0005215	n_castellii	N3
rna3270	OG0005413	n_castellii	N3
rna1640	OG0005414	n_castellii	N3
rna5796	OG0000003	l_waltii_v3_group	N1
rna2424	OG0004351	l_waltii_v3_group	N1
rna4123	OG0004388	l_waltii_v3_group	N1
rna793	OG0004461	l_waltii_v3_group	N1
rna1668	OG0004625	l_waltii_v3_group	N1
rna6293	OG0004638	l_waltii_v3_group	N1
rna2662	OG0004824	l_waltii_v3_group	N1
rna1795	OG0004870	l_waltii_v3_group	N1
rna3986	OG0004890	l_waltii_v3_group	N1
rna6292	OG0004893	l_waltii_v3_group	N1
rna592	OG0005094	l_waltii_v3_group	N1
rna1896	OG0005101	l_waltii_v3_group	N1
rna708	OG0000000	l_waltii_v3_group	N1
rna3426	OG0000000	l_waltii_v3_group	N1
rna1500	OG0000000	l_waltii_v3_group	N1
rna5234	OG0000000	l_waltii_v3_group	N1
rna101	OG0000014	l_waltii_v3_group	N1
rna103	OG0000014	l_waltii_v3_group	N1
rna2811	OG0000014	l_waltii_v3_group	N1
rna2517	OG0000014	l_waltii_v3_group	N1
rna1803	OG0000014	l_waltii_v3_group	N1
rna6296	OG0000014	l_waltii_v3_group	N1
rna3766	OG0000014	l_waltii_v3_group	N1
rna3764	OG0000014	l_waltii_v3_group	N1
rna6297	OG0000014	l_waltii_v3_group	N1
rna2812	OG0000014	l_waltii_v3_group	N1
rna4326	OG0000014	l_waltii_v3_group	N1
rna1798	OG0000014	l_waltii_v3_group	N1
rna2515	OG0000014	l_waltii_v3_group	N1
rna5808	OG0000014	l_waltii_v3_group	N1
rna4823	OG0000014	l_waltii_v3_group	N1
rna1491	OG0000014	l_waltii_v3_group	N1
rna5807	OG0000014	l_waltii_v3_group	N1
rna4325	OG0000014	l_waltii_v3_group	N1
rna4324	OG0000014	l_waltii_v3_group	N1
rna1804	OG0000014	l_waltii_v3_group	N1
rna6295	OG0000014	l_waltii_v3_group	N1
rna2516	OG0000014	l_waltii_v3_group	N1
rna1802	OG0000014	l_waltii_v3_group	N1
rna1492	OG0000014	l_waltii_v3_group	N1
rna1494	OG0000014	l_waltii_v3_group	N1
rna1495	OG0000014	l_waltii_v3_group	N1
rna1797	OG0000014	l_waltii_v3_group	N1
rna4322	OG0000014	l_waltii_v3_group	N1
rna3041	OG0000014	l_waltii_v3_group	N1
rna2813	OG0000014	l_waltii_v3_group	N1
rna1233	OG0004198	l_waltii_v3_group	N1
rna1941	OG0004320	l_waltii_v3_group	N1
rna5226	OG0004432	l_waltii_v3_group	N1
rna619	OG0004585	l_waltii_v3_group	N1
rna1411	OG0004706	l_waltii_v3_group	N1
rna5007	OG0004706	l_waltii_v3_group	N1
rna720	OG0004891	l_waltii_v3_group	N1
rna1329	OG0004895	l_waltii_v3_group	N1
rna2889	OG0004911	l_waltii_v3_group	N1
rna3514	OG0004912	l_waltii_v3_group	N1
rna4330	OG0005113	l_waltii_v3_group	N1
rna6129	OG0005199	l_waltii_v3_group	N1
rna3583	OG0005201	l_waltii_v3_group	N1
rna5820	OG0005203	l_waltii_v3_group	N1
rna5902	OG0005204	l_waltii_v3_group	N1
rna5996	OG0005394	l_waltii_v3_group	N1
rna1412	OG0005398	l_waltii_v3_group	N1
rna3045	OG0000000	l_waltii_v3_group	N1
rna5252	OG0000000	l_waltii_v3_group	N1
rna5792	OG0000003	l_waltii_v3_group	N1
rna3433	OG0000003	l_waltii_v3_group	N1
rna5222	OG0000003	l_waltii_v3_group	N1
rna3779	OG0000003	l_waltii_v3_group	N1
rna706	OG0000029	l_waltii_v3_group	N1
rna3428	OG0000029	l_waltii_v3_group	N1
rna521	OG0000029	l_waltii_v3_group	N1
rna3841	OG0000089	l_waltii_v3_group	N1
rna3008	OG0000089	l_waltii_v3_group	N1
rna3776	OG0000153	l_waltii_v3_group	N1
rna702	OG0000153	l_waltii_v3_group	N1
rna3050	OG0000198	l_waltii_v3_group	N1
rna692	OG0000230	l_waltii_v3_group	N1
rna642	OG0000230	l_waltii_v3_group	N1
rna531	OG0000230	l_waltii_v3_group	N1
rna533	OG0000231	l_waltii_v3_group	N1
rna5795	OG0000515	l_waltii_v3_group	N1
rna1484	OG0000515	l_waltii_v3_group	N1
rna532	OG0001131	l_waltii_v3_group	N1
rna643	OG0001131	l_waltii_v3_group	N1
rna5245	OG0001537	l_waltii_v3_group	N1
rna2822	OG0001537	l_waltii_v3_group	N1
rna4110	OG0002567	l_waltii_v3_group	N1
rna4542	OG0002710	l_waltii_v3_group	N1
rna2264	OG0002912	l_waltii_v3_group	N1
rna4464	OG0003135	l_waltii_v3_group	N1
rna4465	OG0003135	l_waltii_v3_group	N1
rna2979	OG0003252	l_waltii_v3_group	N1
rna58	OG0003639	l_waltii_v3_group	N1
rna1990	OG0003855	l_waltii_v3_group	N1
rna43	OG0003861	l_waltii_v3_group	N1
rna3075	OG0003863	l_waltii_v3_group	N1
rna3478	OG0003865	l_waltii_v3_group	N1
rna4413	OG0003869	l_waltii_v3_group	N1
rna2267	OG0003903	l_waltii_v3_group	N1
rna3009	OG0003911	l_waltii_v3_group	N1
rna4588	OG0003913	l_waltii_v3_group	N1
rna4218	OG0003914	l_waltii_v3_group	N1
rna1448	OG0003920	l_waltii_v3_group	N1
rna2920	OG0003929	l_waltii_v3_group	N1
rna1652	OG0003931	l_waltii_v3_group	N1
rna1176	OG0003944	l_waltii_v3_group	N1
rna4181	OG0003951	l_waltii_v3_group	N1
rna690	OG0003952	l_waltii_v3_group	N1
rna587	OG0003956	l_waltii_v3_group	N1
rna3040	OG0003960	l_waltii_v3_group	N1
rna5632	OG0003962	l_waltii_v3_group	N1
rna5949	OG0003964	l_waltii_v3_group	N1
rna4964	OG0003968	l_waltii_v3_group	N1
rna4997	OG0003973	l_waltii_v3_group	N1
rna477	OG0003979	l_waltii_v3_group	N1
rna3786	OG0003988	l_waltii_v3_group	N1
rna4832	OG0003992	l_waltii_v3_group	N1
rna5546	OG0003996	l_waltii_v3_group	N1
rna4243	OG0004002	l_waltii_v3_group	N1
rna106	OG0004005	l_waltii_v3_group	N1
rna3592	OG0004011	l_waltii_v3_group	N1
rna2909	OG0004013	l_waltii_v3_group	N1
rna2052	OG0004015	l_waltii_v3_group	N1
rna836	OG0004016	l_waltii_v3_group	N1
rna2175	OG0004021	l_waltii_v3_group	N1
rna6041	OG0004023	l_waltii_v3_group	N1
rna1871	OG0004025	l_waltii_v3_group	N1
rna3699	OG0004026	l_waltii_v3_group	N1
rna511	OG0004035	l_waltii_v3_group	N1
rna6025	OG0004045	l_waltii_v3_group	N1
rna413	OG0004048	l_waltii_v3_group	N1
rna496	OG0004057	l_waltii_v3_group	N1
rna506	OG0004059	l_waltii_v3_group	N1
rna487	OG0004060	l_waltii_v3_group	N1
rna806	OG0004063	l_waltii_v3_group	N1
rna53	OG0004067	l_waltii_v3_group	N1
rna187	OG0004078	l_waltii_v3_group	N1
rna3164	OG0004079	l_waltii_v3_group	N1
rna2389	OG0004081	l_waltii_v3_group	N1
rna5476	OG0004085	l_waltii_v3_group	N1
rna3862	OG0004088	l_waltii_v3_group	N1
rna4120	OG0004096	l_waltii_v3_group	N1
rna2698	OG0004105	l_waltii_v3_group	N1
rna5020	OG0004107	l_waltii_v3_group	N1
rna5298	OG0004108	l_waltii_v3_group	N1
rna1844	OG0004109	l_waltii_v3_group	N1
rna4534	OG0004114	l_waltii_v3_group	N1
rna5392	OG0004172	l_waltii_v3_group	N1
rna4305	OG0004180	l_waltii_v3_group	N1
rna4750	OG0004185	l_waltii_v3_group	N1
rna6037	OG0004186	l_waltii_v3_group	N1
rna1455	OG0004193	l_waltii_v3_group	N1
rna5224	OG0004204	l_waltii_v3_group	N1
rna1119	OG0004221	l_waltii_v3_group	N1
rna999	OG0004233	l_waltii_v3_group	N1
rna216	OG0004237	l_waltii_v3_group	N1
rna452	OG0004253	l_waltii_v3_group	N1
rna2966	OG0004263	l_waltii_v3_group	N1
rna240	OG0004302	l_waltii_v3_group	N1
rna5965	OG0004305	l_waltii_v3_group	N1
rna383	OG0004328	l_waltii_v3_group	N1
rna3636	OG0004376	l_waltii_v3_group	N1
