Genes	Orthogroup	Clade	Node
rna4892	OG0048728	s_cerevisiae	s_cerevisiae
rna5005	OG0048729	s_cerevisiae	s_cerevisiae
rna5009	OG0048730	s_cerevisiae	s_cerevisiae
rna5025	OG0048731	s_cerevisiae	s_cerevisiae
rna5054	OG0048732	s_cerevisiae	s_cerevisiae
rna5085	OG0048733	s_cerevisiae	s_cerevisiae
rna5112	OG0048734	s_cerevisiae	s_cerevisiae
rna5238	OG0005361	s_cerevisiae	s_cerevisiae
rna5240	OG0005364	s_cerevisiae	s_cerevisiae
rna5241	OG0005364	s_cerevisiae	s_cerevisiae
rna5243	OG0048735	s_cerevisiae	s_cerevisiae
rna5253	OG0048736	s_cerevisiae	s_cerevisiae
rna5296	OG0048737	s_cerevisiae	s_cerevisiae
rna5311	OG0048738	s_cerevisiae	s_cerevisiae
rna5364	OG0048739	s_cerevisiae	s_cerevisiae
rna5372	OG0048740	s_cerevisiae	s_cerevisiae
rna5394	OG0048741	s_cerevisiae	s_cerevisiae
rna5401	OG0006123	s_cerevisiae	s_cerevisiae
rna5425	OG0048742	s_cerevisiae	s_cerevisiae
rna5430	OG0048743	s_cerevisiae	s_cerevisiae
rna5451	OG0048744	s_cerevisiae	s_cerevisiae
rna5485	OG0048745	s_cerevisiae	s_cerevisiae
rna5489	OG0006123	s_cerevisiae	s_cerevisiae
rna5577	OG0048746	s_cerevisiae	s_cerevisiae
rna5709	OG0048747	s_cerevisiae	s_cerevisiae
rna5732	OG0048748	s_cerevisiae	s_cerevisiae
rna5788	OG0048749	s_cerevisiae	s_cerevisiae
rna5793	OG0048750	s_cerevisiae	s_cerevisiae
rna5804	OG0005373	s_cerevisiae	s_cerevisiae
rna5806	OG0048751	s_cerevisiae	s_cerevisiae
rna5810	OG0005373	s_cerevisiae	s_cerevisiae
rna5940	OG0048752	s_cerevisiae	s_cerevisiae
rna5973	OG0048753	s_cerevisiae	s_cerevisiae
rna6036	OG0048754	s_cerevisiae	s_cerevisiae
rna6053	OG0048755	s_cerevisiae	s_cerevisiae
rna6181	OG0048756	s_cerevisiae	s_cerevisiae
rna6193	OG0048757	s_cerevisiae	s_cerevisiae
rna6253	OG0048758	s_cerevisiae	s_cerevisiae
TCONS_novel_00000007-10	OG0048759	s_cerevisiae	s_cerevisiae
TCONS_novel_00000045-1-CTG	OG0006128	s_cerevisiae	s_cerevisiae
TCONS_novel_00000070-1-TTG	OG0048760	s_cerevisiae	s_cerevisiae
TCONS_novel_00000138-3-CTG	OG0006128	s_cerevisiae	s_cerevisiae
TCONS_novel_00000149-2	OG0048761	s_cerevisiae	s_cerevisiae
TCONS_novel_00000149-4	OG0048762	s_cerevisiae	s_cerevisiae
TCONS_novel_00000185-7	OG0048763	s_cerevisiae	s_cerevisiae
TCONS_novel_00000248-2	OG0048764	s_cerevisiae	s_cerevisiae
TCONS_novel_00000292-5-GTG	OG0048765	s_cerevisiae	s_cerevisiae
TCONS_novel_00000324-1	OG0048766	s_cerevisiae	s_cerevisiae
TCONS_novel_00000324-2	OG0048767	s_cerevisiae	s_cerevisiae
TCONS_novel_00000338-4-CTG	OG0048768	s_cerevisiae	s_cerevisiae
TCONS_novel_00000355-2	OG0048769	s_cerevisiae	s_cerevisiae
TCONS_novel_00000355-3	OG0048770	s_cerevisiae	s_cerevisiae
TCONS_novel_00000379-1-GTG	OG0048771	s_cerevisiae	s_cerevisiae
TCONS_novel_00000406-1	OG0048772	s_cerevisiae	s_cerevisiae
TCONS_novel_00000433-4-GTG	OG0048773	s_cerevisiae	s_cerevisiae
TCONS_novel_00000452-4	OG0048774	s_cerevisiae	s_cerevisiae
TCONS_novel_00000452-8	OG0048775	s_cerevisiae	s_cerevisiae
TCONS_novel_00000453-1	OG0048776	s_cerevisiae	s_cerevisiae
TCONS_novel_00000459-10-GTG	OG0048777	s_cerevisiae	s_cerevisiae
TCONS_novel_00000459-18	OG0048778	s_cerevisiae	s_cerevisiae
TCONS_novel_00000459-21	OG0048779	s_cerevisiae	s_cerevisiae
TCONS_novel_00000477-1	OG0048780	s_cerevisiae	s_cerevisiae
TCONS_novel_00000477-2	OG0048781	s_cerevisiae	s_cerevisiae
TCONS_novel_00000495-8	OG0048782	s_cerevisiae	s_cerevisiae
TCONS_novel_00000503-1	OG0048783	s_cerevisiae	s_cerevisiae
TCONS_novel_00000503-2	OG0048784	s_cerevisiae	s_cerevisiae
TCONS_novel_00000608-1	OG0048785	s_cerevisiae	s_cerevisiae
TCONS_novel_00000681-1	OG0048786	s_cerevisiae	s_cerevisiae
TCONS_novel_00000690-1-TTG	OG0048787	s_cerevisiae	s_cerevisiae
TCONS_novel_00000690-4	OG0048788	s_cerevisiae	s_cerevisiae
TCONS_novel_00000690-6	OG0048789	s_cerevisiae	s_cerevisiae
TCONS_novel_00000697-2-CTG	OG0048790	s_cerevisiae	s_cerevisiae
TCONS_novel_00000024-1	OG0048791	s_cerevisiae	s_cerevisiae
TCONS_novel_00000024-2	OG0048792	s_cerevisiae	s_cerevisiae
TCONS_novel_00000025-1-TTG	OG0048793	s_cerevisiae	s_cerevisiae
TCONS_novel_00000031-1	OG0048794	s_cerevisiae	s_cerevisiae
TCONS_novel_00000032-1-TTG	OG0048795	s_cerevisiae	s_cerevisiae
TCONS_novel_00000061-1	OG0048796	s_cerevisiae	s_cerevisiae
TCONS_novel_00000061-1-TTG	OG0048797	s_cerevisiae	s_cerevisiae
TCONS_novel_00000082-1	OG0048798	s_cerevisiae	s_cerevisiae
TCONS_novel_00000082-4	OG0048799	s_cerevisiae	s_cerevisiae
TCONS_novel_00000088-1	OG0048800	s_cerevisiae	s_cerevisiae
TCONS_novel_00000092-2	OG0048801	s_cerevisiae	s_cerevisiae
TCONS_novel_00000094-1	OG0048802	s_cerevisiae	s_cerevisiae
TCONS_novel_00000096-1	OG0048803	s_cerevisiae	s_cerevisiae
TCONS_novel_00000099-1	OG0048804	s_cerevisiae	s_cerevisiae
TCONS_novel_00000120-1-GTG	OG0048805	s_cerevisiae	s_cerevisiae
TCONS_novel_00000128-1	OG0048806	s_cerevisiae	s_cerevisiae
TCONS_novel_00000208-3	OG0048807	s_cerevisiae	s_cerevisiae
TCONS_novel_00000225-1	OG0048808	s_cerevisiae	s_cerevisiae
TCONS_novel_00000228-1	OG0048809	s_cerevisiae	s_cerevisiae
TCONS_novel_00000250-1	OG0048810	s_cerevisiae	s_cerevisiae
TCONS_novel_00000250-2	OG0048811	s_cerevisiae	s_cerevisiae
TCONS_novel_00000267-3-TTG	OG0048812	s_cerevisiae	s_cerevisiae
TCONS_novel_00000276-1	OG0048813	s_cerevisiae	s_cerevisiae
TCONS_novel_00000369-1	OG0048814	s_cerevisiae	s_cerevisiae
TCONS_novel_00000387-1	OG0048815	s_cerevisiae	s_cerevisiae
TCONS_novel_00000397-3	OG0048816	s_cerevisiae	s_cerevisiae
TCONS_novel_00000399-2-GTG	OG0048817	s_cerevisiae	s_cerevisiae
TCONS_novel_00000399-9-TTG	OG0048818	s_cerevisiae	s_cerevisiae
TCONS_novel_00000411-1-TTG	OG0048819	s_cerevisiae	s_cerevisiae
TCONS_novel_00000411-2	OG0048820	s_cerevisiae	s_cerevisiae
TCONS_novel_00000430-1	OG0048821	s_cerevisiae	s_cerevisiae
TCONS_novel_00000430-3	OG0048822	s_cerevisiae	s_cerevisiae
TCONS_novel_00000430-4	OG0048823	s_cerevisiae	s_cerevisiae
TCONS_novel_00000461-1	OG0048824	s_cerevisiae	s_cerevisiae
TCONS_novel_00000464-1-TTG	OG0048825	s_cerevisiae	s_cerevisiae
TCONS_novel_00000487-1	OG0048826	s_cerevisiae	s_cerevisiae
TCONS_novel_00000498-10	OG0048827	s_cerevisiae	s_cerevisiae
TCONS_novel_00000498-13-TTG	OG0048828	s_cerevisiae	s_cerevisiae
TCONS_novel_00000528-2	OG0048829	s_cerevisiae	s_cerevisiae
TCONS_novel_00000528-2-CTG	OG0048830	s_cerevisiae	s_cerevisiae
TCONS_novel_00000541-1-TTG	OG0048831	s_cerevisiae	s_cerevisiae
TCONS_novel_00000574-1	OG0048832	s_cerevisiae	s_cerevisiae
TCONS_novel_00000575-3	OG0048833	s_cerevisiae	s_cerevisiae
TCONS_novel_00000587-1	OG0048834	s_cerevisiae	s_cerevisiae
TCONS_novel_00000587-1-GTG	OG0048835	s_cerevisiae	s_cerevisiae
TCONS_novel_00000600-1	OG0048836	s_cerevisiae	s_cerevisiae
TCONS_novel_00000600-5	OG0048837	s_cerevisiae	s_cerevisiae
TCONS_novel_00000613-1	OG0048838	s_cerevisiae	s_cerevisiae
TCONS_novel_00000618-1	OG0048839	s_cerevisiae	s_cerevisiae
TCONS_novel_00000626-2-TTG	OG0048840	s_cerevisiae	s_cerevisiae
TCONS_novel_00000636-1	OG0048841	s_cerevisiae	s_cerevisiae
TCONS_novel_00000666-2	OG0048842	s_cerevisiae	s_cerevisiae
TCONS_novel_00000666-3	OG0048843	s_cerevisiae	s_cerevisiae
TCONS_novel_00000668-1-TTG	OG0048844	s_cerevisiae	s_cerevisiae
TCONS_novel_00000003-1	OG0048845	s_cerevisiae	s_cerevisiae
TCONS_novel_00000022-1	OG0048846	s_cerevisiae	s_cerevisiae
TCONS_novel_00000042-1	OG0048847	s_cerevisiae	s_cerevisiae
TCONS_novel_00000101-8	OG0048848	s_cerevisiae	s_cerevisiae
TCONS_novel_00000107-1	OG0048849	s_cerevisiae	s_cerevisiae
TCONS_novel_00000107-2	OG0048850	s_cerevisiae	s_cerevisiae
TCONS_novel_00000132-1-CTG	OG0048851	s_cerevisiae	s_cerevisiae
TCONS_novel_00000177-4	OG0048852	s_cerevisiae	s_cerevisiae
TCONS_novel_00000193-8-TTG	OG0048853	s_cerevisiae	s_cerevisiae
TCONS_novel_00000207-2-TTG	OG0048854	s_cerevisiae	s_cerevisiae
TCONS_novel_00000211-1-GTG	OG0048855	s_cerevisiae	s_cerevisiae
TCONS_novel_00000211-3-TTG	OG0048856	s_cerevisiae	s_cerevisiae
TCONS_novel_00000226-1	OG0048857	s_cerevisiae	s_cerevisiae
TCONS_novel_00000237-2	OG0048858	s_cerevisiae	s_cerevisiae
TCONS_novel_00000350-1	OG0048859	s_cerevisiae	s_cerevisiae
TCONS_novel_00000381-3-TTG	OG0048860	s_cerevisiae	s_cerevisiae
TCONS_novel_00000383-1	OG0048861	s_cerevisiae	s_cerevisiae
TCONS_novel_00000426-1-GTG	OG0048862	s_cerevisiae	s_cerevisiae
TCONS_novel_00000426-5-CTG	OG0048863	s_cerevisiae	s_cerevisiae
TCONS_novel_00000496-2	OG0048864	s_cerevisiae	s_cerevisiae
TCONS_novel_00000513-1	OG0048865	s_cerevisiae	s_cerevisiae
TCONS_novel_00000524-3	OG0048866	s_cerevisiae	s_cerevisiae
TCONS_novel_00000524-4	OG0048867	s_cerevisiae	s_cerevisiae
TCONS_novel_00000525-1	OG0048868	s_cerevisiae	s_cerevisiae
TCONS_novel_00000565-1-GTG	OG0048869	s_cerevisiae	s_cerevisiae
TCONS_novel_00000592-1	OG0048870	s_cerevisiae	s_cerevisiae
TCONS_novel_00000592-2-CTG	OG0048871	s_cerevisiae	s_cerevisiae
TCONS_novel_00000592-2-TTG	OG0048872	s_cerevisiae	s_cerevisiae
TCONS_novel_00000597-1	OG0048873	s_cerevisiae	s_cerevisiae
TCONS_novel_00000602-1	OG0048874	s_cerevisiae	s_cerevisiae
TCONS_novel_00000602-2	OG0048875	s_cerevisiae	s_cerevisiae
TCONS_novel_00000602-9-CTG	OG0048876	s_cerevisiae	s_cerevisiae
TCONS_novel_00000643-1	OG0048877	s_cerevisiae	s_cerevisiae
TCONS_novel_00000664-1	OG0048878	s_cerevisiae	s_cerevisiae
TCONS_novel_00000665-3-CTG	OG0048879	s_cerevisiae	s_cerevisiae
rna1806	OG0005365	s_paradoxus	N9
rna4825	OG0005365	s_paradoxus	N9
rna4023	OG0005370	s_paradoxus	N9
rna571	OG0006107	s_paradoxus	N9
rna944	OG0006109	s_paradoxus	N9
rna1501	OG0006112	s_paradoxus	N9
rna1915	OG0006114	s_paradoxus	N9
rna3240	OG0006117	s_paradoxus	N9
rna3993	OG0006121	s_paradoxus	N9
rna5681	OG0006126	s_paradoxus	N9
TCONS_novel_00000308-1-TTG	OG0006130	s_paradoxus	N9
TCONS_novel_00000489-2	OG0006132	s_paradoxus	N9
TCONS_novel_00000294-1	OG0006133	s_paradoxus	N9
TCONS_novel_00000610-1	OG0006134	s_paradoxus	N9
TCONS_novel_00000323-7	OG0006136	s_paradoxus	N9
TCONS_novel_00000388-3	OG0006137	s_paradoxus	N9
rna2813	OG0000220	s_mikatae	N8
rna3041	OG0000220	s_mikatae	N8
rna1492	OG0000220	s_mikatae	N8
rna1491	OG0000220	s_mikatae	N8
rna4325	OG0000220	s_mikatae	N8
rna5807	OG0000220	s_mikatae	N8
rna4324	OG0000220	s_mikatae	N8
rna4326	OG0000220	s_mikatae	N8
rna3764	OG0000220	s_mikatae	N8
rna3766	OG0000220	s_mikatae	N8
rna1798	OG0000220	s_mikatae	N8
rna6297	OG0000220	s_mikatae	N8
rna2515	OG0000220	s_mikatae	N8
rna5808	OG0000220	s_mikatae	N8
rna4823	OG0000220	s_mikatae	N8
TCONS_novel_00000170-1	OG0005098	s_mikatae	N8
rna1795	OG0005098	s_mikatae	N8
rna2635	OG0005368	s_mikatae	N8
rna2632	OG0005368	s_mikatae	N8
rna5250	OG0005374	s_mikatae	N8
TCONS_novel_00000489-3	OG0005376	s_mikatae	N8
rna453	OG0006106	s_mikatae	N8
rna1473	OG0006110	s_mikatae	N8
rna1488	OG0006111	s_mikatae	N8
rna2000	OG0006115	s_mikatae	N8
rna3250	OG0006118	s_mikatae	N8
rna3617	OG0006119	s_mikatae	N8
rna3630	OG0006120	s_mikatae	N8
rna4971	OG0006122	s_mikatae	N8
rna5448	OG0006124	s_mikatae	N8
TCONS_novel_00000127-1-GTG	OG0006129	s_mikatae	N8
TCONS_novel_00000193-5-CTG	OG0006135	s_mikatae	N8
TCONS_novel_00000422-1	OG0006138	s_mikatae	N8
rna2963	OG0004535	s_kudriavzevii	N6
rna6157	OG0004535	s_kudriavzevii	N6
rna5124	OG0004843	s_kudriavzevii	N6
rna5142	OG0004843	s_kudriavzevii	N6
rna5125	OG0004844	s_kudriavzevii	N6
rna5141	OG0004844	s_kudriavzevii	N6
rna517	OG0005093	s_kudriavzevii	N6
rna573	OG0005094	s_kudriavzevii	N6
rna1478	OG0005095	s_kudriavzevii	N6
rna1597	OG0005096	s_kudriavzevii	N6
rna1727	OG0005097	s_kudriavzevii	N6
rna1904	OG0005099	s_kudriavzevii	N6
rna2140	OG0005100	s_kudriavzevii	N6
rna3011	OG0005101	s_kudriavzevii	N6
rna3207	OG0005102	s_kudriavzevii	N6
rna4659	OG0005105	s_kudriavzevii	N6
rna5203	OG0005106	s_kudriavzevii	N6
rna6039	OG0005107	s_kudriavzevii	N6
rna1678	OG0005362	s_kudriavzevii	N6
rna1715	OG0005363	s_kudriavzevii	N6
rna1885	OG0005366	s_kudriavzevii	N6
rna2369	OG0005367	s_kudriavzevii	N6
rna3143	OG0005369	s_kudriavzevii	N6
rna4402	OG0005371	s_kudriavzevii	N6
rna4816	OG0005372	s_kudriavzevii	N6
TCONS_novel_00000163-1	OG0005375	s_kudriavzevii	N6
TCONS_novel_00000612-1	OG0005377	s_kudriavzevii	N6
rna2596	OG0006116	s_kudriavzevii	N6
rna5598	OG0006125	s_kudriavzevii	N6
TCONS_novel_00000021-1	OG0006127	s_kudriavzevii	N6
TCONS_novel_00000321-1	OG0006131	s_kudriavzevii	N6
rna5609	OG0000475	s_bayanus	N4
rna2932	OG0000475	s_bayanus	N4
rna1740	OG0000475	s_bayanus	N4
rna5327	OG0003776	s_bayanus	N4
rna5326	OG0003776	s_bayanus	N4
rna2821	OG0003777	s_bayanus	N4
rna5254	OG0003777	s_bayanus	N4
rna3867	OG0004347	s_bayanus	N4
rna2904	OG0004347	s_bayanus	N4
rna1499	OG0004348	s_bayanus	N4
rna5235	OG0004348	s_bayanus	N4
rna3859	OG0004514	s_bayanus	N4
rna3860	OG0004514	s_bayanus	N4
rna3951	OG0004515	s_bayanus	N4
rna3229	OG0004516	s_bayanus	N4
rna5400	OG0004517	s_bayanus	N4
rna5800	OG0004519	s_bayanus	N4
rna711	OG0004520	s_bayanus	N4
rna3815	OG0004679	s_bayanus	N4
rna3872	OG0004680	s_bayanus	N4
rna3883	OG0004681	s_bayanus	N4
rna3910	OG0004682	s_bayanus	N4
rna3981	OG0004683	s_bayanus	N4
rna4038	OG0004684	s_bayanus	N4
rna4060	OG0004685	s_bayanus	N4
rna4131	OG0004686	s_bayanus	N4
rna4152	OG0004687	s_bayanus	N4
rna4198	OG0004688	s_bayanus	N4
rna4205	OG0004689	s_bayanus	N4
rna4211	OG0004690	s_bayanus	N4
rna4303	OG0004691	s_bayanus	N4
rna4318	OG0004692	s_bayanus	N4
rna3520	OG0004693	s_bayanus	N4
rna3540	OG0004694	s_bayanus	N4
rna3587	OG0004695	s_bayanus	N4
rna3603	OG0004696	s_bayanus	N4
rna3627	OG0004697	s_bayanus	N4
rna3631	OG0004698	s_bayanus	N4
rna3667	OG0004699	s_bayanus	N4
rna3671	OG0004700	s_bayanus	N4
rna3734	OG0004701	s_bayanus	N4
rna3747	OG0004702	s_bayanus	N4
rna3755	OG0004703	s_bayanus	N4
rna1920	OG0004704	s_bayanus	N4
rna3228	OG0004705	s_bayanus	N4
rna3415	OG0004706	s_bayanus	N4
rna4372	OG0004707	s_bayanus	N4
rna4375	OG0004708	s_bayanus	N4
rna4411	OG0004709	s_bayanus	N4
rna4417	OG0004710	s_bayanus	N4
rna4491	OG0004711	s_bayanus	N4
rna4492	OG0004712	s_bayanus	N4
rna4513	OG0004713	s_bayanus	N4
rna4658	OG0004714	s_bayanus	N4
rna4665	OG0004715	s_bayanus	N4
rna4749	OG0004716	s_bayanus	N4
rna4883	OG0004717	s_bayanus	N4
rna4953	OG0004718	s_bayanus	N4
rna4959	OG0004719	s_bayanus	N4
rna5008	OG0004720	s_bayanus	N4
rna5060	OG0004721	s_bayanus	N4
rna5078	OG0004722	s_bayanus	N4
rna5108	OG0004723	s_bayanus	N4
rna5186	OG0004724	s_bayanus	N4
rna5275	OG0004725	s_bayanus	N4
rna5307	OG0004726	s_bayanus	N4
rna5318	OG0004727	s_bayanus	N4
rna5397	OG0004728	s_bayanus	N4
rna2588	OG0004729	s_bayanus	N4
rna2636	OG0004730	s_bayanus	N4
rna2708	OG0004731	s_bayanus	N4
rna2742	OG0004732	s_bayanus	N4
rna2745	OG0004733	s_bayanus	N4
rna5869	OG0004734	s_bayanus	N4
rna5876	OG0004735	s_bayanus	N4
rna5891	OG0004736	s_bayanus	N4
rna5899	OG0004737	s_bayanus	N4
rna5968	OG0004738	s_bayanus	N4
rna5998	OG0004739	s_bayanus	N4
rna6004	OG0004740	s_bayanus	N4
rna6054	OG0004741	s_bayanus	N4
rna6064	OG0004742	s_bayanus	N4
rna6069	OG0004743	s_bayanus	N4
rna6073	OG0004744	s_bayanus	N4
